date (whole day); user1; user2; odd duration (sec); average duration (sec); odd times; average times (sec); floor;zone
03-Jun-16 12:00:00 AM;monda;jcastellanos;44952;13512;5;;1;4
10-Jun-16 12:00:00 AM;jcastellanos;monda;74840;22520;3;;1;4
31-May-16 12:00:00 AM;jcastellanos;ncalixto;17500;13600;3;;1;4
01-Jun-16 12:00:00 AM;jcastellanos;ncalixto;17460;13600;3;;1;4
02-Jun-16 12:00:00 AM;ncalixto;jcastellanos;26280;20400;2;;1;4
03-Jun-16 12:00:00 AM;jcastellanos;ncalixto;75260;13600;3;;1;4
06-Jun-16 12:00:00 AM;jcastellanos;ncalixto;17180;13600;3;;1;4
07-Jun-16 12:00:00 AM;jcastellanos;ncalixto;17520;13600;3;;1;4
08-Jun-16 12:00:00 AM;jcastellanos;ncalixto;12765;10200;4;;1;4
09-Jun-16 12:00:00 AM;jcastellanos;ncalixto;17100;13600;3;;1;4
10-Jun-16 12:00:00 AM;jcastellanos;ncalixto;112470;20400;2;;1;4
03-Jun-16 12:00:00 AM;jsanjorge;jcastellanos;56550;20055;4;;1;4
10-Jun-16 12:00:00 AM;jsanjorge;jcastellanos;111540;40110;2;;1;4
03-Jun-16 12:00:00 AM;tseifert;jcastellanos;113130;34440;2;;1;4
10-Jun-16 12:00:00 AM;tseifert;jcastellanos;113130;34440;2;;1;4
03-Jun-16 12:00:00 AM;epavone;jcastellanos;113130;27480;2;;1;4
10-Jun-16 12:00:00 AM;epavone;jcastellanos;112470;27480;2;;1;4
03-Jun-16 12:00:00 AM;iborrasca;jcastellanos;112260;33840;2;;1;4
10-Jun-16 12:00:00 AM;jcastellanos;iborrasca;75000;22560;3;;1;4
03-Jun-16 12:00:00 AM;jcastellanos;hblue;112140;45720;2;;1;4
10-Jun-16 12:00:00 AM;hblue;jcastellanos;112920;45720;2;;1;4
03-Jun-16 12:00:00 AM;emintz;jcastellanos;113130;41070;2;;1;4
10-Jun-16 12:00:00 AM;emintz;jcastellanos;113130;41070;2;;1;4
03-Jun-16 12:00:00 AM;jcastellanos;ldedos;74720;24560;3;;1;4
10-Jun-16 12:00:00 AM;jcastellanos;ldedos;74560;24560;3;;1;4
