date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;1;48;1881;14;1-1
31-May-16 12:00:00 AM;2;48;1995;4;1-1
31-May-16 12:00:00 AM;3;48;1040;15;3-4
31-May-16 12:00:00 AM;4;48;1180;24;3-4
31-May-16 12:00:00 AM;6;48;2617;8;2-4
31-May-16 12:00:00 AM;7;48;2235;8;2-4
31-May-16 12:00:00 AM;5;48;1655;17;3-4
31-May-16 12:00:00 AM;8;48;1945;7;2-4
31-May-16 12:00:00 AM;9;48;2130;8;2-4
31-May-16 12:00:00 AM;10;48;2080;9;2-4
31-May-16 12:00:00 AM;11;48;2417;7;2-4
31-May-16 12:00:00 AM;12;48;2355;8;2-4
31-May-16 12:00:00 AM;14;48;2440;3;2-7
31-May-16 12:00:00 AM;15;48;1680;4;2-7
31-May-16 12:00:00 AM;16;48;1926;9;2-4
31-May-16 12:00:00 AM;17;48;2152;8;2-4
31-May-16 12:00:00 AM;18;48;1884;10;2-4
31-May-16 12:00:00 AM;19;48;2048;7;2-4
31-May-16 12:00:00 AM;20;48;2077;8;2-4
31-May-16 12:00:00 AM;21;48;2092;8;2-4
31-May-16 12:00:00 AM;25;48;2295;4;1-1
31-May-16 12:00:00 AM;22;48;2004;10;2-4
31-May-16 12:00:00 AM;23;48;2196;10;2-4
31-May-16 12:00:00 AM;24;48;2198;11;2-4
31-May-16 12:00:00 AM;26;48;2052;10;2-4
31-May-16 12:00:00 AM;27;48;1942;8;2-4
31-May-16 12:00:00 AM;28;48;1971;7;2-4
31-May-16 12:00:00 AM;29;48;1788;10;2-4
31-May-16 12:00:00 AM;30;48;1926;9;2-4
31-May-16 12:00:00 AM;31;48;1851;7;2-4
31-May-16 12:00:00 AM;32;48;1860;7;2-4
31-May-16 12:00:00 AM;35;48;1710;2;1-1
31-May-16 12:00:00 AM;45;48;1485;4;1-1
31-May-16 12:00:00 AM;33;48;1605;8;2-4
31-May-16 12:00:00 AM;48;49;1656;5;1-1
31-May-16 12:00:00 AM;48;50;1440;4;1-1
31-May-16 12:00:00 AM;48;51;2076;5;1-1
31-May-16 12:00:00 AM;48;52;1656;5;1-1
31-May-16 12:00:00 AM;48;53;1160;6;1-1
31-May-16 12:00:00 AM;48;54;1110;4;1-1
31-May-16 12:00:00 AM;48;55;1260;5;1-1
31-May-16 12:00:00 AM;48;56;1476;5;1-1
31-May-16 12:00:00 AM;48;57;1753;13;1-1
31-May-16 12:00:00 AM;48;58;2196;5;1-1
31-May-16 12:00:00 AM;48;59;1524;5;1-1
31-May-16 12:00:00 AM;48;60;1695;4;1-1
31-May-16 12:00:00 AM;48;61;1332;5;1-1
31-May-16 12:00:00 AM;48;62;540;1;1-1
31-May-16 12:00:00 AM;48;63;1530;4;1-1
31-May-16 12:00:00 AM;48;64;1825;12;1-1
31-May-16 12:00:00 AM;48;65;1840;6;1-1
31-May-16 12:00:00 AM;48;66;1272;5;1-1
31-May-16 12:00:00 AM;48;47;1457;7;1-1
31-May-16 12:00:00 AM;48;67;1788;10;1-1
31-May-16 12:00:00 AM;48;68;1920;4;1-1
31-May-16 12:00:00 AM;48;69;1572;5;1-1
31-May-16 12:00:00 AM;48;70;1200;5;1-1
31-May-16 12:00:00 AM;48;71;3172;8;1-1
31-May-16 12:00:00 AM;48;72;1305;4;1-1
31-May-16 12:00:00 AM;48;73;840;1;1-1
31-May-16 12:00:00 AM;48;74;1488;5;1-1
31-May-16 12:00:00 AM;48;75;1770;4;1-1
31-May-16 12:00:00 AM;48;76;1668;5;1-1
31-May-16 12:00:00 AM;48;77;2052;5;1-1
31-May-16 12:00:00 AM;48;78;1644;5;1-1
31-May-16 12:00:00 AM;48;79;1584;5;1-1
31-May-16 12:00:00 AM;48;80;1572;5;1-1
31-May-16 12:00:00 AM;48;81;1548;5;1-1
31-May-16 12:00:00 AM;48;82;1140;1;1-1
31-May-16 12:00:00 AM;48;83;1620;5;1-1
31-May-16 12:00:00 AM;48;84;2060;3;1-1
31-May-16 12:00:00 AM;48;85;1440;1;1-1
31-May-16 12:00:00 AM;36;48;1488;15;2-4
31-May-16 12:00:00 AM;39;48;2215;12;2-4
31-May-16 12:00:00 AM;40;48;2015;12;2-4
31-May-16 12:00:00 AM;42;48;2160;13;2-4
31-May-16 12:00:00 AM;43;48;2538;16;2-4
31-May-16 12:00:00 AM;44;48;1881;11;2-4
31-May-16 12:00:00 AM;37;48;1690;17;2-4
31-May-16 12:00:00 AM;38;48;1823;13;2-4
31-May-16 12:00:00 AM;34;48;2169;13;3-6
31-May-16 12:00:00 AM;41;48;2197;8;3-6
31-May-16 12:00:00 AM;46;48;1825;7;2-4
31-May-16 12:00:00 AM;50;48;1480;3;2-4
31-May-16 12:00:00 AM;49;48;1872;5;2-4
31-May-16 12:00:00 AM;51;48;1520;3;2-4
31-May-16 12:00:00 AM;52;48;1650;4;2-4
31-May-16 12:00:00 AM;55;48;942;7;1-4
31-May-16 12:00:00 AM;54;48;1200;2;2-7
31-May-16 12:00:00 AM;56;48;1500;3;2-4
31-May-16 12:00:00 AM;57;48;2310;10;2-4
31-May-16 12:00:00 AM;58;48;1600;3;2-4
31-May-16 12:00:00 AM;59;48;1596;5;2-4
31-May-16 12:00:00 AM;60;48;1320;2;2-4
31-May-16 12:00:00 AM;61;48;2070;4;2-4
31-May-16 12:00:00 AM;62;48;984;5;2-4
31-May-16 12:00:00 AM;63;48;1480;3;2-4
31-May-16 12:00:00 AM;64;48;1825;12;3-3
31-May-16 12:00:00 AM;65;48;2062;8;2-4
31-May-16 12:00:00 AM;66;48;1995;4;2-4
31-May-16 12:00:00 AM;68;48;1530;2;2-4
31-May-16 12:00:00 AM;69;48;1520;3;2-4
31-May-16 12:00:00 AM;70;48;2070;4;2-4
31-May-16 12:00:00 AM;72;48;1840;3;2-4
31-May-16 12:00:00 AM;74;48;1580;3;2-4
31-May-16 12:00:00 AM;75;48;1470;2;2-4
31-May-16 12:00:00 AM;73;48;3120;1;3-2
31-May-16 12:00:00 AM;71;48;1765;21;3-6
31-May-16 12:00:00 AM;82;48;1600;6;2-4
31-May-16 12:00:00 AM;83;48;1560;2;2-3
31-May-16 12:00:00 AM;80;48;1530;2;2-3
31-May-16 12:00:00 AM;78;48;1620;2;2-3
