date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;2;100;480;3;1-1
31-May-16 12:00:00 AM;37;100;3240;1;2-4
31-May-16 12:00:00 AM;1;100;1346;9;2-4
31-May-16 12:00:00 AM;41;100;915;4;2-4
31-May-16 12:00:00 AM;4;100;1140;1;2-4
31-May-16 12:00:00 AM;71;100;960;1;2-4
31-May-16 12:00:00 AM;85;100;3360;3;2-4
31-May-16 12:00:00 AM;82;100;3340;3;2-4
31-May-16 12:00:00 AM;65;100;1920;1;2-1
31-May-16 12:00:00 AM;44;100;930;2;2-7
31-May-16 12:00:00 AM;72;100;1440;2;2-7
31-May-16 12:00:00 AM;23;100;1320;1;2-1
31-May-16 12:00:00 AM;47;100;3300;1;1-1
31-May-16 12:00:00 AM;53;100;2520;1;1-1
31-May-16 12:00:00 AM;6;100;3420;1;2-1
31-May-16 12:00:00 AM;62;100;2060;3;2-1
31-May-16 12:00:00 AM;8;100;3240;1;2-1
31-May-16 12:00:00 AM;87;100;3180;1;2-4
31-May-16 12:00:00 AM;66;100;3060;1;2-1
31-May-16 12:00:00 AM;49;100;3000;1;2-1
31-May-16 12:00:00 AM;55;100;2820;1;2-1
31-May-16 12:00:00 AM;69;100;2620;3;2-4
31-May-16 12:00:00 AM;12;100;2820;2;2-7
31-May-16 12:00:00 AM;74;100;3090;2;2-7
31-May-16 12:00:00 AM;15;100;2760;2;2-7
31-May-16 12:00:00 AM;22;100;2820;3;2-4
31-May-16 12:00:00 AM;19;100;1100;3;2-1
31-May-16 12:00:00 AM;61;100;2340;1;2-1
31-May-16 12:00:00 AM;18;100;2610;2;2-1
31-May-16 12:00:00 AM;57;100;1860;1;2-7
31-May-16 12:00:00 AM;50;100;1350;2;2-1
31-May-16 12:00:00 AM;52;100;1680;1;2-7
31-May-16 12:00:00 AM;28;100;2310;2;2-1
31-May-16 12:00:00 AM;26;100;2040;2;2-1
31-May-16 12:00:00 AM;54;100;1620;1;2-7
31-May-16 12:00:00 AM;24;100;1620;1;2-7
31-May-16 12:00:00 AM;58;100;1620;1;2-7
31-May-16 12:00:00 AM;29;100;2100;2;2-1
31-May-16 12:00:00 AM;13;100;2340;2;2-1
31-May-16 12:00:00 AM;21;100;1920;2;2-1
31-May-16 12:00:00 AM;96;100;1358;11;2-4
31-May-16 12:00:00 AM;14;100;2370;2;2-1
31-May-16 12:00:00 AM;7;100;1770;2;2-1
31-May-16 12:00:00 AM;59;100;750;2;2-1
31-May-16 12:00:00 AM;97;100;1956;5;2-4
31-May-16 12:00:00 AM;17;100;1800;2;2-1
31-May-16 12:00:00 AM;75;100;1440;1;2-7
31-May-16 12:00:00 AM;10;100;2190;2;2-1
31-May-16 12:00:00 AM;9;100;810;2;2-1
31-May-16 12:00:00 AM;33;100;1200;3;2-4
31-May-16 12:00:00 AM;98;100;1297;8;2-4
31-May-16 12:00:00 AM;70;100;1320;1;2-7
31-May-16 12:00:00 AM;11;100;870;2;2-1
31-May-16 12:00:00 AM;63;100;930;2;2-1
31-May-16 12:00:00 AM;100;101;2690;6;2-4
31-May-16 12:00:00 AM;100;102;1725;8;2-4
31-May-16 12:00:00 AM;100;103;810;4;2-4
31-May-16 12:00:00 AM;100;104;1095;4;2-4
31-May-16 12:00:00 AM;100;105;830;6;2-4
31-May-16 12:00:00 AM;100;5;660;1;2-4
31-May-16 12:00:00 AM;100;106;1596;5;2-4
31-May-16 12:00:00 AM;100;107;2182;8;2-4
31-May-16 12:00:00 AM;100;108;1550;6;2-4
31-May-16 12:00:00 AM;100;58;2100;2;2-4
31-May-16 12:00:00 AM;100;7;1770;2;2-4
31-May-16 12:00:00 AM;100;62;2060;3;2-4
31-May-16 12:00:00 AM;100;17;1900;3;2-4
31-May-16 12:00:00 AM;100;21;1920;2;2-4
31-May-16 12:00:00 AM;100;26;2160;3;2-4
31-May-16 12:00:00 AM;100;24;2490;2;2-4
31-May-16 12:00:00 AM;100;67;2265;8;2-4
31-May-16 12:00:00 AM;100;65;2580;1;2-4
31-May-16 12:00:00 AM;100;29;2260;3;2-4
31-May-16 12:00:00 AM;100;8;2760;1;2-4
31-May-16 12:00:00 AM;100;30;3090;2;2-4
31-May-16 12:00:00 AM;100;46;3120;2;2-4
31-May-16 12:00:00 AM;100;13;2340;2;2-4
31-May-16 12:00:00 AM;100;18;2800;3;2-4
31-May-16 12:00:00 AM;100;54;3270;2;2-4
31-May-16 12:00:00 AM;100;14;2640;3;2-4
31-May-16 12:00:00 AM;100;57;3330;2;2-4
31-May-16 12:00:00 AM;100;78;3320;3;2-4
31-May-16 12:00:00 AM;100;81;3320;3;2-4
31-May-16 12:00:00 AM;100;83;3320;3;2-4
31-May-16 12:00:00 AM;100;16;3360;2;2-4
31-May-16 12:00:00 AM;100;80;3380;3;2-4
31-May-16 12:00:00 AM;100;77;3380;3;2-4
31-May-16 12:00:00 AM;100;70;3420;2;2-4
31-May-16 12:00:00 AM;100;32;0;2;2-4
31-May-16 12:00:00 AM;100;74;3090;2;2-4
31-May-16 12:00:00 AM;100;76;2360;3;2-4
31-May-16 12:00:00 AM;100;73;60;1;2-4
31-May-16 12:00:00 AM;100;91;60;1;2-4
31-May-16 12:00:00 AM;100;59;750;2;2-4
31-May-16 12:00:00 AM;100;19;1100;3;2-4
31-May-16 12:00:00 AM;100;66;180;1;2-4
31-May-16 12:00:00 AM;100;44;930;2;2-4
31-May-16 12:00:00 AM;100;86;300;1;2-4
31-May-16 12:00:00 AM;100;63;780;3;2-4
31-May-16 12:00:00 AM;100;48;720;1;2-4
31-May-16 12:00:00 AM;100;56;960;3;2-4
31-May-16 12:00:00 AM;100;55;780;1;2-4
31-May-16 12:00:00 AM;100;51;870;2;2-4
31-May-16 12:00:00 AM;100;50;1180;3;2-4
31-May-16 12:00:00 AM;100;69;1470;2;2-1
31-May-16 12:00:00 AM;100;12;2820;2;2-1
31-May-16 12:00:00 AM;100;31;2370;2;2-1
31-May-16 12:00:00 AM;100;27;1950;2;2-1
31-May-16 12:00:00 AM;100;15;2760;2;2-1
31-May-16 12:00:00 AM;100;68;2280;1;2-1
31-May-16 12:00:00 AM;100;75;2880;1;2-1
31-May-16 12:00:00 AM;100;20;2940;1;2-1
31-May-16 12:00:00 AM;100;85;3000;1;2-1
31-May-16 12:00:00 AM;100;82;3300;1;2-1
31-May-16 12:00:00 AM;100;52;3480;1;2-1
31-May-16 12:00:00 AM;100;94;3480;2;2-1
31-May-16 12:00:00 AM;100;79;3480;2;2-1
31-May-16 12:00:00 AM;100;60;420;1;2-1
31-May-16 12:00:00 AM;100;41;600;1;2-1
31-May-16 12:00:00 AM;100;33;750;2;2-1
31-May-16 12:00:00 AM;100;98;1237;8;2-1
31-May-16 12:00:00 AM;100;11;360;1;2-7
31-May-16 12:00:00 AM;101;100;2690;6;2-1
31-May-16 12:00:00 AM;103;100;2316;5;2-1
31-May-16 12:00:00 AM;106;100;1770;4;2-1
31-May-16 12:00:00 AM;104;100;2220;5;2-1
31-May-16 12:00:00 AM;105;100;1997;7;2-1
31-May-16 12:00:00 AM;108;100;1995;8;2-1
31-May-16 12:00:00 AM;102;100;1372;8;2-1
31-May-16 12:00:00 AM;100;99;1590;4;2-1
31-May-16 12:00:00 AM;100;97;2028;10;2-1
31-May-16 12:00:00 AM;100;109;1890;2;2-1
31-May-16 12:00:00 AM;100;96;1630;6;2-7
31-May-16 12:00:00 AM;107;100;2290;6;2-6
31-May-16 12:00:00 AM;109;100;1890;2;1-2
31-May-16 12:00:00 AM;99;100;1590;4;2-4
