date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;2;101;580;3;1-1
31-May-16 12:00:00 AM;37;101;1320;1;2-4
31-May-16 12:00:00 AM;1;101;1200;9;2-4
31-May-16 12:00:00 AM;41;101;1980;3;2-4
31-May-16 12:00:00 AM;4;101;2820;1;2-4
31-May-16 12:00:00 AM;71;101;2550;2;2-4
31-May-16 12:00:00 AM;85;101;1440;2;2-4
31-May-16 12:00:00 AM;82;101;2040;3;2-4
31-May-16 12:00:00 AM;65;101;0;1;2-1
31-May-16 12:00:00 AM;72;101;3120;1;2-1
31-May-16 12:00:00 AM;23;101;3000;1;2-1
31-May-16 12:00:00 AM;47;101;3360;1;1-1
31-May-16 12:00:00 AM;53;101;2580;1;1-1
31-May-16 12:00:00 AM;6;101;1500;1;2-1
31-May-16 12:00:00 AM;62;101;1380;3;2-1
31-May-16 12:00:00 AM;8;101;1320;1;2-1
31-May-16 12:00:00 AM;87;101;1260;1;2-4
31-May-16 12:00:00 AM;66;101;1140;1;2-1
31-May-16 12:00:00 AM;49;101;1080;1;2-1
31-May-16 12:00:00 AM;55;101;900;1;2-1
31-May-16 12:00:00 AM;22;101;1520;3;2-4
31-May-16 12:00:00 AM;19;101;420;3;2-1
31-May-16 12:00:00 AM;61;101;420;1;2-1
31-May-16 12:00:00 AM;18;101;1620;2;2-1
31-May-16 12:00:00 AM;50;101;2160;2;2-1
31-May-16 12:00:00 AM;28;101;3120;2;2-1
31-May-16 12:00:00 AM;26;101;2850;2;2-1
31-May-16 12:00:00 AM;29;101;2910;2;2-1
31-May-16 12:00:00 AM;13;101;3150;2;2-1
31-May-16 12:00:00 AM;21;101;2730;2;2-1
31-May-16 12:00:00 AM;96;101;1145;11;2-4
31-May-16 12:00:00 AM;14;101;3180;2;2-1
31-May-16 12:00:00 AM;7;101;2580;2;2-1
31-May-16 12:00:00 AM;59;101;1560;2;2-1
31-May-16 12:00:00 AM;97;101;2475;4;2-4
31-May-16 12:00:00 AM;17;101;2610;2;2-1
31-May-16 12:00:00 AM;99;101;840;5;1-1
31-May-16 12:00:00 AM;10;101;3000;2;2-1
31-May-16 12:00:00 AM;9;101;1620;2;2-1
31-May-16 12:00:00 AM;33;101;2300;3;2-4
31-May-16 12:00:00 AM;98;101;2605;7;2-4
31-May-16 12:00:00 AM;11;101;1680;2;2-1
31-May-16 12:00:00 AM;63;101;1740;2;2-1
31-May-16 12:00:00 AM;51;101;1860;2;2-1
31-May-16 12:00:00 AM;100;101;2690;6;2-4
31-May-16 12:00:00 AM;101;102;1580;9;2-4
31-May-16 12:00:00 AM;101;103;570;4;2-4
31-May-16 12:00:00 AM;101;104;1120;6;2-4
31-May-16 12:00:00 AM;101;105;1320;5;2-4
31-May-16 12:00:00 AM;101;5;600;1;2-4
31-May-16 12:00:00 AM;101;106;1488;5;2-4
31-May-16 12:00:00 AM;101;107;2028;5;2-4
31-May-16 12:00:00 AM;101;108;1215;8;2-4
31-May-16 12:00:00 AM;101;58;2040;2;2-4
31-May-16 12:00:00 AM;101;7;2580;2;2-4
31-May-16 12:00:00 AM;101;62;1380;3;2-4
31-May-16 12:00:00 AM;101;17;2610;2;2-4
31-May-16 12:00:00 AM;101;69;2130;2;2-4
31-May-16 12:00:00 AM;101;21;2730;2;2-4
31-May-16 12:00:00 AM;101;26;2850;2;2-4
31-May-16 12:00:00 AM;101;24;2430;2;2-4
31-May-16 12:00:00 AM;101;67;2120;6;2-4
31-May-16 12:00:00 AM;101;65;2520;1;2-4
31-May-16 12:00:00 AM;101;29;2910;2;2-4
31-May-16 12:00:00 AM;101;8;2700;1;2-4
31-May-16 12:00:00 AM;101;30;3030;2;2-4
31-May-16 12:00:00 AM;101;46;3060;2;2-4
31-May-16 12:00:00 AM;101;13;3150;2;2-4
31-May-16 12:00:00 AM;101;18;1620;2;2-4
31-May-16 12:00:00 AM;101;54;3210;2;2-4
31-May-16 12:00:00 AM;101;14;3180;2;2-4
31-May-16 12:00:00 AM;101;57;3270;2;2-4
31-May-16 12:00:00 AM;101;78;3270;2;2-4
31-May-16 12:00:00 AM;101;81;3270;2;2-4
31-May-16 12:00:00 AM;101;83;3270;2;2-4
31-May-16 12:00:00 AM;101;16;3300;2;2-4
31-May-16 12:00:00 AM;101;80;3330;2;2-4
31-May-16 12:00:00 AM;101;77;3330;2;2-4
31-May-16 12:00:00 AM;101;70;3360;2;2-4
31-May-16 12:00:00 AM;101;32;3540;2;2-4
31-May-16 12:00:00 AM;101;74;2740;3;2-4
31-May-16 12:00:00 AM;101;76;3510;2;2-4
31-May-16 12:00:00 AM;101;73;0;1;2-4
31-May-16 12:00:00 AM;101;91;0;1;2-4
31-May-16 12:00:00 AM;101;59;1560;2;2-4
31-May-16 12:00:00 AM;101;19;420;3;2-4
31-May-16 12:00:00 AM;101;66;120;1;2-4
31-May-16 12:00:00 AM;101;44;340;3;2-4
31-May-16 12:00:00 AM;101;86;240;1;2-4
31-May-16 12:00:00 AM;101;63;1740;2;2-4
31-May-16 12:00:00 AM;101;48;660;1;2-4
31-May-16 12:00:00 AM;101;56;900;3;2-4
31-May-16 12:00:00 AM;101;55;720;1;2-4
31-May-16 12:00:00 AM;101;51;1860;2;2-4
31-May-16 12:00:00 AM;101;50;2160;2;2-4
31-May-16 12:00:00 AM;101;99;400;3;2-4
31-May-16 12:00:00 AM;101;95;1500;1;2-4
31-May-16 12:00:00 AM;101;3;1500;1;2-4
31-May-16 12:00:00 AM;101;38;1500;1;2-4
31-May-16 12:00:00 AM;101;43;1500;1;2-4
31-May-16 12:00:00 AM;101;109;2420;3;2-4
31-May-16 12:00:00 AM;101;12;1830;2;2-1
31-May-16 12:00:00 AM;101;31;2310;2;2-1
31-May-16 12:00:00 AM;101;27;1890;2;2-1
31-May-16 12:00:00 AM;101;15;1830;2;2-1
31-May-16 12:00:00 AM;101;68;2220;1;2-1
31-May-16 12:00:00 AM;101;75;2820;1;2-1
31-May-16 12:00:00 AM;101;20;2880;1;2-1
31-May-16 12:00:00 AM;101;85;2940;1;2-1
31-May-16 12:00:00 AM;101;82;3240;1;2-1
31-May-16 12:00:00 AM;101;52;3420;1;2-1
31-May-16 12:00:00 AM;101;94;3420;1;2-1
31-May-16 12:00:00 AM;101;79;3420;1;2-1
31-May-16 12:00:00 AM;101;60;360;1;2-1
31-May-16 12:00:00 AM;101;41;540;1;2-1
31-May-16 12:00:00 AM;101;33;720;1;2-1
31-May-16 12:00:00 AM;101;98;1635;4;2-1
31-May-16 12:00:00 AM;101;100;2690;6;2-1
31-May-16 12:00:00 AM;101;97;780;3;2-1
31-May-16 12:00:00 AM;103;101;1000;6;2-1
31-May-16 12:00:00 AM;105;101;1800;6;2-7
