date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;2;102;1716;15;1-1
31-May-16 12:00:00 AM;37;102;2007;24;2-4
31-May-16 12:00:00 AM;1;102;1510;34;1-4
31-May-16 12:00:00 AM;41;102;1871;21;2-4
31-May-16 12:00:00 AM;4;102;1265;24;2-4
31-May-16 12:00:00 AM;71;102;1567;16;2-4
31-May-16 12:00:00 AM;85;102;2049;32;2-4
31-May-16 12:00:00 AM;82;102;2029;28;2-4
31-May-16 12:00:00 AM;35;102;1620;15;1-1
31-May-16 12:00:00 AM;40;102;1700;29;2-4
31-May-16 12:00:00 AM;90;102;1574;38;1-4
31-May-16 12:00:00 AM;42;102;1816;33;2-4
31-May-16 12:00:00 AM;25;102;2248;15;1-1
31-May-16 12:00:00 AM;65;102;1695;24;2-1
31-May-16 12:00:00 AM;47;102;1509;19;1-1
31-May-16 12:00:00 AM;72;102;1786;26;2-1
31-May-16 12:00:00 AM;23;102;1411;25;2-1
31-May-16 12:00:00 AM;53;102;1793;18;1-1
31-May-16 12:00:00 AM;45;102;2040;15;1-1
31-May-16 12:00:00 AM;87;102;2081;26;2-4
31-May-16 12:00:00 AM;6;102;2404;25;2-1
31-May-16 12:00:00 AM;62;102;1710;28;2-1
31-May-16 12:00:00 AM;67;102;1710;44;2-6
31-May-16 12:00:00 AM;8;102;2276;18;2-1
31-May-16 12:00:00 AM;49;102;1875;27;2-1
31-May-16 12:00:00 AM;66;102;2230;22;2-1
31-May-16 12:00:00 AM;27;102;1882;27;2-6
31-May-16 12:00:00 AM;55;102;2462;23;2-1
31-May-16 12:00:00 AM;22;102;1790;33;2-4
31-May-16 12:00:00 AM;19;102;1766;23;2-1
31-May-16 12:00:00 AM;30;102;2083;18;2-6
31-May-16 12:00:00 AM;61;102;1913;29;2-1
31-May-16 12:00:00 AM;46;102;1692;20;2-6
31-May-16 12:00:00 AM;18;102;2329;22;2-1
31-May-16 12:00:00 AM;50;102;2225;22;2-1
31-May-16 12:00:00 AM;14;102;1912;24;2-6
