date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;2;103;600;1;1-1
31-May-16 12:00:00 AM;37;103;2220;1;2-4
31-May-16 12:00:00 AM;1;103;1420;3;2-4
31-May-16 12:00:00 AM;41;103;120;3;2-4
31-May-16 12:00:00 AM;4;103;120;1;2-4
31-May-16 12:00:00 AM;71;103;2910;2;2-4
31-May-16 12:00:00 AM;85;103;2340;2;2-4
31-May-16 12:00:00 AM;82;103;2580;3;2-4
31-May-16 12:00:00 AM;65;103;900;1;2-1
31-May-16 12:00:00 AM;72;103;420;1;2-1
31-May-16 12:00:00 AM;23;103;300;1;2-1
31-May-16 12:00:00 AM;47;103;3540;1;1-1
31-May-16 12:00:00 AM;53;103;2760;1;1-1
31-May-16 12:00:00 AM;6;103;2400;1;2-1
31-May-16 12:00:00 AM;8;103;2220;1;2-1
31-May-16 12:00:00 AM;87;103;2160;1;2-4
31-May-16 12:00:00 AM;66;103;2040;1;2-1
31-May-16 12:00:00 AM;49;103;1980;1;2-1
31-May-16 12:00:00 AM;55;103;1800;1;2-1
31-May-16 12:00:00 AM;22;103;2060;3;2-4
31-May-16 12:00:00 AM;19;103;1800;3;2-1
31-May-16 12:00:00 AM;61;103;1320;1;2-1
31-May-16 12:00:00 AM;28;103;1680;2;2-1
31-May-16 12:00:00 AM;29;103;1470;2;2-1
31-May-16 12:00:00 AM;21;103;1290;2;2-1
31-May-16 12:00:00 AM;96;103;940;6;2-4
31-May-16 12:00:00 AM;14;103;1740;2;2-1
31-May-16 12:00:00 AM;7;103;1140;2;2-1
31-May-16 12:00:00 AM;59;103;1920;2;2-1
31-May-16 12:00:00 AM;97;103;1020;3;2-4
31-May-16 12:00:00 AM;99;103;300;1;1-1
31-May-16 12:00:00 AM;10;103;1560;2;2-1
31-May-16 12:00:00 AM;9;103;180;2;2-1
31-May-16 12:00:00 AM;33;103;440;3;2-4
31-May-16 12:00:00 AM;98;103;915;4;2-4
31-May-16 12:00:00 AM;11;103;240;2;2-1
31-May-16 12:00:00 AM;63;103;300;2;2-1
31-May-16 12:00:00 AM;51;103;420;2;2-1
31-May-16 12:00:00 AM;100;103;810;4;2-4
31-May-16 12:00:00 AM;101;103;570;4;2-4
31-May-16 12:00:00 AM;69;103;1050;2;2-1
31-May-16 12:00:00 AM;62;103;1020;2;2-1
