date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;2;104;900;1;1-1
31-May-16 12:00:00 AM;37;104;2820;1;2-4
31-May-16 12:00:00 AM;1;104;1820;3;2-4
31-May-16 12:00:00 AM;41;104;420;3;2-4
31-May-16 12:00:00 AM;4;104;720;1;2-4
31-May-16 12:00:00 AM;71;104;540;1;2-4
31-May-16 12:00:00 AM;85;104;2940;2;2-4
31-May-16 12:00:00 AM;82;104;2880;3;2-4
31-May-16 12:00:00 AM;65;104;1500;1;2-1
31-May-16 12:00:00 AM;72;104;1020;1;2-1
31-May-16 12:00:00 AM;23;104;900;1;2-1
31-May-16 12:00:00 AM;47;104;240;1;1-1
31-May-16 12:00:00 AM;53;104;3060;1;1-1
31-May-16 12:00:00 AM;6;104;3000;1;2-1
31-May-16 12:00:00 AM;8;104;2820;1;2-1
31-May-16 12:00:00 AM;87;104;2760;1;2-4
31-May-16 12:00:00 AM;66;104;2640;1;2-1
31-May-16 12:00:00 AM;49;104;2580;1;2-1
31-May-16 12:00:00 AM;55;104;2400;1;2-1
31-May-16 12:00:00 AM;22;104;2360;3;2-4
31-May-16 12:00:00 AM;61;104;1920;1;2-1
31-May-16 12:00:00 AM;46;104;1380;1;2-6
31-May-16 12:00:00 AM;30;104;1320;1;2-6
31-May-16 12:00:00 AM;96;104;1105;7;2-4
31-May-16 12:00:00 AM;59;104;2070;2;2-1
31-May-16 12:00:00 AM;97;104;1450;6;2-4
31-May-16 12:00:00 AM;99;104;360;2;1-1
31-May-16 12:00:00 AM;10;104;1710;2;2-1
31-May-16 12:00:00 AM;9;104;2130;2;2-1
31-May-16 12:00:00 AM;33;104;740;3;2-4
31-May-16 12:00:00 AM;98;104;1140;5;2-4
31-May-16 12:00:00 AM;63;104;450;2;2-1
31-May-16 12:00:00 AM;100;104;1095;4;2-4
31-May-16 12:00:00 AM;101;104;1120;6;2-4
31-May-16 12:00:00 AM;69;104;1200;2;2-1
31-May-16 12:00:00 AM;62;104;1170;2;2-1
31-May-16 12:00:00 AM;44;104;1950;2;2-1
31-May-16 12:00:00 AM;102;104;780;8;2-4
31-May-16 12:00:00 AM;13;104;600;1;2-6
31-May-16 12:00:00 AM;103;104;1147;8;2-4
31-May-16 12:00:00 AM;14;104;540;1;2-6
31-May-16 12:00:00 AM;12;104;1440;2;2-1
31-May-16 12:00:00 AM;74;104;1740;2;2-1
31-May-16 12:00:00 AM;31;104;1680;2;2-1
31-May-16 12:00:00 AM;19;104;1770;2;2-1
31-May-16 12:00:00 AM;27;104;1320;2;2-1
31-May-16 12:00:00 AM;15;104;1350;2;2-1
31-May-16 12:00:00 AM;104;105;1251;7;2-4
31-May-16 12:00:00 AM;104;5;120;1;2-4
31-May-16 12:00:00 AM;104;106;1750;6;2-4
31-May-16 12:00:00 AM;104;107;1770;6;2-4
31-May-16 12:00:00 AM;104;108;1530;8;2-4
31-May-16 12:00:00 AM;104;58;1560;2;2-4
31-May-16 12:00:00 AM;104;7;1560;2;2-4
