date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;2;105;960;1;1-1
31-May-16 12:00:00 AM;37;105;2940;1;2-4
31-May-16 12:00:00 AM;1;105;1605;4;2-4
31-May-16 12:00:00 AM;41;105;540;4;2-4
31-May-16 12:00:00 AM;4;105;840;1;2-4
31-May-16 12:00:00 AM;71;105;660;1;2-4
31-May-16 12:00:00 AM;85;105;3060;3;2-4
31-May-16 12:00:00 AM;82;105;2940;3;2-4
31-May-16 12:00:00 AM;65;105;1620;1;2-1
31-May-16 12:00:00 AM;72;105;1140;2;2-7
31-May-16 12:00:00 AM;23;105;1020;1;2-1
31-May-16 12:00:00 AM;47;105;300;1;1-1
31-May-16 12:00:00 AM;53;105;3120;1;1-1
31-May-16 12:00:00 AM;6;105;3120;1;2-1
31-May-16 12:00:00 AM;8;105;2940;1;2-1
31-May-16 12:00:00 AM;87;105;2880;1;2-4
31-May-16 12:00:00 AM;66;105;2760;1;2-1
31-May-16 12:00:00 AM;49;105;2700;1;2-1
31-May-16 12:00:00 AM;55;105;2520;1;2-1
31-May-16 12:00:00 AM;22;105;2420;3;2-4
31-May-16 12:00:00 AM;61;105;2040;1;2-1
31-May-16 12:00:00 AM;57;105;1560;1;2-7
31-May-16 12:00:00 AM;52;105;1380;1;2-7
31-May-16 12:00:00 AM;54;105;1320;1;2-7
31-May-16 12:00:00 AM;24;105;1320;1;2-7
31-May-16 12:00:00 AM;58;105;1320;1;2-7
31-May-16 12:00:00 AM;96;105;1602;7;2-4
31-May-16 12:00:00 AM;59;105;2100;2;2-1
31-May-16 12:00:00 AM;97;105;1275;4;2-4
31-May-16 12:00:00 AM;75;105;1140;1;2-7
31-May-16 12:00:00 AM;99;105;660;1;1-1
31-May-16 12:00:00 AM;10;105;1740;2;2-1
31-May-16 12:00:00 AM;9;105;2160;2;2-1
31-May-16 12:00:00 AM;33;105;800;3;2-4
31-May-16 12:00:00 AM;98;105;1560;6;2-4
31-May-16 12:00:00 AM;70;105;1020;1;2-7
31-May-16 12:00:00 AM;63;105;2280;2;2-1
31-May-16 12:00:00 AM;100;105;830;6;2-4
31-May-16 12:00:00 AM;101;105;1320;5;2-4
31-May-16 12:00:00 AM;69;105;1230;2;2-1
31-May-16 12:00:00 AM;62;105;1200;2;2-1
31-May-16 12:00:00 AM;44;105;1980;2;2-1
31-May-16 12:00:00 AM;102;105;1095;4;2-4
31-May-16 12:00:00 AM;18;105;840;1;2-7
31-May-16 12:00:00 AM;26;105;780;1;2-7
31-May-16 12:00:00 AM;50;105;780;1;2-7
31-May-16 12:00:00 AM;103;105;1524;5;2-4
31-May-16 12:00:00 AM;17;105;720;1;2-7
