date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;2;106;1166;9;1-1
31-May-16 12:00:00 AM;37;106;1660;9;2-4
31-May-16 12:00:00 AM;1;106;1346;18;1-4
31-May-16 12:00:00 AM;41;106;1785;8;2-4
31-May-16 12:00:00 AM;4;106;1455;8;2-4
31-May-16 12:00:00 AM;71;106;1970;6;2-4
31-May-16 12:00:00 AM;85;106;1080;13;2-4
31-May-16 12:00:00 AM;82;106;1055;12;2-4
31-May-16 12:00:00 AM;35;106;1486;9;1-1
31-May-16 12:00:00 AM;40;106;1870;12;2-4
31-May-16 12:00:00 AM;42;106;1823;13;2-4
31-May-16 12:00:00 AM;90;106;1728;16;1-4
31-May-16 12:00:00 AM;25;106;1933;9;1-1
31-May-16 12:00:00 AM;65;106;1716;10;2-1
31-May-16 12:00:00 AM;47;106;1380;13;1-1
31-May-16 12:00:00 AM;72;106;2661;11;2-1
31-May-16 12:00:00 AM;23;106;2214;11;2-1
31-May-16 12:00:00 AM;53;106;1890;12;1-1
31-May-16 12:00:00 AM;45;106;2280;9;1-1
31-May-16 12:00:00 AM;87;106;1493;9;2-4
31-May-16 12:00:00 AM;6;106;878;11;2-1
31-May-16 12:00:00 AM;8;106;1552;8;2-1
31-May-16 12:00:00 AM;49;106;1750;11;2-1
31-May-16 12:00:00 AM;22;106;2074;14;2-4
31-May-16 12:00:00 AM;66;106;2266;9;2-1
31-May-16 12:00:00 AM;55;106;1980;10;2-1
31-May-16 12:00:00 AM;46;106;1668;10;2-6
31-May-16 12:00:00 AM;30;106;1815;8;2-6
31-May-16 12:00:00 AM;61;106;1940;12;2-1
31-May-16 12:00:00 AM;96;106;1612;24;2-4
31-May-16 12:00:00 AM;97;106;1639;22;2-4
31-May-16 12:00:00 AM;99;106;1227;20;1-1
31-May-16 12:00:00 AM;98;106;1616;19;2-4
31-May-16 12:00:00 AM;100;106;1420;24;2-4
31-May-16 12:00:00 AM;101;106;1794;21;2-4
31-May-16 12:00:00 AM;102;106;1471;34;2-4
31-May-16 12:00:00 AM;44;106;2130;8;2-1
31-May-16 12:00:00 AM;103;106;1680;26;2-4
31-May-16 12:00:00 AM;13;106;1560;10;2-6
31-May-16 12:00:00 AM;14;106;1730;12;2-6
31-May-16 12:00:00 AM;12;106;1097;7;2-1
31-May-16 12:00:00 AM;74;106;2613;9;2-1
31-May-16 12:00:00 AM;27;106;1845;12;2-1
31-May-16 12:00:00 AM;19;106;2446;9;2-1
31-May-16 12:00:00 AM;31;106;2045;11;2-1
31-May-16 12:00:00 AM;104;106;1435;26;2-4
31-May-16 12:00:00 AM;15;106;1002;10;2-1
31-May-16 12:00:00 AM;21;106;1464;10;2-6
31-May-16 12:00:00 AM;56;106;1722;10;2-1
31-May-16 12:00:00 AM;67;106;1625;22;2-1
31-May-16 12:00:00 AM;105;106;1569;26;2-4
31-May-16 12:00:00 AM;9;106;1890;10;2-6
31-May-16 12:00:00 AM;5;106;1698;10;1-4
31-May-16 12:00:00 AM;106;106;1257;64;1-1
31-May-16 12:00:00 AM;106;106;1257;64;1-4
31-May-16 12:00:00 AM;106;107;1352;22;1-1
31-May-16 12:00:00 AM;69;106;1600;9;2-6
31-May-16 12:00:00 AM;106;108;1530;32;2-4
31-May-16 12:00:00 AM;106;58;1725;24;2-4
31-May-16 12:00:00 AM;106;7;1740;25;2-4
31-May-16 12:00:00 AM;106;62;1800;13;2-4
31-May-16 12:00:00 AM;106;17;1522;24;2-4
31-May-16 12:00:00 AM;106;69;1854;34;2-4
31-May-16 12:00:00 AM;106;61;1647;22;2-4
31-May-16 12:00:00 AM;106;68;2088;38;2-4
31-May-16 12:00:00 AM;106;49;2119;22;2-4
31-May-16 12:00:00 AM;106;21;2478;26;2-4
31-May-16 12:00:00 AM;106;26;1702;24;2-4
31-May-16 12:00:00 AM;106;27;1703;28;2-6
31-May-16 12:00:00 AM;106;24;1881;25;2-4
31-May-16 12:00:00 AM;106;67;1611;54;2-4
31-May-16 12:00:00 AM;106;65;1671;21;2-4
31-May-16 12:00:00 AM;106;29;1490;25;2-4
31-May-16 12:00:00 AM;106;8;1365;21;2-4
31-May-16 12:00:00 AM;106;104;1889;35;2-6
31-May-16 12:00:00 AM;106;15;1437;25;2-4
31-May-16 12:00:00 AM;106;75;1532;26;2-4
31-May-16 12:00:00 AM;106;102;1685;31;2-6
31-May-16 12:00:00 AM;106;89;1525;14;2-4
31-May-16 12:00:00 AM;106;28;1826;27;2-4
31-May-16 12:00:00 AM;106;20;1977;27;2-4
31-May-16 12:00:00 AM;106;12;1638;26;2-4
31-May-16 12:00:00 AM;106;10;1495;26;2-4
31-May-16 12:00:00 AM;106;30;1704;25;2-4
31-May-16 12:00:00 AM;106;46;2430;28;2-4
31-May-16 12:00:00 AM;106;13;1802;27;2-4
31-May-16 12:00:00 AM;106;18;1236;25;2-4
31-May-16 12:00:00 AM;106;54;2427;24;2-4
31-May-16 12:00:00 AM;106;14;1920;26;2-4
31-May-16 12:00:00 AM;106;34;1873;18;2-4
31-May-16 12:00:00 AM;106;84;1923;18;2-4
31-May-16 12:00:00 AM;106;36;2082;14;2-4
31-May-16 12:00:00 AM;106;85;1869;19;2-1
31-May-16 12:00:00 AM;106;88;1131;14;2-4
31-May-16 12:00:00 AM;106;64;1269;25;2-4
31-May-16 12:00:00 AM;106;92;1584;15;2-4
31-May-16 12:00:00 AM;106;93;1760;24;2-4
31-May-16 12:00:00 AM;106;57;1608;25;2-4
31-May-16 12:00:00 AM;106;78;1135;24;2-4
31-May-16 12:00:00 AM;106;81;1397;31;2-4
31-May-16 12:00:00 AM;106;83;887;24;2-4
31-May-16 12:00:00 AM;106;16;1170;26;2-4
31-May-16 12:00:00 AM;106;80;965;24;2-4
31-May-16 12:00:00 AM;106;77;836;30;2-4
31-May-16 12:00:00 AM;106;70;2091;36;2-4
31-May-16 12:00:00 AM;106;82;1749;19;2-1
31-May-16 12:00:00 AM;106;31;1648;25;2-4
31-May-16 12:00:00 AM;106;52;1465;26;2-4
31-May-16 12:00:00 AM;106;94;1459;25;2-4
31-May-16 12:00:00 AM;106;79;1125;25;2-4
31-May-16 12:00:00 AM;106;6;1783;22;2-4
31-May-16 12:00:00 AM;106;32;1425;24;2-4
31-May-16 12:00:00 AM;106;74;2116;25;2-4
31-May-16 12:00:00 AM;106;76;986;16;2-4
31-May-16 12:00:00 AM;106;73;1776;18;2-4
31-May-16 12:00:00 AM;106;91;1849;17;2-4
31-May-16 12:00:00 AM;106;59;1776;25;2-4
31-May-16 12:00:00 AM;106;19;1920;24;2-4
31-May-16 12:00:00 AM;106;66;1514;21;2-4
31-May-16 12:00:00 AM;106;44;2359;25;2-4
31-May-16 12:00:00 AM;106;9;2012;26;2-4
31-May-16 12:00:00 AM;106;23;1424;23;2-4
31-May-16 12:00:00 AM;106;86;1151;21;2-4
31-May-16 12:00:00 AM;106;60;1533;25;2-4
31-May-16 12:00:00 AM;106;72;1868;22;2-4
31-May-16 12:00:00 AM;106;11;2580;12;2-4
31-May-16 12:00:00 AM;106;63;1850;24;2-4
31-May-16 12:00:00 AM;106;48;1902;24;2-4
31-May-16 12:00:00 AM;106;56;1992;24;2-4
31-May-16 12:00:00 AM;106;55;2151;21;2-4
31-May-16 12:00:00 AM;106;33;1608;26;2-4
31-May-16 12:00:00 AM;106;51;1219;25;2-4
31-May-16 12:00:00 AM;106;50;1994;25;2-4
31-May-16 12:00:00 AM;106;99;1796;15;2-4
31-May-16 12:00:00 AM;106;95;2538;20;2-4
31-May-16 12:00:00 AM;106;3;1311;7;2-4
31-May-16 12:00:00 AM;106;38;1477;8;2-4
31-May-16 12:00:00 AM;106;43;2148;15;2-4
