date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;2;107;833;9;1-1
31-May-16 12:00:00 AM;37;107;1314;10;2-4
31-May-16 12:00:00 AM;1;107;2056;18;1-4
31-May-16 12:00:00 AM;41;107;1575;8;2-7
31-May-16 12:00:00 AM;4;107;780;10;2-4
31-May-16 12:00:00 AM;71;107;1405;7;2-4
31-May-16 12:00:00 AM;85;107;1193;18;2-4
31-May-16 12:00:00 AM;82;107;1176;15;2-4
31-May-16 12:00:00 AM;35;107;1553;9;1-1
31-May-16 12:00:00 AM;40;107;1500;15;2-4
31-May-16 12:00:00 AM;42;107;1425;16;2-4
31-May-16 12:00:00 AM;90;107;2100;17;1-4
31-May-16 12:00:00 AM;25;107;2000;9;1-1
31-May-16 12:00:00 AM;65;107;1363;11;2-1
31-May-16 12:00:00 AM;72;107;1760;12;2-7
31-May-16 12:00:00 AM;47;107;927;13;1-1
31-May-16 12:00:00 AM;23;107;2255;12;2-1
31-May-16 12:00:00 AM;53;107;1385;12;1-1
31-May-16 12:00:00 AM;45;107;1946;9;1-1
31-May-16 12:00:00 AM;87;107;1190;12;2-4
31-May-16 12:00:00 AM;6;107;1232;11;2-1
31-May-16 12:00:00 AM;8;107;2362;8;2-1
31-May-16 12:00:00 AM;49;107;1778;11;2-1
31-May-16 12:00:00 AM;22;107;2248;19;2-4
31-May-16 12:00:00 AM;66;107;2058;10;2-1
31-May-16 12:00:00 AM;55;107;2028;10;2-1
31-May-16 12:00:00 AM;61;107;1825;12;2-1
31-May-16 12:00:00 AM;52;107;1530;10;2-7
31-May-16 12:00:00 AM;57;107;1117;8;2-7
31-May-16 12:00:00 AM;54;107;1058;11;2-7
31-May-16 12:00:00 AM;96;107;1838;30;2-4
31-May-16 12:00:00 AM;58;107;1356;10;2-7
31-May-16 12:00:00 AM;24;107;1313;9;2-7
31-May-16 12:00:00 AM;97;107;1685;31;2-4
31-May-16 12:00:00 AM;99;107;991;19;1-1
31-May-16 12:00:00 AM;75;107;1265;11;2-7
31-May-16 12:00:00 AM;98;107;1662;27;2-4
31-May-16 12:00:00 AM;70;107;1794;10;2-7
31-May-16 12:00:00 AM;100;107;1761;36;2-4
31-May-16 12:00:00 AM;101;107;1834;30;2-4
31-May-16 12:00:00 AM;102;107;1273;27;2-4
31-May-16 12:00:00 AM;18;107;666;10;2-7
31-May-16 12:00:00 AM;26;107;1902;7;2-7
31-May-16 12:00:00 AM;103;107;1698;35;2-4
31-May-16 12:00:00 AM;50;107;1606;9;2-7
31-May-16 12:00:00 AM;17;107;1100;9;2-7
31-May-16 12:00:00 AM;29;107;886;9;2-7
31-May-16 12:00:00 AM;14;107;1560;9;2-7
31-May-16 12:00:00 AM;11;107;1610;12;2-7
31-May-16 12:00:00 AM;74;107;1734;11;2-1
31-May-16 12:00:00 AM;27;107;1669;11;2-1
31-May-16 12:00:00 AM;31;107;1641;11;2-1
31-May-16 12:00:00 AM;104;107;1545;20;2-4
31-May-16 12:00:00 AM;56;107;1566;10;2-1
31-May-16 12:00:00 AM;67;107;1370;19;2-1
31-May-16 12:00:00 AM;105;107;1543;26;2-4
31-May-16 12:00:00 AM;5;107;1404;10;1-4
31-May-16 12:00:00 AM;63;107;1434;10;2-7
31-May-16 12:00:00 AM;107;107;1138;62;1-1
31-May-16 12:00:00 AM;106;107;1352;22;1-1
31-May-16 12:00:00 AM;12;107;1020;8;2-7
31-May-16 12:00:00 AM;33;107;1778;11;2-7
31-May-16 12:00:00 AM;15;107;1536;10;2-7
31-May-16 12:00:00 AM;44;107;1626;10;2-7
31-May-16 12:00:00 AM;107;108;1546;26;2-4
31-May-16 12:00:00 AM;107;58;1396;33;2-4
31-May-16 12:00:00 AM;107;7;1300;33;2-4
31-May-16 12:00:00 AM;107;62;1516;15;2-4
31-May-16 12:00:00 AM;107;17;1525;33;2-4
31-May-16 12:00:00 AM;107;69;1852;48;2-4
31-May-16 12:00:00 AM;107;61;1478;31;2-4
31-May-16 12:00:00 AM;107;68;2218;52;2-4
31-May-16 12:00:00 AM;107;49;1757;31;2-4
31-May-16 12:00:00 AM;107;21;2128;32;2-4
31-May-16 12:00:00 AM;107;26;1801;33;2-4
31-May-16 12:00:00 AM;107;24;2245;35;2-4
31-May-16 12:00:00 AM;107;67;1432;69;2-4
31-May-16 12:00:00 AM;107;65;1314;30;2-4
31-May-16 12:00:00 AM;107;74;1821;36;2-7
31-May-16 12:00:00 AM;107;29;1417;34;2-4
31-May-16 12:00:00 AM;107;8;1124;30;2-4
31-May-16 12:00:00 AM;107;27;1897;35;2-4
31-May-16 12:00:00 AM;107;15;1651;34;2-4
31-May-16 12:00:00 AM;107;75;1937;35;2-4
31-May-16 12:00:00 AM;107;89;1351;21;2-4
31-May-16 12:00:00 AM;107;28;1940;36;2-4
31-May-16 12:00:00 AM;107;20;2228;36;2-4
31-May-16 12:00:00 AM;107;12;1395;34;2-4
31-May-16 12:00:00 AM;107;78;2148;36;2-7
31-May-16 12:00:00 AM;107;81;1931;48;2-7
31-May-16 12:00:00 AM;107;83;1995;36;2-7
31-May-16 12:00:00 AM;107;10;1620;35;2-4
31-May-16 12:00:00 AM;107;80;2036;34;2-7
31-May-16 12:00:00 AM;107;30;1983;39;2-4
31-May-16 12:00:00 AM;107;46;1501;33;2-4
31-May-16 12:00:00 AM;107;77;1233;41;2-7
31-May-16 12:00:00 AM;107;13;2160;37;2-4
31-May-16 12:00:00 AM;107;94;1429;35;2-7
31-May-16 12:00:00 AM;107;79;1918;36;2-7
31-May-16 12:00:00 AM;107;18;1143;35;2-4
31-May-16 12:00:00 AM;107;76;2557;24;2-7
31-May-16 12:00:00 AM;107;54;2242;34;2-4
31-May-16 12:00:00 AM;107;14;1785;32;2-4
31-May-16 12:00:00 AM;107;34;1382;25;2-4
31-May-16 12:00:00 AM;107;84;1730;25;2-4
31-May-16 12:00:00 AM;107;36;1642;19;2-4
31-May-16 12:00:00 AM;107;88;1579;22;2-4
31-May-16 12:00:00 AM;107;64;1476;40;2-4
31-May-16 12:00:00 AM;107;92;1591;23;2-4
31-May-16 12:00:00 AM;107;93;1321;33;2-4
31-May-16 12:00:00 AM;107;57;1392;39;2-4
31-May-16 12:00:00 AM;107;16;1494;34;2-4
31-May-16 12:00:00 AM;107;70;2079;52;2-4
31-May-16 12:00:00 AM;107;31;1472;33;2-4
31-May-16 12:00:00 AM;107;52;1594;35;2-4
31-May-16 12:00:00 AM;107;6;1383;31;2-4
31-May-16 12:00:00 AM;107;32;1554;32;2-4
31-May-16 12:00:00 AM;107;73;1855;25;2-4
31-May-16 12:00:00 AM;107;91;1579;25;2-4
31-May-16 12:00:00 AM;107;59;1897;34;2-4
31-May-16 12:00:00 AM;107;19;1980;33;2-4
31-May-16 12:00:00 AM;107;66;1895;29;2-4
31-May-16 12:00:00 AM;107;44;1911;35;2-4
31-May-16 12:00:00 AM;107;9;2100;35;2-4
31-May-16 12:00:00 AM;107;23;1490;32;2-4
31-May-16 12:00:00 AM;107;86;810;30;2-4
31-May-16 12:00:00 AM;107;60;1237;34;2-4
31-May-16 12:00:00 AM;107;72;1638;32;2-4
31-May-16 12:00:00 AM;107;11;2212;16;2-4
31-May-16 12:00:00 AM;107;41;1660;15;2-4
31-May-16 12:00:00 AM;107;63;1814;34;2-4
31-May-16 12:00:00 AM;107;48;2019;35;2-4
31-May-16 12:00:00 AM;107;56;1954;33;2-4
31-May-16 12:00:00 AM;107;55;1716;30;2-4
31-May-16 12:00:00 AM;107;33;2250;34;2-4
31-May-16 12:00:00 AM;107;51;1194;32;2-4
31-May-16 12:00:00 AM;107;50;1450;36;2-4
31-May-16 12:00:00 AM;107;85;1760;32;2-1
31-May-16 12:00:00 AM;107;82;1812;29;2-1
31-May-16 12:00:00 AM;107;104;1682;28;2-1
31-May-16 12:00:00 AM;107;105;1225;35;2-1
31-May-16 12:00:00 AM;107;102;1667;33;2-1
31-May-16 12:00:00 AM;107;98;1650;30;2-1
31-May-16 12:00:00 AM;107;100;1495;26;2-1
31-May-16 12:00:00 AM;62;107;1810;12;1-1
31-May-16 12:00:00 AM;7;107;1418;17;1-1
31-May-16 12:00:00 AM;69;107;1642;21;1-1
31-May-16 12:00:00 AM;68;107;2252;22;1-4
31-May-16 12:00:00 AM;21;107;1185;17;1-4
31-May-16 12:00:00 AM;89;107;612;10;1-4
31-May-16 12:00:00 AM;28;107;1323;16;1-4
31-May-16 12:00:00 AM;20;107;2456;16;1-4
31-May-16 12:00:00 AM;10;107;1969;17;1-4
31-May-16 12:00:00 AM;46;107;1358;14;1-4
31-May-16 12:00:00 AM;30;107;1368;16;1-4
31-May-16 12:00:00 AM;13;107;2280;16;1-4
31-May-16 12:00:00 AM;34;107;966;10;1-4
31-May-16 12:00:00 AM;92;107;1440;9;1-4
31-May-16 12:00:00 AM;88;107;588;10;1-4
31-May-16 12:00:00 AM;64;107;1461;11;1-4
31-May-16 12:00:00 AM;36;107;786;10;1-4
31-May-16 12:00:00 AM;93;107;1193;18;1-4
31-May-16 12:00:00 AM;84;107;642;10;1-4
31-May-16 12:00:00 AM;16;107;1764;15;1-4
31-May-16 12:00:00 AM;78;107;918;16;1-4
31-May-16 12:00:00 AM;81;107;1395;23;1-4
31-May-16 12:00:00 AM;83;107;1188;15;1-4
31-May-16 12:00:00 AM;80;107;1000;15;1-4
31-May-16 12:00:00 AM;77;107;1293;16;1-4
31-May-16 12:00:00 AM;79;107;789;13;2-4
31-May-16 12:00:00 AM;94;107;1100;15;2-4
31-May-16 12:00:00 AM;76;107;1173;9;1-4
31-May-16 12:00:00 AM;32;107;1603;18;1-1
31-May-16 12:00:00 AM;73;107;1582;16;1-1
31-May-16 12:00:00 AM;91;107;1832;15;1-1
31-May-16 12:00:00 AM;19;107;2186;16;1-1
31-May-16 12:00:00 AM;59;107;2421;17;1-1
31-May-16 12:00:00 AM;86;107;1615;13;1-1
31-May-16 12:00:00 AM;9;107;2272;17;1-1
31-May-16 12:00:00 AM;60;107;1907;19;1-4
31-May-16 12:00:00 AM;108;107;1262;26;2-1
31-May-16 12:00:00 AM;107;99;1860;10;2-1
31-May-16 12:00:00 AM;107;97;1645;28;2-1
31-May-16 12:00:00 AM;107;109;1635;4;2-1
31-May-16 12:00:00 AM;107;106;1410;16;2-1
31-May-16 12:00:00 AM;48;107;2292;14;1-4
31-May-16 12:00:00 AM;51;107;1775;17;1-1
31-May-16 12:00:00 AM;107;101;1842;21;2-7
