date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;2;108;1560;1;1-1
31-May-16 12:00:00 AM;37;108;2940;1;2-4
31-May-16 12:00:00 AM;1;108;2300;3;2-4
31-May-16 12:00:00 AM;41;108;1480;3;2-4
31-May-16 12:00:00 AM;4;108;840;1;2-4
31-May-16 12:00:00 AM;71;108;660;1;2-4
31-May-16 12:00:00 AM;85;108;3060;2;2-4
31-May-16 12:00:00 AM;82;108;2740;3;2-4
31-May-16 12:00:00 AM;65;108;1620;1;2-1
31-May-16 12:00:00 AM;72;108;1140;1;2-1
31-May-16 12:00:00 AM;23;108;1020;1;2-1
31-May-16 12:00:00 AM;47;108;900;1;1-1
31-May-16 12:00:00 AM;53;108;120;1;1-1
31-May-16 12:00:00 AM;6;108;3120;1;2-1
31-May-16 12:00:00 AM;8;108;2940;1;2-1
31-May-16 12:00:00 AM;87;108;2880;1;2-4
31-May-16 12:00:00 AM;66;108;2760;1;2-1
31-May-16 12:00:00 AM;49;108;2700;1;2-1
31-May-16 12:00:00 AM;55;108;2520;1;2-1
31-May-16 12:00:00 AM;22;108;2220;3;2-4
31-May-16 12:00:00 AM;61;108;2040;1;2-1
31-May-16 12:00:00 AM;46;108;1500;1;2-6
31-May-16 12:00:00 AM;30;108;1440;1;2-6
31-May-16 12:00:00 AM;96;108;1650;8;2-4
31-May-16 12:00:00 AM;97;108;1965;8;2-4
31-May-16 12:00:00 AM;99;108;1260;1;1-1
31-May-16 12:00:00 AM;98;108;1500;7;2-4
31-May-16 12:00:00 AM;100;108;1550;6;2-4
31-May-16 12:00:00 AM;101;108;1215;8;2-4
31-May-16 12:00:00 AM;102;108;840;10;2-4
31-May-16 12:00:00 AM;13;108;720;1;2-6
31-May-16 12:00:00 AM;103;108;1627;8;2-4
31-May-16 12:00:00 AM;14;108;660;1;2-6
31-May-16 12:00:00 AM;74;108;1470;2;2-1
31-May-16 12:00:00 AM;31;108;1410;2;2-1
31-May-16 12:00:00 AM;21;108;420;1;2-6
31-May-16 12:00:00 AM;104;108;1530;8;2-4
31-May-16 12:00:00 AM;56;108;1770;2;2-1
31-May-16 12:00:00 AM;67;108;870;4;2-1
31-May-16 12:00:00 AM;105;108;1340;6;2-4
31-May-16 12:00:00 AM;9;108;300;1;2-6
31-May-16 12:00:00 AM;69;108;180;1;2-6
