date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;2;109;1905;24;1-1
31-May-16 12:00:00 AM;1;109;1670;72;1-1
31-May-16 12:00:00 AM;4;109;1340;44;2-4
31-May-16 12:00:00 AM;71;109;1563;37;2-4
31-May-16 12:00:00 AM;35;109;1500;24;1-1
31-May-16 12:00:00 AM;25;109;2005;24;1-1
31-May-16 12:00:00 AM;40;109;1749;59;1-1
31-May-16 12:00:00 AM;42;109;2067;78;1-1
31-May-16 12:00:00 AM;90;109;1833;75;1-1
31-May-16 12:00:00 AM;47;109;1667;29;1-1
31-May-16 12:00:00 AM;53;109;1793;28;1-1
31-May-16 12:00:00 AM;45;109;1785;24;1-1
31-May-16 12:00:00 AM;99;109;1425;54;1-1
31-May-16 12:00:00 AM;96;109;1442;24;2-4
31-May-16 12:00:00 AM;101;109;1651;17;2-4
31-May-16 12:00:00 AM;103;109;1623;18;2-4
31-May-16 12:00:00 AM;5;109;2152;57;1-1
31-May-16 12:00:00 AM;109;109;954;106;1-1
31-May-16 12:00:00 AM;109;58;1586;27;1-1
31-May-16 12:00:00 AM;109;7;1324;27;1-1
31-May-16 12:00:00 AM;109;62;1672;15;1-1
31-May-16 12:00:00 AM;109;17;1057;27;1-1
31-May-16 12:00:00 AM;109;69;2045;36;1-1
31-May-16 12:00:00 AM;109;61;1622;27;1-1
31-May-16 12:00:00 AM;109;49;1306;27;1-1
31-May-16 12:00:00 AM;109;68;2070;39;1-1
31-May-16 12:00:00 AM;109;21;1568;27;1-1
31-May-16 12:00:00 AM;109;26;1428;27;1-1
31-May-16 12:00:00 AM;109;24;1886;27;1-1
31-May-16 12:00:00 AM;109;67;1375;54;1-1
31-May-16 12:00:00 AM;109;65;1757;27;1-1
31-May-16 12:00:00 AM;109;29;1504;27;1-1
31-May-16 12:00:00 AM;109;8;1551;27;1-1
31-May-16 12:00:00 AM;109;27;2173;27;1-1
31-May-16 12:00:00 AM;109;15;1937;27;1-1
31-May-16 12:00:00 AM;109;75;1680;27;1-1
31-May-16 12:00:00 AM;109;87;1823;23;1-1
31-May-16 12:00:00 AM;109;89;1834;19;1-1
31-May-16 12:00:00 AM;109;28;1748;27;1-1
31-May-16 12:00:00 AM;109;20;2004;27;1-1
31-May-16 12:00:00 AM;109;12;1102;27;1-1
31-May-16 12:00:00 AM;109;85;2305;24;1-1
31-May-16 12:00:00 AM;109;10;1682;27;1-1
31-May-16 12:00:00 AM;109;30;1502;27;1-1
31-May-16 12:00:00 AM;109;46;1782;27;1-1
31-May-16 12:00:00 AM;109;13;1813;27;1-1
31-May-16 12:00:00 AM;109;82;1925;23;1-1
31-May-16 12:00:00 AM;109;22;2213;39;1-1
31-May-16 12:00:00 AM;109;18;1673;27;1-1
31-May-16 12:00:00 AM;109;54;1771;27;1-1
31-May-16 12:00:00 AM;109;14;2082;27;1-1
31-May-16 12:00:00 AM;109;34;1181;23;1-1
31-May-16 12:00:00 AM;109;84;2160;23;1-1
31-May-16 12:00:00 AM;109;36;1582;19;1-1
31-May-16 12:00:00 AM;109;37;2257;19;1-1
31-May-16 12:00:00 AM;109;88;2207;19;1-1
31-May-16 12:00:00 AM;109;64;1254;30;1-1
31-May-16 12:00:00 AM;109;92;2265;20;1-1
31-May-16 12:00:00 AM;109;93;2124;27;1-1
31-May-16 12:00:00 AM;109;16;1913;27;1-1
31-May-16 12:00:00 AM;109;57;1615;27;1-1
31-May-16 12:00:00 AM;109;78;2620;27;1-1
31-May-16 12:00:00 AM;109;81;2698;34;1-1
31-May-16 12:00:00 AM;109;83;2613;27;1-1
31-May-16 12:00:00 AM;109;70;1798;39;1-1
31-May-16 12:00:00 AM;109;80;2315;27;1-1
31-May-16 12:00:00 AM;109;77;1781;33;1-1
31-May-16 12:00:00 AM;109;31;1475;27;1-1
31-May-16 12:00:00 AM;109;6;1671;27;1-1
31-May-16 12:00:00 AM;109;52;1975;27;1-1
31-May-16 12:00:00 AM;109;94;1691;27;1-1
31-May-16 12:00:00 AM;109;79;2375;27;1-1
31-May-16 12:00:00 AM;109;32;1722;27;1-1
31-May-16 12:00:00 AM;109;74;2284;27;1-1
31-May-16 12:00:00 AM;109;76;2560;27;1-1
31-May-16 12:00:00 AM;109;73;1662;24;1-1
31-May-16 12:00:00 AM;109;91;1477;24;1-1
31-May-16 12:00:00 AM;109;59;2117;27;1-1
31-May-16 12:00:00 AM;109;19;2033;27;1-1
31-May-16 12:00:00 AM;109;66;2231;27;1-1
31-May-16 12:00:00 AM;109;44;1775;27;1-1
31-May-16 12:00:00 AM;109;9;2331;27;1-1
31-May-16 12:00:00 AM;109;23;1837;27;1-1
31-May-16 12:00:00 AM;109;86;1620;27;1-1
31-May-16 12:00:00 AM;109;60;1655;27;1-1
31-May-16 12:00:00 AM;109;72;1753;27;1-1
31-May-16 12:00:00 AM;106;109;1700;12;2-4
31-May-16 12:00:00 AM;109;11;1892;15;1-1
31-May-16 12:00:00 AM;109;41;1680;18;1-1
31-May-16 12:00:00 AM;109;63;2188;27;1-1
31-May-16 12:00:00 AM;109;48;2072;30;1-1
31-May-16 12:00:00 AM;109;56;1766;27;1-1
31-May-16 12:00:00 AM;109;55;1608;27;1-1
31-May-16 12:00:00 AM;109;33;1911;27;1-1
31-May-16 12:00:00 AM;109;51;1166;27;1-1
31-May-16 12:00:00 AM;109;50;1571;27;1-1
31-May-16 12:00:00 AM;109;95;2005;28;1-1
31-May-16 12:00:00 AM;109;3;1800;16;1-1
31-May-16 12:00:00 AM;109;38;1542;17;1-1
31-May-16 12:00:00 AM;109;43;1941;20;1-1
31-May-16 12:00:00 AM;58;109;1415;52;1-4
31-May-16 12:00:00 AM;7;109;1474;40;1-4
31-May-16 12:00:00 AM;17;109;1734;42;1-4
31-May-16 12:00:00 AM;62;109;1622;55;1-4
31-May-16 12:00:00 AM;69;109;1587;43;1-4
31-May-16 12:00:00 AM;61;109;2022;56;2-4
31-May-16 12:00:00 AM;68;109;2266;46;2-4
31-May-16 12:00:00 AM;49;109;1253;47;2-4
31-May-16 12:00:00 AM;21;109;1493;53;1-4
31-May-16 12:00:00 AM;26;109;1792;24;1-4
31-May-16 12:00:00 AM;24;109;1954;40;1-4
31-May-16 12:00:00 AM;67;109;1990;80;1-4
31-May-16 12:00:00 AM;65;109;1436;51;1-4
31-May-16 12:00:00 AM;8;109;1680;34;1-4
31-May-16 12:00:00 AM;29;109;2193;40;1-4
31-May-16 12:00:00 AM;27;109;2167;50;2-4
31-May-16 12:00:00 AM;15;109;1518;36;2-4
31-May-16 12:00:00 AM;75;109;1300;47;2-4
31-May-16 12:00:00 AM;89;109;2293;57;2-4
31-May-16 12:00:00 AM;87;109;1076;36;2-4
31-May-16 12:00:00 AM;20;109;2013;39;2-4
31-May-16 12:00:00 AM;12;109;1048;19;2-4
31-May-16 12:00:00 AM;28;109;1154;49;2-4
31-May-16 12:00:00 AM;85;109;1909;46;2-4
31-May-16 12:00:00 AM;10;109;1673;45;2-4
31-May-16 12:00:00 AM;46;109;1421;43;1-4
31-May-16 12:00:00 AM;30;109;2020;33;1-4
31-May-16 12:00:00 AM;13;109;1912;42;1-4
31-May-16 12:00:00 AM;34;109;2246;56;2-4
31-May-16 12:00:00 AM;14;109;1717;43;1-4
31-May-16 12:00:00 AM;82;109;1777;47;1-4
31-May-16 12:00:00 AM;88;109;2126;55;2-4
31-May-16 12:00:00 AM;54;109;1323;52;1-4
31-May-16 12:00:00 AM;64;109;1888;17;2-4
31-May-16 12:00:00 AM;18;109;1664;54;1-4
31-May-16 12:00:00 AM;92;109;2118;39;2-4
31-May-16 12:00:00 AM;22;109;1903;48;1-4
31-May-16 12:00:00 AM;36;109;2251;54;2-4
31-May-16 12:00:00 AM;93;109;2079;46;2-4
31-May-16 12:00:00 AM;37;109;1992;39;2-4
31-May-16 12:00:00 AM;84;109;2170;58;2-4
31-May-16 12:00:00 AM;16;109;1894;31;1-4
31-May-16 12:00:00 AM;78;109;2311;53;1-4
31-May-16 12:00:00 AM;81;109;2354;49;1-4
31-May-16 12:00:00 AM;57;109;1930;44;1-4
31-May-16 12:00:00 AM;83;109;2321;39;1-4
31-May-16 12:00:00 AM;80;109;2199;46;1-4
31-May-16 12:00:00 AM;77;109;2154;40;1-4
31-May-16 12:00:00 AM;70;109;1665;55;1-4
31-May-16 12:00:00 AM;52;109;1741;37;2-4
31-May-16 12:00:00 AM;31;109;1754;37;2-4
31-May-16 12:00:00 AM;79;109;2365;38;2-4
31-May-16 12:00:00 AM;94;109;1951;46;2-4
31-May-16 12:00:00 AM;6;109;1768;47;2-4
31-May-16 12:00:00 AM;76;109;1838;39;1-4
31-May-16 12:00:00 AM;74;109;1783;41;1-4
31-May-16 12:00:00 AM;32;109;1940;50;1-4
31-May-16 12:00:00 AM;59;109;1900;42;1-4
31-May-16 12:00:00 AM;19;109;1629;50;1-4
31-May-16 12:00:00 AM;66;109;2336;49;1-4
31-May-16 12:00:00 AM;9;109;1597;49;2-4
31-May-16 12:00:00 AM;44;109;1335;40;1-4
31-May-16 12:00:00 AM;23;109;2237;51;2-4
31-May-16 12:00:00 AM;86;109;2274;32;1-4
31-May-16 12:00:00 AM;60;109;1722;49;2-4
31-May-16 12:00:00 AM;72;109;1646;47;2-4
31-May-16 12:00:00 AM;11;109;2017;42;2-4
31-May-16 12:00:00 AM;63;109;1974;47;1-4
31-May-16 12:00:00 AM;41;109;1522;29;1-4
31-May-16 12:00:00 AM;48;109;1791;43;1-4
31-May-16 12:00:00 AM;56;109;2205;40;1-4
31-May-16 12:00:00 AM;55;109;1599;52;1-4
31-May-16 12:00:00 AM;50;109;1455;43;1-4
31-May-16 12:00:00 AM;51;109;1955;51;1-4
31-May-16 12:00:00 AM;102;109;1658;14;2-1
31-May-16 12:00:00 AM;107;109;1635;4;2-1
31-May-16 12:00:00 AM;98;109;1326;9;2-1
31-May-16 12:00:00 AM;100;109;1680;5;2-1
31-May-16 12:00:00 AM;97;109;1848;10;2-1
31-May-16 12:00:00 AM;95;109;1889;37;1-4
31-May-16 12:00:00 AM;3;109;1584;41;1-4
31-May-16 12:00:00 AM;109;106;1353;16;2-1
31-May-16 12:00:00 AM;38;109;2110;48;1-4
31-May-16 12:00:00 AM;109;99;1435;52;2-4
31-May-16 12:00:00 AM;43;109;1957;46;1-4
31-May-16 12:00:00 AM;109;71;1860;32;1-4
31-May-16 12:00:00 AM;109;39;1458;29;2-4
31-May-16 12:00:00 AM;39;109;1427;59;1-4
31-May-16 12:00:00 AM;109;4;2008;15;3-4
31-May-16 12:00:00 AM;104;109;1500;11;2-1
31-May-16 12:00:00 AM;108;109;1518;13;2-1
31-May-16 12:00:00 AM;109;98;1130;18;1-2
31-May-16 12:00:00 AM;109;102;1313;19;1-2
31-May-16 12:00:00 AM;109;96;1330;17;1-2
31-May-16 12:00:00 AM;109;101;1121;16;1-2
31-May-16 12:00:00 AM;109;100;1305;16;1-2
31-May-16 12:00:00 AM;109;97;1593;18;1-2
31-May-16 12:00:00 AM;109;105;690;12;2-1
31-May-16 12:00:00 AM;109;103;2205;12;1-4
31-May-16 12:00:00 AM;109;107;640;12;1-4
31-May-16 12:00:00 AM;109;5;2141;39;1-4
31-May-16 12:00:00 AM;109;1;1759;41;1-4
31-May-16 12:00:00 AM;109;47;1714;38;1-4
31-May-16 12:00:00 AM;109;53;1968;41;1-4
31-May-16 12:00:00 AM;109;90;1485;40;1-4
31-May-16 12:00:00 AM;109;40;1421;39;1-4
31-May-16 12:00:00 AM;109;42;1533;36;1-4
31-May-16 12:00:00 AM;109;35;1486;13;1-4
31-May-16 12:00:00 AM;109;108;1110;12;1-4
31-May-16 12:00:00 AM;109;104;1375;12;1-4
31-May-16 12:00:00 AM;105;109;1740;4;1-1
01-Jun-16 12:00:00 AM;91;109;2469;38;2-4
01-Jun-16 12:00:00 AM;73;109;2271;51;2-4
01-Jun-16 12:00:00 AM;33;109;1924;40;2-4
01-Jun-16 12:00:00 AM;109;2;972;5;1-1
01-Jun-16 12:00:00 AM;109;45;1692;5;1-1
01-Jun-16 12:00:00 AM;109;25;1992;5;1-1
