date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;1;10;1474;7;1-1
31-May-16 12:00:00 AM;2;10;900;3;1-1
31-May-16 12:00:00 AM;6;10;1717;16;2-4
31-May-16 12:00:00 AM;7;10;1976;16;2-4
31-May-16 12:00:00 AM;10;13;2100;13;2-4
31-May-16 12:00:00 AM;10;14;1435;14;2-4
31-May-16 12:00:00 AM;10;15;1205;11;2-4
31-May-16 12:00:00 AM;10;16;2157;24;2-4
31-May-16 12:00:00 AM;10;17;2206;9;2-4
31-May-16 12:00:00 AM;10;18;2688;10;2-4
31-May-16 12:00:00 AM;10;19;1620;25;2-4
31-May-16 12:00:00 AM;10;20;2008;17;2-4
31-May-16 12:00:00 AM;10;21;1928;7;2-4
31-May-16 12:00:00 AM;10;22;1938;10;2-4
31-May-16 12:00:00 AM;10;23;2004;10;2-4
31-May-16 12:00:00 AM;10;24;1596;13;2-4
31-May-16 12:00:00 AM;10;26;2286;9;2-4
31-May-16 12:00:00 AM;10;27;1097;7;2-4
31-May-16 12:00:00 AM;10;28;1891;17;2-4
31-May-16 12:00:00 AM;10;29;1455;12;2-4
31-May-16 12:00:00 AM;10;30;1920;11;2-4
31-May-16 12:00:00 AM;10;31;2160;26;2-4
31-May-16 12:00:00 AM;10;32;2031;22;2-4
31-May-16 12:00:00 AM;10;33;1800;11;2-4
31-May-16 12:00:00 AM;10;34;900;1;2-4
31-May-16 12:00:00 AM;10;36;3300;1;2-4
31-May-16 12:00:00 AM;10;39;2520;1;2-4
31-May-16 12:00:00 AM;10;40;2220;1;2-4
31-May-16 12:00:00 AM;10;41;2440;3;2-4
31-May-16 12:00:00 AM;10;42;2520;1;2-4
31-May-16 12:00:00 AM;10;43;1560;1;2-4
31-May-16 12:00:00 AM;10;44;1914;10;2-4
31-May-16 12:00:00 AM;10;37;2060;3;2-4
31-May-16 12:00:00 AM;10;38;120;1;2-4
31-May-16 12:00:00 AM;10;46;1854;10;2-4
31-May-16 12:00:00 AM;10;50;2029;11;2-4
31-May-16 12:00:00 AM;10;49;1855;12;2-4
31-May-16 12:00:00 AM;10;51;1340;21;2-4
31-May-16 12:00:00 AM;10;52;1963;11;2-4
31-May-16 12:00:00 AM;10;1;1300;3;2-4
31-May-16 12:00:00 AM;10;54;1575;12;2-4
31-May-16 12:00:00 AM;10;55;2154;11;2-4
31-May-16 12:00:00 AM;10;47;2022;10;2-4
31-May-16 12:00:00 AM;10;56;1471;23;2-4
31-May-16 12:00:00 AM;10;57;1630;12;2-4
31-May-16 12:00:00 AM;10;58;1460;12;2-4
31-May-16 12:00:00 AM;10;59;1789;23;2-4
31-May-16 12:00:00 AM;10;60;1754;21;2-4
31-May-16 12:00:00 AM;10;61;1849;11;2-4
31-May-16 12:00:00 AM;10;62;1684;13;2-4
31-May-16 12:00:00 AM;10;63;2070;10;2-4
31-May-16 12:00:00 AM;10;64;460;6;2-4
31-May-16 12:00:00 AM;10;65;2200;12;2-4
31-May-16 12:00:00 AM;10;66;1840;15;2-4
31-May-16 12:00:00 AM;10;67;690;24;2-4
31-May-16 12:00:00 AM;10;68;1134;21;2-4
31-May-16 12:00:00 AM;10;69;1990;12;2-4
31-May-16 12:00:00 AM;10;70;1608;10;2-4
31-May-16 12:00:00 AM;10;71;1305;4;2-4
31-May-16 12:00:00 AM;10;72;1696;11;2-4
31-May-16 12:00:00 AM;10;73;1800;1;2-4
31-May-16 12:00:00 AM;10;74;2033;9;2-4
31-May-16 12:00:00 AM;10;75;1950;10;2-4
31-May-16 12:00:00 AM;10;53;2136;5;2-4
31-May-16 12:00:00 AM;10;82;865;7;2-4
31-May-16 12:00:00 AM;10;83;2550;6;2-4
31-May-16 12:00:00 AM;10;80;2610;6;2-4
31-May-16 12:00:00 AM;10;78;2590;6;2-4
31-May-16 12:00:00 AM;10;76;2237;7;2-4
31-May-16 12:00:00 AM;10;79;2520;6;2-4
31-May-16 12:00:00 AM;10;77;1328;7;2-4
31-May-16 12:00:00 AM;10;84;1920;4;2-4
31-May-16 12:00:00 AM;10;85;940;6;2-4
31-May-16 12:00:00 AM;10;81;2650;6;2-4
31-May-16 12:00:00 AM;10;48;2080;9;2-4
31-May-16 12:00:00 AM;10;86;3210;4;2-4
31-May-16 12:00:00 AM;10;87;1666;9;2-4
31-May-16 12:00:00 AM;10;88;2640;1;2-4
31-May-16 12:00:00 AM;10;89;2640;1;2-4
31-May-16 12:00:00 AM;10;91;2640;1;2-4
31-May-16 12:00:00 AM;10;92;2640;1;2-4
31-May-16 12:00:00 AM;10;93;2640;1;2-4
31-May-16 12:00:00 AM;10;90;2700;1;2-4
31-May-16 12:00:00 AM;10;94;2485;7;2-4
31-May-16 12:00:00 AM;10;95;1760;6;2-4
31-May-16 12:00:00 AM;8;10;1740;14;2-1
31-May-16 12:00:00 AM;9;10;1506;9;2-1
31-May-16 12:00:00 AM;10;12;2340;13;2-1
31-May-16 12:00:00 AM;10;7;1932;15;2-1
31-May-16 12:00:00 AM;11;10;2149;11;2-1
31-May-16 12:00:00 AM;16;10;2256;23;2-1
31-May-16 12:00:00 AM;17;10;2070;10;2-1
31-May-16 12:00:00 AM;18;10;2569;11;2-1
31-May-16 12:00:00 AM;19;10;1565;24;2-1
31-May-16 12:00:00 AM;21;10;1800;8;2-1
31-May-16 12:00:00 AM;22;10;1840;12;2-1
31-May-16 12:00:00 AM;23;10;2065;14;2-1
31-May-16 12:00:00 AM;27;10;1097;7;2-1
31-May-16 12:00:00 AM;28;10;1878;19;2-1
