date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;1;11;1626;18;1-1
31-May-16 12:00:00 AM;2;11;1726;9;1-1
31-May-16 12:00:00 AM;5;11;968;7;1-1
31-May-16 12:00:00 AM;6;11;2090;38;1-1
31-May-16 12:00:00 AM;8;11;1808;37;1-1
31-May-16 12:00:00 AM;9;11;1354;31;1-1
31-May-16 12:00:00 AM;7;11;1984;25;1-1
31-May-16 12:00:00 AM;10;11;1596;35;1-1
31-May-16 12:00:00 AM;11;11;1498;80;1-1
31-May-16 12:00:00 AM;11;12;1600;42;1-1
31-May-16 12:00:00 AM;12;11;1576;37;1-1
31-May-16 12:00:00 AM;11;8;1670;33;1-4
31-May-16 12:00:00 AM;11;9;1371;29;1-4
31-May-16 12:00:00 AM;11;10;1458;33;1-4
31-May-16 12:00:00 AM;11;13;1187;37;2-4
31-May-16 12:00:00 AM;11;14;1580;47;2-4
31-May-16 12:00:00 AM;11;15;1586;45;2-4
31-May-16 12:00:00 AM;11;16;1841;36;2-4
31-May-16 12:00:00 AM;11;17;2128;34;2-4
31-May-16 12:00:00 AM;11;18;1530;37;2-4
31-May-16 12:00:00 AM;11;19;1727;33;2-4
31-May-16 12:00:00 AM;11;20;2061;33;2-4
31-May-16 12:00:00 AM;11;21;1920;24;2-4
31-May-16 12:00:00 AM;11;22;1478;22;2-4
31-May-16 12:00:00 AM;11;23;1756;22;2-4
31-May-16 12:00:00 AM;11;24;1865;43;2-4
31-May-16 12:00:00 AM;11;26;1483;32;2-4
31-May-16 12:00:00 AM;11;27;1304;30;2-4
31-May-16 12:00:00 AM;11;28;1620;35;2-4
31-May-16 12:00:00 AM;11;29;1940;32;2-4
31-May-16 12:00:00 AM;11;30;1771;25;2-4
31-May-16 12:00:00 AM;11;31;1607;34;2-4
31-May-16 12:00:00 AM;11;32;1688;35;2-4
31-May-16 12:00:00 AM;11;33;1700;33;2-4
31-May-16 12:00:00 AM;11;34;1855;12;2-4
31-May-16 12:00:00 AM;11;36;1721;13;2-4
31-May-16 12:00:00 AM;11;39;1538;14;2-4
31-May-16 12:00:00 AM;11;40;1118;11;2-4
31-May-16 12:00:00 AM;11;41;1266;10;2-4
31-May-16 12:00:00 AM;11;42;1347;11;2-4
31-May-16 12:00:00 AM;11;43;1345;14;2-4
31-May-16 12:00:00 AM;11;44;1865;36;2-4
31-May-16 12:00:00 AM;11;37;1877;7;2-4
31-May-16 12:00:00 AM;11;38;1915;14;2-4
31-May-16 12:00:00 AM;11;46;1535;29;2-4
31-May-16 12:00:00 AM;11;50;1860;32;2-4
31-May-16 12:00:00 AM;11;49;2079;32;2-4
31-May-16 12:00:00 AM;11;51;1680;33;2-4
31-May-16 12:00:00 AM;11;52;1869;38;2-4
31-May-16 12:00:00 AM;11;1;2019;20;2-4
31-May-16 12:00:00 AM;11;54;1524;32;2-4
31-May-16 12:00:00 AM;11;55;1743;32;2-4
31-May-16 12:00:00 AM;11;47;1548;27;2-4
31-May-16 12:00:00 AM;11;56;1609;35;2-4
31-May-16 12:00:00 AM;11;57;1667;37;2-4
31-May-16 12:00:00 AM;11;58;1970;39;2-4
31-May-16 12:00:00 AM;11;59;1634;29;2-4
31-May-16 12:00:00 AM;11;60;1384;38;2-4
31-May-16 12:00:00 AM;11;61;2047;32;2-4
31-May-16 12:00:00 AM;11;62;1660;31;2-4
31-May-16 12:00:00 AM;11;63;1760;54;2-4
31-May-16 12:00:00 AM;11;64;1434;10;2-4
31-May-16 12:00:00 AM;11;65;2079;20;2-4
31-May-16 12:00:00 AM;11;66;1731;28;2-4
31-May-16 12:00:00 AM;11;67;1507;84;2-4
31-May-16 12:00:00 AM;11;68;1913;29;2-4
31-May-16 12:00:00 AM;11;69;1609;35;2-4
31-May-16 12:00:00 AM;11;70;1904;35;2-4
31-May-16 12:00:00 AM;11;71;1043;13;2-4
31-May-16 12:00:00 AM;11;72;1525;28;2-4
31-May-16 12:00:00 AM;11;73;1296;5;2-4
31-May-16 12:00:00 AM;11;74;1929;39;2-4
31-May-16 12:00:00 AM;11;75;2007;35;2-4
31-May-16 12:00:00 AM;11;53;1322;26;2-4
31-May-16 12:00:00 AM;11;82;1385;12;2-4
31-May-16 12:00:00 AM;11;83;1953;25;2-4
31-May-16 12:00:00 AM;11;80;1704;27;2-4
31-May-16 12:00:00 AM;11;78;1643;26;2-4
31-May-16 12:00:00 AM;11;76;1934;17;2-4
31-May-16 12:00:00 AM;11;79;1973;27;2-4
31-May-16 12:00:00 AM;11;77;1693;26;2-4
