date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;1;12;1673;36;1-1
31-May-16 12:00:00 AM;2;12;1316;15;1-1
31-May-16 12:00:00 AM;5;12;795;12;1-1
31-May-16 12:00:00 AM;6;12;1352;51;1-1
31-May-16 12:00:00 AM;8;12;1642;40;1-1
31-May-16 12:00:00 AM;9;12;1344;40;1-1
31-May-16 12:00:00 AM;7;12;1672;38;1-1
31-May-16 12:00:00 AM;10;12;1672;40;1-1
31-May-16 12:00:00 AM;11;12;1600;42;1-1
31-May-16 12:00:00 AM;12;11;1576;37;1-1
31-May-16 12:00:00 AM;12;12;1135;101;1-1
31-May-16 12:00:00 AM;12;8;1553;37;1-4
31-May-16 12:00:00 AM;12;9;1399;25;1-4
31-May-16 12:00:00 AM;12;10;1471;40;1-4
31-May-16 12:00:00 AM;12;13;1548;36;2-4
31-May-16 12:00:00 AM;12;14;1691;42;2-4
31-May-16 12:00:00 AM;12;15;1394;42;2-4
31-May-16 12:00:00 AM;12;16;1561;44;2-4
31-May-16 12:00:00 AM;12;17;1889;33;2-4
31-May-16 12:00:00 AM;12;18;1716;43;2-4
31-May-16 12:00:00 AM;12;19;1553;36;2-4
31-May-16 12:00:00 AM;12;20;1800;30;2-4
31-May-16 12:00:00 AM;12;21;1545;21;2-4
31-May-16 12:00:00 AM;12;22;1871;27;2-4
31-May-16 12:00:00 AM;12;23;1795;26;2-4
31-May-16 12:00:00 AM;12;24;1757;37;2-4
31-May-16 12:00:00 AM;12;26;2010;32;2-4
31-May-16 12:00:00 AM;12;27;1527;20;2-4
31-May-16 12:00:00 AM;12;28;1641;40;2-4
31-May-16 12:00:00 AM;12;29;1750;41;2-4
31-May-16 12:00:00 AM;12;30;1712;24;2-4
31-May-16 12:00:00 AM;12;31;1545;32;2-4
31-May-16 12:00:00 AM;12;32;1716;38;2-4
31-May-16 12:00:00 AM;12;33;1593;39;2-4
31-May-16 12:00:00 AM;12;34;1365;12;2-4
31-May-16 12:00:00 AM;12;36;2465;11;2-4
31-May-16 12:00:00 AM;12;39;2066;9;2-4
31-May-16 12:00:00 AM;12;40;1846;9;2-4
31-May-16 12:00:00 AM;12;41;1110;10;2-4
31-May-16 12:00:00 AM;12;42;2160;9;2-4
31-May-16 12:00:00 AM;12;43;1390;11;2-4
31-May-16 12:00:00 AM;12;44;1492;46;2-4
31-May-16 12:00:00 AM;12;37;1585;14;2-4
31-May-16 12:00:00 AM;12;38;954;10;2-4
31-May-16 12:00:00 AM;12;46;1651;27;2-4
31-May-16 12:00:00 AM;12;50;1695;40;2-4
31-May-16 12:00:00 AM;12;49;1732;32;2-4
31-May-16 12:00:00 AM;12;51;1314;33;2-4
31-May-16 12:00:00 AM;12;52;1470;39;2-4
31-May-16 12:00:00 AM;12;1;1579;22;2-4
31-May-16 12:00:00 AM;12;54;1569;38;2-4
31-May-16 12:00:00 AM;12;55;1970;31;2-4
31-May-16 12:00:00 AM;12;47;1440;30;2-4
31-May-16 12:00:00 AM;12;56;1313;37;2-4
31-May-16 12:00:00 AM;12;57;1653;38;2-4
31-May-16 12:00:00 AM;12;58;1620;44;2-4
31-May-16 12:00:00 AM;12;59;1792;30;2-4
31-May-16 12:00:00 AM;12;60;1238;34;2-4
31-May-16 12:00:00 AM;12;61;1885;26;2-4
31-May-16 12:00:00 AM;12;62;1254;30;2-4
31-May-16 12:00:00 AM;12;63;1838;42;2-4
31-May-16 12:00:00 AM;12;64;1357;16;2-4
31-May-16 12:00:00 AM;12;65;1965;20;2-4
31-May-16 12:00:00 AM;12;66;1836;28;2-4
31-May-16 12:00:00 AM;12;67;1589;73;2-4
31-May-16 12:00:00 AM;12;68;1582;27;2-4
31-May-16 12:00:00 AM;12;69;1742;23;2-4
31-May-16 12:00:00 AM;12;70;1455;40;2-4
31-May-16 12:00:00 AM;12;71;1478;14;2-4
31-May-16 12:00:00 AM;12;72;2045;31;2-4
31-May-16 12:00:00 AM;12;73;1605;8;2-4
31-May-16 12:00:00 AM;12;74;1651;40;2-4
31-May-16 12:00:00 AM;12;75;1694;38;2-4
31-May-16 12:00:00 AM;12;53;1793;28;2-4
31-May-16 12:00:00 AM;12;82;988;15;2-4
31-May-16 12:00:00 AM;12;83;1966;27;2-4
31-May-16 12:00:00 AM;12;80;1769;31;2-4
31-May-16 12:00:00 AM;12;78;1886;27;2-4
31-May-16 12:00:00 AM;12;76;2121;20;2-4
31-May-16 12:00:00 AM;12;79;1846;32;2-4
31-May-16 12:00:00 AM;12;77;1506;28;2-4
31-May-16 12:00:00 AM;12;84;1181;13;2-4
31-May-16 12:00:00 AM;12;85;1317;22;2-4
31-May-16 12:00:00 AM;12;81;2083;33;2-4
31-May-16 12:00:00 AM;12;48;1931;27;2-4
31-May-16 12:00:00 AM;12;86;1054;14;2-4
31-May-16 12:00:00 AM;12;87;1210;18;2-4
31-May-16 12:00:00 AM;12;88;926;9;2-4
31-May-16 12:00:00 AM;12;89;2094;10;2-4
31-May-16 12:00:00 AM;12;91;1215;8;2-4
31-May-16 12:00:00 AM;12;92;840;12;2-4
31-May-16 12:00:00 AM;12;93;2010;12;2-4
31-May-16 12:00:00 AM;12;90;2100;6;2-4
31-May-16 12:00:00 AM;12;94;1424;34;2-4
31-May-16 12:00:00 AM;12;95;1828;17;2-4
31-May-16 12:00:00 AM;14;12;1271;46;2-7
