date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;1;13;1035;8;1-1
31-May-16 12:00:00 AM;2;13;1600;3;1-1
31-May-16 12:00:00 AM;6;13;1118;11;2-4
31-May-16 12:00:00 AM;7;13;1853;9;2-4
31-May-16 12:00:00 AM;13;15;802;8;1-1
31-May-16 12:00:00 AM;8;13;1278;10;2-4
31-May-16 12:00:00 AM;9;13;2058;10;2-4
31-May-16 12:00:00 AM;10;13;2100;13;2-4
31-May-16 12:00:00 AM;11;13;997;8;2-4
31-May-16 12:00:00 AM;12;13;1965;12;2-4
31-May-16 12:00:00 AM;13;21;1750;11;2-6
31-May-16 12:00:00 AM;13;27;1548;10;2-6
31-May-16 12:00:00 AM;13;30;1775;12;2-6
31-May-16 12:00:00 AM;13;46;1092;10;2-6
31-May-16 12:00:00 AM;13;69;1855;12;2-6
31-May-16 12:00:00 AM;13;67;1307;28;2-6
31-May-16 12:00:00 AM;16;13;1770;10;2-1
31-May-16 12:00:00 AM;17;13;1431;7;2-1
31-May-16 12:00:00 AM;18;13;1980;5;2-1
31-May-16 12:00:00 AM;19;13;1848;10;2-1
31-May-16 12:00:00 AM;21;13;1722;10;2-1
31-May-16 12:00:00 AM;22;13;2250;10;2-1
31-May-16 12:00:00 AM;23;13;1054;14;2-1
31-May-16 12:00:00 AM;27;13;1440;9;2-1
31-May-16 12:00:00 AM;28;13;1195;12;2-1
31-May-16 12:00:00 AM;31;13;1941;11;2-1
31-May-16 12:00:00 AM;44;13;780;9;2-1
31-May-16 12:00:00 AM;37;13;1860;3;2-4
31-May-16 12:00:00 AM;50;13;1687;8;2-1
31-May-16 12:00:00 AM;49;13;1400;9;2-1
31-May-16 12:00:00 AM;52;13;714;10;2-1
31-May-16 12:00:00 AM;55;13;1345;14;2-1
31-May-16 12:00:00 AM;57;13;1037;7;2-1
31-May-16 12:00:00 AM;58;13;1577;7;2-1
31-May-16 12:00:00 AM;60;13;1308;10;2-1
31-May-16 12:00:00 AM;61;13;1140;10;2-1
31-May-16 12:00:00 AM;62;13;1243;11;2-1
31-May-16 12:00:00 AM;63;13;1573;9;2-1
31-May-16 12:00:00 AM;65;13;932;15;2-1
31-May-16 12:00:00 AM;66;13;1056;13;2-1
31-May-16 12:00:00 AM;70;13;1095;12;2-1
31-May-16 12:00:00 AM;72;13;1428;10;2-1
31-May-16 12:00:00 AM;75;13;1422;7;2-1
31-May-16 12:00:00 AM;82;13;1730;12;2-1
31-May-16 12:00:00 AM;85;13;1615;12;2-1
31-May-16 12:00:00 AM;94;13;1596;5;2-7
31-May-16 12:00:00 AM;33;13;1440;6;2-1
31-May-16 12:00:00 AM;32;13;1698;13;2-1
31-May-16 12:00:00 AM;51;13;1905;12;2-1
31-May-16 12:00:00 AM;59;13;1525;12;2-1
31-May-16 12:00:00 AM;56;13;1206;10;2-1
31-May-16 12:00:00 AM;68;13;1313;9;2-1
31-May-16 12:00:00 AM;26;13;711;7;2-1
31-May-16 12:00:00 AM;29;13;1542;7;2-1
31-May-16 12:00:00 AM;20;13;1155;12;2-1
31-May-16 12:00:00 AM;24;13;805;12;2-1
31-May-16 12:00:00 AM;30;13;1775;12;2-1
31-May-16 12:00:00 AM;54;13;1350;4;2-1
31-May-16 12:00:00 AM;69;13;1854;11;2-1
31-May-16 12:00:00 AM;74;13;870;6;2-7
31-May-16 12:00:00 AM;25;13;270;2;1-1
31-May-16 12:00:00 AM;13;14;2025;12;2-6
31-May-16 12:00:00 AM;13;9;1975;14;2-6
31-May-16 12:00:00 AM;13;32;1760;12;2-6
31-May-16 12:00:00 AM;13;62;1243;11;2-6
31-May-16 12:00:00 AM;15;13;966;9;2-7
31-May-16 12:00:00 AM;14;13;1941;11;2-7
31-May-16 12:00:00 AM;45;13;2670;2;1-1
31-May-16 12:00:00 AM;46;13;1092;10;2-7
31-May-16 12:00:00 AM;13;61;960;8;2-7
31-May-16 12:00:00 AM;13;66;1780;6;2-7
31-May-16 12:00:00 AM;13;22;2710;6;2-7
31-May-16 12:00:00 AM;13;60;1346;9;2-7
31-May-16 12:00:00 AM;13;59;1525;12;2-7
31-May-16 12:00:00 AM;13;51;1905;12;2-7
31-May-16 12:00:00 AM;13;7;828;5;2-7
31-May-16 12:00:00 AM;13;68;1342;8;2-7
31-May-16 12:00:00 AM;13;56;1117;8;2-7
31-May-16 12:00:00 AM;13;16;1770;10;2-7
31-May-16 12:00:00 AM;13;72;1620;4;2-7
31-May-16 12:00:00 AM;13;19;1482;7;2-7
31-May-16 12:00:00 AM;13;31;1941;11;2-7
31-May-16 12:00:00 AM;13;23;1575;4;2-7
31-May-16 12:00:00 AM;13;41;1080;1;2-7
31-May-16 12:00:00 AM;41;13;1734;10;2-4
31-May-16 12:00:00 AM;13;49;1208;7;2-6
31-May-16 12:00:00 AM;13;6;1056;10;2-6
31-May-16 12:00:00 AM;13;28;1290;10;2-6
31-May-16 12:00:00 AM;13;12;1892;13;2-6
31-May-16 12:00:00 AM;13;52;714;10;2-6
31-May-16 12:00:00 AM;13;18;2376;5;2-6
31-May-16 12:00:00 AM;13;10;1770;6;2-6
31-May-16 12:00:00 AM;13;11;900;7;2-1
31-May-16 12:00:00 AM;13;77;2220;1;2-1
31-May-16 12:00:00 AM;13;87;1740;4;2-1
31-May-16 12:00:00 AM;3;13;1810;6;2-4
31-May-16 12:00:00 AM;13;63;1573;9;2-6
31-May-16 12:00:00 AM;13;24;805;12;2-6
31-May-16 12:00:00 AM;84;13;2140;3;2-4
31-May-16 12:00:00 AM;87;13;2340;2;1-4
31-May-16 12:00:00 AM;35;13;3480;1;1-2
31-May-16 12:00:00 AM;76;13;2500;3;2-4
31-May-16 12:00:00 AM;78;13;3300;2;1-4
31-May-16 12:00:00 AM;79;13;1956;5;1-4
31-May-16 12:00:00 AM;83;13;3300;2;1-4
31-May-16 12:00:00 AM;47;13;2200;3;1-1
31-May-16 12:00:00 AM;80;13;3000;3;1-4
31-May-16 12:00:00 AM;81;13;2940;3;1-4
31-May-16 12:00:00 AM;4;13;2160;3;2-4
31-May-16 12:00:00 AM;71;13;2940;2;2-4
31-May-16 12:00:00 AM;67;13;1236;26;1-4
31-May-16 12:00:00 AM;13;58;1577;7;1-4
31-May-16 12:00:00 AM;13;33;1440;6;1-4
31-May-16 12:00:00 AM;13;5;840;2;1-4
31-May-16 12:00:00 AM;13;85;1140;2;1-4
31-May-16 12:00:00 AM;13;82;1140;2;1-4
31-May-16 12:00:00 AM;13;84;1140;2;1-4
31-May-16 12:00:00 AM;13;48;1500;3;1-4
31-May-16 12:00:00 AM;13;55;1217;7;1-4
31-May-16 12:00:00 AM;13;8;1830;6;1-4
31-May-16 12:00:00 AM;13;70;1740;2;1-4
31-May-16 12:00:00 AM;13;20;1156;11;1-4
31-May-16 12:00:00 AM;13;95;1680;4;1-4
31-May-16 12:00:00 AM;13;57;2340;2;1-4
31-May-16 12:00:00 AM;13;44;780;9;1-4
31-May-16 12:00:00 AM;13;74;1700;3;1-4
31-May-16 12:00:00 AM;13;54;2520;2;1-4
31-May-16 12:00:00 AM;13;65;826;13;1-4
31-May-16 12:00:00 AM;13;26;1780;3;1-4
31-May-16 12:00:00 AM;13;78;2760;1;1-1
31-May-16 12:00:00 AM;13;80;2700;1;1-1
31-May-16 12:00:00 AM;13;76;2760;1;1-1
31-May-16 12:00:00 AM;13;79;2580;1;1-1
31-May-16 12:00:00 AM;13;83;2760;1;1-1
31-May-16 12:00:00 AM;13;94;1596;5;1-1
31-May-16 12:00:00 AM;13;81;2640;1;1-1
