date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;1;14;862;8;1-1
31-May-16 12:00:00 AM;2;14;1500;3;1-1
31-May-16 12:00:00 AM;6;14;1375;14;2-4
31-May-16 12:00:00 AM;7;14;1560;11;2-4
31-May-16 12:00:00 AM;14;15;1080;11;1-1
31-May-16 12:00:00 AM;8;14;1329;13;2-4
31-May-16 12:00:00 AM;9;14;1152;10;2-4
31-May-16 12:00:00 AM;10;14;1435;14;2-4
31-May-16 12:00:00 AM;11;14;1452;14;2-4
31-May-16 12:00:00 AM;12;14;1521;14;2-4
31-May-16 12:00:00 AM;14;17;1209;13;2-7
31-May-16 12:00:00 AM;14;18;1638;13;2-7
31-May-16 12:00:00 AM;14;24;1517;14;2-7
31-May-16 12:00:00 AM;14;26;1200;13;2-7
31-May-16 12:00:00 AM;14;29;1705;14;2-7
31-May-16 12:00:00 AM;14;33;1105;12;2-7
31-May-16 12:00:00 AM;14;44;1345;12;2-7
31-May-16 12:00:00 AM;14;50;1033;13;2-7
31-May-16 12:00:00 AM;14;52;1208;14;2-7
31-May-16 12:00:00 AM;14;54;1555;12;2-7
31-May-16 12:00:00 AM;14;47;1770;4;2-7
31-May-16 12:00:00 AM;14;57;960;9;2-7
31-May-16 12:00:00 AM;14;58;2183;13;2-7
31-May-16 12:00:00 AM;14;63;1036;18;2-7
31-May-16 12:00:00 AM;14;67;1320;30;2-7
31-May-16 12:00:00 AM;14;70;1686;9;2-7
31-May-16 12:00:00 AM;14;74;1412;13;2-7
31-May-16 12:00:00 AM;14;75;1625;12;2-7
31-May-16 12:00:00 AM;14;53;1950;2;2-7
31-May-16 12:00:00 AM;14;83;1030;6;2-7
31-May-16 12:00:00 AM;14;80;1020;6;2-7
31-May-16 12:00:00 AM;14;78;1010;6;2-7
31-May-16 12:00:00 AM;14;76;1000;6;2-7
31-May-16 12:00:00 AM;14;79;1070;6;2-7
31-May-16 12:00:00 AM;14;77;1387;8;2-7
31-May-16 12:00:00 AM;14;85;1585;7;2-7
31-May-16 12:00:00 AM;14;81;1010;6;2-7
31-May-16 12:00:00 AM;14;94;1432;8;2-7
31-May-16 12:00:00 AM;14;48;2440;3;2-7
31-May-16 12:00:00 AM;14;12;1592;15;2-7
31-May-16 12:00:00 AM;18;14;1638;13;2-1
31-May-16 12:00:00 AM;22;14;1536;13;2-1
31-May-16 12:00:00 AM;23;14;2132;15;2-1
31-May-16 12:00:00 AM;37;14;1590;2;2-4
31-May-16 12:00:00 AM;49;14;1932;14;2-1
31-May-16 12:00:00 AM;55;14;1401;14;2-1
31-May-16 12:00:00 AM;57;14;960;9;2-1
31-May-16 12:00:00 AM;61;14;1088;14;2-1
31-May-16 12:00:00 AM;62;14;1517;14;2-1
31-May-16 12:00:00 AM;65;14;1602;17;2-1
31-May-16 12:00:00 AM;66;14;1357;16;2-1
31-May-16 12:00:00 AM;67;14;1255;28;2-6
31-May-16 12:00:00 AM;72;14;2022;14;2-1
31-May-16 12:00:00 AM;82;14;1860;13;2-1
31-May-16 12:00:00 AM;85;14;1585;7;2-1
31-May-16 12:00:00 AM;46;14;1863;17;2-6
31-May-16 12:00:00 AM;25;14;1920;2;1-1
31-May-16 12:00:00 AM;28;14;900;12;2-1
31-May-16 12:00:00 AM;75;14;1625;12;2-1
31-May-16 12:00:00 AM;52;14;1208;14;2-1
31-May-16 12:00:00 AM;31;14;1832;11;2-1
31-May-16 12:00:00 AM;70;14;1686;9;2-1
31-May-16 12:00:00 AM;16;14;1288;15;2-1
31-May-16 12:00:00 AM;69;14;1581;17;2-6
31-May-16 12:00:00 AM;17;14;1209;13;2-1
31-May-16 12:00:00 AM;13;14;2025;12;2-6
31-May-16 12:00:00 AM;44;14;1161;11;2-1
31-May-16 12:00:00 AM;60;14;835;13;2-1
31-May-16 12:00:00 AM;30;14;1440;12;2-6
31-May-16 12:00:00 AM;63;14;1087;17;2-1
31-May-16 12:00:00 AM;21;14;1175;12;2-6
31-May-16 12:00:00 AM;15;14;1080;11;2-7
31-May-16 12:00:00 AM;14;9;1325;12;2-6
31-May-16 12:00:00 AM;27;14;2072;11;2-6
31-May-16 12:00:00 AM;14;11;1135;13;2-1
31-May-16 12:00:00 AM;14;32;1328;14;2-6
31-May-16 12:00:00 AM;14;62;1517;14;2-6
31-May-16 12:00:00 AM;14;60;820;12;2-6
31-May-16 12:00:00 AM;14;31;1941;11;2-6
31-May-16 12:00:00 AM;14;51;995;12;2-6
31-May-16 12:00:00 AM;14;68;872;13;2-6
31-May-16 12:00:00 AM;14;49;1984;14;2-6
31-May-16 12:00:00 AM;14;59;1101;11;2-6
31-May-16 12:00:00 AM;14;6;1270;11;2-6
31-May-16 12:00:00 AM;14;28;916;11;2-6
31-May-16 12:00:00 AM;14;7;1210;12;2-6
31-May-16 12:00:00 AM;14;22;1632;10;2-6
31-May-16 12:00:00 AM;14;61;1085;12;2-6
31-May-16 12:00:00 AM;14;10;1532;15;2-6
31-May-16 12:00:00 AM;14;21;1175;12;2-7
31-May-16 12:00:00 AM;14;20;2460;7;2-7
31-May-16 12:00:00 AM;14;55;1385;11;2-7
31-May-16 12:00:00 AM;14;46;2060;15;2-7
31-May-16 12:00:00 AM;14;8;1395;12;2-7
31-May-16 12:00:00 AM;14;65;1615;14;2-7
31-May-16 12:00:00 AM;14;13;1941;11;2-7
31-May-16 12:00:00 AM;14;66;1560;6;2-7
31-May-16 12:00:00 AM;14;27;2072;11;2-7
31-May-16 12:00:00 AM;14;56;840;10;2-7
31-May-16 12:00:00 AM;14;16;1288;15;2-7
31-May-16 12:00:00 AM;14;72;1812;10;2-7
31-May-16 12:00:00 AM;14;19;889;11;2-7
31-May-16 12:00:00 AM;14;23;1728;10;2-7
31-May-16 12:00:00 AM;14;41;2280;6;2-7
31-May-16 12:00:00 AM;14;69;1581;17;2-7
31-May-16 12:00:00 AM;45;14;2520;2;1-1
31-May-16 12:00:00 AM;20;14;2302;8;2-1
31-May-16 12:00:00 AM;32;14;1308;15;2-1
31-May-16 12:00:00 AM;41;14;2280;6;2-4
31-May-16 12:00:00 AM;56;14;672;10;2-1
31-May-16 12:00:00 AM;19;14;830;12;2-1
31-May-16 12:00:00 AM;51;14;995;12;2-1
31-May-16 12:00:00 AM;68;14;891;14;2-1
31-May-16 12:00:00 AM;59;14;1101;11;2-1
31-May-16 12:00:00 AM;14;30;1520;9;2-1
31-May-16 12:00:00 AM;14;87;1485;4;2-1
31-May-16 12:00:00 AM;3;14;1568;7;2-4
31-May-16 12:00:00 AM;50;14;1033;13;2-6
31-May-16 12:00:00 AM;71;14;2940;3;1-2
31-May-16 12:00:00 AM;84;14;2040;3;2-4
31-May-16 12:00:00 AM;24;14;1517;14;2-6
31-May-16 12:00:00 AM;87;14;1280;3;1-4
31-May-16 12:00:00 AM;4;14;2220;3;1-2
31-May-16 12:00:00 AM;26;14;1200;13;1-4
31-May-16 12:00:00 AM;74;14;1265;12;1-4
31-May-16 12:00:00 AM;77;14;1465;7;1-1
31-May-16 12:00:00 AM;35;14;3000;1;1-2
31-May-16 12:00:00 AM;14;64;840;2;1-2
31-May-16 12:00:00 AM;14;95;3030;2;1-2
31-May-16 12:00:00 AM;94;14;1776;5;2-4
31-May-16 12:00:00 AM;76;14;1380;3;2-4
31-May-16 12:00:00 AM;78;14;2880;2;1-4
31-May-16 12:00:00 AM;79;14;2880;2;1-4
31-May-16 12:00:00 AM;83;14;2880;2;1-4
31-May-16 12:00:00 AM;80;14;2700;2;1-4
31-May-16 12:00:00 AM;81;14;2640;2;1-4
31-May-16 12:00:00 AM;29;14;1601;13;1-4
31-May-16 12:00:00 AM;58;14;2183;13;1-4
31-May-16 12:00:00 AM;33;14;2000;3;1-1
31-May-16 12:00:00 AM;48;14;2440;3;2-4
31-May-16 12:00:00 AM;95;14;3030;2;2-4
31-May-16 12:00:00 AM;14;86;720;1;2-4
31-May-16 12:00:00 AM;54;14;1555;12;2-6
31-May-16 12:00:00 AM;14;102;1900;3;2-6
31-May-16 12:00:00 AM;96;14;3510;2;2-4
31-May-16 12:00:00 AM;14;97;2550;2;2-1
31-May-16 12:00:00 AM;14;98;2370;2;2-1
31-May-16 12:00:00 AM;14;100;2370;2;2-1
31-May-16 12:00:00 AM;14;101;3180;2;2-1
31-May-16 12:00:00 AM;14;103;1740;2;2-1
31-May-16 12:00:00 AM;97;14;2820;3;2-4
31-May-16 12:00:00 AM;98;14;2660;3;2-4
31-May-16 12:00:00 AM;100;14;2640;3;2-4
31-May-16 12:00:00 AM;101;14;3180;2;2-4
31-May-16 12:00:00 AM;102;14;1900;3;2-4
31-May-16 12:00:00 AM;103;14;1740;2;2-4
31-May-16 12:00:00 AM;14;104;540;1;2-6
31-May-16 12:00:00 AM;14;106;1500;1;2-6
31-May-16 12:00:00 AM;14;108;660;1;2-6
31-May-16 12:00:00 AM;14;105;660;1;2-7
31-May-16 12:00:00 AM;14;107;960;1;2-7
31-May-16 12:00:00 AM;104;14;2730;2;2-4
31-May-16 12:00:00 AM;105;14;2670;2;2-4
31-May-16 12:00:00 AM;106;14;2430;2;2-4
31-May-16 12:00:00 AM;107;14;2310;2;2-4
31-May-16 12:00:00 AM;108;14;2070;2;2-4
