date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;1;17;1440;8;1-1
31-May-16 12:00:00 AM;2;17;600;3;1-1
31-May-16 12:00:00 AM;6;17;1554;10;2-4
31-May-16 12:00:00 AM;7;17;2190;8;2-4
31-May-16 12:00:00 AM;8;17;1710;10;2-4
31-May-16 12:00:00 AM;9;17;1550;6;2-4
31-May-16 12:00:00 AM;10;17;2206;9;2-4
31-May-16 12:00:00 AM;11;17;2245;7;2-4
31-May-16 12:00:00 AM;12;17;1548;10;2-4
31-May-16 12:00:00 AM;14;17;1209;13;2-7
31-May-16 12:00:00 AM;15;17;1936;11;2-7
31-May-16 12:00:00 AM;17;18;1882;8;2-4
31-May-16 12:00:00 AM;17;19;1140;7;2-4
31-May-16 12:00:00 AM;17;20;2436;5;2-4
31-May-16 12:00:00 AM;17;21;2352;5;2-4
31-May-16 12:00:00 AM;17;22;2040;6;2-4
31-May-16 12:00:00 AM;17;23;1560;5;2-4
31-May-16 12:00:00 AM;17;24;1298;11;2-4
31-May-16 12:00:00 AM;17;26;1234;7;2-4
31-May-16 12:00:00 AM;17;27;1500;5;2-4
31-May-16 12:00:00 AM;17;28;1714;7;2-4
31-May-16 12:00:00 AM;17;29;1969;11;2-4
31-May-16 12:00:00 AM;17;30;2048;7;2-4
31-May-16 12:00:00 AM;17;31;1987;8;2-4
31-May-16 12:00:00 AM;17;32;1345;7;2-4
31-May-16 12:00:00 AM;17;33;1025;11;2-4
31-May-16 12:00:00 AM;17;34;660;1;2-4
31-May-16 12:00:00 AM;17;36;3060;1;2-4
31-May-16 12:00:00 AM;17;39;2280;1;2-4
31-May-16 12:00:00 AM;17;40;1980;1;2-4
31-May-16 12:00:00 AM;17;41;1884;5;2-4
31-May-16 12:00:00 AM;17;42;2280;1;2-4
31-May-16 12:00:00 AM;17;43;1320;1;2-4
31-May-16 12:00:00 AM;17;44;1536;10;2-4
31-May-16 12:00:00 AM;17;37;1605;4;2-4
