date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;1;18;1110;8;1-1
31-May-16 12:00:00 AM;2;18;480;3;1-1
31-May-16 12:00:00 AM;6;18;1878;10;2-4
31-May-16 12:00:00 AM;7;18;2720;9;2-4
31-May-16 12:00:00 AM;8;18;2047;8;2-4
31-May-16 12:00:00 AM;9;18;2475;8;2-4
31-May-16 12:00:00 AM;10;18;2688;10;2-4
31-May-16 12:00:00 AM;11;18;1962;7;2-4
31-May-16 12:00:00 AM;12;18;2607;11;2-4
31-May-16 12:00:00 AM;14;18;1638;13;2-7
31-May-16 12:00:00 AM;15;18;1818;13;2-7
31-May-16 12:00:00 AM;16;18;2262;10;2-4
31-May-16 12:00:00 AM;17;18;1882;8;2-4
31-May-16 12:00:00 AM;18;22;1785;4;2-4
31-May-16 12:00:00 AM;18;23;1950;8;2-4
31-May-16 12:00:00 AM;18;24;1302;14;2-4
31-May-16 12:00:00 AM;18;26;1652;13;2-4
31-May-16 12:00:00 AM;18;27;2064;5;2-4
31-May-16 12:00:00 AM;18;28;1941;11;2-4
31-May-16 12:00:00 AM;18;29;2160;13;2-4
31-May-16 12:00:00 AM;18;30;1937;7;2-4
31-May-16 12:00:00 AM;18;31;2350;6;2-4
31-May-16 12:00:00 AM;18;32;1302;7;2-4
31-May-16 12:00:00 AM;18;33;1120;12;2-4
31-May-16 12:00:00 AM;18;34;600;1;2-4
31-May-16 12:00:00 AM;18;36;3000;1;2-4
31-May-16 12:00:00 AM;18;39;2220;1;2-4
31-May-16 12:00:00 AM;18;40;1920;1;2-4
31-May-16 12:00:00 AM;18;41;1416;5;2-4
31-May-16 12:00:00 AM;18;42;2220;1;2-4
31-May-16 12:00:00 AM;18;43;1260;1;2-4
31-May-16 12:00:00 AM;18;44;1765;12;2-4
31-May-16 12:00:00 AM;18;37;2140;3;2-4
31-May-16 12:00:00 AM;18;38;3420;1;2-4
31-May-16 12:00:00 AM;18;46;1757;7;2-4
31-May-16 12:00:00 AM;18;50;1195;12;2-4
31-May-16 12:00:00 AM;18;49;1970;6;2-4
31-May-16 12:00:00 AM;18;51;1200;5;2-4
31-May-16 12:00:00 AM;18;52;1482;10;2-4
31-May-16 12:00:00 AM;18;1;1410;4;2-4
31-May-16 12:00:00 AM;18;54;1870;11;2-4
31-May-16 12:00:00 AM;18;55;2137;8;2-4
31-May-16 12:00:00 AM;18;47;1684;14;2-4
31-May-16 12:00:00 AM;18;56;1820;9;2-4
31-May-16 12:00:00 AM;18;57;1897;8;2-4
31-May-16 12:00:00 AM;18;58;2241;11;2-4
31-May-16 12:00:00 AM;18;59;1240;6;2-4
31-May-16 12:00:00 AM;18;60;1940;6;2-4
31-May-16 12:00:00 AM;18;61;2002;8;2-4
31-May-16 12:00:00 AM;18;62;2250;6;2-4
31-May-16 12:00:00 AM;18;63;1565;12;2-4
31-May-16 12:00:00 AM;18;64;1200;1;2-4
31-May-16 12:00:00 AM;18;65;2292;10;2-4
31-May-16 12:00:00 AM;18;66;1560;10;2-4
31-May-16 12:00:00 AM;18;67;1432;16;2-4
31-May-16 12:00:00 AM;18;68;1335;4;2-4
31-May-16 12:00:00 AM;18;69;1635;8;2-4
31-May-16 12:00:00 AM;18;70;1680;9;2-4
31-May-16 12:00:00 AM;18;71;1935;4;2-4
31-May-16 12:00:00 AM;18;72;1353;9;2-4
31-May-16 12:00:00 AM;18;73;1500;1;2-4
31-May-16 12:00:00 AM;18;74;1855;13;2-4
31-May-16 12:00:00 AM;18;75;1740;9;2-4
31-May-16 12:00:00 AM;18;53;1730;6;2-4
31-May-16 12:00:00 AM;18;82;756;5;2-4
31-May-16 12:00:00 AM;18;83;2017;8;2-4
31-May-16 12:00:00 AM;18;80;2062;8;2-4
31-May-16 12:00:00 AM;18;78;2047;8;2-4
31-May-16 12:00:00 AM;18;76;1900;9;2-4
31-May-16 12:00:00 AM;18;79;1813;9;2-4
31-May-16 12:00:00 AM;18;77;1370;6;2-4
31-May-16 12:00:00 AM;18;84;1710;4;2-4
31-May-16 12:00:00 AM;18;85;650;6;2-4
31-May-16 12:00:00 AM;18;81;2100;8;2-4
31-May-16 12:00:00 AM;18;48;1884;10;2-4
31-May-16 12:00:00 AM;18;86;2340;1;2-4
31-May-16 12:00:00 AM;18;87;1174;7;2-4
31-May-16 12:00:00 AM;18;88;2340;1;2-4
31-May-16 12:00:00 AM;18;89;2340;1;2-4
31-May-16 12:00:00 AM;18;91;2340;1;2-4
31-May-16 12:00:00 AM;18;92;2340;1;2-4
31-May-16 12:00:00 AM;18;93;2340;1;2-4
31-May-16 12:00:00 AM;18;90;2400;1;2-4
31-May-16 12:00:00 AM;18;94;1905;8;2-4
31-May-16 12:00:00 AM;18;95;1320;5;2-4
31-May-16 12:00:00 AM;18;12;1620;9;2-1
31-May-16 12:00:00 AM;18;7;2550;10;2-1
31-May-16 12:00:00 AM;18;20;2025;8;2-1
31-May-16 12:00:00 AM;18;10;2569;11;2-1
31-May-16 12:00:00 AM;18;13;1980;5;2-1
31-May-16 12:00:00 AM;18;21;1950;6;2-1
31-May-16 12:00:00 AM;18;15;1818;13;2-1
31-May-16 12:00:00 AM;18;16;2262;10;2-1
31-May-16 12:00:00 AM;18;17;1865;11;2-1
31-May-16 12:00:00 AM;18;9;1650;8;2-1
31-May-16 12:00:00 AM;18;19;1080;8;2-1
31-May-16 12:00:00 AM;18;14;1638;13;2-1
31-May-16 12:00:00 AM;22;18;2280;8;2-1
31-May-16 12:00:00 AM;23;18;1849;11;2-1
31-May-16 12:00:00 AM;49;18;1446;9;2-1
31-May-16 12:00:00 AM;55;18;2050;12;2-1
31-May-16 12:00:00 AM;61;18;1786;9;2-1
31-May-16 12:00:00 AM;65;18;1905;12;2-1
31-May-16 12:00:00 AM;66;18;1680;14;2-1
31-May-16 12:00:00 AM;72;18;1744;14;2-1
31-May-16 12:00:00 AM;82;18;1066;9;2-1
31-May-16 12:00:00 AM;85;18;1204;13;2-1
31-May-16 12:00:00 AM;94;18;1905;8;2-7
31-May-16 12:00:00 AM;74;18;1855;13;2-7
31-May-16 12:00:00 AM;25;18;330;2;1-1
31-May-16 12:00:00 AM;33;18;1120;12;2-7
31-May-16 12:00:00 AM;52;18;1352;11;2-1
31-May-16 12:00:00 AM;31;18;2355;4;2-1
31-May-16 12:00:00 AM;70;18;1732;16;2-1
31-May-16 12:00:00 AM;26;18;1652;13;2-7
31-May-16 12:00:00 AM;44;18;1750;12;2-1
31-May-16 12:00:00 AM;54;18;2010;14;2-7
31-May-16 12:00:00 AM;29;18;2160;13;2-7
31-May-16 12:00:00 AM;24;18;1447;16;2-7
31-May-16 12:00:00 AM;60;18;1940;6;2-1
