date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;1;19;1288;36;1-1
31-May-16 12:00:00 AM;2;19;1996;15;1-1
31-May-16 12:00:00 AM;7;19;1829;79;2-2
31-May-16 12:00:00 AM;6;19;1727;57;2-4
31-May-16 12:00:00 AM;8;19;1810;51;2-4
31-May-16 12:00:00 AM;10;19;1780;74;2-4
31-May-16 12:00:00 AM;9;19;1576;32;2-4
31-May-16 12:00:00 AM;11;19;1727;33;2-4
31-May-16 12:00:00 AM;12;19;1553;36;2-4
31-May-16 12:00:00 AM;16;19;1686;73;1-1
31-May-16 12:00:00 AM;17;19;1658;37;1-1
31-May-16 12:00:00 AM;18;19;1895;39;1-1
31-May-16 12:00:00 AM;19;19;1398;155;1-1
31-May-16 12:00:00 AM;19;20;1620;68;1-1
31-May-16 12:00:00 AM;21;19;1531;34;1-1
31-May-16 12:00:00 AM;19;18;1512;33;1-4
31-May-16 12:00:00 AM;19;21;1483;36;1-4
31-May-16 12:00:00 AM;20;19;1439;72;1-4
31-May-16 12:00:00 AM;19;22;1695;28;2-4
31-May-16 12:00:00 AM;19;23;1497;45;2-4
31-May-16 12:00:00 AM;19;24;1867;42;2-4
31-May-16 12:00:00 AM;19;26;1273;31;2-4
31-May-16 12:00:00 AM;19;27;1393;23;2-4
31-May-16 12:00:00 AM;19;28;1472;66;2-4
31-May-16 12:00:00 AM;19;29;1684;29;2-4
31-May-16 12:00:00 AM;19;30;1525;36;2-4
31-May-16 12:00:00 AM;19;31;1558;67;2-4
31-May-16 12:00:00 AM;19;32;1402;79;2-4
31-May-16 12:00:00 AM;19;33;1274;46;2-4
31-May-16 12:00:00 AM;19;34;1401;11;2-4
31-May-16 12:00:00 AM;19;36;1600;12;2-4
31-May-16 12:00:00 AM;19;39;1228;15;2-4
31-May-16 12:00:00 AM;19;40;2015;12;2-4
31-May-16 12:00:00 AM;19;41;1710;12;2-4
31-May-16 12:00:00 AM;19;42;2275;13;2-4
31-May-16 12:00:00 AM;19;43;1190;12;2-4
31-May-16 12:00:00 AM;19;44;1416;35;2-4
31-May-16 12:00:00 AM;19;37;1494;11;2-4
31-May-16 12:00:00 AM;19;38;3000;15;2-4
31-May-16 12:00:00 AM;19;46;1487;39;2-4
31-May-16 12:00:00 AM;19;50;1320;31;2-4
31-May-16 12:00:00 AM;19;49;1527;39;2-4
31-May-16 12:00:00 AM;19;51;1429;61;2-4
31-May-16 12:00:00 AM;19;52;1311;34;2-4
31-May-16 12:00:00 AM;19;1;1828;25;2-4
31-May-16 12:00:00 AM;19;54;1308;25;2-4
31-May-16 12:00:00 AM;19;55;1588;40;2-4
31-May-16 12:00:00 AM;19;47;1275;27;2-4
31-May-16 12:00:00 AM;19;56;1566;69;2-4
31-May-16 12:00:00 AM;19;57;1141;32;2-4
31-May-16 12:00:00 AM;19;58;1480;37;2-4
31-May-16 12:00:00 AM;19;59;1547;69;2-4
31-May-16 12:00:00 AM;19;60;1754;67;2-4
31-May-16 12:00:00 AM;19;61;1834;35;2-4
31-May-16 12:00:00 AM;19;62;1320;68;2-4
31-May-16 12:00:00 AM;19;63;1343;38;2-4
31-May-16 12:00:00 AM;19;64;1020;18;2-4
31-May-16 12:00:00 AM;19;65;1497;28;2-4
31-May-16 12:00:00 AM;19;66;1819;41;2-4
31-May-16 12:00:00 AM;19;67;1311;74;2-4
31-May-16 12:00:00 AM;19;68;1823;57;2-4
31-May-16 12:00:00 AM;19;69;1132;42;2-4
31-May-16 12:00:00 AM;19;70;1317;29;2-4
31-May-16 12:00:00 AM;19;71;985;14;2-4
31-May-16 12:00:00 AM;19;72;1664;35;2-4
31-May-16 12:00:00 AM;19;73;1997;7;2-4
31-May-16 12:00:00 AM;19;74;1352;28;2-4
31-May-16 12:00:00 AM;19;75;1288;32;2-4
31-May-16 12:00:00 AM;19;53;1285;19;2-4
31-May-16 12:00:00 AM;19;82;1503;19;2-4
31-May-16 12:00:00 AM;19;83;1908;15;2-4
31-May-16 12:00:00 AM;19;80;1650;18;2-4
31-May-16 12:00:00 AM;19;78;1608;20;2-4
31-May-16 12:00:00 AM;19;76;2113;13;2-4
31-May-16 12:00:00 AM;19;79;1920;17;2-4
31-May-16 12:00:00 AM;19;77;1863;16;2-4
31-May-16 12:00:00 AM;19;84;1461;11;2-4
31-May-16 12:00:00 AM;19;85;1157;17;2-4
31-May-16 12:00:00 AM;19;81;1640;21;2-4
31-May-16 12:00:00 AM;19;48;1564;26;2-4
31-May-16 12:00:00 AM;19;86;1356;10;2-4
31-May-16 12:00:00 AM;19;87;1428;16;2-4
31-May-16 12:00:00 AM;19;88;1525;7;2-4
31-May-16 12:00:00 AM;19;89;1097;7;2-4
31-May-16 12:00:00 AM;19;91;1500;7;2-4
31-May-16 12:00:00 AM;19;92;1750;11;2-4
31-May-16 12:00:00 AM;19;93;1667;14;2-4
31-May-16 12:00:00 AM;19;90;1645;7;2-4
31-May-16 12:00:00 AM;19;94;1557;21;2-4
