date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;1;2;1980;8;1-1
31-May-16 12:00:00 AM;2;1;1692;5;1-6
31-May-16 12:00:00 AM;1;3;1785;8;1-1
31-May-16 12:00:00 AM;1;4;2057;7;1-1
31-May-16 12:00:00 AM;1;5;2295;8;1-1
31-May-16 12:00:00 AM;1;6;822;7;1-1
31-May-16 12:00:00 AM;1;7;1725;8;1-1
31-May-16 12:00:00 AM;1;8;1162;8;1-1
31-May-16 12:00:00 AM;1;9;514;7;1-1
31-May-16 12:00:00 AM;1;10;1474;7;1-1
31-May-16 12:00:00 AM;1;11;1800;1;1-1
31-May-16 12:00:00 AM;1;12;1165;7;1-1
31-May-16 12:00:00 AM;1;13;1035;8;1-1
31-May-16 12:00:00 AM;1;14;862;8;1-1
31-May-16 12:00:00 AM;1;15;1825;7;1-1
31-May-16 12:00:00 AM;1;16;1140;8;1-1
31-May-16 12:00:00 AM;1;17;1440;8;1-1
31-May-16 12:00:00 AM;1;18;1110;8;1-1
31-May-16 12:00:00 AM;1;19;1642;8;1-1
31-May-16 12:00:00 AM;1;20;2742;7;1-1
31-May-16 12:00:00 AM;1;21;2415;8;1-1
31-May-16 12:00:00 AM;1;22;1697;14;1-1
31-May-16 12:00:00 AM;1;23;994;7;1-1
31-May-16 12:00:00 AM;1;24;2055;8;1-1
31-May-16 12:00:00 AM;1;25;2900;3;1-1
31-May-16 12:00:00 AM;1;26;697;8;1-1
31-May-16 12:00:00 AM;1;27;1791;7;1-1
31-May-16 12:00:00 AM;1;28;557;7;1-1
31-May-16 12:00:00 AM;1;29;1455;8;1-1
31-May-16 12:00:00 AM;1;30;894;10;1-1
31-May-16 12:00:00 AM;1;31;1337;7;1-1
31-May-16 12:00:00 AM;1;32;1170;8;1-1
31-May-16 12:00:00 AM;1;33;2012;11;1-1
31-May-16 12:00:00 AM;1;34;2100;7;1-1
31-May-16 12:00:00 AM;1;35;1320;2;1-1
31-May-16 12:00:00 AM;1;36;2305;7;1-1
31-May-16 12:00:00 AM;1;37;2700;1;1-1
31-May-16 12:00:00 AM;1;38;2730;2;1-1
31-May-16 12:00:00 AM;1;39;2640;1;1-1
31-May-16 12:00:00 AM;1;40;2640;1;1-1
31-May-16 12:00:00 AM;1;41;2060;3;1-1
31-May-16 12:00:00 AM;1;42;2640;1;1-1
31-May-16 12:00:00 AM;1;43;2700;2;1-1
31-May-16 12:00:00 AM;1;44;832;8;1-1
31-May-16 12:00:00 AM;1;45;1840;3;1-1
31-May-16 12:00:00 AM;1;46;967;8;1-1
31-May-16 12:00:00 AM;1;47;824;19;1-1
31-May-16 12:00:00 AM;1;48;1881;14;1-1
31-May-16 12:00:00 AM;1;49;1088;7;1-1
31-May-16 12:00:00 AM;1;50;1327;8;1-1
31-May-16 12:00:00 AM;1;51;2047;8;1-1
31-May-16 12:00:00 AM;1;52;1242;7;1-1
31-May-16 12:00:00 AM;1;53;935;12;1-1
31-May-16 12:00:00 AM;6;1;1140;3;2-4
31-May-16 12:00:00 AM;7;1;2025;4;2-4
31-May-16 12:00:00 AM;8;1;705;4;2-4
31-May-16 12:00:00 AM;9;1;1000;3;2-4
31-May-16 12:00:00 AM;10;1;1300;3;2-4
31-May-16 12:00:00 AM;11;1;1980;3;2-4
31-May-16 12:00:00 AM;12;1;1480;3;2-4
31-May-16 12:00:00 AM;16;1;1290;4;2-4
31-May-16 12:00:00 AM;17;1;1860;4;2-4
31-May-16 12:00:00 AM;18;1;1410;4;2-4
31-May-16 12:00:00 AM;19;1;1695;4;2-4
31-May-16 12:00:00 AM;20;1;1940;3;2-4
31-May-16 12:00:00 AM;21;1;1440;4;2-4
31-May-16 12:00:00 AM;22;1;1390;6;2-4
31-May-16 12:00:00 AM;23;1;1260;3;2-4
31-May-16 12:00:00 AM;24;1;840;4;2-4
31-May-16 12:00:00 AM;26;1;810;4;2-4
31-May-16 12:00:00 AM;27;1;1820;3;2-4
31-May-16 12:00:00 AM;28;1;1100;3;2-4
31-May-16 12:00:00 AM;29;1;1440;4;2-4
31-May-16 12:00:00 AM;30;1;1310;6;2-4
31-May-16 12:00:00 AM;31;1;1600;3;2-4
31-May-16 12:00:00 AM;32;1;1410;4;2-4
31-May-16 12:00:00 AM;33;1;1930;6;2-4
31-May-16 12:00:00 AM;36;1;2380;3;2-4
31-May-16 12:00:00 AM;39;1;1290;2;2-4
31-May-16 12:00:00 AM;40;1;1290;2;2-4
31-May-16 12:00:00 AM;42;1;1290;2;2-4
31-May-16 12:00:00 AM;43;1;2700;2;2-4
31-May-16 12:00:00 AM;44;1;1335;4;2-4
31-May-16 12:00:00 AM;37;1;1230;2;2-4
31-May-16 12:00:00 AM;38;1;2730;2;2-4
31-May-16 12:00:00 AM;46;1;1170;4;2-4
31-May-16 12:00:00 AM;50;1;1755;4;2-4
31-May-16 12:00:00 AM;49;1;1440;3;2-4
31-May-16 12:00:00 AM;51;1;2130;4;2-4
31-May-16 12:00:00 AM;52;1;1580;3;2-4
31-May-16 12:00:00 AM;1;54;746;9;2-4
31-May-16 12:00:00 AM;1;55;876;10;2-4
31-May-16 12:00:00 AM;1;56;780;10;2-4
31-May-16 12:00:00 AM;1;57;822;14;2-4
31-May-16 12:00:00 AM;1;58;1920;10;2-4
31-May-16 12:00:00 AM;1;59;942;10;2-4
31-May-16 12:00:00 AM;1;60;1173;9;2-4
31-May-16 12:00:00 AM;1;61;2086;9;2-4
31-May-16 12:00:00 AM;1;62;1965;4;2-4
31-May-16 12:00:00 AM;1;63;1170;10;2-4
31-May-16 12:00:00 AM;1;64;1388;7;2-4
31-May-16 12:00:00 AM;1;65;750;10;2-4
31-May-16 12:00:00 AM;1;66;2340;10;2-4
31-May-16 12:00:00 AM;1;67;1053;18;2-4
31-May-16 12:00:00 AM;1;68;1584;15;2-4
31-May-16 12:00:00 AM;1;69;1616;15;2-4
31-May-16 12:00:00 AM;55;1;952;8;1-4
31-May-16 12:00:00 AM;47;1;780;11;1-4
31-May-16 12:00:00 AM;76;1;720;3;1-1
31-May-16 12:00:00 AM;77;1;1020;5;1-1
31-May-16 12:00:00 AM;1;71;1162;8;2-4
31-May-16 12:00:00 AM;1;72;917;7;2-4
31-May-16 12:00:00 AM;1;73;880;3;2-4
31-May-16 12:00:00 AM;1;74;465;8;2-4
31-May-16 12:00:00 AM;1;75;968;7;2-4
31-May-16 12:00:00 AM;1;82;1782;10;2-4
31-May-16 12:00:00 AM;1;83;648;10;2-4
31-May-16 12:00:00 AM;1;80;654;10;2-4
31-May-16 12:00:00 AM;1;78;648;10;2-4
31-May-16 12:00:00 AM;1;76;720;3;2-4
31-May-16 12:00:00 AM;1;79;620;9;2-4
31-May-16 12:00:00 AM;1;77;1020;5;2-4
31-May-16 12:00:00 AM;1;84;2006;9;2-4
31-May-16 12:00:00 AM;1;85;1920;9;2-4
31-May-16 12:00:00 AM;1;81;720;10;2-4
31-May-16 12:00:00 AM;1;86;1092;10;2-4
31-May-16 12:00:00 AM;1;87;2258;14;2-4
31-May-16 12:00:00 AM;1;88;773;9;2-4
31-May-16 12:00:00 AM;1;89;940;3;2-4
31-May-16 12:00:00 AM;1;91;1068;5;2-4
31-May-16 12:00:00 AM;1;92;940;3;2-4
31-May-16 12:00:00 AM;1;93;940;3;2-4
31-May-16 12:00:00 AM;1;90;960;3;2-4
31-May-16 12:00:00 AM;1;94;933;9;2-4
31-May-16 12:00:00 AM;1;95;2184;10;2-4
31-May-16 12:00:00 AM;1;70;2108;7;2-4
31-May-16 12:00:00 AM;1;96;746;9;2-4
31-May-16 12:00:00 AM;1;97;1788;10;2-4
31-May-16 12:00:00 AM;1;98;1573;9;2-4
31-May-16 12:00:00 AM;1;100;1346;9;2-4
31-May-16 12:00:00 AM;1;101;1200;9;2-4
31-May-16 12:00:00 AM;1;102;1333;9;2-4
31-May-16 12:00:00 AM;1;103;1420;3;2-4
31-May-16 12:00:00 AM;1;104;1820;3;2-4
31-May-16 12:00:00 AM;1;105;1605;4;2-4
31-May-16 12:00:00 AM;1;106;1905;4;2-4
31-May-16 12:00:00 AM;1;107;2240;3;2-4
31-May-16 12:00:00 AM;1;108;2300;3;2-4
31-May-16 12:00:00 AM;1;99;1418;28;2-4
31-May-16 12:00:00 AM;1;109;1617;25;2-4
