date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;1;20;2742;7;1-1
31-May-16 12:00:00 AM;2;20;2160;3;1-1
31-May-16 12:00:00 AM;6;20;1746;10;2-4
31-May-16 12:00:00 AM;7;20;2198;14;2-4
31-May-16 12:00:00 AM;8;20;2004;10;2-4
31-May-16 12:00:00 AM;9;20;1585;7;2-4
31-May-16 12:00:00 AM;10;20;2008;17;2-4
31-May-16 12:00:00 AM;11;20;2160;8;2-4
31-May-16 12:00:00 AM;12;20;1912;8;2-4
31-May-16 12:00:00 AM;16;20;1955;17;2-4
31-May-16 12:00:00 AM;17;20;2436;5;2-4
31-May-16 12:00:00 AM;20;22;1440;9;2-4
31-May-16 12:00:00 AM;20;23;1246;9;2-4
31-May-16 12:00:00 AM;20;24;1755;12;2-4
31-May-16 12:00:00 AM;20;26;1140;4;2-4
31-May-16 12:00:00 AM;20;27;1457;7;2-4
31-May-16 12:00:00 AM;20;28;1860;20;2-4
31-May-16 12:00:00 AM;20;29;1537;8;2-4
31-May-16 12:00:00 AM;20;30;2220;8;2-4
31-May-16 12:00:00 AM;20;31;1884;22;2-4
31-May-16 12:00:00 AM;20;32;1134;20;2-4
31-May-16 12:00:00 AM;20;33;1515;8;2-4
31-May-16 12:00:00 AM;20;34;600;1;2-4
31-May-16 12:00:00 AM;20;36;3000;1;2-4
31-May-16 12:00:00 AM;20;39;2220;1;2-4
31-May-16 12:00:00 AM;20;40;1920;1;2-4
31-May-16 12:00:00 AM;20;41;1425;4;2-4
31-May-16 12:00:00 AM;20;42;2220;1;2-4
31-May-16 12:00:00 AM;20;43;1260;1;2-4
31-May-16 12:00:00 AM;20;44;750;6;2-4
31-May-16 12:00:00 AM;20;37;1300;3;2-4
31-May-16 12:00:00 AM;20;38;3420;1;2-4
31-May-16 12:00:00 AM;20;46;1446;10;2-4
31-May-16 12:00:00 AM;20;50;967;8;2-4
31-May-16 12:00:00 AM;20;49;1104;10;2-4
31-May-16 12:00:00 AM;20;51;1606;18;2-4
31-May-16 12:00:00 AM;20;52;1215;8;2-4
31-May-16 12:00:00 AM;20;1;1940;3;2-4
31-May-16 12:00:00 AM;20;54;754;7;2-4
31-May-16 12:00:00 AM;20;55;1182;10;2-4
31-May-16 12:00:00 AM;20;47;1794;10;2-4
31-May-16 12:00:00 AM;20;56;1545;17;2-4
31-May-16 12:00:00 AM;20;57;1550;6;2-4
31-May-16 12:00:00 AM;20;58;1785;8;2-4
31-May-16 12:00:00 AM;20;59;1362;20;2-4
31-May-16 12:00:00 AM;20;60;1430;19;2-4
31-May-16 12:00:00 AM;20;61;1980;7;2-4
31-May-16 12:00:00 AM;20;62;1713;18;2-4
31-May-16 12:00:00 AM;20;63;1080;8;2-4
31-May-16 12:00:00 AM;20;64;1230;4;2-4
31-May-16 12:00:00 AM;20;65;1614;11;2-4
31-May-16 12:00:00 AM;20;66;2116;11;2-4
31-May-16 12:00:00 AM;20;67;1110;16;2-4
31-May-16 12:00:00 AM;20;68;1404;17;2-4
31-May-16 12:00:00 AM;20;69;853;9;2-4
31-May-16 12:00:00 AM;20;70;1672;8;2-4
31-May-16 12:00:00 AM;20;71;1455;4;2-4
31-May-16 12:00:00 AM;20;72;1446;9;2-4
31-May-16 12:00:00 AM;20;73;1500;1;2-4
31-May-16 12:00:00 AM;20;74;728;7;2-4
31-May-16 12:00:00 AM;20;75;1037;7;2-4
31-May-16 12:00:00 AM;20;53;1680;4;2-4
31-May-16 12:00:00 AM;20;82;1277;7;2-4
31-May-16 12:00:00 AM;20;83;1020;4;2-4
31-May-16 12:00:00 AM;20;80;990;4;2-4
31-May-16 12:00:00 AM;20;78;990;4;2-4
31-May-16 12:00:00 AM;20;76;1368;5;2-4
31-May-16 12:00:00 AM;20;79;1080;4;2-4
31-May-16 12:00:00 AM;20;77;1635;4;2-4
31-May-16 12:00:00 AM;20;84;2085;4;2-4
31-May-16 12:00:00 AM;20;85;1470;6;2-4
31-May-16 12:00:00 AM;20;81;1170;4;2-4
31-May-16 12:00:00 AM;20;48;2077;8;2-4
31-May-16 12:00:00 AM;20;86;2340;1;2-4
31-May-16 12:00:00 AM;20;87;1851;7;2-4
31-May-16 12:00:00 AM;20;88;2340;1;2-4
31-May-16 12:00:00 AM;20;89;2340;1;2-4
31-May-16 12:00:00 AM;20;91;2340;1;2-4
31-May-16 12:00:00 AM;20;92;2340;1;2-4
31-May-16 12:00:00 AM;20;93;2340;1;2-4
31-May-16 12:00:00 AM;20;90;2400;1;2-4
31-May-16 12:00:00 AM;20;94;1680;5;2-4
31-May-16 12:00:00 AM;20;95;600;1;2-4
31-May-16 12:00:00 AM;18;20;2025;8;2-1
31-May-16 12:00:00 AM;19;20;1793;19;2-1
31-May-16 12:00:00 AM;20;12;1662;10;2-1
31-May-16 12:00:00 AM;21;20;1992;10;2-1
31-May-16 12:00:00 AM;22;20;1546;13;2-1
31-May-16 12:00:00 AM;23;20;1635;12;2-1
31-May-16 12:00:00 AM;27;20;1662;7;2-1
31-May-16 12:00:00 AM;28;20;1800;19;2-1
31-May-16 12:00:00 AM;30;20;1712;11;2-1
31-May-16 12:00:00 AM;31;20;1728;21;2-1
31-May-16 12:00:00 AM;35;20;660;1;1-1
31-May-16 12:00:00 AM;44;20;2890;6;2-1
31-May-16 12:00:00 AM;50;20;967;8;2-1
31-May-16 12:00:00 AM;49;20;1150;11;2-1
31-May-16 12:00:00 AM;52;20;1128;10;2-1
31-May-16 12:00:00 AM;55;20;1255;13;2-1
31-May-16 12:00:00 AM;57;20;1457;7;2-1
31-May-16 12:00:00 AM;58;20;1700;9;2-1
31-May-16 12:00:00 AM;60;20;1430;19;2-1
31-May-16 12:00:00 AM;61;20;1926;9;2-1
31-May-16 12:00:00 AM;62;20;1659;20;2-1
31-May-16 12:00:00 AM;63;20;1237;8;2-1
31-May-16 12:00:00 AM;65;20;1596;13;2-1
31-May-16 12:00:00 AM;66;20;2007;13;2-1
31-May-16 12:00:00 AM;69;20;912;10;2-1
31-May-16 12:00:00 AM;70;20;1672;8;2-1
31-May-16 12:00:00 AM;72;20;1515;12;2-1
31-May-16 12:00:00 AM;75;20;1450;6;2-1
