date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;1;21;1710;34;1-1
31-May-16 12:00:00 AM;2;21;1652;15;1-1
31-May-16 12:00:00 AM;6;21;1701;33;2-4
31-May-16 12:00:00 AM;7;21;1570;29;2-4
31-May-16 12:00:00 AM;8;21;1404;35;2-4
31-May-16 12:00:00 AM;10;21;1620;21;2-4
31-May-16 12:00:00 AM;9;21;1742;43;2-4
31-May-16 12:00:00 AM;11;21;1920;24;2-4
31-May-16 12:00:00 AM;12;21;1545;21;2-4
31-May-16 12:00:00 AM;16;21;1426;32;1-1
31-May-16 12:00:00 AM;17;21;1848;27;1-1
31-May-16 12:00:00 AM;18;21;1303;32;1-1
31-May-16 12:00:00 AM;21;19;1531;34;1-1
31-May-16 12:00:00 AM;21;20;1315;60;1-1
31-May-16 12:00:00 AM;21;21;1158;99;1-1
31-May-16 12:00:00 AM;13;21;1448;29;2-6
31-May-16 12:00:00 AM;19;21;1483;36;1-4
31-May-16 12:00:00 AM;21;18;1112;42;1-4
31-May-16 12:00:00 AM;20;21;1135;48;1-4
31-May-16 12:00:00 AM;21;22;1636;26;2-4
31-May-16 12:00:00 AM;21;23;1569;33;2-4
31-May-16 12:00:00 AM;21;24;1639;40;2-4
31-May-16 12:00:00 AM;21;26;1470;37;2-4
31-May-16 12:00:00 AM;21;27;1706;46;2-4
31-May-16 12:00:00 AM;21;28;1695;31;2-4
31-May-16 12:00:00 AM;21;29;1779;32;2-4
31-May-16 12:00:00 AM;21;30;1420;46;2-4
31-May-16 12:00:00 AM;21;31;1269;43;2-4
31-May-16 12:00:00 AM;21;32;1291;42;2-4
31-May-16 12:00:00 AM;21;33;1697;31;2-4
31-May-16 12:00:00 AM;21;34;1666;13;2-4
31-May-16 12:00:00 AM;21;36;1984;13;2-4
31-May-16 12:00:00 AM;21;39;1820;12;2-4
31-May-16 12:00:00 AM;21;40;1140;14;2-4
31-May-16 12:00:00 AM;21;41;1116;10;2-4
31-May-16 12:00:00 AM;21;42;1071;14;2-4
31-May-16 12:00:00 AM;21;43;2150;13;2-4
31-May-16 12:00:00 AM;21;44;1212;33;2-4
31-May-16 12:00:00 AM;21;37;1288;15;2-4
31-May-16 12:00:00 AM;21;38;1307;14;2-4
31-May-16 12:00:00 AM;21;46;1758;45;2-4
31-May-16 12:00:00 AM;21;50;1605;29;2-4
31-May-16 12:00:00 AM;21;49;1263;33;2-4
31-May-16 12:00:00 AM;21;51;1323;37;2-4
31-May-16 12:00:00 AM;21;52;1731;34;2-4
31-May-16 12:00:00 AM;21;1;1834;26;2-4
