date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;1;22;1723;50;1-1
31-May-16 12:00:00 AM;2;22;2051;21;1-1
31-May-16 12:00:00 AM;6;22;1413;34;2-4
31-May-16 12:00:00 AM;7;22;1767;37;2-4
31-May-16 12:00:00 AM;8;22;1720;41;2-4
31-May-16 12:00:00 AM;10;22;1600;36;2-4
31-May-16 12:00:00 AM;9;22;1609;33;2-4
31-May-16 12:00:00 AM;11;22;1478;22;2-4
31-May-16 12:00:00 AM;12;22;1871;27;2-4
31-May-16 12:00:00 AM;16;22;1756;32;2-4
31-May-16 12:00:00 AM;17;22;1763;28;2-4
31-May-16 12:00:00 AM;22;22;1322;105;1-1
31-May-16 12:00:00 AM;22;23;1465;42;1-1
31-May-16 12:00:00 AM;22;24;1577;47;1-1
31-May-16 12:00:00 AM;22;25;1580;9;1-1
31-May-16 12:00:00 AM;22;26;1488;49;1-1
31-May-16 12:00:00 AM;18;22;1667;38;2-4
31-May-16 12:00:00 AM;19;22;1695;28;2-4
31-May-16 12:00:00 AM;20;22;1496;34;2-4
31-May-16 12:00:00 AM;21;22;1636;26;2-4
31-May-16 12:00:00 AM;23;22;1316;34;1-4
31-May-16 12:00:00 AM;24;22;1345;42;1-4
31-May-16 12:00:00 AM;22;27;1376;38;2-4
31-May-16 12:00:00 AM;22;28;1428;63;2-4
31-May-16 12:00:00 AM;22;29;1465;45;2-4
31-May-16 12:00:00 AM;22;30;1438;51;2-4
31-May-16 12:00:00 AM;22;31;1611;52;2-4
31-May-16 12:00:00 AM;22;32;1536;58;2-4
31-May-16 12:00:00 AM;22;33;1432;48;2-4
31-May-16 12:00:00 AM;22;34;1581;20;2-4
31-May-16 12:00:00 AM;22;36;2091;14;2-4
31-May-16 12:00:00 AM;22;39;1476;15;2-4
31-May-16 12:00:00 AM;22;40;1884;17;2-4
31-May-16 12:00:00 AM;22;41;2348;15;2-4
31-May-16 12:00:00 AM;22;42;1908;16;2-4
31-May-16 12:00:00 AM;22;43;1486;18;2-4
31-May-16 12:00:00 AM;22;44;1766;43;2-4
31-May-16 12:00:00 AM;22;37;1211;21;2-4
31-May-16 12:00:00 AM;22;38;1692;14;2-4
31-May-16 12:00:00 AM;22;46;1421;43;2-4
31-May-16 12:00:00 AM;22;50;1414;42;2-4
31-May-16 12:00:00 AM;22;49;1576;43;2-4
31-May-16 12:00:00 AM;22;51;1648;52;2-4
31-May-16 12:00:00 AM;22;52;1260;47;2-4
31-May-16 12:00:00 AM;22;1;1724;34;2-4
31-May-16 12:00:00 AM;22;54;1459;46;2-4
31-May-16 12:00:00 AM;22;55;1649;35;2-4
31-May-16 12:00:00 AM;22;47;1489;29;2-4
31-May-16 12:00:00 AM;22;56;1704;52;2-4
31-May-16 12:00:00 AM;22;57;1295;48;2-4
31-May-16 12:00:00 AM;22;58;1785;47;2-4
31-May-16 12:00:00 AM;22;59;1930;57;2-4
31-May-16 12:00:00 AM;22;60;1296;58;2-4
31-May-16 12:00:00 AM;22;61;1878;38;2-4
31-May-16 12:00:00 AM;22;62;1833;43;2-4
31-May-16 12:00:00 AM;22;63;1522;51;2-4
31-May-16 12:00:00 AM;22;64;1044;29;2-4
31-May-16 12:00:00 AM;22;65;1472;43;2-4
31-May-16 12:00:00 AM;22;66;1736;33;2-4
31-May-16 12:00:00 AM;22;67;1266;94;2-4
31-May-16 12:00:00 AM;22;68;1420;63;2-4
31-May-16 12:00:00 AM;22;69;1600;48;2-4
31-May-16 12:00:00 AM;22;70;1516;51;2-4
31-May-16 12:00:00 AM;22;71;1687;24;2-4
31-May-16 12:00:00 AM;22;72;1647;37;2-4
31-May-16 12:00:00 AM;22;73;1134;11;2-4
31-May-16 12:00:00 AM;22;74;2123;38;2-4
31-May-16 12:00:00 AM;22;75;1417;40;2-4
31-May-16 12:00:00 AM;22;53;1188;25;2-4
31-May-16 12:00:00 AM;22;82;1448;27;2-4
31-May-16 12:00:00 AM;22;83;1432;30;2-4
31-May-16 12:00:00 AM;22;80;1447;24;2-4
31-May-16 12:00:00 AM;22;78;1394;30;2-4
31-May-16 12:00:00 AM;22;76;1761;17;2-4
31-May-16 12:00:00 AM;22;79;1320;32;2-4
31-May-16 12:00:00 AM;22;77;1058;28;2-4
31-May-16 12:00:00 AM;22;84;1708;15;2-4
31-May-16 12:00:00 AM;22;85;888;25;2-4
31-May-16 12:00:00 AM;22;81;1453;36;2-4
31-May-16 12:00:00 AM;22;48;1752;33;2-4
31-May-16 12:00:00 AM;22;86;1090;18;2-4
31-May-16 12:00:00 AM;22;87;1105;21;2-4
