date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;1;23;1447;33;1-1
31-May-16 12:00:00 AM;2;23;1980;15;1-1
31-May-16 12:00:00 AM;6;23;1612;41;2-4
31-May-16 12:00:00 AM;7;23;1863;38;2-4
31-May-16 12:00:00 AM;8;23;1701;36;2-4
31-May-16 12:00:00 AM;10;23;1304;49;2-4
31-May-16 12:00:00 AM;9;23;1886;29;2-4
31-May-16 12:00:00 AM;11;23;1756;22;2-4
31-May-16 12:00:00 AM;12;23;1795;26;2-4
31-May-16 12:00:00 AM;16;23;1693;32;2-4
31-May-16 12:00:00 AM;17;23;1585;28;2-4
31-May-16 12:00:00 AM;22;23;1465;42;1-1
31-May-16 12:00:00 AM;23;23;1067;76;1-1
31-May-16 12:00:00 AM;23;24;1857;54;1-1
31-May-16 12:00:00 AM;23;25;1705;7;1-1
31-May-16 12:00:00 AM;23;26;1321;42;1-1
31-May-16 12:00:00 AM;18;23;2112;29;2-4
31-May-16 12:00:00 AM;19;23;1497;45;2-4
31-May-16 12:00:00 AM;20;23;1640;42;2-4
31-May-16 12:00:00 AM;21;23;1569;33;2-4
31-May-16 12:00:00 AM;23;22;1316;34;1-4
31-May-16 12:00:00 AM;24;23;1435;43;1-4
31-May-16 12:00:00 AM;23;27;1276;37;2-4
31-May-16 12:00:00 AM;23;28;1463;54;2-4
31-May-16 12:00:00 AM;23;29;1337;37;2-4
31-May-16 12:00:00 AM;23;30;1790;53;2-4
31-May-16 12:00:00 AM;23;31;1537;50;2-4
31-May-16 12:00:00 AM;23;32;1168;66;2-4
31-May-16 12:00:00 AM;23;33;1501;44;2-4
31-May-16 12:00:00 AM;23;34;1320;14;2-4
31-May-16 12:00:00 AM;23;36;1512;14;2-4
31-May-16 12:00:00 AM;23;39;828;16;2-4
31-May-16 12:00:00 AM;23;40;2125;12;2-4
31-May-16 12:00:00 AM;23;41;2070;16;2-4
31-May-16 12:00:00 AM;23;42;2360;12;2-4
31-May-16 12:00:00 AM;23;43;1364;15;2-4
31-May-16 12:00:00 AM;23;44;1684;45;2-4
31-May-16 12:00:00 AM;23;37;1760;12;2-4
31-May-16 12:00:00 AM;23;38;2824;15;2-4
31-May-16 12:00:00 AM;23;46;1594;45;2-4
31-May-16 12:00:00 AM;23;50;1252;38;2-4
31-May-16 12:00:00 AM;23;49;1323;40;2-4
31-May-16 12:00:00 AM;23;51;1484;47;2-4
31-May-16 12:00:00 AM;23;52;1674;43;2-4
31-May-16 12:00:00 AM;23;1;1454;30;2-4
31-May-16 12:00:00 AM;23;54;1271;32;2-4
31-May-16 12:00:00 AM;23;55;1597;37;2-4
31-May-16 12:00:00 AM;23;47;1225;35;2-4
31-May-16 12:00:00 AM;23;56;1312;50;2-4
31-May-16 12:00:00 AM;23;57;1577;41;2-4
31-May-16 12:00:00 AM;23;58;1578;43;2-4
31-May-16 12:00:00 AM;23;59;1770;50;2-4
31-May-16 12:00:00 AM;23;60;1472;52;2-4
31-May-16 12:00:00 AM;23;61;1546;31;2-4
31-May-16 12:00:00 AM;23;62;1480;44;2-4
31-May-16 12:00:00 AM;23;63;1039;49;2-4
31-May-16 12:00:00 AM;23;64;970;22;2-4
31-May-16 12:00:00 AM;23;65;974;30;2-4
31-May-16 12:00:00 AM;23;66;1990;35;2-4
31-May-16 12:00:00 AM;23;67;1090;88;2-4
31-May-16 12:00:00 AM;23;68;1650;52;2-4
31-May-16 12:00:00 AM;23;69;1312;53;2-4
31-May-16 12:00:00 AM;23;70;1605;41;2-4
31-May-16 12:00:00 AM;23;71;1332;19;2-4
31-May-16 12:00:00 AM;23;72;1642;34;2-4
31-May-16 12:00:00 AM;23;73;1680;7;2-4
31-May-16 12:00:00 AM;23;74;1322;41;2-4
31-May-16 12:00:00 AM;23;75;1660;39;2-4
31-May-16 12:00:00 AM;23;53;1290;24;2-4
31-May-16 12:00:00 AM;23;82;1591;19;2-4
31-May-16 12:00:00 AM;23;83;1187;29;2-4
31-May-16 12:00:00 AM;23;80;1476;25;2-4
31-May-16 12:00:00 AM;23;78;1352;30;2-4
31-May-16 12:00:00 AM;23;76;1329;20;2-4
31-May-16 12:00:00 AM;23;79;1265;32;2-4
31-May-16 12:00:00 AM;23;77;1157;21;2-4
31-May-16 12:00:00 AM;23;84;1920;13;2-4
31-May-16 12:00:00 AM;23;85;1707;22;2-4
31-May-16 12:00:00 AM;23;81;1347;31;2-4
31-May-16 12:00:00 AM;23;48;1608;32;2-4
