date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;1;24;1532;35;1-1
31-May-16 12:00:00 AM;2;24;2144;15;1-1
31-May-16 12:00:00 AM;6;24;1642;45;2-4
31-May-16 12:00:00 AM;7;24;1589;43;2-4
31-May-16 12:00:00 AM;8;24;1733;39;2-4
31-May-16 12:00:00 AM;10;24;1777;42;2-4
31-May-16 12:00:00 AM;9;24;1855;39;2-4
31-May-16 12:00:00 AM;11;24;1865;43;2-4
31-May-16 12:00:00 AM;12;24;1757;37;2-4
31-May-16 12:00:00 AM;14;24;1652;51;2-7
31-May-16 12:00:00 AM;15;24;1722;41;2-7
31-May-16 12:00:00 AM;16;24;1412;37;2-4
31-May-16 12:00:00 AM;17;24;1582;38;2-4
31-May-16 12:00:00 AM;22;24;1577;47;1-1
31-May-16 12:00:00 AM;23;24;1857;54;1-1
31-May-16 12:00:00 AM;24;24;1404;127;1-1
31-May-16 12:00:00 AM;24;25;1410;6;1-1
31-May-16 12:00:00 AM;24;26;1354;55;1-1
31-May-16 12:00:00 AM;18;24;1565;44;2-4
31-May-16 12:00:00 AM;19;24;1867;42;2-4
31-May-16 12:00:00 AM;20;24;2000;44;2-4
31-May-16 12:00:00 AM;21;24;1639;40;2-4
31-May-16 12:00:00 AM;24;22;1345;42;1-4
31-May-16 12:00:00 AM;24;23;1435;43;1-4
31-May-16 12:00:00 AM;24;27;1616;32;2-4
31-May-16 12:00:00 AM;24;28;1586;49;2-4
31-May-16 12:00:00 AM;24;29;1422;54;2-4
31-May-16 12:00:00 AM;24;30;1876;36;2-4
31-May-16 12:00:00 AM;24;31;1828;47;2-4
31-May-16 12:00:00 AM;24;32;1590;47;2-4
31-May-16 12:00:00 AM;24;33;1528;44;2-4
31-May-16 12:00:00 AM;24;34;2018;11;2-4
31-May-16 12:00:00 AM;24;36;2210;13;2-4
31-May-16 12:00:00 AM;24;39;2067;11;2-4
31-May-16 12:00:00 AM;24;40;1238;11;2-4
31-May-16 12:00:00 AM;24;41;1272;10;2-4
31-May-16 12:00:00 AM;24;42;1270;11;2-4
31-May-16 12:00:00 AM;24;43;2196;15;2-4
31-May-16 12:00:00 AM;24;44;1742;50;2-4
31-May-16 12:00:00 AM;24;37;1337;14;2-4
31-May-16 12:00:00 AM;24;38;1242;10;2-4
31-May-16 12:00:00 AM;24;46;1451;43;2-4
31-May-16 12:00:00 AM;24;50;1340;53;2-4
31-May-16 12:00:00 AM;24;49;1272;39;2-4
31-May-16 12:00:00 AM;24;51;1524;42;2-4
31-May-16 12:00:00 AM;24;52;1434;50;2-4
31-May-16 12:00:00 AM;24;1;1824;27;2-4
31-May-16 12:00:00 AM;24;54;1760;45;2-4
31-May-16 12:00:00 AM;24;55;1523;36;2-4
31-May-16 12:00:00 AM;24;47;1616;33;2-4
31-May-16 12:00:00 AM;24;56;1322;50;2-4
31-May-16 12:00:00 AM;24;57;1220;45;2-4
31-May-16 12:00:00 AM;24;58;1777;47;2-4
31-May-16 12:00:00 AM;24;59;1459;44;2-4
31-May-16 12:00:00 AM;24;60;1343;43;2-4
31-May-16 12:00:00 AM;24;61;1657;42;2-4
31-May-16 12:00:00 AM;24;62;1652;30;2-4
31-May-16 12:00:00 AM;24;63;1418;64;2-4
31-May-16 12:00:00 AM;24;64;1406;18;2-4
31-May-16 12:00:00 AM;24;65;1620;36;2-4
31-May-16 12:00:00 AM;24;66;1771;42;2-4
31-May-16 12:00:00 AM;24;67;1298;102;2-4
31-May-16 12:00:00 AM;24;68;1849;45;2-4
31-May-16 12:00:00 AM;24;69;1437;40;2-4
31-May-16 12:00:00 AM;24;70;1556;57;2-4
31-May-16 12:00:00 AM;24;71;1743;18;2-4
31-May-16 12:00:00 AM;24;72;2070;37;2-4
31-May-16 12:00:00 AM;24;73;1252;8;2-4
31-May-16 12:00:00 AM;24;74;1285;49;2-4
31-May-16 12:00:00 AM;24;75;1642;46;2-4
31-May-16 12:00:00 AM;24;53;1370;33;2-4
31-May-16 12:00:00 AM;24;82;1633;22;2-4
31-May-16 12:00:00 AM;24;83;1434;40;2-4
31-May-16 12:00:00 AM;24;80;1558;39;2-4
31-May-16 12:00:00 AM;24;78;1481;43;2-4
31-May-16 12:00:00 AM;24;76;1396;32;2-4
31-May-16 12:00:00 AM;24;79;1448;41;2-4
31-May-16 12:00:00 AM;24;77;1676;38;2-4
31-May-16 12:00:00 AM;24;84;1418;14;2-4
31-May-16 12:00:00 AM;24;85;1218;20;2-4
31-May-16 12:00:00 AM;24;81;1237;54;2-4
31-May-16 12:00:00 AM;24;48;1932;33;2-4
31-May-16 12:00:00 AM;24;86;1980;12;2-4
31-May-16 12:00:00 AM;24;87;1150;24;2-4
31-May-16 12:00:00 AM;24;88;1248;10;2-4
31-May-16 12:00:00 AM;24;89;1910;12;2-4
31-May-16 12:00:00 AM;24;91;2106;10;2-4
31-May-16 12:00:00 AM;24;92;2091;14;2-4
31-May-16 12:00:00 AM;24;93;1323;17;2-4
31-May-16 12:00:00 AM;24;90;852;10;2-4
31-May-16 12:00:00 AM;24;94;1335;34;2-4
31-May-16 12:00:00 AM;24;95;1961;16;2-4
31-May-16 12:00:00 AM;24;12;1516;47;2-1
31-May-16 12:00:00 AM;24;7;1446;36;2-1
31-May-16 12:00:00 AM;24;20;1670;48;2-1
31-May-16 12:00:00 AM;27;24;1380;32;2-1
31-May-16 12:00:00 AM;26;24;1713;46;2-1
31-May-16 12:00:00 AM;28;24;1912;42;2-1
31-May-16 12:00:00 AM;29;24;1680;50;2-1
31-May-16 12:00:00 AM;30;24;1800;29;2-1
31-May-16 12:00:00 AM;31;24;1673;43;2-1
31-May-16 12:00:00 AM;35;24;1360;9;1-1
31-May-16 12:00:00 AM;44;24;1814;49;2-1
31-May-16 12:00:00 AM;50;24;1488;52;2-1
31-May-16 12:00:00 AM;49;24;1501;49;2-1
31-May-16 12:00:00 AM;52;24;1527;43;2-1
31-May-16 12:00:00 AM;57;24;1612;34;2-7
31-May-16 12:00:00 AM;55;24;1805;48;2-1
31-May-16 12:00:00 AM;58;24;1823;48;2-1
31-May-16 12:00:00 AM;61;24;1747;47;2-1
31-May-16 12:00:00 AM;63;24;1654;52;2-7
31-May-16 12:00:00 AM;60;24;1380;35;2-1
31-May-16 12:00:00 AM;66;24;1691;46;2-1
31-May-16 12:00:00 AM;62;24;1690;40;2-1
31-May-16 12:00:00 AM;65;24;1681;50;2-1
31-May-16 12:00:00 AM;70;24;1503;47;2-1
31-May-16 12:00:00 AM;69;24;1913;44;2-1
31-May-16 12:00:00 AM;72;24;1728;50;2-1
31-May-16 12:00:00 AM;75;24;1420;48;2-1
31-May-16 12:00:00 AM;82;24;1771;29;2-1
31-May-16 12:00:00 AM;85;24;1558;40;2-1
31-May-16 12:00:00 AM;94;24;1822;34;2-7
31-May-16 12:00:00 AM;33;24;1635;46;2-1
31-May-16 12:00:00 AM;46;24;1394;47;2-1
31-May-16 12:00:00 AM;32;24;1699;41;2-1
31-May-16 12:00:00 AM;74;24;1294;43;2-1
31-May-16 12:00:00 AM;51;24;1738;42;2-1
31-May-16 12:00:00 AM;59;24;1404;53;2-1
31-May-16 12:00:00 AM;56;24;1422;47;2-1
31-May-16 12:00:00 AM;68;24;1396;44;2-1
31-May-16 12:00:00 AM;24;10;1282;42;2-1
31-May-16 12:00:00 AM;24;13;1425;45;2-1
31-May-16 12:00:00 AM;24;21;1923;33;2-1
31-May-16 12:00:00 AM;24;15;1533;48;2-1
31-May-16 12:00:00 AM;24;16;1615;50;2-1
31-May-16 12:00:00 AM;24;17;1745;45;2-1
31-May-16 12:00:00 AM;24;9;1702;32;2-1
31-May-16 12:00:00 AM;54;24;1551;42;2-7
31-May-16 12:00:00 AM;24;11;1666;45;2-7
31-May-16 12:00:00 AM;24;18;1480;46;2-7
31-May-16 12:00:00 AM;24;6;1603;41;2-7
31-May-16 12:00:00 AM;24;8;1794;41;2-7
31-May-16 12:00:00 AM;24;19;1949;43;2-7
31-May-16 12:00:00 AM;45;24;1901;13;1-1
31-May-16 12:00:00 AM;41;24;2104;14;2-7
31-May-16 12:00:00 AM;3;24;1495;13;2-4
31-May-16 12:00:00 AM;67;24;1458;61;2-1
31-May-16 12:00:00 AM;71;24;1500;15;1-2
31-May-16 12:00:00 AM;77;24;1770;20;1-4
31-May-16 12:00:00 AM;13;24;1244;27;2-6
31-May-16 12:00:00 AM;84;24;1765;21;1-4
31-May-16 12:00:00 AM;24;14;1581;56;2-6
31-May-16 12:00:00 AM;87;24;1472;28;1-4
31-May-16 12:00:00 AM;4;24;2740;9;1-2
31-May-16 12:00:00 AM;24;4;724;13;1-4
31-May-16 12:00:00 AM;24;35;1268;7;1-2
31-May-16 12:00:00 AM;24;5;1173;23;1-4
31-May-16 12:00:00 AM;76;24;1341;33;1-4
31-May-16 12:00:00 AM;78;24;1742;24;1-4
31-May-16 12:00:00 AM;79;24;1590;26;1-4
31-May-16 12:00:00 AM;83;24;1564;29;1-4
31-May-16 12:00:00 AM;47;24;1633;23;1-1
31-May-16 12:00:00 AM;80;24;1768;25;1-4
31-May-16 12:00:00 AM;81;24;1156;25;1-4
31-May-16 12:00:00 AM;48;24;1902;20;1-4
31-May-16 12:00:00 AM;90;24;1416;18;1-4
31-May-16 12:00:00 AM;42;24;1071;14;1-4
31-May-16 12:00:00 AM;40;24;1398;16;1-4
31-May-16 12:00:00 AM;53;24;1662;10;1-1
31-May-16 12:00:00 AM;24;97;1400;21;2-7
31-May-16 12:00:00 AM;24;98;2169;19;2-7
