date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;1;25;1765;14;1-1
31-May-16 12:00:00 AM;2;25;2035;12;1-1
31-May-16 12:00:00 AM;22;25;1580;9;1-1
31-May-16 12:00:00 AM;23;25;1705;7;1-1
31-May-16 12:00:00 AM;24;25;1410;6;1-1
31-May-16 12:00:00 AM;25;25;1831;29;1-1
31-May-16 12:00:00 AM;25;26;1592;15;1-1
31-May-16 12:00:00 AM;25;27;1885;14;1-1
31-May-16 12:00:00 AM;25;28;1217;14;1-1
31-May-16 12:00:00 AM;25;29;1975;14;1-1
31-May-16 12:00:00 AM;25;30;1470;14;1-1
31-May-16 12:00:00 AM;25;31;1970;13;1-1
31-May-16 12:00:00 AM;25;32;1294;14;1-1
31-May-16 12:00:00 AM;25;33;1444;15;1-1
31-May-16 12:00:00 AM;25;34;2095;14;1-1
31-May-16 12:00:00 AM;25;35;1303;11;1-1
31-May-16 12:00:00 AM;25;36;2150;12;1-1
31-May-16 12:00:00 AM;25;37;1710;10;1-1
31-May-16 12:00:00 AM;25;38;1568;7;1-1
31-May-16 12:00:00 AM;25;39;1609;11;1-1
31-May-16 12:00:00 AM;25;40;1643;13;1-1
31-May-16 12:00:00 AM;25;41;1500;8;1-1
31-May-16 12:00:00 AM;25;42;1726;13;1-1
31-May-16 12:00:00 AM;25;43;1098;10;1-1
31-May-16 12:00:00 AM;25;44;1932;15;1-1
31-May-16 12:00:00 AM;25;45;1465;21;1-1
31-May-16 12:00:00 AM;25;46;1486;13;1-1
31-May-16 12:00:00 AM;25;47;1783;33;1-1
31-May-16 12:00:00 AM;25;48;2110;18;1-1
31-May-16 12:00:00 AM;25;49;1242;14;1-1
31-May-16 12:00:00 AM;25;50;1547;14;1-1
31-May-16 12:00:00 AM;25;51;1572;14;1-1
31-May-16 12:00:00 AM;25;52;1564;14;1-1
31-May-16 12:00:00 AM;25;53;1898;33;1-1
31-May-16 12:00:00 AM;25;54;1260;14;1-1
31-May-16 12:00:00 AM;25;55;1555;14;1-1
31-May-16 12:00:00 AM;25;56;1907;14;1-1
31-May-16 12:00:00 AM;25;57;2196;13;1-1
31-May-16 12:00:00 AM;25;58;1431;14;1-1
31-May-16 12:00:00 AM;25;59;1860;14;1-1
31-May-16 12:00:00 AM;25;60;1812;14;1-1
31-May-16 12:00:00 AM;25;61;2016;13;1-1
31-May-16 12:00:00 AM;25;62;2048;7;1-1
31-May-16 12:00:00 AM;25;63;1371;14;1-1
31-May-16 12:00:00 AM;25;64;2584;15;1-1
31-May-16 12:00:00 AM;25;65;1860;14;1-1
31-May-16 12:00:00 AM;25;66;2280;13;1-1
31-May-16 12:00:00 AM;25;67;2146;26;1-1
31-May-16 12:00:00 AM;25;68;1745;21;1-1
31-May-16 12:00:00 AM;25;69;1662;17;1-1
31-May-16 12:00:00 AM;25;70;1950;18;1-1
31-May-16 12:00:00 AM;25;71;695;12;1-1
31-May-16 12:00:00 AM;25;72;2176;15;1-1
31-May-16 12:00:00 AM;25;73;1592;11;1-1
31-May-16 12:00:00 AM;25;74;2604;15;1-1
31-May-16 12:00:00 AM;25;75;857;14;1-1
31-May-16 12:00:00 AM;25;76;1712;13;1-1
31-May-16 12:00:00 AM;25;77;1908;21;1-1
31-May-16 12:00:00 AM;25;78;1868;14;1-1
31-May-16 12:00:00 AM;25;79;1662;14;1-1
31-May-16 12:00:00 AM;25;80;1868;14;1-1
31-May-16 12:00:00 AM;25;81;1746;18;1-1
31-May-16 12:00:00 AM;25;82;1821;14;1-1
31-May-16 12:00:00 AM;25;83;1628;14;1-1
31-May-16 12:00:00 AM;25;84;1744;13;1-1
31-May-16 12:00:00 AM;25;85;1629;13;1-1
31-May-16 12:00:00 AM;25;86;1962;14;1-1
31-May-16 12:00:00 AM;25;87;1474;14;1-1
31-May-16 12:00:00 AM;25;88;2235;12;1-1
31-May-16 12:00:00 AM;25;89;1380;10;1-1
31-May-16 12:00:00 AM;25;90;1800;11;1-1
31-May-16 12:00:00 AM;25;91;1729;11;1-1
31-May-16 12:00:00 AM;25;92;1608;10;1-1
31-May-16 12:00:00 AM;25;93;1740;12;1-1
31-May-16 12:00:00 AM;25;94;2040;14;1-1
31-May-16 12:00:00 AM;25;95;2194;14;1-1
31-May-16 12:00:00 AM;25;3;1777;8;1-1
31-May-16 12:00:00 AM;25;5;2241;14;1-1
31-May-16 12:00:00 AM;25;4;2040;9;1-1
31-May-16 12:00:00 AM;25;8;2200;12;1-1
31-May-16 12:00:00 AM;25;21;2655;12;1-1
31-May-16 12:00:00 AM;25;20;2307;13;1-1
31-May-16 12:00:00 AM;25;6;1846;13;1-1
31-May-16 12:00:00 AM;25;14;2146;13;1-1
31-May-16 12:00:00 AM;25;17;1656;13;1-1
31-May-16 12:00:00 AM;25;9;2090;13;1-1
31-May-16 12:00:00 AM;25;10;1721;13;1-1
31-May-16 12:00:00 AM;25;12;1906;13;1-1
31-May-16 12:00:00 AM;25;16;1984;13;1-1
31-May-16 12:00:00 AM;25;7;1495;13;1-1
31-May-16 12:00:00 AM;25;13;1495;13;1-1
31-May-16 12:00:00 AM;25;19;1841;13;1-1
31-May-16 12:00:00 AM;25;15;1666;13;1-1
31-May-16 12:00:00 AM;25;18;2266;13;1-1
31-May-16 12:00:00 AM;45;25;2085;17;1-3
31-May-16 12:00:00 AM;25;96;1756;15;1-1
31-May-16 12:00:00 AM;25;97;1932;15;1-1
31-May-16 12:00:00 AM;25;98;2067;11;1-1
31-May-16 12:00:00 AM;25;99;1965;24;1-1
31-May-16 12:00:00 AM;25;100;1736;15;1-1
31-May-16 12:00:00 AM;25;101;1926;10;1-1
31-May-16 12:00:00 AM;25;102;2248;15;1-1
31-May-16 12:00:00 AM;25;103;2160;9;1-1
31-May-16 12:00:00 AM;25;104;2196;5;1-1
31-May-16 12:00:00 AM;25;105;1926;9;1-1
31-May-16 12:00:00 AM;25;106;1933;9;1-1
31-May-16 12:00:00 AM;25;107;2000;9;1-1
31-May-16 12:00:00 AM;25;108;2436;5;1-1
31-May-16 12:00:00 AM;25;109;2005;24;1-1
31-May-16 12:00:00 AM;25;11;1611;7;1-1
01-Jun-16 12:00:00 AM;67;25;1902;20;1-1
01-Jun-16 12:00:00 AM;61;25;2394;10;1-1
01-Jun-16 12:00:00 AM;25;1;2004;17;1-1
01-Jun-16 12:00:00 AM;25;24;1756;11;1-1
01-Jun-16 12:00:00 AM;25;22;2052;15;1-1
01-Jun-16 12:00:00 AM;35;25;1337;14;1-1
01-Jun-16 12:00:00 AM;25;23;1789;11;1-1
01-Jun-16 12:00:00 AM;4;25;1760;9;1-1
01-Jun-16 12:00:00 AM;90;25;1740;3;1-1
01-Jun-16 12:00:00 AM;25;2;2124;5;1-1
01-Jun-16 12:00:00 AM;85;25;3240;2;1-1
01-Jun-16 12:00:00 AM;92;25;2610;2;1-1
01-Jun-16 12:00:00 AM;46;25;2160;2;1-1
01-Jun-16 12:00:00 AM;75;25;2190;2;1-1
01-Jun-16 12:00:00 AM;44;25;1140;2;1-1
01-Jun-16 12:00:00 AM;6;25;1440;2;1-1
01-Jun-16 12:00:00 AM;50;25;480;1;1-1
01-Jun-16 12:00:00 AM;28;25;990;2;1-1
01-Jun-16 12:00:00 AM;65;25;240;2;1-1
01-Jun-16 12:00:00 AM;82;25;1470;2;1-1
01-Jun-16 12:00:00 AM;54;25;1680;2;1-1
01-Jun-16 12:00:00 AM;79;25;3030;2;1-1
01-Jun-16 12:00:00 AM;94;25;3210;2;1-1
01-Jun-16 12:00:00 AM;84;25;3180;2;1-1
01-Jun-16 12:00:00 AM;36;25;2880;2;1-1
01-Jun-16 12:00:00 AM;89;25;3120;2;1-1
01-Jun-16 12:00:00 AM;73;25;3180;2;1-1
01-Jun-16 12:00:00 AM;91;25;3030;2;1-1
