date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;1;26;1545;33;1-1
31-May-16 12:00:00 AM;2;26;2544;15;1-1
31-May-16 12:00:00 AM;6;26;1632;40;2-4
31-May-16 12:00:00 AM;7;26;1376;32;2-4
31-May-16 12:00:00 AM;8;26;1492;34;2-4
31-May-16 12:00:00 AM;9;26;1293;27;2-4
31-May-16 12:00:00 AM;10;26;1637;28;2-4
31-May-16 12:00:00 AM;11;26;1483;32;2-4
31-May-16 12:00:00 AM;12;26;2010;32;2-4
31-May-16 12:00:00 AM;14;26;1396;45;2-7
31-May-16 12:00:00 AM;15;26;1616;31;2-7
31-May-16 12:00:00 AM;16;26;1521;31;2-4
31-May-16 12:00:00 AM;17;26;1480;33;2-4
31-May-16 12:00:00 AM;22;26;1488;49;1-1
31-May-16 12:00:00 AM;23;26;1321;42;1-1
31-May-16 12:00:00 AM;24;26;1354;55;1-1
31-May-16 12:00:00 AM;18;26;1896;40;2-4
31-May-16 12:00:00 AM;19;26;1273;31;2-4
31-May-16 12:00:00 AM;20;26;1004;27;2-4
31-May-16 12:00:00 AM;21;26;1470;37;2-4
31-May-16 12:00:00 AM;25;26;1592;15;1-1
31-May-16 12:00:00 AM;26;26;1133;96;1-1
31-May-16 12:00:00 AM;26;27;1519;31;1-1
31-May-16 12:00:00 AM;26;28;1275;38;2-4
31-May-16 12:00:00 AM;26;29;1517;45;2-4
31-May-16 12:00:00 AM;26;30;1189;29;2-4
31-May-16 12:00:00 AM;26;31;1360;31;2-4
31-May-16 12:00:00 AM;26;32;1595;34;2-4
31-May-16 12:00:00 AM;26;33;1424;42;2-4
31-May-16 12:00:00 AM;26;34;1665;12;2-4
31-May-16 12:00:00 AM;26;36;2526;9;2-4
31-May-16 12:00:00 AM;26;39;2160;10;2-4
31-May-16 12:00:00 AM;26;40;1372;8;2-4
31-May-16 12:00:00 AM;26;41;1546;9;2-4
31-May-16 12:00:00 AM;26;42;1725;8;2-4
31-May-16 12:00:00 AM;26;43;1783;11;2-4
31-May-16 12:00:00 AM;26;44;1548;47;2-4
31-May-16 12:00:00 AM;26;37;1290;12;2-4
31-May-16 12:00:00 AM;26;38;1702;8;2-4
31-May-16 12:00:00 AM;26;46;1346;30;2-4
31-May-16 12:00:00 AM;26;50;1669;46;2-4
31-May-16 12:00:00 AM;26;49;1143;32;2-4
31-May-16 12:00:00 AM;26;51;1428;27;2-4
31-May-16 12:00:00 AM;26;52;1309;44;2-4
31-May-16 12:00:00 AM;26;1;1359;20;2-4
31-May-16 12:00:00 AM;26;54;1394;37;2-4
31-May-16 12:00:00 AM;26;55;1774;31;2-4
31-May-16 12:00:00 AM;26;47;1230;31;2-4
31-May-16 12:00:00 AM;26;56;1597;35;2-4
31-May-16 12:00:00 AM;26;57;1278;40;2-4
31-May-16 12:00:00 AM;26;58;1890;39;2-4
31-May-16 12:00:00 AM;26;59;1453;32;2-4
31-May-16 12:00:00 AM;26;60;1395;31;2-4
31-May-16 12:00:00 AM;26;61;1507;32;2-4
31-May-16 12:00:00 AM;26;62;1422;21;2-4
31-May-16 12:00:00 AM;26;63;1349;51;2-4
31-May-16 12:00:00 AM;26;64;1623;19;2-4
31-May-16 12:00:00 AM;26;65;1335;34;2-4
31-May-16 12:00:00 AM;26;66;1863;34;2-4
31-May-16 12:00:00 AM;26;67;1464;66;2-4
31-May-16 12:00:00 AM;26;68;1569;26;2-4
31-May-16 12:00:00 AM;26;69;1377;26;2-4
31-May-16 12:00:00 AM;26;70;2018;42;2-4
31-May-16 12:00:00 AM;26;71;1653;16;2-4
31-May-16 12:00:00 AM;26;72;1618;32;2-4
31-May-16 12:00:00 AM;26;73;1405;7;2-4
31-May-16 12:00:00 AM;26;74;1609;40;2-4
31-May-16 12:00:00 AM;26;75;1450;52;2-4
31-May-16 12:00:00 AM;26;53;1030;34;2-4
31-May-16 12:00:00 AM;26;82;1877;14;2-4
31-May-16 12:00:00 AM;26;83;1508;34;2-4
31-May-16 12:00:00 AM;26;80;1206;38;2-4
31-May-16 12:00:00 AM;26;78;1170;37;2-4
31-May-16 12:00:00 AM;26;76;1296;26;2-4
31-May-16 12:00:00 AM;26;79;1336;36;2-4
31-May-16 12:00:00 AM;26;77;940;30;2-4
31-May-16 12:00:00 AM;26;84;1460;12;2-4
31-May-16 12:00:00 AM;26;85;1882;19;2-4
31-May-16 12:00:00 AM;26;81;1093;53;2-4
31-May-16 12:00:00 AM;26;48;1642;34;2-4
31-May-16 12:00:00 AM;26;86;2133;9;2-4
31-May-16 12:00:00 AM;26;87;1507;16;2-4
