date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;1;27;1554;30;1-1
31-May-16 12:00:00 AM;2;27;1256;15;1-1
31-May-16 12:00:00 AM;6;27;1618;38;2-4
31-May-16 12:00:00 AM;7;27;1688;27;2-4
31-May-16 12:00:00 AM;8;27;1602;31;2-4
31-May-16 12:00:00 AM;9;27;1405;44;2-4
31-May-16 12:00:00 AM;10;27;1226;30;2-4
31-May-16 12:00:00 AM;11;27;1304;30;2-4
31-May-16 12:00:00 AM;12;27;1527;20;2-4
31-May-16 12:00:00 AM;13;27;1465;33;2-6
31-May-16 12:00:00 AM;16;27;1484;27;2-4
31-May-16 12:00:00 AM;17;27;1727;28;2-4
31-May-16 12:00:00 AM;18;27;1002;24;2-4
31-May-16 12:00:00 AM;19;27;1393;23;2-4
31-May-16 12:00:00 AM;20;27;1037;28;2-4
31-May-16 12:00:00 AM;21;27;1706;46;2-4
31-May-16 12:00:00 AM;25;27;1885;14;1-1
31-May-16 12:00:00 AM;26;27;1519;31;1-1
31-May-16 12:00:00 AM;27;27;1023;94;1-1
31-May-16 12:00:00 AM;27;28;1572;35;1-1
31-May-16 12:00:00 AM;27;29;1159;31;1-1
31-May-16 12:00:00 AM;27;30;1516;41;1-1
31-May-16 12:00:00 AM;22;27;1376;38;2-4
31-May-16 12:00:00 AM;23;27;1276;37;2-4
31-May-16 12:00:00 AM;24;27;1616;32;2-4
31-May-16 12:00:00 AM;27;31;1260;43;2-4
31-May-16 12:00:00 AM;27;32;1366;40;2-4
31-May-16 12:00:00 AM;27;33;1391;32;2-4
31-May-16 12:00:00 AM;27;34;1570;6;2-4
31-May-16 12:00:00 AM;27;36;1980;9;2-4
31-May-16 12:00:00 AM;27;39;1475;12;2-4
31-May-16 12:00:00 AM;27;40;2497;8;2-4
31-May-16 12:00:00 AM;27;41;1527;11;2-4
31-May-16 12:00:00 AM;27;42;2535;8;2-4
31-May-16 12:00:00 AM;27;44;1645;28;2-1
31-May-16 12:00:00 AM;27;43;1821;14;2-4
31-May-16 12:00:00 AM;27;46;1993;40;2-1
31-May-16 12:00:00 AM;27;50;1632;25;2-1
31-May-16 12:00:00 AM;27;49;1659;26;2-1
31-May-16 12:00:00 AM;27;51;1450;33;2-1
31-May-16 12:00:00 AM;27;52;1577;35;2-1
31-May-16 12:00:00 AM;27;1;1746;20;2-1
31-May-16 12:00:00 AM;27;37;1400;12;2-4
31-May-16 12:00:00 AM;27;54;1582;30;2-1
31-May-16 12:00:00 AM;27;55;1904;27;2-1
31-May-16 12:00:00 AM;27;38;1072;15;2-4
31-May-16 12:00:00 AM;27;47;1584;15;2-1
31-May-16 12:00:00 AM;27;56;1123;32;2-1
31-May-16 12:00:00 AM;27;57;1541;26;2-1
31-May-16 12:00:00 AM;27;58;1422;30;2-1
31-May-16 12:00:00 AM;27;59;1445;33;2-1
31-May-16 12:00:00 AM;27;60;1493;37;2-1
31-May-16 12:00:00 AM;27;61;1617;28;2-1
31-May-16 12:00:00 AM;27;62;1553;28;2-1
31-May-16 12:00:00 AM;27;69;1593;43;2-6
31-May-16 12:00:00 AM;27;63;1809;37;2-1
31-May-16 12:00:00 AM;27;67;1350;86;2-6
31-May-16 12:00:00 AM;27;65;1671;20;2-1
31-May-16 12:00:00 AM;27;66;1572;33;2-1
31-May-16 12:00:00 AM;27;68;1518;38;2-1
31-May-16 12:00:00 AM;27;70;1380;26;2-1
31-May-16 12:00:00 AM;27;72;1614;30;2-1
31-May-16 12:00:00 AM;27;74;1517;27;2-1
31-May-16 12:00:00 AM;27;75;1450;24;2-1
31-May-16 12:00:00 AM;27;53;1527;11;2-1
31-May-16 12:00:00 AM;27;82;1800;15;2-1
31-May-16 12:00:00 AM;27;83;1915;13;2-1
31-May-16 12:00:00 AM;27;80;1871;16;2-1
31-May-16 12:00:00 AM;27;78;1933;13;2-1
31-May-16 12:00:00 AM;27;76;1712;11;2-1
31-May-16 12:00:00 AM;27;79;1958;17;2-1
31-May-16 12:00:00 AM;27;77;944;15;2-1
31-May-16 12:00:00 AM;27;85;1767;13;2-1
31-May-16 12:00:00 AM;27;81;1964;19;2-1
31-May-16 12:00:00 AM;27;94;1730;13;2-1
31-May-16 12:00:00 AM;27;48;1802;22;2-1
31-May-16 12:00:00 AM;27;12;1216;25;2-1
31-May-16 12:00:00 AM;27;64;884;19;2-4
31-May-16 12:00:00 AM;27;26;1397;28;2-1
31-May-16 12:00:00 AM;27;7;1373;29;2-1
31-May-16 12:00:00 AM;27;20;1594;35;2-1
31-May-16 12:00:00 AM;27;24;1380;32;2-1
31-May-16 12:00:00 AM;27;10;1086;37;2-1
31-May-16 12:00:00 AM;27;13;1612;40;2-1
31-May-16 12:00:00 AM;27;21;1417;42;2-1
31-May-16 12:00:00 AM;27;71;1252;15;2-4
31-May-16 12:00:00 AM;27;73;1182;7;2-4
31-May-16 12:00:00 AM;27;15;1402;30;2-1
31-May-16 12:00:00 AM;27;84;1358;11;2-4
31-May-16 12:00:00 AM;27;86;1980;18;2-4
31-May-16 12:00:00 AM;27;87;1504;15;2-4
31-May-16 12:00:00 AM;27;88;952;8;2-4
31-May-16 12:00:00 AM;27;89;780;6;2-4
31-May-16 12:00:00 AM;27;91;1800;10;2-4
31-May-16 12:00:00 AM;27;92;1195;13;2-4
31-May-16 12:00:00 AM;27;93;1653;16;2-4
31-May-16 12:00:00 AM;27;90;2100;6;2-4
31-May-16 12:00:00 AM;27;95;2036;19;2-4
31-May-16 12:00:00 AM;31;27;1327;41;2-1
31-May-16 12:00:00 AM;85;27;1450;29;2-7
31-May-16 12:00:00 AM;94;27;1461;22;2-7
31-May-16 12:00:00 AM;32;27;1555;26;2-1
31-May-16 12:00:00 AM;29;27;1140;38;2-1
31-May-16 12:00:00 AM;46;27;1541;39;2-6
31-May-16 12:00:00 AM;30;27;1456;36;2-1
31-May-16 12:00:00 AM;69;27;1956;44;2-1
31-May-16 12:00:00 AM;28;27;1737;27;2-1
31-May-16 12:00:00 AM;27;16;1063;37;2-1
31-May-16 12:00:00 AM;27;17;1231;23;2-1
31-May-16 12:00:00 AM;27;9;1620;33;2-1
31-May-16 12:00:00 AM;27;19;1615;27;2-1
31-May-16 12:00:00 AM;27;14;1854;46;2-1
31-May-16 12:00:00 AM;74;27;1430;32;2-7
31-May-16 12:00:00 AM;33;27;953;27;2-7
31-May-16 12:00:00 AM;14;27;1525;43;2-6
31-May-16 12:00:00 AM;54;27;1227;26;2-7
31-May-16 12:00:00 AM;15;27;1183;29;2-7
31-May-16 12:00:00 AM;58;27;1515;34;2-7
31-May-16 12:00:00 AM;75;27;1785;29;2-7
