date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;1;28;1767;35;1-1
31-May-16 12:00:00 AM;2;28;1740;15;1-1
31-May-16 12:00:00 AM;7;28;1639;71;2-2
31-May-16 12:00:00 AM;6;28;1700;58;2-4
31-May-16 12:00:00 AM;8;28;1553;58;2-4
31-May-16 12:00:00 AM;9;28;1665;36;2-4
31-May-16 12:00:00 AM;10;28;1744;65;2-4
31-May-16 12:00:00 AM;11;28;1620;35;2-4
31-May-16 12:00:00 AM;12;28;1641;40;2-4
31-May-16 12:00:00 AM;16;28;1650;70;2-4
31-May-16 12:00:00 AM;17;28;1117;35;2-4
31-May-16 12:00:00 AM;18;28;1539;44;2-4
31-May-16 12:00:00 AM;19;28;1472;66;2-4
31-May-16 12:00:00 AM;20;28;1697;70;2-4
31-May-16 12:00:00 AM;21;28;1695;31;2-4
31-May-16 12:00:00 AM;25;28;1217;14;1-1
31-May-16 12:00:00 AM;27;28;1572;35;1-1
31-May-16 12:00:00 AM;22;28;1428;63;2-4
31-May-16 12:00:00 AM;23;28;1463;54;2-4
31-May-16 12:00:00 AM;24;28;1586;49;2-4
31-May-16 12:00:00 AM;28;28;1345;152;1-1
31-May-16 12:00:00 AM;28;29;1495;42;1-1
31-May-16 12:00:00 AM;28;30;1107;41;1-1
31-May-16 12:00:00 AM;28;31;1591;58;1-1
31-May-16 12:00:00 AM;28;32;1563;76;1-1
31-May-16 12:00:00 AM;26;28;1275;38;2-4
31-May-16 12:00:00 AM;30;28;1197;48;1-4
31-May-16 12:00:00 AM;29;28;1504;39;1-4
31-May-16 12:00:00 AM;28;33;1770;37;2-4
31-May-16 12:00:00 AM;28;34;2028;15;2-4
31-May-16 12:00:00 AM;28;36;2104;15;2-4
31-May-16 12:00:00 AM;28;39;1928;15;2-4
31-May-16 12:00:00 AM;28;40;955;14;2-4
31-May-16 12:00:00 AM;28;41;1015;12;2-4
31-May-16 12:00:00 AM;28;42;1122;14;2-4
31-May-16 12:00:00 AM;28;43;2062;19;2-4
31-May-16 12:00:00 AM;28;44;1290;43;2-4
31-May-16 12:00:00 AM;28;37;1125;17;2-4
31-May-16 12:00:00 AM;28;38;1168;15;2-4
31-May-16 12:00:00 AM;28;46;1391;31;2-4
31-May-16 12:00:00 AM;28;50;1668;30;2-4
31-May-16 12:00:00 AM;28;49;1706;36;2-4
31-May-16 12:00:00 AM;28;51;1547;62;2-4
31-May-16 12:00:00 AM;28;52;1632;34;2-4
31-May-16 12:00:00 AM;28;1;1464;25;2-4
31-May-16 12:00:00 AM;28;54;1436;36;2-4
31-May-16 12:00:00 AM;28;55;1660;37;2-4
31-May-16 12:00:00 AM;28;47;1886;23;2-4
31-May-16 12:00:00 AM;28;56;1477;71;2-4
31-May-16 12:00:00 AM;28;57;1476;31;2-4
31-May-16 12:00:00 AM;28;58;1640;36;2-4
31-May-16 12:00:00 AM;28;59;1500;66;2-4
31-May-16 12:00:00 AM;28;60;1575;70;2-4
31-May-16 12:00:00 AM;28;61;1812;34;2-4
31-May-16 12:00:00 AM;28;62;1757;61;2-4
31-May-16 12:00:00 AM;28;63;1500;39;2-4
31-May-16 12:00:00 AM;28;64;1522;19;2-4
31-May-16 12:00:00 AM;28;65;1886;32;2-4
31-May-16 12:00:00 AM;28;66;1727;37;2-4
31-May-16 12:00:00 AM;28;67;1320;66;2-4
31-May-16 12:00:00 AM;28;68;1767;59;2-4
31-May-16 12:00:00 AM;28;69;1346;29;2-4
31-May-16 12:00:00 AM;28;70;1645;35;2-4
31-May-16 12:00:00 AM;28;71;1864;15;2-4
31-May-16 12:00:00 AM;28;72;1958;30;2-4
31-May-16 12:00:00 AM;28;73;1175;12;2-4
31-May-16 12:00:00 AM;28;74;1383;38;2-4
31-May-16 12:00:00 AM;28;75;1613;27;2-4
31-May-16 12:00:00 AM;28;53;1197;20;2-4
31-May-16 12:00:00 AM;28;82;1591;27;2-4
31-May-16 12:00:00 AM;28;83;1797;20;2-4
31-May-16 12:00:00 AM;28;80;1945;21;2-4
31-May-16 12:00:00 AM;28;78;1846;22;2-4
31-May-16 12:00:00 AM;28;76;1894;14;2-4
31-May-16 12:00:00 AM;28;79;1974;22;2-4
31-May-16 12:00:00 AM;28;77;1792;23;2-4
31-May-16 12:00:00 AM;28;84;1116;13;2-4
31-May-16 12:00:00 AM;28;85;1496;19;2-4
31-May-16 12:00:00 AM;28;81;1785;28;2-4
31-May-16 12:00:00 AM;28;48;1660;24;2-4
31-May-16 12:00:00 AM;28;86;1320;13;2-4
31-May-16 12:00:00 AM;28;87;1336;22;2-4
31-May-16 12:00:00 AM;28;88;795;12;2-4
31-May-16 12:00:00 AM;28;89;2303;13;2-4
31-May-16 12:00:00 AM;28;91;985;12;2-4
31-May-16 12:00:00 AM;28;92;1710;14;2-4
31-May-16 12:00:00 AM;28;93;1623;17;2-4
31-May-16 12:00:00 AM;28;90;1200;7;2-4
31-May-16 12:00:00 AM;28;94;1277;24;2-4
31-May-16 12:00:00 AM;28;95;2058;19;2-4
31-May-16 12:00:00 AM;28;12;1566;38;2-1
31-May-16 12:00:00 AM;28;26;1676;34;2-1
31-May-16 12:00:00 AM;28;7;1764;55;2-1
31-May-16 12:00:00 AM;28;20;1816;61;2-1
31-May-16 12:00:00 AM;28;24;1912;42;2-1
31-May-16 12:00:00 AM;28;10;1860;61;2-1
31-May-16 12:00:00 AM;28;13;1500;40;2-1
31-May-16 12:00:00 AM;28;21;1667;28;2-1
31-May-16 12:00:00 AM;31;28;1609;70;2-1
31-May-16 12:00:00 AM;35;28;1167;13;1-1
31-May-16 12:00:00 AM;44;28;1003;41;2-1
31-May-16 12:00:00 AM;50;28;1356;38;2-1
31-May-16 12:00:00 AM;49;28;1591;54;2-1
31-May-16 12:00:00 AM;52;28;1187;39;2-1
31-May-16 12:00:00 AM;55;28;1776;56;2-1
31-May-16 12:00:00 AM;57;28;1062;30;2-1
31-May-16 12:00:00 AM;58;28;1555;39;2-1
31-May-16 12:00:00 AM;62;28;1500;63;2-2
31-May-16 12:00:00 AM;61;28;1673;55;2-1
31-May-16 12:00:00 AM;66;28;1730;51;2-1
31-May-16 12:00:00 AM;60;28;1422;67;2-1
31-May-16 12:00:00 AM;63;28;1328;41;2-1
31-May-16 12:00:00 AM;65;28;1824;59;2-1
31-May-16 12:00:00 AM;70;28;1425;38;2-1
31-May-16 12:00:00 AM;72;28;1447;51;2-1
31-May-16 12:00:00 AM;75;28;1505;41;2-1
31-May-16 12:00:00 AM;82;28;1862;49;2-2
31-May-16 12:00:00 AM;85;28;1640;33;2-1
31-May-16 12:00:00 AM;94;28;1402;24;2-7
31-May-16 12:00:00 AM;33;28;1465;42;2-1
31-May-16 12:00:00 AM;32;28;1532;74;2-1
31-May-16 12:00:00 AM;51;28;1623;61;2-1
31-May-16 12:00:00 AM;59;28;1463;71;2-1
31-May-16 12:00:00 AM;56;28;1502;71;2-1
31-May-16 12:00:00 AM;68;28;1611;63;2-1
31-May-16 12:00:00 AM;54;28;1131;36;2-1
31-May-16 12:00:00 AM;69;28;1663;44;2-1
31-May-16 12:00:00 AM;28;27;1737;27;2-1
31-May-16 12:00:00 AM;28;15;1633;36;2-1
31-May-16 12:00:00 AM;28;16;1612;60;2-1
31-May-16 12:00:00 AM;28;17;1738;33;2-1
31-May-16 12:00:00 AM;28;9;1489;23;2-1
31-May-16 12:00:00 AM;74;28;1492;31;2-7
31-May-16 12:00:00 AM;28;19;1933;53;2-1
31-May-16 12:00:00 AM;28;14;1694;50;2-1
31-May-16 12:00:00 AM;28;18;1587;37;2-1
31-May-16 12:00:00 AM;28;11;2338;35;2-1
31-May-16 12:00:00 AM;15;28;1182;40;2-7
31-May-16 12:00:00 AM;14;28;1410;53;2-7
31-May-16 12:00:00 AM;45;28;1518;13;1-1
31-May-16 12:00:00 AM;46;28;1424;39;2-7
31-May-16 12:00:00 AM;28;6;1730;43;2-7
31-May-16 12:00:00 AM;28;8;1688;42;2-7
31-May-16 12:00:00 AM;28;22;1567;48;2-7
31-May-16 12:00:00 AM;28;23;1640;41;2-1
31-May-16 12:00:00 AM;41;28;1548;15;2-7
31-May-16 12:00:00 AM;13;28;1573;32;2-6
31-May-16 12:00:00 AM;67;28;1668;51;2-6
31-May-16 12:00:00 AM;3;28;1290;14;2-4
31-May-16 12:00:00 AM;71;28;2106;10;1-2
31-May-16 12:00:00 AM;77;28;1868;14;1-4
31-May-16 12:00:00 AM;84;28;1891;17;1-4
31-May-16 12:00:00 AM;88;28;1698;13;1-4
31-May-16 12:00:00 AM;87;28;1988;21;1-4
31-May-16 12:00:00 AM;4;28;1478;11;1-2
31-May-16 12:00:00 AM;28;35;1095;4;1-2
31-May-16 12:00:00 AM;76;28;1524;22;1-4
31-May-16 12:00:00 AM;78;28;1743;19;1-4
31-May-16 12:00:00 AM;79;28;1840;18;1-4
31-May-16 12:00:00 AM;83;28;1536;15;1-4
31-May-16 12:00:00 AM;47;28;1402;19;1-1
31-May-16 12:00:00 AM;80;28;1588;19;1-4
31-May-16 12:00:00 AM;81;28;1440;17;1-4
31-May-16 12:00:00 AM;48;28;2051;16;1-4
31-May-16 12:00:00 AM;95;28;1788;20;1-4
31-May-16 12:00:00 AM;90;28;1398;13;1-4
31-May-16 12:00:00 AM;42;28;1358;11;1-4
31-May-16 12:00:00 AM;40;28;1375;14;1-4
31-May-16 12:00:00 AM;53;28;1520;9;1-1
31-May-16 12:00:00 AM;28;96;1677;27;2-1
31-May-16 12:00:00 AM;28;97;1395;27;2-1
31-May-16 12:00:00 AM;28;98;1711;36;2-1
31-May-16 12:00:00 AM;28;100;1491;28;2-1
31-May-16 12:00:00 AM;28;101;1147;34;2-1
31-May-16 12:00:00 AM;28;102;2257;27;2-1
31-May-16 12:00:00 AM;28;103;1302;10;2-1
31-May-16 12:00:00 AM;96;28;1380;33;2-4
31-May-16 12:00:00 AM;97;28;1323;33;2-4
31-May-16 12:00:00 AM;99;28;1654;30;1-1
31-May-16 12:00:00 AM;98;28;1884;39;2-4
31-May-16 12:00:00 AM;100;28;1774;30;2-4
31-May-16 12:00:00 AM;101;28;1515;42;2-4
31-May-16 12:00:00 AM;102;28;1663;36;2-4
31-May-16 12:00:00 AM;103;28;1923;34;2-4
31-May-16 12:00:00 AM;104;28;1410;35;2-4
31-May-16 12:00:00 AM;105;28;1772;26;2-4
31-May-16 12:00:00 AM;5;28;1710;12;1-1
31-May-16 12:00:00 AM;106;28;1826;27;2-4
31-May-16 12:00:00 AM;107;28;1940;36;2-4
31-May-16 12:00:00 AM;109;28;1748;27;1-1
31-May-16 12:00:00 AM;108;28;1196;36;2-4
31-May-16 12:00:00 AM;89;28;2618;14;1-4
31-May-16 12:00:00 AM;28;99;1336;61;2-4
31-May-16 12:00:00 AM;28;109;1154;49;2-4
31-May-16 12:00:00 AM;28;4;561;11;2-4
31-May-16 12:00:00 AM;28;3;1215;16;1-4
31-May-16 12:00:00 AM;28;5;1361;16;2-4
31-May-16 12:00:00 AM;28;107;1323;16;1-4
31-May-16 12:00:00 AM;28;106;1629;13;1-4
31-May-16 12:00:00 AM;28;105;1380;14;1-4
31-May-16 12:00:00 AM;92;28;1685;11;1-4
31-May-16 12:00:00 AM;93;28;2535;12;1-4
31-May-16 12:00:00 AM;37;28;1790;6;1-4
31-May-16 12:00:00 AM;73;28;2082;7;1-1
31-May-16 12:00:00 AM;91;28;2110;6;1-1
31-May-16 12:00:00 AM;86;28;1161;11;1-1
01-Jun-16 12:00:00 AM;64;28;2070;16;1-1
01-Jun-16 12:00:00 AM;39;28;2004;15;1-4
01-Jun-16 12:00:00 AM;28;108;1070;6;2-1
01-Jun-16 12:00:00 AM;28;104;1209;26;2-1
01-Jun-16 12:00:00 AM;28;2;1176;5;1-1
01-Jun-16 12:00:00 AM;28;45;420;1;1-1
01-Jun-16 12:00:00 AM;28;25;990;2;1-1
01-Jun-16 12:00:00 AM;36;28;1760;6;2-4
01-Jun-16 12:00:00 AM;43;28;2091;7;1-4
02-Jun-16 12:00:00 AM;34;28;1905;17;1-4
02-Jun-16 12:00:00 AM;38;28;1300;3;2-4
