date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;1;29;1455;8;1-1
31-May-16 12:00:00 AM;2;29;1020;3;1-1
31-May-16 12:00:00 AM;6;29;1578;10;2-4
31-May-16 12:00:00 AM;7;29;1590;4;2-4
31-May-16 12:00:00 AM;8;29;2094;10;2-4
31-May-16 12:00:00 AM;9;29;1000;9;2-4
31-May-16 12:00:00 AM;10;29;1455;12;2-4
31-May-16 12:00:00 AM;11;29;2055;8;2-4
31-May-16 12:00:00 AM;12;29;1947;13;2-4
31-May-16 12:00:00 AM;14;29;1705;14;2-7
31-May-16 12:00:00 AM;15;29;1882;8;2-7
31-May-16 12:00:00 AM;16;29;1866;9;2-4
31-May-16 12:00:00 AM;17;29;1969;11;2-4
31-May-16 12:00:00 AM;18;29;2160;13;2-4
31-May-16 12:00:00 AM;19;29;2180;9;2-4
31-May-16 12:00:00 AM;20;29;1537;8;2-4
31-May-16 12:00:00 AM;21;29;1417;8;2-4
31-May-16 12:00:00 AM;25;29;720;3;1-1
31-May-16 12:00:00 AM;22;29;1420;15;2-4
31-May-16 12:00:00 AM;23;29;1472;13;2-4
31-May-16 12:00:00 AM;24;29;1830;12;2-4
31-May-16 12:00:00 AM;26;29;1504;13;2-4
31-May-16 12:00:00 AM;27;29;949;11;2-4
31-May-16 12:00:00 AM;29;31;1813;9;2-4
31-May-16 12:00:00 AM;29;32;1663;11;2-4
31-May-16 12:00:00 AM;29;33;1045;12;2-4
31-May-16 12:00:00 AM;29;34;300;1;2-4
31-May-16 12:00:00 AM;29;36;2700;1;2-4
31-May-16 12:00:00 AM;29;39;1920;1;2-4
31-May-16 12:00:00 AM;29;40;1620;1;2-4
31-May-16 12:00:00 AM;29;41;768;5;2-4
31-May-16 12:00:00 AM;29;42;1920;1;2-4
31-May-16 12:00:00 AM;29;43;960;1;2-4
31-May-16 12:00:00 AM;29;44;2005;12;2-4
31-May-16 12:00:00 AM;29;37;1905;4;2-4
31-May-16 12:00:00 AM;29;38;3120;1;2-4
31-May-16 12:00:00 AM;29;46;1550;6;2-4
31-May-16 12:00:00 AM;29;50;1380;12;2-4
31-May-16 12:00:00 AM;29;49;1962;10;2-4
31-May-16 12:00:00 AM;29;51;1110;6;2-4
31-May-16 12:00:00 AM;29;52;1560;11;2-4
31-May-16 12:00:00 AM;29;1;1440;4;2-4
31-May-16 12:00:00 AM;29;54;1453;9;2-4
31-May-16 12:00:00 AM;29;55;1785;8;2-4
31-May-16 12:00:00 AM;29;47;1422;14;2-4
31-May-16 12:00:00 AM;29;56;1520;9;2-4
31-May-16 12:00:00 AM;29;57;1800;9;2-4
31-May-16 12:00:00 AM;29;58;1472;11;2-4
31-May-16 12:00:00 AM;29;59;1686;10;2-4
31-May-16 12:00:00 AM;29;60;2220;5;2-4
31-May-16 12:00:00 AM;29;61;1817;7;2-4
31-May-16 12:00:00 AM;29;62;1525;7;2-4
31-May-16 12:00:00 AM;29;63;1656;13;2-4
31-May-16 12:00:00 AM;29;64;2600;3;2-4
31-May-16 12:00:00 AM;29;65;1760;9;2-4
31-May-16 12:00:00 AM;29;66;1704;10;2-4
31-May-16 12:00:00 AM;29;67;1987;16;2-4
31-May-16 12:00:00 AM;29;68;1774;7;2-4
31-May-16 12:00:00 AM;29;69;1660;9;2-4
31-May-16 12:00:00 AM;29;70;1626;9;2-4
31-May-16 12:00:00 AM;29;71;1200;3;2-4
31-May-16 12:00:00 AM;29;72;1687;8;2-4
31-May-16 12:00:00 AM;29;73;1200;1;2-4
31-May-16 12:00:00 AM;29;74;1713;9;2-4
31-May-16 12:00:00 AM;29;75;1986;10;2-4
31-May-16 12:00:00 AM;29;53;1577;7;2-4
31-May-16 12:00:00 AM;29;82;2120;6;2-4
31-May-16 12:00:00 AM;29;83;1987;8;2-4
31-May-16 12:00:00 AM;29;80;2032;8;2-4
31-May-16 12:00:00 AM;29;78;2017;8;2-4
31-May-16 12:00:00 AM;29;76;1846;9;2-4
31-May-16 12:00:00 AM;29;79;1972;8;2-4
31-May-16 12:00:00 AM;29;77;2287;8;2-4
31-May-16 12:00:00 AM;29;84;1695;4;2-4
31-May-16 12:00:00 AM;29;85;2305;7;2-4
31-May-16 12:00:00 AM;29;81;2070;8;2-4
31-May-16 12:00:00 AM;29;48;1788;10;2-4
31-May-16 12:00:00 AM;29;86;2175;4;2-4
31-May-16 12:00:00 AM;29;87;1148;7;2-4
31-May-16 12:00:00 AM;29;88;2040;1;2-4
31-May-16 12:00:00 AM;29;89;2040;1;2-4
31-May-16 12:00:00 AM;29;91;2040;1;2-4
31-May-16 12:00:00 AM;29;92;2040;1;2-4
31-May-16 12:00:00 AM;29;93;2040;1;2-4
31-May-16 12:00:00 AM;29;90;2100;1;2-4
31-May-16 12:00:00 AM;29;94;2062;8;2-4
31-May-16 12:00:00 AM;29;95;1536;5;2-4
31-May-16 12:00:00 AM;28;29;1513;9;2-1
31-May-16 12:00:00 AM;29;12;1764;15;2-1
31-May-16 12:00:00 AM;30;29;891;7;2-1
31-May-16 12:00:00 AM;31;29;1813;9;2-1
31-May-16 12:00:00 AM;44;29;1887;11;2-1
31-May-16 12:00:00 AM;50;29;1804;15;2-1
31-May-16 12:00:00 AM;49;29;1974;11;2-1
31-May-16 12:00:00 AM;52;29;1804;13;2-1
31-May-16 12:00:00 AM;55;29;1680;10;2-1
31-May-16 12:00:00 AM;57;29;1816;11;2-1
31-May-16 12:00:00 AM;58;29;1423;11;2-1
