date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;2;2;1539;20;1-6
31-May-16 12:00:00 AM;2;2;1539;20;1-6
31-May-16 12:00:00 AM;2;1;1472;13;1-6
31-May-16 12:00:00 AM;1;2;1860;14;1-1
31-May-16 12:00:00 AM;2;3;1227;11;1-1
31-May-16 12:00:00 AM;2;4;835;12;1-1
31-May-16 12:00:00 AM;2;5;1608;15;1-1
31-May-16 12:00:00 AM;2;6;1964;15;1-1
31-May-16 12:00:00 AM;2;7;1696;15;1-1
31-May-16 12:00:00 AM;2;8;1972;15;1-1
31-May-16 12:00:00 AM;2;9;1928;15;1-1
31-May-16 12:00:00 AM;2;10;1600;15;1-1
31-May-16 12:00:00 AM;2;11;1726;9;1-1
31-May-16 12:00:00 AM;2;12;1316;15;1-1
31-May-16 12:00:00 AM;2;13;1872;15;1-1
31-May-16 12:00:00 AM;2;14;1844;15;1-1
31-May-16 12:00:00 AM;2;15;1692;15;1-1
31-May-16 12:00:00 AM;2;16;1432;15;1-1
31-May-16 12:00:00 AM;2;17;1688;15;1-1
31-May-16 12:00:00 AM;2;18;1360;15;1-1
31-May-16 12:00:00 AM;2;19;1996;15;1-1
31-May-16 12:00:00 AM;2;20;1876;15;1-1
31-May-16 12:00:00 AM;2;21;1652;15;1-1
31-May-16 12:00:00 AM;2;22;2051;21;1-1
31-May-16 12:00:00 AM;2;23;1980;15;1-1
31-May-16 12:00:00 AM;2;24;2144;15;1-1
31-May-16 12:00:00 AM;2;25;2035;12;1-1
31-May-16 12:00:00 AM;2;26;2544;15;1-1
31-May-16 12:00:00 AM;2;27;1256;15;1-1
31-May-16 12:00:00 AM;2;28;1740;15;1-1
31-May-16 12:00:00 AM;2;29;2056;15;1-1
31-May-16 12:00:00 AM;2;30;1892;15;1-1
31-May-16 12:00:00 AM;2;31;1484;15;1-1
31-May-16 12:00:00 AM;2;32;1380;15;1-1
31-May-16 12:00:00 AM;2;33;1812;15;1-1
31-May-16 12:00:00 AM;2;34;1998;13;1-1
31-May-16 12:00:00 AM;2;35;1566;10;1-1
31-May-16 12:00:00 AM;2;36;1587;13;1-1
31-May-16 12:00:00 AM;2;37;1974;11;1-1
31-May-16 12:00:00 AM;2;38;1026;9;1-1
31-May-16 12:00:00 AM;2;39;1510;11;1-1
31-May-16 12:00:00 AM;2;40;1115;12;1-1
31-May-16 12:00:00 AM;2;41;1656;10;1-1
31-May-16 12:00:00 AM;2;42;1205;12;1-1
31-May-16 12:00:00 AM;2;43;2089;11;1-1
31-May-16 12:00:00 AM;2;44;1748;15;1-1
31-May-16 12:00:00 AM;2;45;1815;12;1-1
31-May-16 12:00:00 AM;2;46;1828;15;1-1
31-May-16 12:00:00 AM;2;47;1796;32;1-1
31-May-16 12:00:00 AM;2;48;2086;18;1-1
31-May-16 12:00:00 AM;2;49;1568;15;1-1
31-May-16 12:00:00 AM;2;50;1620;15;1-1
31-May-16 12:00:00 AM;2;51;1784;15;1-1
31-May-16 12:00:00 AM;2;52;1412;15;1-1
31-May-16 12:00:00 AM;2;53;2028;31;1-1
31-May-16 12:00:00 AM;2;54;2096;15;1-1
31-May-16 12:00:00 AM;2;55;1800;15;1-1
31-May-16 12:00:00 AM;2;56;2248;15;1-1
31-May-16 12:00:00 AM;2;57;1960;15;1-1
31-May-16 12:00:00 AM;2;58;1964;15;1-1
31-May-16 12:00:00 AM;2;59;2008;15;1-1
31-May-16 12:00:00 AM;2;60;1240;15;1-1
31-May-16 12:00:00 AM;2;61;1804;15;1-1
31-May-16 12:00:00 AM;2;62;1720;9;1-1
31-May-16 12:00:00 AM;2;63;1360;15;1-1
31-May-16 12:00:00 AM;2;64;1695;16;1-1
31-May-16 12:00:00 AM;2;65;2012;15;1-1
31-May-16 12:00:00 AM;2;66;1656;15;1-1
31-May-16 12:00:00 AM;2;67;1592;30;1-1
31-May-16 12:00:00 AM;2;68;1951;21;1-1
31-May-16 12:00:00 AM;2;69;2093;18;1-1
31-May-16 12:00:00 AM;2;70;2087;19;1-1
31-May-16 12:00:00 AM;2;71;1716;13;1-1
31-May-16 12:00:00 AM;2;72;1888;15;1-1
31-May-16 12:00:00 AM;2;73;1767;11;1-1
31-May-16 12:00:00 AM;2;74;2272;15;1-1
31-May-16 12:00:00 AM;2;75;1512;15;1-1
31-May-16 12:00:00 AM;2;76;2472;14;1-1
31-May-16 12:00:00 AM;2;77;1871;21;1-1
31-May-16 12:00:00 AM;2;78;2852;15;1-1
31-May-16 12:00:00 AM;2;79;2868;15;1-1
31-May-16 12:00:00 AM;2;80;2844;15;1-1
31-May-16 12:00:00 AM;2;81;2611;19;1-1
31-May-16 12:00:00 AM;2;82;1984;13;1-1
31-May-16 12:00:00 AM;2;83;2852;15;1-1
31-May-16 12:00:00 AM;2;84;2483;13;1-1
31-May-16 12:00:00 AM;2;85;2413;13;1-1
31-May-16 12:00:00 AM;2;86;1632;15;1-1
31-May-16 12:00:00 AM;2;87;1984;13;1-1
31-May-16 12:00:00 AM;2;88;2381;13;1-1
31-May-16 12:00:00 AM;2;89;2083;11;1-1
31-May-16 12:00:00 AM;2;90;940;9;1-1
31-May-16 12:00:00 AM;2;91;1821;11;1-1
31-May-16 12:00:00 AM;2;92;1581;11;1-1
31-May-16 12:00:00 AM;2;93;1647;13;1-1
31-May-16 12:00:00 AM;2;94;1756;15;1-1
31-May-16 12:00:00 AM;2;95;2036;15;1-1
31-May-16 12:00:00 AM;2;96;1464;15;1-1
31-May-16 12:00:00 AM;2;97;1160;15;1-1
31-May-16 12:00:00 AM;2;98;1996;11;1-1
31-May-16 12:00:00 AM;2;99;1565;24;1-1
31-May-16 12:00:00 AM;2;100;1204;15;1-1
31-May-16 12:00:00 AM;2;101;1218;10;1-1
31-May-16 12:00:00 AM;2;102;1716;15;1-1
31-May-16 12:00:00 AM;2;103;993;9;1-1
31-May-16 12:00:00 AM;2;104;816;5;1-1
31-May-16 12:00:00 AM;2;105;1160;9;1-1
31-May-16 12:00:00 AM;2;106;1166;9;1-1
31-May-16 12:00:00 AM;2;107;833;9;1-1
31-May-16 12:00:00 AM;2;108;1776;5;1-1
31-May-16 12:00:00 AM;2;109;1905;24;1-1
01-Jun-16 12:00:00 AM;35;2;1308;5;1-1
01-Jun-16 12:00:00 AM;90;2;1968;5;1-1
01-Jun-16 12:00:00 AM;45;2;2172;5;1-1
01-Jun-16 12:00:00 AM;25;2;2124;5;1-1
01-Jun-16 12:00:00 AM;85;2;888;5;1-1
01-Jun-16 12:00:00 AM;92;2;2364;5;1-1
01-Jun-16 12:00:00 AM;46;2;1704;5;1-1
01-Jun-16 12:00:00 AM;75;2;1716;5;1-1
01-Jun-16 12:00:00 AM;11;2;2076;5;1-1
01-Jun-16 12:00:00 AM;57;2;2100;5;1-1
01-Jun-16 12:00:00 AM;44;2;1536;5;1-1
01-Jun-16 12:00:00 AM;55;2;1464;5;1-1
01-Jun-16 12:00:00 AM;15;2;1680;5;1-1
01-Jun-16 12:00:00 AM;6;2;1788;5;1-1
01-Jun-16 12:00:00 AM;9;2;1872;5;1-1
01-Jun-16 12:00:00 AM;12;2;1536;5;1-1
01-Jun-16 12:00:00 AM;50;2;1476;5;1-1
01-Jun-16 12:00:00 AM;24;2;1896;5;1-1
01-Jun-16 12:00:00 AM;69;2;1608;5;1-1
01-Jun-16 12:00:00 AM;52;2;1428;5;1-1
01-Jun-16 12:00:00 AM;17;2;1764;5;1-1
01-Jun-16 12:00:00 AM;28;2;1176;5;1-1
01-Jun-16 12:00:00 AM;18;2;1464;5;1-1
01-Jun-16 12:00:00 AM;65;2;1440;5;1-1
01-Jun-16 12:00:00 AM;21;2;1776;5;1-1
01-Jun-16 12:00:00 AM;49;2;1512;5;1-1
01-Jun-16 12:00:00 AM;82;2;1692;5;1-1
01-Jun-16 12:00:00 AM;54;2;1140;5;1-1
01-Jun-16 12:00:00 AM;58;2;1524;5;1-1
01-Jun-16 12:00:00 AM;56;2;1596;5;1-1
01-Jun-16 12:00:00 AM;79;2;1428;5;1-1
01-Jun-16 12:00:00 AM;94;2;852;5;1-1
01-Jun-16 12:00:00 AM;34;2;828;5;1-1
01-Jun-16 12:00:00 AM;84;2;828;5;1-1
