date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;1;30;1633;35;1-1
31-May-16 12:00:00 AM;2;30;1892;15;1-1
31-May-16 12:00:00 AM;4;30;1312;23;3-4
31-May-16 12:00:00 AM;6;30;1517;51;2-4
31-May-16 12:00:00 AM;5;30;2245;21;3-4
31-May-16 12:00:00 AM;7;30;1819;43;2-4
31-May-16 12:00:00 AM;8;30;1431;54;2-4
31-May-16 12:00:00 AM;10;30;1445;36;2-4
31-May-16 12:00:00 AM;9;30;1698;45;2-4
31-May-16 12:00:00 AM;11;30;1771;25;2-4
31-May-16 12:00:00 AM;12;30;1712;24;2-4
31-May-16 12:00:00 AM;13;30;1710;37;2-6
31-May-16 12:00:00 AM;16;30;1160;41;2-4
31-May-16 12:00:00 AM;17;30;1620;32;2-4
31-May-16 12:00:00 AM;18;30;1794;23;2-4
31-May-16 12:00:00 AM;19;30;1525;36;2-4
31-May-16 12:00:00 AM;20;30;1621;38;2-4
31-May-16 12:00:00 AM;21;30;1420;46;2-4
31-May-16 12:00:00 AM;25;30;1470;14;1-1
31-May-16 12:00:00 AM;27;30;1516;41;1-1
31-May-16 12:00:00 AM;22;30;1438;51;2-4
31-May-16 12:00:00 AM;23;30;1790;53;2-4
31-May-16 12:00:00 AM;24;30;1876;36;2-4
31-May-16 12:00:00 AM;28;30;1107;41;1-1
31-May-16 12:00:00 AM;29;30;1712;35;1-1
31-May-16 12:00:00 AM;30;30;1052;133;1-1
31-May-16 12:00:00 AM;30;31;1437;51;1-1
31-May-16 12:00:00 AM;30;32;1193;45;1-1
31-May-16 12:00:00 AM;26;30;1189;29;2-4
31-May-16 12:00:00 AM;30;28;1197;48;1-4
31-May-16 12:00:00 AM;30;29;1294;30;1-4
31-May-16 12:00:00 AM;30;33;1363;33;2-4
31-May-16 12:00:00 AM;30;34;1115;12;2-4
31-May-16 12:00:00 AM;30;36;1356;13;2-4
31-May-16 12:00:00 AM;30;39;1221;11;2-4
31-May-16 12:00:00 AM;30;40;1947;13;2-4
31-May-16 12:00:00 AM;30;41;1541;13;2-4
31-May-16 12:00:00 AM;30;42;1998;13;2-4
31-May-16 12:00:00 AM;30;43;1728;15;2-4
31-May-16 12:00:00 AM;30;44;1380;19;2-4
31-May-16 12:00:00 AM;30;37;1593;16;2-4
31-May-16 12:00:00 AM;30;38;942;10;2-4
31-May-16 12:00:00 AM;30;46;1541;43;2-4
31-May-16 12:00:00 AM;30;50;1314;22;2-4
31-May-16 12:00:00 AM;30;49;1222;27;2-4
31-May-16 12:00:00 AM;30;51;1584;42;2-4
31-May-16 12:00:00 AM;30;52;1275;23;2-4
31-May-16 12:00:00 AM;30;1;1125;29;2-4
31-May-16 12:00:00 AM;30;54;1267;24;2-4
31-May-16 12:00:00 AM;30;55;1253;26;2-4
31-May-16 12:00:00 AM;30;47;1630;28;2-4
31-May-16 12:00:00 AM;30;56;1300;33;2-4
31-May-16 12:00:00 AM;30;57;1225;28;2-4
31-May-16 12:00:00 AM;30;58;1634;30;2-4
31-May-16 12:00:00 AM;30;59;1548;36;2-4
31-May-16 12:00:00 AM;30;60;1309;46;2-4
31-May-16 12:00:00 AM;30;61;1518;30;2-4
31-May-16 12:00:00 AM;30;62;1584;29;2-4
31-May-16 12:00:00 AM;30;63;1546;36;2-4
31-May-16 12:00:00 AM;30;64;967;24;2-4
31-May-16 12:00:00 AM;30;65;1652;22;2-4
31-May-16 12:00:00 AM;30;66;1558;30;2-4
31-May-16 12:00:00 AM;30;67;1166;97;2-4
31-May-16 12:00:00 AM;30;68;1390;42;2-4
31-May-16 12:00:00 AM;30;69;1604;43;2-4
31-May-16 12:00:00 AM;30;70;1483;26;2-4
31-May-16 12:00:00 AM;30;71;1157;17;2-4
31-May-16 12:00:00 AM;30;72;1905;33;2-4
31-May-16 12:00:00 AM;30;73;1270;6;2-4
31-May-16 12:00:00 AM;30;74;1756;26;2-4
31-May-16 12:00:00 AM;30;75;1431;27;2-4
31-May-16 12:00:00 AM;30;53;1372;23;2-4
31-May-16 12:00:00 AM;30;82;1549;23;2-4
31-May-16 12:00:00 AM;30;83;1800;21;2-4
31-May-16 12:00:00 AM;30;80;1730;19;2-4
31-May-16 12:00:00 AM;30;78;1650;20;2-4
31-May-16 12:00:00 AM;30;76;1832;15;2-4
31-May-16 12:00:00 AM;30;79;1680;20;2-4
31-May-16 12:00:00 AM;30;77;1771;21;2-4
31-May-16 12:00:00 AM;30;84;1875;12;2-4
31-May-16 12:00:00 AM;30;85;1879;22;2-4
31-May-16 12:00:00 AM;30;81;1855;26;2-4
31-May-16 12:00:00 AM;30;48;1569;25;2-4
31-May-16 12:00:00 AM;30;86;2067;13;2-4
31-May-16 12:00:00 AM;30;87;1712;13;2-4
31-May-16 12:00:00 AM;30;88;2241;11;2-4
31-May-16 12:00:00 AM;30;89;1440;7;2-4
31-May-16 12:00:00 AM;30;91;1350;6;2-4
31-May-16 12:00:00 AM;30;92;1260;10;2-4
31-May-16 12:00:00 AM;30;93;1944;15;2-4
31-May-16 12:00:00 AM;30;90;1540;6;2-4
31-May-16 12:00:00 AM;30;94;1713;18;2-4
31-May-16 12:00:00 AM;30;95;1850;19;2-4
31-May-16 12:00:00 AM;30;12;1525;26;2-1
31-May-16 12:00:00 AM;30;26;897;28;2-1
31-May-16 12:00:00 AM;30;7;1395;35;2-1
31-May-16 12:00:00 AM;30;20;1947;39;2-1
31-May-16 12:00:00 AM;30;24;1800;29;2-1
31-May-16 12:00:00 AM;30;10;1675;38;2-1
31-May-16 12:00:00 AM;31;30;1415;42;2-1
31-May-16 12:00:00 AM;44;30;1193;29;2-1
31-May-16 12:00:00 AM;36;30;1842;30;3-4
31-May-16 12:00:00 AM;40;30;1800;31;3-4
31-May-16 12:00:00 AM;37;30;1328;35;3-2
31-May-16 12:00:00 AM;50;30;1343;23;2-1
31-May-16 12:00:00 AM;49;30;1391;51;2-1
31-May-16 12:00:00 AM;52;30;1363;29;2-1
31-May-16 12:00:00 AM;55;30;1402;43;2-1
31-May-16 12:00:00 AM;57;30;1140;30;2-1
31-May-16 12:00:00 AM;58;30;1681;34;2-1
31-May-16 12:00:00 AM;61;30;1578;42;2-1
31-May-16 12:00:00 AM;60;30;1230;34;2-1
31-May-16 12:00:00 AM;66;30;1628;48;2-1
31-May-16 12:00:00 AM;63;30;1561;35;2-1
31-May-16 12:00:00 AM;62;30;1457;31;2-1
31-May-16 12:00:00 AM;65;30;1651;50;2-1
31-May-16 12:00:00 AM;67;30;1543;69;2-6
31-May-16 12:00:00 AM;70;30;1535;27;2-1
31-May-16 12:00:00 AM;69;30;1878;51;2-1
31-May-16 12:00:00 AM;72;30;1346;52;2-1
31-May-16 12:00:00 AM;73;30;1863;17;3-2
31-May-16 12:00:00 AM;75;30;1138;37;2-1
31-May-16 12:00:00 AM;82;30;1720;40;2-1
31-May-16 12:00:00 AM;85;30;1807;38;2-1
31-May-16 12:00:00 AM;84;30;1468;32;3-1
31-May-16 12:00:00 AM;88;30;1802;23;3-4
31-May-16 12:00:00 AM;86;30;767;14;3-4
31-May-16 12:00:00 AM;91;30;1315;26;3-4
31-May-16 12:00:00 AM;93;30;2197;21;3-4
31-May-16 12:00:00 AM;92;30;1022;27;3-4
31-May-16 12:00:00 AM;90;30;2202;17;3-4
31-May-16 12:00:00 AM;95;30;1684;25;3-2
31-May-16 12:00:00 AM;87;30;1755;27;3-1
31-May-16 12:00:00 AM;33;30;1380;32;2-1
31-May-16 12:00:00 AM;46;30;1403;49;2-1
31-May-16 12:00:00 AM;32;30;824;34;2-1
31-May-16 12:00:00 AM;74;30;1397;27;2-1
31-May-16 12:00:00 AM;48;30;1268;27;3-4
31-May-16 12:00:00 AM;51;30;1442;42;2-1
31-May-16 12:00:00 AM;89;30;1282;29;3-1
31-May-16 12:00:00 AM;59;30;1275;39;2-1
31-May-16 12:00:00 AM;56;30;1335;39;2-1
31-May-16 12:00:00 AM;68;30;1136;48;2-1
31-May-16 12:00:00 AM;30;13;1620;43;2-1
31-May-16 12:00:00 AM;30;21;1937;27;2-1
31-May-16 12:00:00 AM;30;27;1456;36;2-1
31-May-16 12:00:00 AM;30;15;1320;24;2-1
31-May-16 12:00:00 AM;30;16;1638;53;2-1
31-May-16 12:00:00 AM;30;17;1112;24;2-1
31-May-16 12:00:00 AM;30;9;1602;40;2-1
31-May-16 12:00:00 AM;42;30;2051;26;3-1
31-May-16 12:00:00 AM;39;30;2016;18;3-1
31-May-16 12:00:00 AM;30;14;1451;52;2-6
