date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;1;31;1494;33;1-1
31-May-16 12:00:00 AM;2;31;1484;15;1-1
31-May-16 12:00:00 AM;7;31;1637;67;2-2
31-May-16 12:00:00 AM;6;31;1549;57;2-4
31-May-16 12:00:00 AM;8;31;1872;44;2-4
31-May-16 12:00:00 AM;10;31;1731;71;2-4
31-May-16 12:00:00 AM;9;31;1623;40;2-4
31-May-16 12:00:00 AM;11;31;1607;34;2-4
31-May-16 12:00:00 AM;12;31;1545;32;2-4
31-May-16 12:00:00 AM;16;31;1884;72;2-4
31-May-16 12:00:00 AM;17;31;2096;30;2-4
31-May-16 12:00:00 AM;18;31;1431;35;2-4
31-May-16 12:00:00 AM;19;31;1558;67;2-4
31-May-16 12:00:00 AM;20;31;1573;71;2-4
31-May-16 12:00:00 AM;21;31;1269;43;2-4
31-May-16 12:00:00 AM;25;31;1970;13;1-1
31-May-16 12:00:00 AM;22;31;1611;52;2-4
31-May-16 12:00:00 AM;23;31;1537;50;2-4
31-May-16 12:00:00 AM;24;31;1828;47;2-4
31-May-16 12:00:00 AM;28;31;1591;58;1-1
31-May-16 12:00:00 AM;29;31;1355;41;1-1
31-May-16 12:00:00 AM;30;31;1437;51;1-1
31-May-16 12:00:00 AM;26;31;1360;31;2-4
31-May-16 12:00:00 AM;31;31;1304;155;1-1
31-May-16 12:00:00 AM;31;32;1335;83;1-1
31-May-16 12:00:00 AM;27;31;1260;43;2-4
31-May-16 12:00:00 AM;32;31;1452;67;1-4
31-May-16 12:00:00 AM;31;33;1101;36;2-4
31-May-16 12:00:00 AM;31;34;1620;9;2-4
31-May-16 12:00:00 AM;31;36;2502;10;2-4
31-May-16 12:00:00 AM;31;39;1488;15;2-4
31-May-16 12:00:00 AM;31;40;2607;11;2-4
31-May-16 12:00:00 AM;31;41;2007;11;2-4
31-May-16 12:00:00 AM;31;42;2772;10;2-4
31-May-16 12:00:00 AM;31;43;1217;14;2-4
31-May-16 12:00:00 AM;31;44;1427;29;2-4
31-May-16 12:00:00 AM;31;37;1515;12;2-4
31-May-16 12:00:00 AM;31;38;2310;14;2-4
31-May-16 12:00:00 AM;31;46;1843;41;2-4
31-May-16 12:00:00 AM;31;50;1287;33;2-4
31-May-16 12:00:00 AM;31;49;1493;35;2-4
31-May-16 12:00:00 AM;31;51;1633;72;2-4
31-May-16 12:00:00 AM;31;52;1786;36;2-4
31-May-16 12:00:00 AM;31;1;1604;23;2-4
31-May-16 12:00:00 AM;31;54;1326;30;2-4
31-May-16 12:00:00 AM;31;55;1513;32;2-4
31-May-16 12:00:00 AM;31;47;1437;21;2-4
31-May-16 12:00:00 AM;31;56;1500;63;2-4
31-May-16 12:00:00 AM;31;57;1127;29;2-4
31-May-16 12:00:00 AM;31;58;1384;29;2-4
31-May-16 12:00:00 AM;31;59;1523;60;2-4
31-May-16 12:00:00 AM;31;60;1676;79;2-4
31-May-16 12:00:00 AM;31;61;1980;30;2-4
31-May-16 12:00:00 AM;31;62;1622;61;2-4
31-May-16 12:00:00 AM;31;63;1344;41;2-4
31-May-16 12:00:00 AM;31;64;675;20;2-4
31-May-16 12:00:00 AM;31;65;1782;27;2-4
31-May-16 12:00:00 AM;31;66;1325;34;2-4
31-May-16 12:00:00 AM;31;67;1359;76;2-4
31-May-16 12:00:00 AM;31;68;1732;70;2-4
31-May-16 12:00:00 AM;31;69;1509;37;2-4
31-May-16 12:00:00 AM;31;70;1241;29;2-4
31-May-16 12:00:00 AM;31;71;1625;12;2-4
31-May-16 12:00:00 AM;31;72;1535;32;2-4
31-May-16 12:00:00 AM;31;73;853;9;2-4
31-May-16 12:00:00 AM;31;74;1328;34;2-4
31-May-16 12:00:00 AM;31;75;1250;26;2-4
31-May-16 12:00:00 AM;31;53;1401;20;2-4
31-May-16 12:00:00 AM;31;82;1664;19;2-4
31-May-16 12:00:00 AM;31;83;1461;17;2-4
31-May-16 12:00:00 AM;31;80;1674;21;2-4
31-May-16 12:00:00 AM;31;78;1540;12;2-4
31-May-16 12:00:00 AM;31;76;1192;15;2-4
31-May-16 12:00:00 AM;31;79;1482;20;2-4
31-May-16 12:00:00 AM;31;77;1030;22;2-4
31-May-16 12:00:00 AM;31;84;1362;7;2-4
31-May-16 12:00:00 AM;31;85;1816;15;2-4
31-May-16 12:00:00 AM;31;81;1803;19;2-4
31-May-16 12:00:00 AM;31;48;1672;24;2-4
31-May-16 12:00:00 AM;31;86;1718;14;2-4
31-May-16 12:00:00 AM;31;87;1670;13;2-4
31-May-16 12:00:00 AM;31;88;1671;7;2-4
31-May-16 12:00:00 AM;31;89;1130;6;2-4
31-May-16 12:00:00 AM;31;91;1266;9;2-4
31-May-16 12:00:00 AM;31;92;1418;11;2-4
31-May-16 12:00:00 AM;31;93;2043;17;2-4
31-May-16 12:00:00 AM;31;90;2190;6;2-4
31-May-16 12:00:00 AM;31;94;1777;27;2-4
31-May-16 12:00:00 AM;31;95;2073;20;2-4
31-May-16 12:00:00 AM;31;12;1236;30;2-1
31-May-16 12:00:00 AM;31;26;1238;22;2-1
31-May-16 12:00:00 AM;31;7;1737;69;2-1
31-May-16 12:00:00 AM;31;29;1806;29;2-1
31-May-16 12:00:00 AM;31;20;1719;63;2-1
31-May-16 12:00:00 AM;31;24;1673;43;2-1
31-May-16 12:00:00 AM;31;10;1495;73;2-1
31-May-16 12:00:00 AM;31;30;1415;42;2-1
31-May-16 12:00:00 AM;31;13;1664;38;2-1
31-May-16 12:00:00 AM;31;21;1396;25;2-1
31-May-16 12:00:00 AM;31;28;1609;70;2-1
31-May-16 12:00:00 AM;31;27;1327;41;2-1
31-May-16 12:00:00 AM;31;15;1253;29;2-1
31-May-16 12:00:00 AM;31;16;1574;74;2-1
31-May-16 12:00:00 AM;44;31;1576;25;2-1
31-May-16 12:00:00 AM;49;31;1788;43;2-1
31-May-16 12:00:00 AM;55;31;1580;44;2-1
31-May-16 12:00:00 AM;57;31;1222;29;2-1
31-May-16 12:00:00 AM;61;31;1704;42;2-1
31-May-16 12:00:00 AM;66;31;1849;44;2-1
31-May-16 12:00:00 AM;60;31;1507;67;2-1
31-May-16 12:00:00 AM;63;31;1531;42;2-1
31-May-16 12:00:00 AM;62;31;1570;66;2-1
31-May-16 12:00:00 AM;65;31;1788;46;2-1
31-May-16 12:00:00 AM;70;31;1366;39;2-1
31-May-16 12:00:00 AM;72;31;1646;49;2-1
31-May-16 12:00:00 AM;82;31;1873;53;2-2
31-May-16 12:00:00 AM;85;31;1928;29;2-1
31-May-16 12:00:00 AM;94;31;1771;27;2-7
31-May-16 12:00:00 AM;59;31;1646;67;2-1
31-May-16 12:00:00 AM;68;31;1709;66;2-1
31-May-16 12:00:00 AM;69;31;1942;42;2-1
31-May-16 12:00:00 AM;54;31;1410;38;2-1
31-May-16 12:00:00 AM;58;31;1876;36;2-1
31-May-16 12:00:00 AM;75;31;1525;33;2-1
31-May-16 12:00:00 AM;52;31;1141;41;2-1
31-May-16 12:00:00 AM;51;31;1752;65;2-2
31-May-16 12:00:00 AM;50;31;1232;33;2-1
31-May-16 12:00:00 AM;31;17;1353;29;2-1
31-May-16 12:00:00 AM;31;9;1374;30;2-1
31-May-16 12:00:00 AM;74;31;1420;31;2-7
31-May-16 12:00:00 AM;56;31;1567;66;2-2
31-May-16 12:00:00 AM;31;19;1826;62;2-1
31-May-16 12:00:00 AM;31;14;1731;47;2-1
31-May-16 12:00:00 AM;31;18;1568;30;2-1
31-May-16 12:00:00 AM;31;11;1826;30;2-1
31-May-16 12:00:00 AM;33;31;1467;35;2-7
31-May-16 12:00:00 AM;15;31;1315;36;2-7
31-May-16 12:00:00 AM;67;31;1596;62;2-6
31-May-16 12:00:00 AM;14;31;1474;52;2-6
31-May-16 12:00:00 AM;45;31;1780;12;1-1
31-May-16 12:00:00 AM;13;31;1801;38;2-7
31-May-16 12:00:00 AM;46;31;1275;40;2-6
31-May-16 12:00:00 AM;31;22;1772;39;2-1
31-May-16 12:00:00 AM;31;23;1480;46;2-7
31-May-16 12:00:00 AM;41;31;1714;14;2-1
31-May-16 12:00:00 AM;31;6;1747;39;2-6
31-May-16 12:00:00 AM;31;8;1730;43;2-6
31-May-16 12:00:00 AM;3;31;2296;15;2-4
31-May-16 12:00:00 AM;71;31;1865;12;1-2
31-May-16 12:00:00 AM;84;31;1750;18;1-4
31-May-16 12:00:00 AM;87;31;1776;18;1-4
31-May-16 12:00:00 AM;35;31;1145;11;1-2
31-May-16 12:00:00 AM;76;31;1459;22;1-4
31-May-16 12:00:00 AM;78;31;1362;17;1-4
31-May-16 12:00:00 AM;79;31;1519;22;1-4
31-May-16 12:00:00 AM;83;31;1136;15;1-4
31-May-16 12:00:00 AM;47;31;922;8;1-1
31-May-16 12:00:00 AM;80;31;1506;19;1-4
31-May-16 12:00:00 AM;4;31;1228;15;1-1
31-May-16 12:00:00 AM;81;31;960;18;1-4
31-May-16 12:00:00 AM;31;4;1755;12;2-4
31-May-16 12:00:00 AM;48;31;1253;19;1-4
31-May-16 12:00:00 AM;95;31;1256;15;1-4
31-May-16 12:00:00 AM;31;35;826;9;1-1
31-May-16 12:00:00 AM;90;31;1167;13;1-4
31-May-16 12:00:00 AM;42;31;2112;10;1-4
31-May-16 12:00:00 AM;40;31;2265;12;1-4
31-May-16 12:00:00 AM;96;31;1314;31;2-1
31-May-16 12:00:00 AM;97;31;1265;32;2-4
31-May-16 12:00:00 AM;99;31;1198;30;1-1
31-May-16 12:00:00 AM;98;31;1447;34;2-1
31-May-16 12:00:00 AM;100;31;1804;28;2-1
31-May-16 12:00:00 AM;101;31;1730;38;2-1
31-May-16 12:00:00 AM;102;31;1263;34;2-1
