date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;1;32;1170;8;1-1
31-May-16 12:00:00 AM;2;32;680;3;1-1
31-May-16 12:00:00 AM;6;32;1569;13;2-4
31-May-16 12:00:00 AM;7;32;2015;17;2-4
31-May-16 12:00:00 AM;8;32;1740;13;2-4
31-May-16 12:00:00 AM;9;32;1546;9;2-4
31-May-16 12:00:00 AM;10;32;2031;22;2-4
31-May-16 12:00:00 AM;11;32;1653;9;2-4
31-May-16 12:00:00 AM;12;32;1470;8;2-4
31-May-16 12:00:00 AM;16;32;1546;23;2-4
31-May-16 12:00:00 AM;17;32;1345;7;2-4
31-May-16 12:00:00 AM;18;32;1302;7;2-4
31-May-16 12:00:00 AM;19;32;1440;20;2-4
31-May-16 12:00:00 AM;20;32;1134;20;2-4
31-May-16 12:00:00 AM;21;32;1243;11;2-4
31-May-16 12:00:00 AM;25;32;380;3;1-1
31-May-16 12:00:00 AM;22;32;1307;14;2-4
31-May-16 12:00:00 AM;23;32;950;18;2-4
31-May-16 12:00:00 AM;24;32;1335;16;2-4
31-May-16 12:00:00 AM;26;32;1242;10;2-4
31-May-16 12:00:00 AM;27;32;1713;9;2-4
31-May-16 12:00:00 AM;28;32;1187;19;2-4
31-May-16 12:00:00 AM;29;32;1663;11;2-4
31-May-16 12:00:00 AM;30;32;832;8;2-4
31-May-16 12:00:00 AM;32;33;1230;10;2-4
31-May-16 12:00:00 AM;32;34;240;1;2-4
31-May-16 12:00:00 AM;32;36;2640;1;2-4
31-May-16 12:00:00 AM;32;39;1860;1;2-4
31-May-16 12:00:00 AM;32;40;1560;1;2-4
31-May-16 12:00:00 AM;32;41;2112;5;2-4
31-May-16 12:00:00 AM;32;42;1860;1;2-4
31-May-16 12:00:00 AM;32;43;900;1;2-4
31-May-16 12:00:00 AM;32;44;1476;5;2-4
31-May-16 12:00:00 AM;32;37;1800;3;2-4
31-May-16 12:00:00 AM;32;38;3060;1;2-4
31-May-16 12:00:00 AM;32;46;1632;10;2-4
31-May-16 12:00:00 AM;32;50;1430;6;2-4
31-May-16 12:00:00 AM;32;49;1087;8;2-4
31-May-16 12:00:00 AM;32;51;1421;19;2-4
31-May-16 12:00:00 AM;32;52;1385;11;2-4
31-May-16 12:00:00 AM;32;1;1410;4;2-4
31-May-16 12:00:00 AM;32;54;1180;6;2-4
31-May-16 12:00:00 AM;32;55;1486;9;2-4
31-May-16 12:00:00 AM;32;47;1245;8;2-4
31-May-16 12:00:00 AM;32;56;1410;16;2-4
31-May-16 12:00:00 AM;32;57;996;10;2-4
31-May-16 12:00:00 AM;32;58;1246;9;2-4
31-May-16 12:00:00 AM;32;59;1590;22;2-4
31-May-16 12:00:00 AM;32;60;1473;20;2-4
31-May-16 12:00:00 AM;32;61;1220;9;2-4
31-May-16 12:00:00 AM;32;62;1294;19;2-4
31-May-16 12:00:00 AM;32;63;2100;9;2-4
31-May-16 12:00:00 AM;32;64;620;3;2-4
31-May-16 12:00:00 AM;32;65;1213;9;2-4
31-May-16 12:00:00 AM;32;66;1374;10;2-4
31-May-16 12:00:00 AM;32;67;862;16;2-4
31-May-16 12:00:00 AM;32;68;1230;20;2-4
31-May-16 12:00:00 AM;32;69;1566;10;2-4
31-May-16 12:00:00 AM;32;70;1510;6;2-4
31-May-16 12:00:00 AM;32;71;2540;3;2-4
31-May-16 12:00:00 AM;32;72;1785;8;2-4
31-May-16 12:00:00 AM;32;73;1140;1;2-4
31-May-16 12:00:00 AM;32;74;1056;5;2-4
31-May-16 12:00:00 AM;32;75;1174;7;2-4
31-May-16 12:00:00 AM;32;53;1320;4;2-4
31-May-16 12:00:00 AM;32;82;3024;5;2-4
31-May-16 12:00:00 AM;32;83;1500;2;2-4
31-May-16 12:00:00 AM;32;80;1620;2;2-4
31-May-16 12:00:00 AM;32;78;1620;2;2-4
31-May-16 12:00:00 AM;32;76;1620;2;2-4
31-May-16 12:00:00 AM;32;79;1620;2;2-4
31-May-16 12:00:00 AM;32;77;1188;5;2-4
31-May-16 12:00:00 AM;32;84;1890;2;2-4
31-May-16 12:00:00 AM;32;85;2940;4;2-4
31-May-16 12:00:00 AM;32;81;1740;2;2-4
31-May-16 12:00:00 AM;32;48;1860;7;2-4
31-May-16 12:00:00 AM;32;86;1980;1;2-4
31-May-16 12:00:00 AM;32;87;950;6;2-4
31-May-16 12:00:00 AM;32;88;1980;1;2-4
31-May-16 12:00:00 AM;32;89;1980;1;2-4
31-May-16 12:00:00 AM;32;91;1980;1;2-4
31-May-16 12:00:00 AM;32;92;1980;1;2-4
31-May-16 12:00:00 AM;32;93;1980;1;2-4
31-May-16 12:00:00 AM;32;90;2040;1;2-4
31-May-16 12:00:00 AM;32;94;2340;2;2-4
31-May-16 12:00:00 AM;32;95;1665;4;2-4
31-May-16 12:00:00 AM;31;32;1860;25;2-1
31-May-16 12:00:00 AM;32;12;1470;8;2-1
31-May-16 12:00:00 AM;44;32;1747;8;2-1
31-May-16 12:00:00 AM;50;32;1430;6;2-1
31-May-16 12:00:00 AM;49;32;1172;11;2-1
31-May-16 12:00:00 AM;52;32;1345;12;2-1
31-May-16 12:00:00 AM;55;32;1494;11;2-1
31-May-16 12:00:00 AM;56;32;1372;16;2-1
31-May-16 12:00:00 AM;57;32;992;11;2-1
31-May-16 12:00:00 AM;58;32;1230;10;2-1
31-May-16 12:00:00 AM;59;32;1662;21;2-1
31-May-16 12:00:00 AM;60;32;1359;23;2-1
31-May-16 12:00:00 AM;61;32;1200;10;2-1
31-May-16 12:00:00 AM;62;32;1330;22;2-1
31-May-16 12:00:00 AM;63;32;2298;13;2-1
31-May-16 12:00:00 AM;65;32;1509;13;2-1
31-May-16 12:00:00 AM;66;32;1412;13;2-1
31-May-16 12:00:00 AM;68;32;1171;21;2-1
31-May-16 12:00:00 AM;69;32;1560;11;2-1
31-May-16 12:00:00 AM;70;32;1397;7;2-1
31-May-16 12:00:00 AM;72;32;1670;13;2-1
31-May-16 12:00:00 AM;75;32;1140;8;2-1
31-May-16 12:00:00 AM;82;32;2328;15;2-1
31-May-16 12:00:00 AM;85;32;2094;11;2-1
31-May-16 12:00:00 AM;94;32;3360;1;2-7
31-May-16 12:00:00 AM;46;32;1592;11;2-1
31-May-16 12:00:00 AM;33;32;1230;10;2-1
31-May-16 12:00:00 AM;74;32;1236;10;2-1
31-May-16 12:00:00 AM;32;26;930;4;2-1
31-May-16 12:00:00 AM;32;7;1830;20;2-1
31-May-16 12:00:00 AM;32;29;1615;12;2-1
31-May-16 12:00:00 AM;32;20;1190;19;2-1
31-May-16 12:00:00 AM;32;24;1335;16;2-1
31-May-16 12:00:00 AM;32;10;2073;23;2-1
31-May-16 12:00:00 AM;32;30;832;8;2-1
31-May-16 12:00:00 AM;32;13;1698;13;2-1
31-May-16 12:00:00 AM;32;21;1605;4;2-1
31-May-16 12:00:00 AM;32;28;1248;20;2-1
31-May-16 12:00:00 AM;32;27;1464;10;2-1
31-May-16 12:00:00 AM;32;15;831;7;2-1
31-May-16 12:00:00 AM;51;32;1421;19;2-2
31-May-16 12:00:00 AM;32;16;1546;23;2-2
31-May-16 12:00:00 AM;32;31;1922;26;2-2
31-May-16 12:00:00 AM;32;19;1374;21;2-2
31-May-16 12:00:00 AM;13;32;1760;12;2-6
31-May-16 12:00:00 AM;54;32;1320;5;2-7
31-May-16 12:00:00 AM;15;32;831;7;2-7
31-May-16 12:00:00 AM;14;32;1328;14;2-6
31-May-16 12:00:00 AM;67;32;1746;20;2-6
31-May-16 12:00:00 AM;45;32;2850;2;1-1
31-May-16 12:00:00 AM;32;8;1730;12;2-7
31-May-16 12:00:00 AM;32;22;1765;7;2-7
31-May-16 12:00:00 AM;32;9;1700;9;2-6
31-May-16 12:00:00 AM;32;6;1610;12;2-6
31-May-16 12:00:00 AM;32;18;1477;8;2-6
31-May-16 12:00:00 AM;32;23;1020;9;2-6
31-May-16 12:00:00 AM;32;14;1308;15;2-1
31-May-16 12:00:00 AM;32;11;1373;9;2-1
31-May-16 12:00:00 AM;41;32;2465;11;2-1
31-May-16 12:00:00 AM;3;32;1714;7;2-4
31-May-16 12:00:00 AM;71;32;2540;3;1-2
31-May-16 12:00:00 AM;84;32;2040;2;1-4
31-May-16 12:00:00 AM;87;32;1500;3;1-4
31-May-16 12:00:00 AM;4;32;2660;3;1-2
31-May-16 12:00:00 AM;77;32;360;1;1-1
31-May-16 12:00:00 AM;35;32;60;1;1-2
31-May-16 12:00:00 AM;32;17;1540;9;1-2
31-May-16 12:00:00 AM;48;32;1860;2;1-4
31-May-16 12:00:00 AM;95;32;900;2;1-4
31-May-16 12:00:00 AM;32;96;360;2;2-1
31-May-16 12:00:00 AM;32;97;1170;2;2-1
31-May-16 12:00:00 AM;96;32;360;2;2-4
31-May-16 12:00:00 AM;97;32;1170;2;2-4
