date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;1;33;1601;36;1-1
31-May-16 12:00:00 AM;2;33;1812;15;1-1
31-May-16 12:00:00 AM;6;33;1849;44;2-4
31-May-16 12:00:00 AM;7;33;1267;49;2-4
31-May-16 12:00:00 AM;8;33;1658;39;2-4
31-May-16 12:00:00 AM;10;33;1552;38;2-4
31-May-16 12:00:00 AM;9;33;1687;32;2-4
31-May-16 12:00:00 AM;11;33;1700;33;2-4
31-May-16 12:00:00 AM;12;33;1593;39;2-4
31-May-16 12:00:00 AM;14;33;1473;45;2-7
31-May-16 12:00:00 AM;15;33;1612;40;2-7
31-May-16 12:00:00 AM;16;33;1620;31;2-4
31-May-16 12:00:00 AM;17;33;1364;39;2-4
31-May-16 12:00:00 AM;18;33;1500;43;2-4
31-May-16 12:00:00 AM;19;33;1274;46;2-4
31-May-16 12:00:00 AM;20;33;1689;32;2-4
31-May-16 12:00:00 AM;21;33;1697;31;2-4
31-May-16 12:00:00 AM;25;33;1444;15;1-1
31-May-16 12:00:00 AM;22;33;1432;48;2-4
31-May-16 12:00:00 AM;23;33;1501;44;2-4
31-May-16 12:00:00 AM;24;33;1528;44;2-4
31-May-16 12:00:00 AM;26;33;1424;42;2-4
31-May-16 12:00:00 AM;27;33;1391;32;2-4
31-May-16 12:00:00 AM;28;33;1770;37;2-4
31-May-16 12:00:00 AM;29;33;1549;46;2-4
31-May-16 12:00:00 AM;30;33;1363;33;2-4
31-May-16 12:00:00 AM;33;33;969;123;1-1
31-May-16 12:00:00 AM;33;34;800;12;1-1
31-May-16 12:00:00 AM;33;35;1510;11;1-1
31-May-16 12:00:00 AM;33;36;1776;13;1-1
31-May-16 12:00:00 AM;33;37;1560;9;1-1
31-May-16 12:00:00 AM;33;38;2560;12;1-1
31-May-16 12:00:00 AM;33;39;620;15;1-1
31-May-16 12:00:00 AM;33;40;1620;14;1-1
31-May-16 12:00:00 AM;33;41;1332;10;1-1
31-May-16 12:00:00 AM;33;42;1804;14;1-1
31-May-16 12:00:00 AM;33;43;1044;15;1-1
31-May-16 12:00:00 AM;33;44;1673;43;1-1
31-May-16 12:00:00 AM;31;33;1101;36;2-4
31-May-16 12:00:00 AM;32;33;1392;33;2-4
31-May-16 12:00:00 AM;33;46;1651;32;2-1
31-May-16 12:00:00 AM;33;50;1588;40;2-1
31-May-16 12:00:00 AM;33;49;1527;33;2-1
31-May-16 12:00:00 AM;33;51;949;39;2-1
31-May-16 12:00:00 AM;33;52;1707;39;2-1
31-May-16 12:00:00 AM;33;1;1760;26;2-1
31-May-16 12:00:00 AM;33;54;1900;31;2-1
31-May-16 12:00:00 AM;33;55;1371;34;2-1
31-May-16 12:00:00 AM;33;47;1190;24;2-1
31-May-16 12:00:00 AM;33;56;1392;39;2-1
31-May-16 12:00:00 AM;33;57;1410;42;2-1
