date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;1;34;2100;7;1-1
31-May-16 12:00:00 AM;2;34;1400;3;1-1
31-May-16 12:00:00 AM;3;34;2172;5;3-4
31-May-16 12:00:00 AM;4;34;2030;12;3-4
31-May-16 12:00:00 AM;6;34;1980;2;2-4
31-May-16 12:00:00 AM;7;34;1020;1;2-4
31-May-16 12:00:00 AM;5;34;1314;10;3-4
31-May-16 12:00:00 AM;8;34;1860;2;2-4
31-May-16 12:00:00 AM;9;34;900;1;2-4
31-May-16 12:00:00 AM;10;34;900;1;2-4
31-May-16 12:00:00 AM;11;34;900;1;2-4
31-May-16 12:00:00 AM;12;34;900;1;2-4
31-May-16 12:00:00 AM;16;34;660;1;2-4
31-May-16 12:00:00 AM;17;34;660;1;2-4
31-May-16 12:00:00 AM;18;34;600;1;2-4
31-May-16 12:00:00 AM;19;34;600;1;2-4
31-May-16 12:00:00 AM;20;34;600;1;2-4
31-May-16 12:00:00 AM;21;34;600;1;2-4
31-May-16 12:00:00 AM;25;34;1100;3;1-1
31-May-16 12:00:00 AM;22;34;1440;2;2-4
31-May-16 12:00:00 AM;23;34;1440;2;2-4
31-May-16 12:00:00 AM;24;34;480;1;2-4
31-May-16 12:00:00 AM;26;34;420;1;2-4
31-May-16 12:00:00 AM;27;34;360;1;2-4
31-May-16 12:00:00 AM;28;34;300;1;2-4
31-May-16 12:00:00 AM;29;34;300;1;2-4
31-May-16 12:00:00 AM;30;34;1200;3;2-4
31-May-16 12:00:00 AM;31;34;240;1;2-4
31-May-16 12:00:00 AM;32;34;240;1;2-4
31-May-16 12:00:00 AM;35;34;1080;2;1-1
31-May-16 12:00:00 AM;33;34;120;1;2-4
31-May-16 12:00:00 AM;36;34;3020;3;2-4
31-May-16 12:00:00 AM;40;34;2652;5;2-4
31-May-16 12:00:00 AM;43;34;2655;8;2-4
31-May-16 12:00:00 AM;39;34;2920;3;3-3
31-May-16 12:00:00 AM;37;34;1522;8;2-4
31-May-16 12:00:00 AM;34;71;936;10;3-6
31-May-16 12:00:00 AM;34;48;2169;13;3-6
31-May-16 12:00:00 AM;34;89;1090;6;3-6
31-May-16 12:00:00 AM;34;3;2160;4;3-6
31-May-16 12:00:00 AM;34;42;2280;3;3-6
31-May-16 12:00:00 AM;41;34;2640;2;3-6
31-May-16 12:00:00 AM;34;64;1507;8;3-3
31-May-16 12:00:00 AM;34;86;1944;5;3-3
31-May-16 12:00:00 AM;34;93;2070;2;3-3
31-May-16 12:00:00 AM;34;90;3000;6;3-3
31-May-16 12:00:00 AM;34;87;1320;5;3-3
31-May-16 12:00:00 AM;49;34;1800;1;2-4
31-May-16 12:00:00 AM;55;34;1680;2;1-4
31-May-16 12:00:00 AM;61;34;1380;1;2-4
31-May-16 12:00:00 AM;65;34;1320;1;2-4
31-May-16 12:00:00 AM;66;34;1320;1;2-4
31-May-16 12:00:00 AM;72;34;1080;1;2-4
31-May-16 12:00:00 AM;73;34;3120;1;3-2
31-May-16 12:00:00 AM;71;34;936;10;3-3
31-May-16 12:00:00 AM;82;34;1830;2;2-4
31-May-16 12:00:00 AM;85;34;1530;2;2-4
31-May-16 12:00:00 AM;84;34;1850;6;3-1
31-May-16 12:00:00 AM;86;34;2925;4;3-4
31-May-16 12:00:00 AM;88;34;2304;5;3-4
31-May-16 12:00:00 AM;91;34;2610;8;3-4
31-May-16 12:00:00 AM;92;34;2304;5;3-4
31-May-16 12:00:00 AM;93;34;2070;2;3-4
31-May-16 12:00:00 AM;90;34;2970;2;3-4
31-May-16 12:00:00 AM;95;34;420;1;3-2
31-May-16 12:00:00 AM;87;34;1320;5;3-1
31-May-16 12:00:00 AM;89;34;1090;6;3-1
31-May-16 12:00:00 AM;48;34;2152;8;3-4
31-May-16 12:00:00 AM;42;34;2280;3;3-1
31-May-16 12:00:00 AM;45;34;2040;2;1-1
31-May-16 12:00:00 AM;38;34;2130;4;3-1
31-May-16 12:00:00 AM;34;47;2340;1;1-1
31-May-16 12:00:00 AM;34;36;1350;2;1-2
31-May-16 12:00:00 AM;57;34;1440;4;3-4
31-May-16 12:00:00 AM;64;34;1548;5;3-1
31-May-16 12:00:00 AM;34;5;2160;7;3-1
31-May-16 12:00:00 AM;34;57;1060;6;3-1
31-May-16 12:00:00 AM;34;4;1925;11;3-1
31-May-16 12:00:00 AM;34;92;1200;3;3-1
31-May-16 12:00:00 AM;34;88;1200;2;3-1
31-May-16 12:00:00 AM;34;95;420;2;3-1
31-May-16 12:00:00 AM;34;33;1410;4;3-1
