date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;4;36;1407;20;3-4
31-May-16 12:00:00 AM;3;36;1509;26;3-4
31-May-16 12:00:00 AM;1;36;2168;27;1-1
31-May-16 12:00:00 AM;2;36;1587;13;1-1
31-May-16 12:00:00 AM;5;36;1402;24;3-4
31-May-16 12:00:00 AM;6;36;1740;12;2-4
31-May-16 12:00:00 AM;7;36;2835;12;2-4
31-May-16 12:00:00 AM;8;36;2105;11;2-4
31-May-16 12:00:00 AM;10;36;2520;12;2-4
31-May-16 12:00:00 AM;11;36;1721;13;2-4
31-May-16 12:00:00 AM;9;36;1774;14;2-4
31-May-16 12:00:00 AM;12;36;2465;11;2-4
31-May-16 12:00:00 AM;16;36;1697;7;2-4
31-May-16 12:00:00 AM;17;36;2250;10;2-4
31-May-16 12:00:00 AM;18;36;1157;14;2-4
31-May-16 12:00:00 AM;19;36;1600;12;2-4
31-May-16 12:00:00 AM;20;36;2028;10;2-4
31-May-16 12:00:00 AM;21;36;1984;13;2-4
31-May-16 12:00:00 AM;25;36;2150;12;1-1
31-May-16 12:00:00 AM;22;36;2091;14;2-4
31-May-16 12:00:00 AM;23;36;1512;14;2-4
31-May-16 12:00:00 AM;24;36;2210;13;2-4
31-May-16 12:00:00 AM;26;36;2526;9;2-4
31-May-16 12:00:00 AM;27;36;1980;9;2-4
31-May-16 12:00:00 AM;28;36;2104;15;2-4
31-May-16 12:00:00 AM;29;36;2378;11;2-4
31-May-16 12:00:00 AM;30;36;1356;13;2-4
31-May-16 12:00:00 AM;33;36;1776;13;1-1
31-May-16 12:00:00 AM;31;36;2502;10;2-4
31-May-16 12:00:00 AM;32;36;2126;9;2-4
31-May-16 12:00:00 AM;34;36;1446;37;1-1
31-May-16 12:00:00 AM;35;36;1453;13;1-1
31-May-16 12:00:00 AM;38;36;1786;22;1-1
31-May-16 12:00:00 AM;36;36;991;62;1-1
31-May-16 12:00:00 AM;36;37;1532;35;1-1
31-May-16 12:00:00 AM;39;36;1396;26;1-1
31-May-16 12:00:00 AM;36;40;1389;32;1-1
31-May-16 12:00:00 AM;36;41;1762;21;1-1
31-May-16 12:00:00 AM;36;42;1543;44;1-1
31-May-16 12:00:00 AM;36;43;1501;34;1-1
31-May-16 12:00:00 AM;36;44;882;17;1-1
31-May-16 12:00:00 AM;36;45;1312;8;1-1
31-May-16 12:00:00 AM;36;34;1357;49;1-4
31-May-16 12:00:00 AM;36;39;1249;28;1-4
31-May-16 12:00:00 AM;40;36;1116;23;1-4
31-May-16 12:00:00 AM;41;36;1603;25;1-4
31-May-16 12:00:00 AM;36;38;1697;24;1-4
31-May-16 12:00:00 AM;42;36;1137;29;1-4
31-May-16 12:00:00 AM;43;36;1233;25;1-4
31-May-16 12:00:00 AM;44;36;1580;15;1-4
31-May-16 12:00:00 AM;36;46;1405;7;2-4
31-May-16 12:00:00 AM;36;50;1457;14;2-4
31-May-16 12:00:00 AM;36;49;1254;11;2-4
31-May-16 12:00:00 AM;36;51;1296;15;2-4
31-May-16 12:00:00 AM;36;52;1581;11;2-4
31-May-16 12:00:00 AM;36;1;1646;25;2-4
31-May-16 12:00:00 AM;36;54;2088;10;2-4
31-May-16 12:00:00 AM;36;55;1521;11;2-4
31-May-16 12:00:00 AM;36;47;1440;21;2-4
31-May-16 12:00:00 AM;36;56;1149;13;2-4
31-May-16 12:00:00 AM;36;57;1655;22;2-4
31-May-16 12:00:00 AM;36;58;1845;4;2-4
31-May-16 12:00:00 AM;36;59;1380;13;2-4
31-May-16 12:00:00 AM;36;60;1440;16;2-4
31-May-16 12:00:00 AM;36;61;1655;17;2-4
31-May-16 12:00:00 AM;36;62;1329;13;2-4
31-May-16 12:00:00 AM;36;63;1864;13;2-4
31-May-16 12:00:00 AM;36;64;1766;61;2-4
31-May-16 12:00:00 AM;36;65;1575;4;2-4
31-May-16 12:00:00 AM;36;66;1043;13;2-4
