date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;3;37;2181;22;3-4
31-May-16 12:00:00 AM;4;37;2562;17;3-4
31-May-16 12:00:00 AM;1;37;1325;24;1-1
31-May-16 12:00:00 AM;2;37;1974;11;1-1
31-May-16 12:00:00 AM;5;37;2294;25;3-4
31-May-16 12:00:00 AM;6;37;1389;13;2-4
31-May-16 12:00:00 AM;7;37;1608;15;2-4
31-May-16 12:00:00 AM;10;37;1187;14;2-4
31-May-16 12:00:00 AM;8;37;1691;16;2-4
31-May-16 12:00:00 AM;9;37;1380;15;2-4
31-May-16 12:00:00 AM;11;37;1877;7;2-4
31-May-16 12:00:00 AM;12;37;1585;14;2-4
31-May-16 12:00:00 AM;16;37;1542;10;2-4
31-May-16 12:00:00 AM;17;37;1265;11;2-4
31-May-16 12:00:00 AM;18;37;1120;15;2-4
31-May-16 12:00:00 AM;19;37;1494;11;2-4
31-May-16 12:00:00 AM;20;37;1242;14;2-4
31-May-16 12:00:00 AM;21;37;1288;15;2-4
31-May-16 12:00:00 AM;25;37;1710;10;1-1
31-May-16 12:00:00 AM;22;37;1211;21;2-4
31-May-16 12:00:00 AM;23;37;1760;12;2-4
31-May-16 12:00:00 AM;24;37;1337;14;2-4
31-May-16 12:00:00 AM;26;37;1290;12;2-4
31-May-16 12:00:00 AM;27;37;1400;12;2-4
31-May-16 12:00:00 AM;28;37;1125;17;2-4
31-May-16 12:00:00 AM;29;37;1735;14;2-4
31-May-16 12:00:00 AM;30;37;1593;16;2-4
31-May-16 12:00:00 AM;33;37;1560;9;1-1
31-May-16 12:00:00 AM;31;37;1515;12;2-4
31-May-16 12:00:00 AM;32;37;1812;10;2-4
31-May-16 12:00:00 AM;34;37;1524;30;1-1
31-May-16 12:00:00 AM;35;37;992;11;1-1
31-May-16 12:00:00 AM;38;37;2012;26;1-1
31-May-16 12:00:00 AM;36;37;1532;35;1-1
31-May-16 12:00:00 AM;39;37;1614;20;1-1
31-May-16 12:00:00 AM;37;37;938;51;1-1
31-May-16 12:00:00 AM;37;40;1934;29;1-1
31-May-16 12:00:00 AM;37;41;1898;17;1-1
31-May-16 12:00:00 AM;37;42;1737;41;1-1
31-May-16 12:00:00 AM;37;43;1886;25;1-1
31-May-16 12:00:00 AM;37;44;1380;14;1-1
31-May-16 12:00:00 AM;37;45;2604;5;1-1
31-May-16 12:00:00 AM;37;46;1315;14;1-1
31-May-16 12:00:00 AM;37;47;1934;25;1-1
31-May-16 12:00:00 AM;37;48;1897;54;1-1
31-May-16 12:00:00 AM;41;37;1800;24;1-4
31-May-16 12:00:00 AM;40;37;1995;24;1-4
31-May-16 12:00:00 AM;42;37;1888;27;1-4
31-May-16 12:00:00 AM;43;37;1430;19;1-4
31-May-16 12:00:00 AM;44;37;1238;17;1-4
31-May-16 12:00:00 AM;37;38;1606;26;1-4
31-May-16 12:00:00 AM;37;50;1705;14;1-4
31-May-16 12:00:00 AM;37;49;1745;12;2-4
31-May-16 12:00:00 AM;37;51;1503;16;2-4
31-May-16 12:00:00 AM;37;52;1683;16;2-4
31-May-16 12:00:00 AM;37;1;1530;18;2-4
31-May-16 12:00:00 AM;37;54;1757;14;2-4
31-May-16 12:00:00 AM;37;55;2104;13;2-4
31-May-16 12:00:00 AM;37;56;1113;16;2-4
31-May-16 12:00:00 AM;37;57;1666;31;2-4
31-May-16 12:00:00 AM;37;58;2083;11;2-4
31-May-16 12:00:00 AM;37;59;1703;13;2-4
31-May-16 12:00:00 AM;37;60;1587;13;2-4
31-May-16 12:00:00 AM;37;61;1752;15;2-4
31-May-16 12:00:00 AM;37;62;1116;10;2-4
31-May-16 12:00:00 AM;37;63;1578;13;2-4
31-May-16 12:00:00 AM;37;64;1580;62;2-4
31-May-16 12:00:00 AM;37;65;1620;11;2-4
31-May-16 12:00:00 AM;37;66;1567;16;2-4
31-May-16 12:00:00 AM;37;67;1396;30;2-4
31-May-16 12:00:00 AM;37;68;1595;17;2-4
31-May-16 12:00:00 AM;37;69;1929;13;2-4
31-May-16 12:00:00 AM;37;70;1795;13;2-4
31-May-16 12:00:00 AM;37;71;1870;39;2-4
31-May-16 12:00:00 AM;37;72;2076;13;2-4
31-May-16 12:00:00 AM;37;73;1654;33;2-4
31-May-16 12:00:00 AM;37;74;1370;13;2-4
31-May-16 12:00:00 AM;37;75;1410;12;2-4
31-May-16 12:00:00 AM;37;53;2494;21;2-4
31-May-16 12:00:00 AM;37;82;1718;22;2-4
31-May-16 12:00:00 AM;37;83;2181;17;2-4
31-May-16 12:00:00 AM;37;80;2073;18;2-4
31-May-16 12:00:00 AM;37;78;2163;17;2-4
31-May-16 12:00:00 AM;37;76;2148;10;2-4
31-May-16 12:00:00 AM;37;79;2550;16;2-4
31-May-16 12:00:00 AM;37;77;2017;19;2-4
31-May-16 12:00:00 AM;37;84;2086;46;2-4
31-May-16 12:00:00 AM;37;85;1700;21;2-4
31-May-16 12:00:00 AM;37;81;2364;20;2-4
31-May-16 12:00:00 AM;37;86;1785;38;2-4
31-May-16 12:00:00 AM;37;87;1843;41;2-4
31-May-16 12:00:00 AM;37;88;2150;39;2-4
31-May-16 12:00:00 AM;37;89;2291;27;2-4
31-May-16 12:00:00 AM;37;91;1553;29;2-4
31-May-16 12:00:00 AM;37;92;1574;29;2-4
