date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;3;38;1099;25;3-4
31-May-16 12:00:00 AM;4;38;1443;19;3-4
31-May-16 12:00:00 AM;1;38;1692;15;1-1
31-May-16 12:00:00 AM;2;38;1026;9;1-1
31-May-16 12:00:00 AM;5;38;1350;24;3-4
31-May-16 12:00:00 AM;6;38;2044;15;2-4
31-May-16 12:00:00 AM;7;38;2082;10;2-4
31-May-16 12:00:00 AM;10;38;1968;15;2-4
31-May-16 12:00:00 AM;8;38;774;11;2-4
31-May-16 12:00:00 AM;9;38;1856;18;2-4
31-May-16 12:00:00 AM;11;38;1915;14;2-4
31-May-16 12:00:00 AM;12;38;954;10;2-4
31-May-16 12:00:00 AM;16;38;1968;10;2-4
31-May-16 12:00:00 AM;17;38;1656;10;2-4
31-May-16 12:00:00 AM;18;38;1227;13;2-4
31-May-16 12:00:00 AM;19;38;3000;15;2-4
31-May-16 12:00:00 AM;20;38;812;13;2-4
31-May-16 12:00:00 AM;21;38;1307;14;2-4
31-May-16 12:00:00 AM;25;38;1568;7;1-1
31-May-16 12:00:00 AM;22;38;1692;14;2-4
31-May-16 12:00:00 AM;23;38;2824;15;2-4
31-May-16 12:00:00 AM;24;38;1242;10;2-4
31-May-16 12:00:00 AM;26;38;1702;8;2-4
31-May-16 12:00:00 AM;27;38;1072;15;2-4
31-May-16 12:00:00 AM;28;38;1168;15;2-4
31-May-16 12:00:00 AM;29;38;816;10;2-4
31-May-16 12:00:00 AM;30;38;942;10;2-4
31-May-16 12:00:00 AM;33;38;2560;12;1-1
31-May-16 12:00:00 AM;31;38;2310;14;2-4
31-May-16 12:00:00 AM;32;38;2889;13;2-4
31-May-16 12:00:00 AM;34;38;1582;34;1-1
31-May-16 12:00:00 AM;38;35;1207;8;1-1
31-May-16 12:00:00 AM;35;38;893;9;1-1
31-May-16 12:00:00 AM;38;36;1786;22;1-1
31-May-16 12:00:00 AM;38;37;2012;26;1-1
31-May-16 12:00:00 AM;38;38;1123;47;1-1
31-May-16 12:00:00 AM;38;39;1127;19;1-1
31-May-16 12:00:00 AM;38;40;1591;23;1-1
31-May-16 12:00:00 AM;38;41;1804;14;1-1
31-May-16 12:00:00 AM;38;42;1129;29;1-1
31-May-16 12:00:00 AM;38;43;1344;25;1-1
31-May-16 12:00:00 AM;38;44;1337;7;1-1
31-May-16 12:00:00 AM;38;45;1920;3;1-1
31-May-16 12:00:00 AM;38;46;410;6;1-1
31-May-16 12:00:00 AM;38;47;649;11;1-1
31-May-16 12:00:00 AM;38;48;1988;37;1-1
31-May-16 12:00:00 AM;39;38;1231;21;1-4
31-May-16 12:00:00 AM;36;38;1697;24;1-4
31-May-16 12:00:00 AM;41;38;1732;16;1-4
31-May-16 12:00:00 AM;40;38;1562;23;1-4
31-May-16 12:00:00 AM;42;38;1620;27;1-4
31-May-16 12:00:00 AM;43;38;1074;22;1-4
31-May-16 12:00:00 AM;44;38;1752;10;1-4
31-May-16 12:00:00 AM;37;38;1606;26;1-4
31-May-16 12:00:00 AM;38;50;1611;7;1-4
31-May-16 12:00:00 AM;38;49;2010;6;2-4
31-May-16 12:00:00 AM;38;51;1560;5;2-4
31-May-16 12:00:00 AM;38;52;1962;7;2-4
31-May-16 12:00:00 AM;38;1;1994;17;2-4
31-May-16 12:00:00 AM;38;54;570;2;2-4
31-May-16 12:00:00 AM;38;55;1290;2;2-4
31-May-16 12:00:00 AM;38;56;982;8;2-4
31-May-16 12:00:00 AM;38;57;1453;13;2-4
31-May-16 12:00:00 AM;38;58;1440;2;2-4
31-May-16 12:00:00 AM;38;59;1080;4;2-4
31-May-16 12:00:00 AM;38;60;1460;6;2-4
31-May-16 12:00:00 AM;38;61;1740;9;2-4
31-May-16 12:00:00 AM;38;62;1215;4;2-4
31-May-16 12:00:00 AM;38;63;1020;2;2-4
31-May-16 12:00:00 AM;38;64;1848;37;2-4
31-May-16 12:00:00 AM;38;65;1800;2;2-4
31-May-16 12:00:00 AM;38;66;1860;6;2-4
31-May-16 12:00:00 AM;38;67;780;14;2-4
31-May-16 12:00:00 AM;38;68;1491;7;2-4
31-May-16 12:00:00 AM;38;69;1890;4;2-4
31-May-16 12:00:00 AM;38;70;1500;2;2-4
31-May-16 12:00:00 AM;38;71;1585;26;2-4
31-May-16 12:00:00 AM;38;72;1935;4;2-4
31-May-16 12:00:00 AM;38;73;1651;19;2-4
31-May-16 12:00:00 AM;38;74;1035;4;2-4
31-May-16 12:00:00 AM;38;75;1500;4;2-4
31-May-16 12:00:00 AM;38;53;1260;5;2-4
31-May-16 12:00:00 AM;38;82;1717;8;2-4
31-May-16 12:00:00 AM;38;83;1632;5;2-4
31-May-16 12:00:00 AM;38;80;1596;5;2-4
31-May-16 12:00:00 AM;38;78;1596;5;2-4
31-May-16 12:00:00 AM;38;76;1320;2;2-4
31-May-16 12:00:00 AM;38;79;1980;7;2-4
31-May-16 12:00:00 AM;38;77;1668;5;2-4
31-May-16 12:00:00 AM;38;84;1878;23;2-4
31-May-16 12:00:00 AM;38;85;1851;7;2-4
31-May-16 12:00:00 AM;38;81;1692;5;2-4
31-May-16 12:00:00 AM;38;86;2295;23;2-4
31-May-16 12:00:00 AM;38;87;2160;20;2-4
31-May-16 12:00:00 AM;38;88;1862;21;2-4
31-May-16 12:00:00 AM;38;89;2143;18;2-4
31-May-16 12:00:00 AM;38;91;1891;17;2-4
31-May-16 12:00:00 AM;38;92;1659;23;2-4
31-May-16 12:00:00 AM;38;93;1687;31;2-4
31-May-16 12:00:00 AM;38;90;1380;22;2-4
31-May-16 12:00:00 AM;38;94;2280;4;2-4
31-May-16 12:00:00 AM;38;95;1036;26;2-4
31-May-16 12:00:00 AM;73;38;1581;20;3-2
31-May-16 12:00:00 AM;84;38;1510;30;3-1
31-May-16 12:00:00 AM;86;38;2328;16;3-1
31-May-16 12:00:00 AM;88;38;1369;28;3-1
31-May-16 12:00:00 AM;92;38;1269;20;3-1
31-May-16 12:00:00 AM;91;38;1872;20;3-1
31-May-16 12:00:00 AM;93;38;1641;25;3-1
31-May-16 12:00:00 AM;90;38;1870;24;3-1
31-May-16 12:00:00 AM;95;38;1992;15;3-2
31-May-16 12:00:00 AM;87;38;1617;22;3-1
31-May-16 12:00:00 AM;89;38;1453;22;3-1
31-May-16 12:00:00 AM;48;38;2045;24;3-1
31-May-16 12:00:00 AM;38;34;1219;31;3-1
31-May-16 12:00:00 AM;38;30;1455;16;3-1
31-May-16 12:00:00 AM;38;3;1055;22;3-1
31-May-16 12:00:00 AM;38;4;1238;22;3-1
31-May-16 12:00:00 AM;38;5;1708;36;3-1
31-May-16 12:00:00 AM;71;38;1528;17;3-1
31-May-16 12:00:00 AM;38;33;2146;9;3-1
31-May-16 12:00:00 AM;96;38;1527;11;2-4
31-May-16 12:00:00 AM;101;38;1980;5;2-4
31-May-16 12:00:00 AM;103;38;1489;11;2-4
31-May-16 12:00:00 AM;106;38;1477;8;2-4
31-May-16 12:00:00 AM;109;38;1542;17;1-1
31-May-16 12:00:00 AM;58;38;1615;14;1-4
31-May-16 12:00:00 AM;62;38;2247;13;1-1
31-May-16 12:00:00 AM;69;38;1680;11;1-4
31-May-16 12:00:00 AM;61;38;1153;13;1-4
31-May-16 12:00:00 AM;49;38;1568;15;1-4
31-May-16 12:00:00 AM;68;38;1035;12;1-4
31-May-16 12:00:00 AM;67;38;1045;19;1-4
31-May-16 12:00:00 AM;65;38;1418;14;1-4
31-May-16 12:00:00 AM;15;38;1065;12;2-4
31-May-16 12:00:00 AM;75;38;1593;16;1-4
31-May-16 12:00:00 AM;85;38;1344;17;1-4
31-May-16 12:00:00 AM;46;38;1361;13;1-4
31-May-16 12:00:00 AM;13;38;522;7;1-4
31-May-16 12:00:00 AM;53;38;1320;5;1-1
31-May-16 12:00:00 AM;14;38;1435;12;1-4
31-May-16 12:00:00 AM;82;38;1366;13;1-4
31-May-16 12:00:00 AM;54;38;1512;14;1-4
31-May-16 12:00:00 AM;64;38;1945;24;1-4
31-May-16 12:00:00 AM;78;38;2045;12;1-4
31-May-16 12:00:00 AM;81;38;1962;10;1-4
31-May-16 12:00:00 AM;83;38;1938;10;1-4
31-May-16 12:00:00 AM;57;38;2466;10;1-4
31-May-16 12:00:00 AM;80;38;2025;12;1-4
31-May-16 12:00:00 AM;77;38;1926;10;1-4
31-May-16 12:00:00 AM;70;38;2010;14;1-4
31-May-16 12:00:00 AM;79;38;1778;11;1-4
31-May-16 12:00:00 AM;52;38;1920;10;1-4
31-May-16 12:00:00 AM;94;38;1898;14;1-4
31-May-16 12:00:00 AM;76;38;1812;14;1-4
31-May-16 12:00:00 AM;74;38;1884;10;1-4
31-May-16 12:00:00 AM;59;38;1896;10;1-4
31-May-16 12:00:00 AM;66;38;1598;11;1-4
31-May-16 12:00:00 AM;60;38;1643;13;1-4
31-May-16 12:00:00 AM;72;38;1776;15;1-4
31-May-16 12:00:00 AM;63;38;2035;14;1-4
31-May-16 12:00:00 AM;56;38;1560;10;1-4
31-May-16 12:00:00 AM;55;38;1950;14;1-4
31-May-16 12:00:00 AM;50;38;1521;11;1-1
31-May-16 12:00:00 AM;51;38;1355;12;1-1
31-May-16 12:00:00 AM;99;38;1115;12;2-4
31-May-16 12:00:00 AM;38;109;2110;48;1-4
31-May-16 12:00:00 AM;38;99;2133;45;1-4
31-May-16 12:00:00 AM;38;102;1830;22;1-1
31-May-16 12:00:00 AM;38;98;1420;18;1-1
31-May-16 12:00:00 AM;38;96;1335;19;1-1
31-May-16 12:00:00 AM;38;101;2124;17;1-1
31-May-16 12:00:00 AM;38;100;1917;22;1-1
31-May-16 12:00:00 AM;38;97;1626;20;1-1
31-May-16 12:00:00 AM;38;103;1173;9;1-1
31-May-16 12:00:00 AM;38;107;1012;8;1-1
31-May-16 12:00:00 AM;38;106;945;8;1-1
31-May-16 12:00:00 AM;38;105;1200;8;1-1
31-May-16 12:00:00 AM;97;38;2108;14;1-4
31-May-16 12:00:00 AM;100;38;2045;12;2-4
31-May-16 12:00:00 AM;102;38;1701;14;2-4
31-May-16 12:00:00 AM;107;38;1494;10;2-4
31-May-16 12:00:00 AM;105;38;2070;8;1-4
01-Jun-16 12:00:00 AM;45;38;2670;4;1-1
01-Jun-16 12:00:00 AM;47;38;1230;4;1-1
01-Jun-16 12:00:00 AM;38;108;1320;6;1-1
01-Jun-16 12:00:00 AM;38;104;1150;6;1-1
01-Jun-16 12:00:00 AM;38;2;864;5;1-1
01-Jun-16 12:00:00 AM;38;9;940;6;1-1
01-Jun-16 12:00:00 AM;38;18;910;11;1-1
01-Jun-16 12:00:00 AM;108;38;1630;6;2-4
01-Jun-16 12:00:00 AM;98;38;1570;6;1-4
01-Jun-16 12:00:00 AM;104;38;1500;6;1-4
02-Jun-16 12:00:00 AM;38;16;1941;11;1-1
02-Jun-16 12:00:00 AM;38;27;1065;16;1-1
02-Jun-16 12:00:00 AM;38;13;1350;10;3-4
02-Jun-16 12:00:00 AM;38;21;1475;17;2-4
02-Jun-16 12:00:00 AM;38;24;1110;6;2-4
02-Jun-16 12:00:00 AM;38;17;1320;6;2-4
02-Jun-16 12:00:00 AM;38;29;1100;6;2-4
02-Jun-16 12:00:00 AM;38;23;1275;4;2-4
02-Jun-16 12:00:00 AM;38;11;1984;13;2-4
02-Jun-16 12:00:00 AM;38;6;1830;4;2-4
02-Jun-16 12:00:00 AM;38;32;1860;4;2-4
02-Jun-16 12:00:00 AM;38;26;1485;4;2-4
02-Jun-16 12:00:00 AM;38;20;1635;4;2-4
02-Jun-16 12:00:00 AM;38;15;1755;4;2-4
02-Jun-16 12:00:00 AM;38;10;1000;3;2-4
02-Jun-16 12:00:00 AM;38;12;1000;3;2-4
02-Jun-16 12:00:00 AM;38;8;840;3;2-4
02-Jun-16 12:00:00 AM;38;22;2340;3;2-4
02-Jun-16 12:00:00 AM;38;28;1300;3;2-4
02-Jun-16 12:00:00 AM;38;7;1980;3;2-4
02-Jun-16 12:00:00 AM;38;25;2880;1;1-1
03-Jun-16 12:00:00 AM;38;19;180;1;2-4
03-Jun-16 12:00:00 AM;38;31;840;1;2-4
03-Jun-16 12:00:00 AM;38;14;360;1;2-4
