date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;3;39;1672;23;3-4
31-May-16 12:00:00 AM;4;39;1580;23;3-4
31-May-16 12:00:00 AM;1;39;2268;20;1-1
31-May-16 12:00:00 AM;2;39;1510;11;1-1
31-May-16 12:00:00 AM;5;39;2081;19;3-4
31-May-16 12:00:00 AM;6;39;2330;19;2-4
31-May-16 12:00:00 AM;7;39;1900;12;2-4
31-May-16 12:00:00 AM;8;39;1327;16;2-4
31-May-16 12:00:00 AM;10;39;1500;17;2-4
31-May-16 12:00:00 AM;11;39;1538;14;2-4
31-May-16 12:00:00 AM;9;39;1600;12;2-4
31-May-16 12:00:00 AM;12;39;2066;9;2-4
31-May-16 12:00:00 AM;16;39;1057;8;2-4
31-May-16 12:00:00 AM;17;39;1598;14;2-4
31-May-16 12:00:00 AM;18;39;1624;15;2-4
31-May-16 12:00:00 AM;19;39;1228;15;2-4
31-May-16 12:00:00 AM;20;39;2021;13;2-4
31-May-16 12:00:00 AM;21;39;1820;12;2-4
31-May-16 12:00:00 AM;25;39;1609;11;1-1
31-May-16 12:00:00 AM;22;39;1476;15;2-4
31-May-16 12:00:00 AM;23;39;828;16;2-4
31-May-16 12:00:00 AM;24;39;2067;11;2-4
31-May-16 12:00:00 AM;26;39;2160;10;2-4
31-May-16 12:00:00 AM;27;39;1475;12;2-4
31-May-16 12:00:00 AM;28;39;1928;15;2-4
31-May-16 12:00:00 AM;29;39;1658;11;2-4
31-May-16 12:00:00 AM;30;39;1221;11;2-4
31-May-16 12:00:00 AM;33;39;620;15;1-1
31-May-16 12:00:00 AM;31;39;1488;15;2-4
31-May-16 12:00:00 AM;32;39;1580;12;2-4
31-May-16 12:00:00 AM;34;39;1325;34;1-1
31-May-16 12:00:00 AM;35;39;1075;12;1-1
31-May-16 12:00:00 AM;38;39;1127;19;1-1
31-May-16 12:00:00 AM;39;36;1396;26;1-1
31-May-16 12:00:00 AM;39;37;1614;20;1-1
31-May-16 12:00:00 AM;39;39;1060;60;1-1
31-May-16 12:00:00 AM;39;40;1665;24;1-1
31-May-16 12:00:00 AM;39;41;965;22;1-1
31-May-16 12:00:00 AM;39;42;1509;32;1-1
31-May-16 12:00:00 AM;39;43;1311;37;1-1
31-May-16 12:00:00 AM;39;44;848;14;1-1
31-May-16 12:00:00 AM;39;45;1665;4;1-1
31-May-16 12:00:00 AM;39;34;1539;40;1-4
31-May-16 12:00:00 AM;36;39;1249;28;1-4
31-May-16 12:00:00 AM;40;39;1339;25;1-4
31-May-16 12:00:00 AM;39;38;1231;21;1-4
31-May-16 12:00:00 AM;41;39;1272;25;1-4
31-May-16 12:00:00 AM;42;39;1067;29;1-4
31-May-16 12:00:00 AM;43;39;1190;31;1-4
31-May-16 12:00:00 AM;44;39;1375;13;1-4
31-May-16 12:00:00 AM;39;46;1627;8;2-4
31-May-16 12:00:00 AM;39;50;1045;12;2-4
31-May-16 12:00:00 AM;39;49;1718;11;2-4
31-May-16 12:00:00 AM;39;51;1647;13;2-4
31-May-16 12:00:00 AM;39;52;1880;9;2-4
31-May-16 12:00:00 AM;39;1;1983;18;2-4
31-May-16 12:00:00 AM;39;54;1515;8;2-4
31-May-16 12:00:00 AM;39;55;1860;8;2-4
31-May-16 12:00:00 AM;39;47;1200;12;2-4
31-May-16 12:00:00 AM;39;56;1389;13;2-4
31-May-16 12:00:00 AM;39;57;2152;15;2-4
31-May-16 12:00:00 AM;39;58;2100;5;2-4
31-May-16 12:00:00 AM;39;59;1785;4;2-4
31-May-16 12:00:00 AM;39;60;1755;12;2-4
31-May-16 12:00:00 AM;39;61;2310;12;2-4
31-May-16 12:00:00 AM;39;62;1380;7;2-4
31-May-16 12:00:00 AM;39;63;1740;8;2-4
31-May-16 12:00:00 AM;39;64;1640;55;2-4
31-May-16 12:00:00 AM;39;65;1752;5;2-4
31-May-16 12:00:00 AM;39;66;2280;10;2-4
31-May-16 12:00:00 AM;39;67;2018;22;2-4
31-May-16 12:00:00 AM;39;68;2002;16;2-4
31-May-16 12:00:00 AM;39;69;1486;13;2-4
31-May-16 12:00:00 AM;39;70;2596;15;2-4
31-May-16 12:00:00 AM;39;71;1740;30;2-4
31-May-16 12:00:00 AM;39;72;2331;7;2-4
31-May-16 12:00:00 AM;39;73;1251;21;2-4
31-May-16 12:00:00 AM;39;74;1534;7;2-4
31-May-16 12:00:00 AM;39;75;2477;7;2-4
31-May-16 12:00:00 AM;39;53;1910;6;2-4
31-May-16 12:00:00 AM;39;82;1500;7;2-4
31-May-16 12:00:00 AM;39;83;825;4;2-4
31-May-16 12:00:00 AM;39;80;2112;5;2-4
31-May-16 12:00:00 AM;39;78;2370;4;2-4
31-May-16 12:00:00 AM;39;76;405;4;2-4
31-May-16 12:00:00 AM;39;79;1182;7;2-4
31-May-16 12:00:00 AM;39;77;900;4;2-4
31-May-16 12:00:00 AM;39;84;1588;19;2-4
31-May-16 12:00:00 AM;39;85;1905;8;2-4
31-May-16 12:00:00 AM;39;81;1272;5;2-4
31-May-16 12:00:00 AM;39;48;2181;40;2-4
31-May-16 12:00:00 AM;39;86;1975;29;2-4
31-May-16 12:00:00 AM;39;87;1696;30;2-4
31-May-16 12:00:00 AM;39;88;1742;21;2-4
31-May-16 12:00:00 AM;39;89;1736;18;2-4
31-May-16 12:00:00 AM;39;91;1434;21;2-4
31-May-16 12:00:00 AM;39;92;2042;26;2-4
31-May-16 12:00:00 AM;39;93;2031;34;2-4
31-May-16 12:00:00 AM;39;90;1796;30;2-4
31-May-16 12:00:00 AM;39;94;1431;7;2-4
31-May-16 12:00:00 AM;39;95;1736;19;2-4
31-May-16 12:00:00 AM;37;39;1122;24;3-1
31-May-16 12:00:00 AM;64;39;1443;32;3-3
31-May-16 12:00:00 AM;71;39;1874;17;3-3
31-May-16 12:00:00 AM;84;39;1588;23;3-1
31-May-16 12:00:00 AM;86;39;1387;16;3-1
31-May-16 12:00:00 AM;88;39;1726;22;3-1
31-May-16 12:00:00 AM;92;39;1527;26;3-1
31-May-16 12:00:00 AM;91;39;1188;16;3-1
31-May-16 12:00:00 AM;93;39;1648;25;3-1
31-May-16 12:00:00 AM;90;39;2252;24;3-3
31-May-16 12:00:00 AM;87;39;1805;22;3-3
31-May-16 12:00:00 AM;89;39;1627;25;3-1
31-May-16 12:00:00 AM;48;39;1644;29;3-3
31-May-16 12:00:00 AM;39;30;2016;18;3-1
31-May-16 12:00:00 AM;39;4;1083;16;3-3
31-May-16 12:00:00 AM;39;33;2001;14;3-3
31-May-16 12:00:00 AM;96;39;1697;27;2-4
31-May-16 12:00:00 AM;103;39;1791;27;2-4
31-May-16 12:00:00 AM;58;39;2100;13;1-4
31-May-16 12:00:00 AM;62;39;747;11;1-1
31-May-16 12:00:00 AM;69;39;2067;11;1-4
31-May-16 12:00:00 AM;61;39;1525;19;1-4
31-May-16 12:00:00 AM;49;39;2048;15;1-4
31-May-16 12:00:00 AM;68;39;1186;13;1-4
31-May-16 12:00:00 AM;67;39;1757;14;1-4
31-May-16 12:00:00 AM;65;39;2048;14;1-4
31-May-16 12:00:00 AM;15;39;2127;11;2-4
31-May-16 12:00:00 AM;75;39;1950;14;1-4
31-May-16 12:00:00 AM;85;39;1855;14;1-4
31-May-16 12:00:00 AM;46;39;1716;10;1-4
31-May-16 12:00:00 AM;47;39;1096;11;1-1
31-May-16 12:00:00 AM;13;39;1752;10;1-4
31-May-16 12:00:00 AM;53;39;1360;9;1-1
31-May-16 12:00:00 AM;14;39;1480;12;1-4
31-May-16 12:00:00 AM;82;39;1602;14;1-4
31-May-16 12:00:00 AM;54;39;1450;12;1-4
31-May-16 12:00:00 AM;78;39;1494;11;1-4
31-May-16 12:00:00 AM;81;39;1368;10;1-4
31-May-16 12:00:00 AM;83;39;1344;10;1-4
31-May-16 12:00:00 AM;57;39;1916;16;1-4
31-May-16 12:00:00 AM;80;39;1400;12;1-4
31-May-16 12:00:00 AM;77;39;1332;10;1-4
31-May-16 12:00:00 AM;70;39;1135;12;1-4
31-May-16 12:00:00 AM;79;39;1356;10;1-4
31-May-16 12:00:00 AM;52;39;1810;12;1-4
31-May-16 12:00:00 AM;94;39;1478;11;1-4
31-May-16 12:00:00 AM;76;39;1372;15;1-4
31-May-16 12:00:00 AM;74;39;1365;12;1-4
31-May-16 12:00:00 AM;73;39;1110;14;1-1
31-May-16 12:00:00 AM;59;39;1718;14;1-4
31-May-16 12:00:00 AM;66;39;960;13;1-4
31-May-16 12:00:00 AM;60;39;1173;16;1-4
31-May-16 12:00:00 AM;72;39;1361;16;1-4
31-May-16 12:00:00 AM;63;39;1448;14;1-4
31-May-16 12:00:00 AM;56;39;1458;10;1-4
31-May-16 12:00:00 AM;55;39;1115;12;1-4
31-May-16 12:00:00 AM;50;39;1352;11;1-1
31-May-16 12:00:00 AM;51;39;1220;15;1-1
31-May-16 12:00:00 AM;95;39;2088;15;1-4
31-May-16 12:00:00 AM;99;39;1770;35;2-4
31-May-16 12:00:00 AM;109;39;1458;29;2-4
31-May-16 12:00:00 AM;39;109;1427;59;1-4
31-May-16 12:00:00 AM;39;99;1514;76;1-4
31-May-16 12:00:00 AM;39;99;1514;76;1-1
31-May-16 12:00:00 AM;39;102;2114;30;1-1
31-May-16 12:00:00 AM;39;98;1744;25;1-1
31-May-16 12:00:00 AM;39;96;1754;33;1-1
31-May-16 12:00:00 AM;39;101;1156;25;1-1
31-May-16 12:00:00 AM;39;100;1368;32;1-1
31-May-16 12:00:00 AM;39;97;1656;30;1-1
31-May-16 12:00:00 AM;39;103;2196;20;1-1
31-May-16 12:00:00 AM;39;107;1400;15;1-1
31-May-16 12:00:00 AM;39;106;1592;15;1-1
31-May-16 12:00:00 AM;39;105;1536;15;1-1
31-May-16 12:00:00 AM;39;3;1410;16;1-1
31-May-16 12:00:00 AM;39;5;1569;32;1-1
31-May-16 12:00:00 AM;39;31;2193;9;1-1
31-May-16 12:00:00 AM;39;8;1567;8;1-1
31-May-16 12:00:00 AM;39;27;2252;11;1-1
31-May-16 12:00:00 AM;39;23;1281;11;1-1
31-May-16 12:00:00 AM;39;20;2266;9;1-1
31-May-16 12:00:00 AM;39;21;1950;8;1-1
31-May-16 12:00:00 AM;39;6;1980;9;1-1
31-May-16 12:00:00 AM;39;32;1933;13;1-1
31-May-16 12:00:00 AM;39;9;2230;12;1-1
31-May-16 12:00:00 AM;39;16;1854;10;1-1
31-May-16 12:00:00 AM;39;12;1760;9;1-1
31-May-16 12:00:00 AM;39;15;2107;8;1-1
