date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;1;3;1785;8;1-1
31-May-16 12:00:00 AM;2;3;700;3;1-1
31-May-16 12:00:00 AM;3;5;2318;14;3-4
31-May-16 12:00:00 AM;3;34;2172;5;3-4
31-May-16 12:00:00 AM;3;36;760;9;3-4
31-May-16 12:00:00 AM;3;39;3480;2;3-4
31-May-16 12:00:00 AM;3;40;2100;4;3-4
31-May-16 12:00:00 AM;3;41;1420;3;3-4
31-May-16 12:00:00 AM;3;42;2160;4;3-4
31-May-16 12:00:00 AM;3;43;1960;3;3-4
31-May-16 12:00:00 AM;3;37;3200;6;3-4
31-May-16 12:00:00 AM;3;38;1080;2;3-4
31-May-16 12:00:00 AM;3;64;2190;14;3-4
31-May-16 12:00:00 AM;3;71;1884;10;3-4
31-May-16 12:00:00 AM;3;73;2835;4;3-4
31-May-16 12:00:00 AM;3;84;2203;11;3-4
31-May-16 12:00:00 AM;3;48;1040;15;3-4
31-May-16 12:00:00 AM;3;86;2688;10;3-4
31-May-16 12:00:00 AM;3;87;1408;15;3-4
31-May-16 12:00:00 AM;3;88;1368;10;3-4
31-May-16 12:00:00 AM;3;89;2025;4;3-4
31-May-16 12:00:00 AM;3;91;1590;6;3-4
31-May-16 12:00:00 AM;3;92;2085;4;3-4
31-May-16 12:00:00 AM;3;93;1480;6;3-4
31-May-16 12:00:00 AM;3;90;984;5;3-4
31-May-16 12:00:00 AM;3;95;1350;8;3-4
31-May-16 12:00:00 AM;3;47;1860;3;3-4
31-May-16 12:00:00 AM;4;3;1192;8;3-1
31-May-16 12:00:00 AM;5;3;2318;14;3-1
31-May-16 12:00:00 AM;35;3;2700;1;1-1
31-May-16 12:00:00 AM;36;3;760;9;3-1
31-May-16 12:00:00 AM;37;3;3465;8;2-4
31-May-16 12:00:00 AM;34;3;2160;4;3-6
31-May-16 12:00:00 AM;41;3;996;5;3-6
31-May-16 12:00:00 AM;73;3;2520;1;3-2
31-May-16 12:00:00 AM;71;3;1821;11;3-6
31-May-16 12:00:00 AM;82;3;2295;4;2-4
31-May-16 12:00:00 AM;85;3;2160;4;2-4
31-May-16 12:00:00 AM;84;3;2203;11;3-1
31-May-16 12:00:00 AM;86;3;2688;10;3-1
31-May-16 12:00:00 AM;88;3;1560;3;3-1
31-May-16 12:00:00 AM;91;3;1590;6;3-1
31-May-16 12:00:00 AM;92;3;1760;3;3-1
31-May-16 12:00:00 AM;93;3;1480;6;3-1
31-May-16 12:00:00 AM;90;3;984;5;3-1
31-May-16 12:00:00 AM;95;3;2175;4;3-2
31-May-16 12:00:00 AM;87;3;1408;15;3-1
31-May-16 12:00:00 AM;89;3;2085;4;3-6
31-May-16 12:00:00 AM;48;3;1040;15;3-1
31-May-16 12:00:00 AM;25;3;1290;2;1-1
31-May-16 12:00:00 AM;45;3;90;2;1-1
31-May-16 12:00:00 AM;38;3;440;3;3-1
31-May-16 12:00:00 AM;43;3;1960;3;3-1
31-May-16 12:00:00 AM;40;3;1340;3;3-2
31-May-16 12:00:00 AM;42;3;2160;4;3-1
31-May-16 12:00:00 AM;64;3;2190;14;3-1
31-May-16 12:00:00 AM;30;3;1380;4;2-4
31-May-16 12:00:00 AM;3;57;1227;13;3-1
31-May-16 12:00:00 AM;3;4;1337;7;3-2
31-May-16 12:00:00 AM;57;3;1183;11;3-4
31-May-16 12:00:00 AM;3;77;1987;8;2-4
31-May-16 12:00:00 AM;3;8;1088;7;2-4
31-May-16 12:00:00 AM;3;55;1611;7;2-4
31-May-16 12:00:00 AM;3;28;1234;7;2-4
31-May-16 12:00:00 AM;3;61;1131;7;2-4
31-May-16 12:00:00 AM;3;21;770;6;2-4
31-May-16 12:00:00 AM;3;70;985;7;2-4
31-May-16 12:00:00 AM;3;26;1440;6;2-4
31-May-16 12:00:00 AM;3;20;750;6;2-4
31-May-16 12:00:00 AM;3;56;1390;6;2-4
31-May-16 12:00:00 AM;3;24;1037;7;2-4
31-May-16 12:00:00 AM;3;46;1610;6;2-4
31-May-16 12:00:00 AM;3;49;1611;7;2-4
31-May-16 12:00:00 AM;3;23;1611;7;2-4
31-May-16 12:00:00 AM;3;74;1320;6;2-4
31-May-16 12:00:00 AM;3;44;1362;7;2-4
31-May-16 12:00:00 AM;3;65;1542;7;2-4
31-May-16 12:00:00 AM;3;66;1054;7;2-4
31-May-16 12:00:00 AM;3;6;1611;7;2-4
31-May-16 12:00:00 AM;3;52;1722;7;2-4
31-May-16 12:00:00 AM;3;59;1628;7;2-4
31-May-16 12:00:00 AM;3;69;1630;6;2-4
31-May-16 12:00:00 AM;3;32;1714;7;2-4
31-May-16 12:00:00 AM;3;14;1568;7;2-4
31-May-16 12:00:00 AM;3;75;1940;6;2-4
31-May-16 12:00:00 AM;3;50;1714;7;2-4
31-May-16 12:00:00 AM;3;60;1970;6;2-4
31-May-16 12:00:00 AM;3;63;1714;7;2-4
31-May-16 12:00:00 AM;3;17;1920;6;2-4
31-May-16 12:00:00 AM;3;94;1650;6;2-4
31-May-16 12:00:00 AM;3;76;1520;6;2-4
31-May-16 12:00:00 AM;3;22;1542;7;2-4
31-May-16 12:00:00 AM;3;9;1200;6;2-4
31-May-16 12:00:00 AM;3;78;1550;6;2-4
31-May-16 12:00:00 AM;3;79;1560;6;2-4
31-May-16 12:00:00 AM;3;83;1610;6;2-4
31-May-16 12:00:00 AM;3;72;1714;7;2-4
31-May-16 12:00:00 AM;3;80;1550;6;2-4
