date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;1;40;2640;1;1-1
31-May-16 12:00:00 AM;2;40;1920;1;1-1
31-May-16 12:00:00 AM;3;40;2100;4;3-4
31-May-16 12:00:00 AM;4;40;2580;3;3-4
31-May-16 12:00:00 AM;6;40;2340;1;2-4
31-May-16 12:00:00 AM;7;40;2340;1;2-4
31-May-16 12:00:00 AM;5;40;1780;3;3-4
31-May-16 12:00:00 AM;8;40;2220;1;2-4
31-May-16 12:00:00 AM;9;40;2220;1;2-4
31-May-16 12:00:00 AM;10;40;2220;1;2-4
31-May-16 12:00:00 AM;11;40;2220;1;2-4
31-May-16 12:00:00 AM;12;40;2220;1;2-4
31-May-16 12:00:00 AM;16;40;1980;1;2-4
31-May-16 12:00:00 AM;17;40;1980;1;2-4
31-May-16 12:00:00 AM;18;40;1920;1;2-4
31-May-16 12:00:00 AM;19;40;1920;1;2-4
31-May-16 12:00:00 AM;20;40;1920;1;2-4
31-May-16 12:00:00 AM;21;40;1920;1;2-4
31-May-16 12:00:00 AM;25;40;420;1;1-1
31-May-16 12:00:00 AM;22;40;1800;1;2-4
31-May-16 12:00:00 AM;23;40;1800;1;2-4
31-May-16 12:00:00 AM;24;40;1800;1;2-4
31-May-16 12:00:00 AM;26;40;1740;1;2-4
31-May-16 12:00:00 AM;27;40;1680;1;2-4
31-May-16 12:00:00 AM;28;40;1620;1;2-4
31-May-16 12:00:00 AM;29;40;1620;1;2-4
31-May-16 12:00:00 AM;30;40;1400;3;2-4
31-May-16 12:00:00 AM;31;40;1560;1;2-4
31-May-16 12:00:00 AM;32;40;1560;1;2-4
31-May-16 12:00:00 AM;33;40;1440;1;2-4
31-May-16 12:00:00 AM;40;37;1680;3;2-4
31-May-16 12:00:00 AM;40;38;2256;5;2-4
31-May-16 12:00:00 AM;40;46;780;1;2-4
31-May-16 12:00:00 AM;40;50;1380;1;2-4
31-May-16 12:00:00 AM;40;49;1500;1;2-4
31-May-16 12:00:00 AM;40;51;900;1;2-4
31-May-16 12:00:00 AM;40;52;1380;1;2-4
31-May-16 12:00:00 AM;40;1;1290;2;2-4
31-May-16 12:00:00 AM;40;54;360;1;2-4
31-May-16 12:00:00 AM;40;55;1200;1;2-4
31-May-16 12:00:00 AM;40;47;1040;6;2-4
31-May-16 12:00:00 AM;40;56;1020;1;2-4
31-May-16 12:00:00 AM;40;57;1305;4;2-4
31-May-16 12:00:00 AM;40;58;1320;1;2-4
31-May-16 12:00:00 AM;40;59;1020;1;2-4
31-May-16 12:00:00 AM;40;60;1740;1;2-4
31-May-16 12:00:00 AM;40;61;1560;1;2-4
31-May-16 12:00:00 AM;40;62;1920;1;2-4
31-May-16 12:00:00 AM;40;63;1740;1;2-4
31-May-16 12:00:00 AM;40;64;1582;8;2-4
31-May-16 12:00:00 AM;40;65;1380;1;2-4
31-May-16 12:00:00 AM;40;66;1680;1;2-4
31-May-16 12:00:00 AM;40;67;840;2;2-4
31-May-16 12:00:00 AM;40;68;1020;1;2-4
31-May-16 12:00:00 AM;40;69;1200;1;2-4
31-May-16 12:00:00 AM;40;70;1500;1;2-4
31-May-16 12:00:00 AM;40;71;1308;5;2-4
31-May-16 12:00:00 AM;40;72;2160;1;2-4
31-May-16 12:00:00 AM;40;73;960;3;2-4
31-May-16 12:00:00 AM;40;74;840;1;2-4
31-May-16 12:00:00 AM;40;75;1380;1;2-4
31-May-16 12:00:00 AM;40;53;1140;2;2-4
31-May-16 12:00:00 AM;40;82;3180;1;2-4
31-May-16 12:00:00 AM;40;83;1320;1;2-4
31-May-16 12:00:00 AM;40;80;1440;1;2-4
