date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;1;41;2060;3;1-1
31-May-16 12:00:00 AM;2;41;1920;1;1-1
31-May-16 12:00:00 AM;3;41;1420;3;3-4
31-May-16 12:00:00 AM;4;41;840;7;3-4
31-May-16 12:00:00 AM;6;41;1920;4;2-4
31-May-16 12:00:00 AM;7;41;765;4;2-4
31-May-16 12:00:00 AM;5;41;2400;6;3-4
31-May-16 12:00:00 AM;8;41;1812;5;2-4
31-May-16 12:00:00 AM;9;41;1695;4;2-4
31-May-16 12:00:00 AM;10;41;2440;3;2-4
31-May-16 12:00:00 AM;11;41;570;2;2-4
31-May-16 12:00:00 AM;12;41;1380;4;2-4
31-May-16 12:00:00 AM;16;41;1270;6;2-4
31-May-16 12:00:00 AM;17;41;1884;5;2-4
31-May-16 12:00:00 AM;18;41;1416;5;2-4
31-May-16 12:00:00 AM;19;41;900;6;2-4
31-May-16 12:00:00 AM;20;41;1425;4;2-4
31-May-16 12:00:00 AM;21;41;1785;4;2-4
31-May-16 12:00:00 AM;25;41;420;1;1-1
31-May-16 12:00:00 AM;22;41;2091;7;2-4
31-May-16 12:00:00 AM;23;41;2120;3;2-4
31-May-16 12:00:00 AM;24;41;1800;5;2-4
31-May-16 12:00:00 AM;26;41;1776;5;2-4
31-May-16 12:00:00 AM;27;41;1230;4;2-4
31-May-16 12:00:00 AM;28;41;1575;4;2-4
31-May-16 12:00:00 AM;29;41;768;5;2-4
31-May-16 12:00:00 AM;30;41;1700;6;2-4
31-May-16 12:00:00 AM;31;41;1548;5;2-4
31-May-16 12:00:00 AM;32;41;2112;5;2-4
31-May-16 12:00:00 AM;33;41;1030;6;2-4
31-May-16 12:00:00 AM;36;41;1740;5;2-4
31-May-16 12:00:00 AM;39;41;1740;2;3-3
31-May-16 12:00:00 AM;43;41;1830;2;3-3
31-May-16 12:00:00 AM;37;41;2300;3;2-4
31-May-16 12:00:00 AM;41;71;1560;5;3-6
31-May-16 12:00:00 AM;41;48;2197;8;3-6
31-May-16 12:00:00 AM;41;89;900;4;3-6
31-May-16 12:00:00 AM;41;3;996;5;3-6
31-May-16 12:00:00 AM;41;42;1920;1;3-6
31-May-16 12:00:00 AM;41;34;2640;2;3-6
31-May-16 12:00:00 AM;41;64;720;3;3-3
31-May-16 12:00:00 AM;41;86;2055;4;3-3
31-May-16 12:00:00 AM;41;93;2340;1;3-3
31-May-16 12:00:00 AM;41;90;2520;1;3-3
31-May-16 12:00:00 AM;41;87;1728;16;3-3
31-May-16 12:00:00 AM;82;41;1956;5;2-4
31-May-16 12:00:00 AM;85;41;1392;5;2-4
31-May-16 12:00:00 AM;84;41;660;1;3-1
31-May-16 12:00:00 AM;86;41;450;2;3-4
31-May-16 12:00:00 AM;88;41;450;2;3-4
31-May-16 12:00:00 AM;91;41;450;2;3-4
31-May-16 12:00:00 AM;92;41;450;2;3-4
31-May-16 12:00:00 AM;93;41;450;2;3-4
31-May-16 12:00:00 AM;90;41;390;2;3-4
31-May-16 12:00:00 AM;94;41;2028;5;2-7
31-May-16 12:00:00 AM;87;41;2040;1;3-1
31-May-16 12:00:00 AM;89;41;1320;1;3-1
31-May-16 12:00:00 AM;48;41;2390;6;3-4
31-May-16 12:00:00 AM;74;41;1920;6;2-7
31-May-16 12:00:00 AM;54;41;2556;5;2-7
31-May-16 12:00:00 AM;15;41;1380;6;2-7
31-May-16 12:00:00 AM;50;41;2088;5;2-7
31-May-16 12:00:00 AM;58;41;1520;6;2-7
31-May-16 12:00:00 AM;75;41;2364;5;2-7
31-May-16 12:00:00 AM;52;41;2180;6;2-7
31-May-16 12:00:00 AM;70;41;2130;4;2-7
31-May-16 12:00:00 AM;44;41;2556;5;2-7
31-May-16 12:00:00 AM;63;41;1860;6;2-7
31-May-16 12:00:00 AM;14;41;2280;6;2-7
31-May-16 12:00:00 AM;57;41;2148;5;2-7
31-May-16 12:00:00 AM;38;41;2340;1;3-1
31-May-16 12:00:00 AM;13;41;1080;1;2-7
31-May-16 12:00:00 AM;66;41;1395;4;2-7
31-May-16 12:00:00 AM;60;41;1855;12;2-1
31-May-16 12:00:00 AM;55;41;1670;6;2-1
31-May-16 12:00:00 AM;59;41;1832;13;2-1
31-May-16 12:00:00 AM;51;41;1260;11;2-1
31-May-16 12:00:00 AM;68;41;1786;13;2-1
31-May-16 12:00:00 AM;56;41;1772;11;2-1
31-May-16 12:00:00 AM;42;41;240;1;3-1
31-May-16 12:00:00 AM;65;41;2160;4;2-1
31-May-16 12:00:00 AM;64;41;240;1;3-1
31-May-16 12:00:00 AM;61;41;1944;5;2-1
31-May-16 12:00:00 AM;49;41;1836;5;2-1
31-May-16 12:00:00 AM;72;41;1260;3;2-7
31-May-16 12:00:00 AM;67;41;1500;8;2-7
31-May-16 12:00:00 AM;41;57;2148;5;2-4
31-May-16 12:00:00 AM;41;77;2976;10;2-4
31-May-16 12:00:00 AM;41;5;820;3;2-4
31-May-16 12:00:00 AM;41;84;1260;2;2-4
31-May-16 12:00:00 AM;41;88;1890;2;2-4
31-May-16 12:00:00 AM;41;4;840;7;2-4
31-May-16 12:00:00 AM;41;55;1610;6;2-4
31-May-16 12:00:00 AM;41;61;2000;6;2-4
31-May-16 12:00:00 AM;41;70;2130;4;2-4
31-May-16 12:00:00 AM;41;56;1850;13;2-4
31-May-16 12:00:00 AM;41;46;2532;10;2-4
31-May-16 12:00:00 AM;41;49;1830;8;2-4
31-May-16 12:00:00 AM;41;74;1920;6;2-4
31-May-16 12:00:00 AM;41;44;2556;5;2-4
31-May-16 12:00:00 AM;41;65;1950;6;2-4
31-May-16 12:00:00 AM;41;66;1395;4;2-4
31-May-16 12:00:00 AM;41;52;2180;6;2-4
31-May-16 12:00:00 AM;41;59;1812;14;2-4
31-May-16 12:00:00 AM;41;69;2224;13;2-4
31-May-16 12:00:00 AM;41;14;2280;6;2-4
31-May-16 12:00:00 AM;41;75;2364;5;2-4
31-May-16 12:00:00 AM;41;50;2088;5;2-4
31-May-16 12:00:00 AM;41;60;1855;12;2-4
31-May-16 12:00:00 AM;41;63;1860;6;2-4
31-May-16 12:00:00 AM;41;94;2028;5;2-4
31-May-16 12:00:00 AM;41;76;2760;10;2-4
31-May-16 12:00:00 AM;41;78;2772;10;2-4
31-May-16 12:00:00 AM;41;79;2813;9;2-4
31-May-16 12:00:00 AM;41;83;2796;10;2-4
31-May-16 12:00:00 AM;41;72;1260;3;2-4
31-May-16 12:00:00 AM;41;80;2844;10;2-4
31-May-16 12:00:00 AM;41;81;2814;10;2-4
31-May-16 12:00:00 AM;41;54;2556;5;2-4
31-May-16 12:00:00 AM;41;68;1786;13;2-4
31-May-16 12:00:00 AM;41;67;1500;8;2-4
31-May-16 12:00:00 AM;41;51;1260;11;2-4
31-May-16 12:00:00 AM;41;13;1734;10;2-4
31-May-16 12:00:00 AM;41;58;1520;6;2-4
31-May-16 12:00:00 AM;41;15;1380;6;2-4
31-May-16 12:00:00 AM;41;95;2190;2;2-4
31-May-16 12:00:00 AM;41;96;2360;3;2-4
31-May-16 12:00:00 AM;41;97;1095;4;2-4
31-May-16 12:00:00 AM;41;98;885;4;2-4
31-May-16 12:00:00 AM;41;100;915;4;2-4
31-May-16 12:00:00 AM;41;101;1980;3;2-4
31-May-16 12:00:00 AM;41;102;720;3;2-4
31-May-16 12:00:00 AM;41;103;120;3;2-4
31-May-16 12:00:00 AM;41;104;420;3;2-4
31-May-16 12:00:00 AM;41;105;540;4;2-4
31-May-16 12:00:00 AM;41;106;2160;3;2-4
31-May-16 12:00:00 AM;41;107;1575;4;2-4
31-May-16 12:00:00 AM;41;108;1480;3;2-4
31-May-16 12:00:00 AM;41;62;1794;11;2-4
31-May-16 12:00:00 AM;41;73;3420;1;2-4
31-May-16 12:00:00 AM;41;91;3420;1;2-4
31-May-16 12:00:00 AM;41;22;2244;5;2-1
31-May-16 12:00:00 AM;41;16;1656;13;2-1
31-May-16 12:00:00 AM;41;19;1405;12;2-1
31-May-16 12:00:00 AM;41;31;2274;10;2-1
31-May-16 12:00:00 AM;41;23;1785;4;2-1
31-May-16 12:00:00 AM;41;28;1767;11;2-1
31-May-16 12:00:00 AM;41;7;1093;9;2-1
31-May-16 12:00:00 AM;41;10;2081;13;2-1
31-May-16 12:00:00 AM;41;11;1233;9;2-1
31-May-16 12:00:00 AM;41;30;2530;6;2-1
31-May-16 12:00:00 AM;41;24;2270;12;2-1
31-May-16 12:00:00 AM;41;32;2465;11;2-1
31-May-16 12:00:00 AM;41;20;2053;9;2-1
31-May-16 12:00:00 AM;41;6;2208;5;2-1
31-May-16 12:00:00 AM;41;82;2340;3;2-1
31-May-16 12:00:00 AM;41;85;2280;4;2-1
31-May-16 12:00:00 AM;41;8;1774;7;2-1
31-May-16 12:00:00 AM;41;21;1608;5;2-1
31-May-16 12:00:00 AM;41;26;2677;8;2-1
31-May-16 12:00:00 AM;41;17;2148;10;2-1
31-May-16 12:00:00 AM;41;9;1524;5;2-1
31-May-16 12:00:00 AM;41;27;1848;5;2-1
31-May-16 12:00:00 AM;41;12;1590;10;2-1
31-May-16 12:00:00 AM;41;29;1422;10;2-1
31-May-16 12:00:00 AM;41;33;1177;8;2-1
31-May-16 12:00:00 AM;41;18;2052;10;2-1
31-May-16 12:00:00 AM;71;41;300;1;2-4
31-May-16 12:00:00 AM;96;41;840;1;2-1
31-May-16 12:00:00 AM;97;41;780;1;2-1
