date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;1;42;2640;1;1-1
31-May-16 12:00:00 AM;2;42;1920;1;1-1
31-May-16 12:00:00 AM;3;42;2160;4;3-4
31-May-16 12:00:00 AM;4;42;1680;7;3-4
31-May-16 12:00:00 AM;6;42;2640;1;2-4
31-May-16 12:00:00 AM;7;42;2640;1;2-4
31-May-16 12:00:00 AM;5;42;2460;6;3-4
31-May-16 12:00:00 AM;8;42;2520;1;2-4
31-May-16 12:00:00 AM;9;42;2520;1;2-4
31-May-16 12:00:00 AM;10;42;2520;1;2-4
31-May-16 12:00:00 AM;11;42;2520;1;2-4
31-May-16 12:00:00 AM;12;42;2520;1;2-4
31-May-16 12:00:00 AM;16;42;2280;1;2-4
31-May-16 12:00:00 AM;17;42;2280;1;2-4
31-May-16 12:00:00 AM;18;42;2220;1;2-4
31-May-16 12:00:00 AM;19;42;2220;1;2-4
31-May-16 12:00:00 AM;20;42;2220;1;2-4
31-May-16 12:00:00 AM;21;42;2220;1;2-4
31-May-16 12:00:00 AM;25;42;420;1;1-1
31-May-16 12:00:00 AM;22;42;2100;1;2-4
31-May-16 12:00:00 AM;23;42;2100;1;2-4
31-May-16 12:00:00 AM;24;42;2100;1;2-4
31-May-16 12:00:00 AM;26;42;2040;1;2-4
31-May-16 12:00:00 AM;27;42;1980;1;2-4
31-May-16 12:00:00 AM;28;42;1920;1;2-4
31-May-16 12:00:00 AM;29;42;1920;1;2-4
31-May-16 12:00:00 AM;30;42;1920;1;2-4
31-May-16 12:00:00 AM;31;42;1860;1;2-4
31-May-16 12:00:00 AM;32;42;1860;1;2-4
31-May-16 12:00:00 AM;33;42;1740;1;2-4
31-May-16 12:00:00 AM;42;37;1680;4;2-4
31-May-16 12:00:00 AM;42;38;1750;6;2-4
31-May-16 12:00:00 AM;42;46;780;1;2-4
31-May-16 12:00:00 AM;42;50;1380;1;2-4
31-May-16 12:00:00 AM;42;49;1500;1;2-4
31-May-16 12:00:00 AM;42;51;900;1;2-4
31-May-16 12:00:00 AM;42;52;1380;1;2-4
31-May-16 12:00:00 AM;42;1;1290;2;2-4
31-May-16 12:00:00 AM;42;54;360;1;2-4
31-May-16 12:00:00 AM;42;55;1200;1;2-4
31-May-16 12:00:00 AM;42;47;1040;6;2-4
31-May-16 12:00:00 AM;42;56;1020;1;2-4
31-May-16 12:00:00 AM;42;57;1755;4;2-4
31-May-16 12:00:00 AM;42;58;1320;1;2-4
31-May-16 12:00:00 AM;42;59;1020;1;2-4
31-May-16 12:00:00 AM;42;60;1740;1;2-4
31-May-16 12:00:00 AM;42;61;1560;1;2-4
31-May-16 12:00:00 AM;42;62;1920;1;2-4
31-May-16 12:00:00 AM;42;63;1740;1;2-4
31-May-16 12:00:00 AM;42;64;1470;8;2-4
31-May-16 12:00:00 AM;42;65;1380;1;2-4
31-May-16 12:00:00 AM;42;66;1680;1;2-4
31-May-16 12:00:00 AM;42;67;840;2;2-4
31-May-16 12:00:00 AM;42;68;1020;1;2-4
31-May-16 12:00:00 AM;42;69;1200;1;2-4
31-May-16 12:00:00 AM;42;70;1500;1;2-4
31-May-16 12:00:00 AM;42;71;1548;5;2-4
31-May-16 12:00:00 AM;42;72;2160;1;2-4
31-May-16 12:00:00 AM;42;73;1200;4;2-4
31-May-16 12:00:00 AM;42;74;840;1;2-4
31-May-16 12:00:00 AM;42;75;1380;1;2-4
31-May-16 12:00:00 AM;42;53;1140;2;2-4
31-May-16 12:00:00 AM;42;82;3180;1;2-4
31-May-16 12:00:00 AM;42;83;1320;1;2-4
31-May-16 12:00:00 AM;42;80;1440;1;2-4
31-May-16 12:00:00 AM;42;78;1440;1;2-4
31-May-16 12:00:00 AM;42;76;1440;1;2-4
31-May-16 12:00:00 AM;42;79;1440;1;2-4
31-May-16 12:00:00 AM;42;77;1440;1;2-4
31-May-16 12:00:00 AM;42;84;2477;7;2-4
31-May-16 12:00:00 AM;42;85;3180;1;2-4
31-May-16 12:00:00 AM;42;81;1560;1;2-4
31-May-16 12:00:00 AM;42;48;2160;13;2-4
31-May-16 12:00:00 AM;42;86;1740;5;2-4
31-May-16 12:00:00 AM;42;87;1932;5;2-4
31-May-16 12:00:00 AM;42;88;2610;6;2-4
31-May-16 12:00:00 AM;42;89;2630;6;2-4
31-May-16 12:00:00 AM;42;91;1890;4;2-4
31-May-16 12:00:00 AM;42;92;1860;6;2-4
31-May-16 12:00:00 AM;42;93;2150;6;2-4
31-May-16 12:00:00 AM;42;90;1920;6;2-4
31-May-16 12:00:00 AM;42;94;2160;1;2-4
31-May-16 12:00:00 AM;42;95;1071;7;2-4
31-May-16 12:00:00 AM;36;42;1825;7;3-1
31-May-16 12:00:00 AM;40;42;1860;3;3-1
31-May-16 12:00:00 AM;43;42;2424;5;3-1
31-May-16 12:00:00 AM;34;42;2280;3;3-6
31-May-16 12:00:00 AM;41;42;1920;1;3-6
31-May-16 12:00:00 AM;37;42;3144;5;3-4
31-May-16 12:00:00 AM;38;42;1910;6;3-1
31-May-16 12:00:00 AM;73;42;2520;1;3-2
31-May-16 12:00:00 AM;71;42;1140;3;3-6
31-May-16 12:00:00 AM;84;42;2640;8;3-1
31-May-16 12:00:00 AM;91;42;1404;5;3-4
31-May-16 12:00:00 AM;86;42;1671;7;3-1
31-May-16 12:00:00 AM;88;42;2770;6;3-1
31-May-16 12:00:00 AM;92;42;1770;6;3-1
31-May-16 12:00:00 AM;93;42;1910;6;3-1
31-May-16 12:00:00 AM;90;42;2004;5;3-1
31-May-16 12:00:00 AM;95;42;1071;7;3-2
31-May-16 12:00:00 AM;87;42;2220;7;3-1
31-May-16 12:00:00 AM;89;42;1620;4;3-6
31-May-16 12:00:00 AM;48;42;2165;12;3-1
31-May-16 12:00:00 AM;42;34;2280;3;3-1
31-May-16 12:00:00 AM;42;30;300;1;3-1
31-May-16 12:00:00 AM;42;41;240;1;3-1
31-May-16 12:00:00 AM;42;3;2160;4;3-1
31-May-16 12:00:00 AM;42;4;1680;7;3-1
31-May-16 12:00:00 AM;42;5;2460;6;3-1
31-May-16 12:00:00 AM;42;36;3300;1;3-2
31-May-16 12:00:00 AM;57;42;1740;2;3-4
31-May-16 12:00:00 AM;64;42;1680;1;3-1
