date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;1;43;2700;2;1-1
31-May-16 12:00:00 AM;2;43;1920;1;1-1
31-May-16 12:00:00 AM;3;43;1960;3;3-4
31-May-16 12:00:00 AM;4;43;1830;6;3-4
31-May-16 12:00:00 AM;6;43;1680;1;2-4
31-May-16 12:00:00 AM;7;43;1680;1;2-4
31-May-16 12:00:00 AM;5;43;1340;3;3-4
31-May-16 12:00:00 AM;8;43;1560;1;2-4
31-May-16 12:00:00 AM;9;43;1560;1;2-4
31-May-16 12:00:00 AM;10;43;1560;1;2-4
31-May-16 12:00:00 AM;11;43;1560;1;2-4
31-May-16 12:00:00 AM;12;43;1560;1;2-4
31-May-16 12:00:00 AM;16;43;1320;1;2-4
31-May-16 12:00:00 AM;17;43;1320;1;2-4
31-May-16 12:00:00 AM;18;43;1260;1;2-4
31-May-16 12:00:00 AM;19;43;1260;1;2-4
31-May-16 12:00:00 AM;20;43;1260;1;2-4
31-May-16 12:00:00 AM;21;43;1260;1;2-4
31-May-16 12:00:00 AM;25;43;420;1;1-1
31-May-16 12:00:00 AM;22;43;1140;1;2-4
31-May-16 12:00:00 AM;23;43;1140;1;2-4
31-May-16 12:00:00 AM;24;43;1140;1;2-4
31-May-16 12:00:00 AM;26;43;1080;1;2-4
31-May-16 12:00:00 AM;27;43;1020;1;2-4
31-May-16 12:00:00 AM;28;43;960;1;2-4
31-May-16 12:00:00 AM;29;43;960;1;2-4
31-May-16 12:00:00 AM;30;43;960;1;2-4
31-May-16 12:00:00 AM;31;43;900;1;2-4
31-May-16 12:00:00 AM;32;43;900;1;2-4
31-May-16 12:00:00 AM;33;43;780;1;2-4
31-May-16 12:00:00 AM;43;37;1515;4;2-4
31-May-16 12:00:00 AM;43;38;2450;6;2-4
31-May-16 12:00:00 AM;43;46;780;1;2-4
31-May-16 12:00:00 AM;43;50;1380;1;2-4
31-May-16 12:00:00 AM;43;49;1500;1;2-4
31-May-16 12:00:00 AM;43;51;900;1;2-4
31-May-16 12:00:00 AM;43;52;1380;1;2-4
31-May-16 12:00:00 AM;43;1;2700;2;2-4
31-May-16 12:00:00 AM;43;54;360;1;2-4
31-May-16 12:00:00 AM;43;55;1200;1;2-4
31-May-16 12:00:00 AM;43;47;1040;6;2-4
31-May-16 12:00:00 AM;43;56;1020;1;2-4
31-May-16 12:00:00 AM;43;57;2856;5;2-4
31-May-16 12:00:00 AM;43;58;1320;1;2-4
31-May-16 12:00:00 AM;43;59;1020;1;2-4
31-May-16 12:00:00 AM;43;60;1740;1;2-4
31-May-16 12:00:00 AM;43;61;1560;1;2-4
31-May-16 12:00:00 AM;43;62;1920;1;2-4
31-May-16 12:00:00 AM;43;63;1740;1;2-4
31-May-16 12:00:00 AM;43;64;1450;12;2-4
31-May-16 12:00:00 AM;43;65;1380;1;2-4
31-May-16 12:00:00 AM;43;66;1680;1;2-4
31-May-16 12:00:00 AM;43;67;840;2;2-4
31-May-16 12:00:00 AM;43;68;1020;1;2-4
31-May-16 12:00:00 AM;43;69;1200;1;2-4
31-May-16 12:00:00 AM;43;70;1500;1;2-4
31-May-16 12:00:00 AM;43;71;728;7;2-4
31-May-16 12:00:00 AM;43;72;2160;1;2-4
31-May-16 12:00:00 AM;43;73;1035;4;2-4
31-May-16 12:00:00 AM;43;74;840;1;2-4
31-May-16 12:00:00 AM;43;75;1380;1;2-4
31-May-16 12:00:00 AM;43;53;1140;2;2-4
31-May-16 12:00:00 AM;43;82;3180;1;2-4
31-May-16 12:00:00 AM;43;83;1320;1;2-4
31-May-16 12:00:00 AM;43;80;1440;1;2-4
31-May-16 12:00:00 AM;43;78;1440;1;2-4
31-May-16 12:00:00 AM;43;76;1440;1;2-4
31-May-16 12:00:00 AM;43;79;1440;1;2-4
31-May-16 12:00:00 AM;43;77;1440;1;2-4
31-May-16 12:00:00 AM;43;84;1680;7;2-4
31-May-16 12:00:00 AM;43;85;3180;1;2-4
31-May-16 12:00:00 AM;43;81;1560;1;2-4
31-May-16 12:00:00 AM;43;48;2538;16;2-4
31-May-16 12:00:00 AM;43;86;1542;7;2-4
31-May-16 12:00:00 AM;43;87;1792;8;2-4
31-May-16 12:00:00 AM;43;88;2040;6;2-4
31-May-16 12:00:00 AM;43;89;1714;7;2-4
31-May-16 12:00:00 AM;43;91;1725;4;2-4
31-May-16 12:00:00 AM;43;92;690;6;2-4
31-May-16 12:00:00 AM;43;93;2062;8;2-4
31-May-16 12:00:00 AM;43;90;2587;8;2-4
31-May-16 12:00:00 AM;43;94;2160;1;2-4
31-May-16 12:00:00 AM;43;95;550;6;2-4
31-May-16 12:00:00 AM;43;34;2655;8;2-4
31-May-16 12:00:00 AM;36;43;2148;5;3-1
