date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;1;44;832;8;1-1
31-May-16 12:00:00 AM;2;44;2740;3;1-1
31-May-16 12:00:00 AM;6;44;1826;9;2-4
31-May-16 12:00:00 AM;7;44;1852;8;2-4
31-May-16 12:00:00 AM;8;44;1693;9;2-4
31-May-16 12:00:00 AM;9;44;1404;5;2-4
31-May-16 12:00:00 AM;10;44;1914;10;2-4
31-May-16 12:00:00 AM;11;44;2004;10;2-4
31-May-16 12:00:00 AM;12;44;2080;9;2-4
31-May-16 12:00:00 AM;14;44;1345;12;2-7
31-May-16 12:00:00 AM;15;44;1440;9;2-7
31-May-16 12:00:00 AM;16;44;1326;10;2-4
31-May-16 12:00:00 AM;17;44;1536;10;2-4
31-May-16 12:00:00 AM;18;44;1765;12;2-4
31-May-16 12:00:00 AM;19;44;1926;9;2-4
31-May-16 12:00:00 AM;20;44;750;6;2-4
31-May-16 12:00:00 AM;21;44;1060;9;2-4
31-May-16 12:00:00 AM;25;44;2440;3;1-1
31-May-16 12:00:00 AM;22;44;1686;10;2-4
31-May-16 12:00:00 AM;23;44;1766;9;2-4
31-May-16 12:00:00 AM;24;44;1864;13;2-4
31-May-16 12:00:00 AM;26;44;1354;14;2-4
31-May-16 12:00:00 AM;27;44;1920;8;2-4
31-May-16 12:00:00 AM;28;44;1302;10;2-4
31-May-16 12:00:00 AM;29;44;2005;12;2-4
31-May-16 12:00:00 AM;30;44;1236;5;2-4
31-May-16 12:00:00 AM;31;44;1200;6;2-4
31-May-16 12:00:00 AM;32;44;1476;5;2-4
31-May-16 12:00:00 AM;35;44;1260;1;1-1
31-May-16 12:00:00 AM;33;44;1668;10;2-4
31-May-16 12:00:00 AM;44;37;1520;3;2-4
31-May-16 12:00:00 AM;44;38;2880;1;2-4
31-May-16 12:00:00 AM;44;46;1050;8;2-4
31-May-16 12:00:00 AM;44;50;818;14;2-4
31-May-16 12:00:00 AM;44;49;1935;8;2-4
31-May-16 12:00:00 AM;44;51;1140;10;2-4
31-May-16 12:00:00 AM;44;52;1341;14;2-4
31-May-16 12:00:00 AM;44;1;1335;4;2-4
31-May-16 12:00:00 AM;44;54;766;13;2-4
31-May-16 12:00:00 AM;44;55;1807;8;2-4
31-May-16 12:00:00 AM;44;47;1184;15;2-4
31-May-16 12:00:00 AM;44;56;853;9;2-4
31-May-16 12:00:00 AM;44;57;1836;10;2-4
31-May-16 12:00:00 AM;44;58;1832;13;2-4
31-May-16 12:00:00 AM;44;59;1096;11;2-4
31-May-16 12:00:00 AM;44;60;780;10;2-4
31-May-16 12:00:00 AM;44;61;2382;7;2-4
31-May-16 12:00:00 AM;44;62;1140;6;2-4
31-May-16 12:00:00 AM;44;63;1158;16;2-4
31-May-16 12:00:00 AM;44;64;1032;5;2-4
31-May-16 12:00:00 AM;44;65;786;10;2-4
31-May-16 12:00:00 AM;44;66;2045;11;2-4
31-May-16 12:00:00 AM;44;67;932;26;2-4
31-May-16 12:00:00 AM;44;68;924;10;2-4
31-May-16 12:00:00 AM;44;69;725;11;2-4
31-May-16 12:00:00 AM;44;70;1725;8;2-4
31-May-16 12:00:00 AM;44;71;1920;5;2-4
31-May-16 12:00:00 AM;44;72;1600;9;2-4
31-May-16 12:00:00 AM;44;73;960;1;2-4
31-May-16 12:00:00 AM;44;74;1225;12;2-4
31-May-16 12:00:00 AM;44;75;1324;14;2-4
31-May-16 12:00:00 AM;44;53;1190;6;2-4
31-May-16 12:00:00 AM;44;82;2544;5;2-4
31-May-16 12:00:00 AM;44;83;960;11;2-4
31-May-16 12:00:00 AM;44;80;1603;11;2-4
31-May-16 12:00:00 AM;44;78;1592;11;2-4
