date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;1;46;967;8;1-1
31-May-16 12:00:00 AM;2;46;1860;3;1-1
31-May-16 12:00:00 AM;6;46;1412;11;2-4
31-May-16 12:00:00 AM;7;46;1800;10;2-4
31-May-16 12:00:00 AM;8;46;1413;9;2-4
31-May-16 12:00:00 AM;9;46;1560;10;2-4
31-May-16 12:00:00 AM;10;46;1854;10;2-4
31-May-16 12:00:00 AM;11;46;2100;10;2-4
31-May-16 12:00:00 AM;12;46;1987;8;2-4
31-May-16 12:00:00 AM;13;46;1092;10;2-6
31-May-16 12:00:00 AM;16;46;1824;10;2-4
31-May-16 12:00:00 AM;17;46;1764;5;2-4
31-May-16 12:00:00 AM;18;46;1757;7;2-4
31-May-16 12:00:00 AM;19;46;1540;9;2-4
31-May-16 12:00:00 AM;20;46;1446;10;2-4
31-May-16 12:00:00 AM;21;46;1348;15;2-4
31-May-16 12:00:00 AM;25;46;360;3;1-1
31-May-16 12:00:00 AM;22;46;1335;8;2-4
31-May-16 12:00:00 AM;23;46;1500;13;2-4
31-May-16 12:00:00 AM;24;46;1162;8;2-4
31-May-16 12:00:00 AM;26;46;877;8;2-4
31-May-16 12:00:00 AM;27;46;1625;11;2-4
31-May-16 12:00:00 AM;28;46;806;9;2-4
31-May-16 12:00:00 AM;29;46;1550;6;2-4
31-May-16 12:00:00 AM;30;46;1480;12;2-4
31-May-16 12:00:00 AM;31;46;1611;7;2-4
31-May-16 12:00:00 AM;32;46;1632;10;2-4
31-May-16 12:00:00 AM;35;46;930;2;1-1
31-May-16 12:00:00 AM;45;46;1820;3;1-1
31-May-16 12:00:00 AM;33;46;1300;6;2-4
31-May-16 12:00:00 AM;36;46;780;1;2-4
31-May-16 12:00:00 AM;39;46;780;1;2-4
31-May-16 12:00:00 AM;40;46;780;1;2-4
31-May-16 12:00:00 AM;42;46;780;1;2-4
31-May-16 12:00:00 AM;43;46;780;1;2-4
31-May-16 12:00:00 AM;44;46;1050;8;2-4
31-May-16 12:00:00 AM;37;46;1245;4;2-4
