date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;1;47;824;19;1-1
31-May-16 12:00:00 AM;2;47;1350;10;1-1
31-May-16 12:00:00 AM;3;47;1860;3;3-4
31-May-16 12:00:00 AM;4;47;2760;1;3-4
31-May-16 12:00:00 AM;6;47;2020;9;2-4
31-May-16 12:00:00 AM;7;47;2100;10;2-4
31-May-16 12:00:00 AM;5;47;1860;1;3-4
31-May-16 12:00:00 AM;8;47;1900;9;2-4
31-May-16 12:00:00 AM;9;47;1992;10;2-4
31-May-16 12:00:00 AM;10;47;2022;10;2-4
31-May-16 12:00:00 AM;11;47;1915;13;2-4
31-May-16 12:00:00 AM;12;47;2070;10;2-4
31-May-16 12:00:00 AM;14;47;1770;4;2-7
31-May-16 12:00:00 AM;15;47;1944;5;2-7
31-May-16 12:00:00 AM;16;47;1776;10;2-4
31-May-16 12:00:00 AM;17;47;1675;13;2-4
31-May-16 12:00:00 AM;18;47;1684;14;2-4
31-May-16 12:00:00 AM;19;47;1704;10;2-4
31-May-16 12:00:00 AM;20;47;1794;10;2-4
31-May-16 12:00:00 AM;21;47;1440;10;2-4
31-May-16 12:00:00 AM;25;47;1705;7;1-1
31-May-16 12:00:00 AM;22;47;1772;11;2-4
31-May-16 12:00:00 AM;23;47;1554;11;2-4
31-May-16 12:00:00 AM;24;47;1637;14;2-4
31-May-16 12:00:00 AM;26;47;1280;15;2-4
31-May-16 12:00:00 AM;27;47;1536;10;2-4
31-May-16 12:00:00 AM;28;47;1300;9;2-4
31-May-16 12:00:00 AM;29;47;1422;14;2-4
31-May-16 12:00:00 AM;30;47;1452;10;2-4
31-May-16 12:00:00 AM;31;47;1240;9;2-4
31-May-16 12:00:00 AM;32;47;1245;8;2-4
31-May-16 12:00:00 AM;35;47;1570;6;1-1
31-May-16 12:00:00 AM;45;47;2100;10;1-1
31-May-16 12:00:00 AM;33;47;1232;11;2-4
31-May-16 12:00:00 AM;47;49;1110;4;1-1
31-May-16 12:00:00 AM;47;50;120;1;1-1
31-May-16 12:00:00 AM;47;51;1300;3;1-1
31-May-16 12:00:00 AM;47;52;1120;3;1-1
