date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;4;48;1425;41;3-6
31-May-16 12:00:00 AM;3;48;1490;36;3-4
31-May-16 12:00:00 AM;1;48;1541;42;1-1
31-May-16 12:00:00 AM;2;48;2086;18;1-1
31-May-16 12:00:00 AM;5;48;1831;48;3-4
31-May-16 12:00:00 AM;6;48;2026;31;2-4
31-May-16 12:00:00 AM;7;48;1986;27;2-4
31-May-16 12:00:00 AM;10;48;1663;26;2-4
31-May-16 12:00:00 AM;11;48;1821;22;2-4
31-May-16 12:00:00 AM;8;48;1646;29;2-4
31-May-16 12:00:00 AM;9;48;2061;25;2-4
31-May-16 12:00:00 AM;12;48;1931;27;2-4
31-May-16 12:00:00 AM;14;48;1788;26;2-7
31-May-16 12:00:00 AM;15;48;1894;19;2-7
31-May-16 12:00:00 AM;16;48;1773;18;2-4
31-May-16 12:00:00 AM;17;48;1992;24;2-4
31-May-16 12:00:00 AM;18;48;2000;30;2-4
31-May-16 12:00:00 AM;19;48;1564;26;2-4
31-May-16 12:00:00 AM;20;48;1908;25;2-4
31-May-16 12:00:00 AM;21;48;1917;26;2-4
31-May-16 12:00:00 AM;25;48;2110;18;1-1
31-May-16 12:00:00 AM;22;48;1752;33;2-4
31-May-16 12:00:00 AM;23;48;1608;32;2-4
31-May-16 12:00:00 AM;24;48;1932;33;2-4
31-May-16 12:00:00 AM;26;48;1642;34;2-4
31-May-16 12:00:00 AM;27;48;1802;22;2-1
31-May-16 12:00:00 AM;28;48;1660;24;2-4
31-May-16 12:00:00 AM;29;48;1764;32;2-4
31-May-16 12:00:00 AM;30;48;1569;25;2-4
31-May-16 12:00:00 AM;31;48;1672;24;2-4
31-May-16 12:00:00 AM;32;48;1557;24;2-4
31-May-16 12:00:00 AM;35;48;1718;17;1-1
31-May-16 12:00:00 AM;38;48;1988;37;1-1
31-May-16 12:00:00 AM;37;48;1897;54;1-1
31-May-16 12:00:00 AM;45;48;1640;18;1-1
31-May-16 12:00:00 AM;46;48;1940;30;1-1
31-May-16 12:00:00 AM;47;48;1245;21;1-1
31-May-16 12:00:00 AM;33;48;1597;27;2-1
31-May-16 12:00:00 AM;48;48;952;123;1-1
31-May-16 12:00:00 AM;48;49;1690;17;1-1
31-May-16 12:00:00 AM;48;50;1342;16;1-1
31-May-16 12:00:00 AM;48;51;1332;19;1-1
31-May-16 12:00:00 AM;48;52;1418;17;1-1
31-May-16 12:00:00 AM;48;53;972;24;1-1
31-May-16 12:00:00 AM;48;54;927;11;1-1
31-May-16 12:00:00 AM;48;55;1480;18;1-1
31-May-16 12:00:00 AM;48;56;1572;20;1-1
31-May-16 12:00:00 AM;48;57;1574;29;1-1
31-May-16 12:00:00 AM;48;58;2001;14;1-1
31-May-16 12:00:00 AM;48;59;1176;15;1-1
31-May-16 12:00:00 AM;48;60;1573;18;1-1
31-May-16 12:00:00 AM;48;61;1320;18;1-1
31-May-16 12:00:00 AM;48;62;1750;6;1-1
31-May-16 12:00:00 AM;48;63;1838;14;1-1
31-May-16 12:00:00 AM;48;64;1532;51;1-1
31-May-16 12:00:00 AM;48;65;1780;15;1-1
31-May-16 12:00:00 AM;48;66;1362;17;1-1
31-May-16 12:00:00 AM;48;67;1152;35;1-1
31-May-16 12:00:00 AM;48;68;1127;14;1-1
31-May-16 12:00:00 AM;48;69;1440;17;1-1
31-May-16 12:00:00 AM;48;70;1002;17;1-1
31-May-16 12:00:00 AM;48;71;1765;36;1-1
31-May-16 12:00:00 AM;48;72;1329;13;1-1
31-May-16 12:00:00 AM;48;73;1208;15;1-1
31-May-16 12:00:00 AM;48;74;1023;18;1-1
31-May-16 12:00:00 AM;48;75;1693;13;1-1
31-May-16 12:00:00 AM;48;76;1631;16;1-1
31-May-16 12:00:00 AM;48;77;1551;20;1-1
31-May-16 12:00:00 AM;48;78;1527;13;1-1
31-May-16 12:00:00 AM;48;79;1350;16;1-1
