date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;1;49;2160;35;1-1
31-May-16 12:00:00 AM;2;49;1568;15;1-1
31-May-16 12:00:00 AM;6;49;1602;42;2-4
31-May-16 12:00:00 AM;7;49;1825;38;2-4
31-May-16 12:00:00 AM;8;49;1452;42;2-4
31-May-16 12:00:00 AM;10;49;1883;33;2-4
31-May-16 12:00:00 AM;9;49;1944;27;2-4
31-May-16 12:00:00 AM;11;49;2079;32;2-4
31-May-16 12:00:00 AM;12;49;1732;32;2-4
31-May-16 12:00:00 AM;16;49;1628;37;2-4
31-May-16 12:00:00 AM;17;49;1493;37;2-4
31-May-16 12:00:00 AM;18;49;1636;37;2-4
31-May-16 12:00:00 AM;19;49;1527;39;2-4
31-May-16 12:00:00 AM;20;49;1321;38;2-4
31-May-16 12:00:00 AM;21;49;1263;33;2-4
31-May-16 12:00:00 AM;25;49;1242;14;1-1
31-May-16 12:00:00 AM;22;49;1576;43;2-4
31-May-16 12:00:00 AM;23;49;1323;40;2-4
31-May-16 12:00:00 AM;24;49;1272;39;2-4
31-May-16 12:00:00 AM;26;49;1143;32;2-4
31-May-16 12:00:00 AM;27;49;1659;26;2-1
31-May-16 12:00:00 AM;28;49;1706;36;2-4
31-May-16 12:00:00 AM;29;49;1574;33;2-4
31-May-16 12:00:00 AM;30;49;1222;27;2-4
31-May-16 12:00:00 AM;31;49;1493;35;2-4
31-May-16 12:00:00 AM;32;49;1470;40;2-4
31-May-16 12:00:00 AM;35;49;942;14;1-1
31-May-16 12:00:00 AM;45;49;1911;14;1-1
31-May-16 12:00:00 AM;33;49;1527;33;2-1
31-May-16 12:00:00 AM;46;49;1197;43;1-1
31-May-16 12:00:00 AM;47;49;1226;16;1-1
31-May-16 12:00:00 AM;48;49;1690;17;1-1
31-May-16 12:00:00 AM;36;49;1254;11;2-4
31-May-16 12:00:00 AM;39;49;1718;11;2-4
31-May-16 12:00:00 AM;40;49;1560;16;2-4
31-May-16 12:00:00 AM;42;49;1167;13;2-4
31-May-16 12:00:00 AM;44;49;1776;36;2-1
31-May-16 12:00:00 AM;43;49;2090;13;2-4
31-May-16 12:00:00 AM;49;49;1396;90;1-1
31-May-16 12:00:00 AM;49;50;1681;43;1-1
31-May-16 12:00:00 AM;49;51;1702;55;1-1
31-May-16 12:00:00 AM;49;52;1594;49;1-1
31-May-16 12:00:00 AM;49;53;1419;32;1-1
31-May-16 12:00:00 AM;37;49;1745;12;2-4
31-May-16 12:00:00 AM;38;49;2010;6;2-4
31-May-16 12:00:00 AM;50;49;1445;41;1-4
31-May-16 12:00:00 AM;49;1;1633;27;1-4
31-May-16 12:00:00 AM;49;54;1587;42;2-4
31-May-16 12:00:00 AM;49;55;1725;38;2-4
31-May-16 12:00:00 AM;49;47;1146;26;2-4
31-May-16 12:00:00 AM;49;56;1688;57;2-4
31-May-16 12:00:00 AM;49;57;1668;46;2-4
31-May-16 12:00:00 AM;49;58;1294;44;2-4
31-May-16 12:00:00 AM;49;59;1742;57;2-4
31-May-16 12:00:00 AM;49;60;1711;55;2-4
31-May-16 12:00:00 AM;49;61;2047;39;2-4
31-May-16 12:00:00 AM;49;62;1872;50;2-4
31-May-16 12:00:00 AM;49;63;1665;51;2-4
31-May-16 12:00:00 AM;49;64;2058;26;2-4
31-May-16 12:00:00 AM;49;65;1296;31;2-4
31-May-16 12:00:00 AM;49;66;1749;38;2-4
31-May-16 12:00:00 AM;49;67;1694;90;2-4
31-May-16 12:00:00 AM;49;68;1626;57;2-4
31-May-16 12:00:00 AM;49;69;1554;43;2-4
31-May-16 12:00:00 AM;49;70;1891;44;2-4
31-May-16 12:00:00 AM;49;71;1535;22;2-4
31-May-16 12:00:00 AM;49;72;1952;41;2-4
31-May-16 12:00:00 AM;49;73;998;14;2-4
31-May-16 12:00:00 AM;49;74;1917;43;2-4
31-May-16 12:00:00 AM;49;75;1422;41;2-4
31-May-16 12:00:00 AM;49;82;1144;25;2-4
31-May-16 12:00:00 AM;49;83;1226;29;2-4
31-May-16 12:00:00 AM;49;80;1620;29;2-4
31-May-16 12:00:00 AM;49;78;1572;29;2-4
31-May-16 12:00:00 AM;49;76;951;21;2-4
31-May-16 12:00:00 AM;49;79;1294;31;2-4
31-May-16 12:00:00 AM;49;77;1497;29;2-4
31-May-16 12:00:00 AM;49;84;1157;17;2-4
31-May-16 12:00:00 AM;49;85;1570;24;2-4
31-May-16 12:00:00 AM;49;81;1300;36;2-4
31-May-16 12:00:00 AM;49;48;1758;26;2-4
31-May-16 12:00:00 AM;49;86;1414;19;2-4
31-May-16 12:00:00 AM;49;87;1333;26;2-4
31-May-16 12:00:00 AM;49;88;1260;16;2-4
31-May-16 12:00:00 AM;49;89;707;14;2-4
31-May-16 12:00:00 AM;49;91;1410;14;2-4
31-May-16 12:00:00 AM;49;92;1586;18;2-4
31-May-16 12:00:00 AM;49;93;1243;22;2-4
31-May-16 12:00:00 AM;49;90;1537;8;2-4
31-May-16 12:00:00 AM;49;94;1381;32;2-4
31-May-16 12:00:00 AM;49;95;2473;26;2-4
31-May-16 12:00:00 AM;49;34;2347;17;2-4
31-May-16 12:00:00 AM;49;46;1349;45;2-1
31-May-16 12:00:00 AM;49;12;1835;42;2-1
31-May-16 12:00:00 AM;49;32;1601;55;2-1
31-May-16 12:00:00 AM;49;26;1538;37;2-1
31-May-16 12:00:00 AM;49;7;1721;48;2-1
31-May-16 12:00:00 AM;49;29;1660;41;2-1
31-May-16 12:00:00 AM;49;20;1729;44;2-1
31-May-16 12:00:00 AM;49;24;1501;49;2-1
31-May-16 12:00:00 AM;49;10;1623;52;2-1
31-May-16 12:00:00 AM;49;30;1391;51;2-1
31-May-16 12:00:00 AM;49;13;1435;55;2-1
31-May-16 12:00:00 AM;49;21;1574;38;2-1
31-May-16 12:00:00 AM;49;28;1591;54;2-1
31-May-16 12:00:00 AM;49;15;1468;45;2-1
31-May-16 12:00:00 AM;49;31;1788;43;2-1
31-May-16 12:00:00 AM;49;16;1893;53;2-1
31-May-16 12:00:00 AM;49;17;1516;39;2-1
31-May-16 12:00:00 AM;49;9;1825;28;2-1
31-May-16 12:00:00 AM;49;19;2015;49;2-1
31-May-16 12:00:00 AM;49;14;1869;55;2-1
31-May-16 12:00:00 AM;49;18;1857;42;2-1
31-May-16 12:00:00 AM;49;11;1945;38;2-1
31-May-16 12:00:00 AM;72;49;1610;42;2-1
31-May-16 12:00:00 AM;82;49;1900;22;2-1
31-May-16 12:00:00 AM;85;49;1718;30;2-7
31-May-16 12:00:00 AM;94;49;1167;26;2-7
31-May-16 12:00:00 AM;74;49;1401;36;2-7
31-May-16 12:00:00 AM;54;49;1492;30;2-7
31-May-16 12:00:00 AM;15;49;1567;32;2-7
31-May-16 12:00:00 AM;58;49;1767;42;2-7
31-May-16 12:00:00 AM;75;49;1526;41;2-7
31-May-16 12:00:00 AM;52;49;1260;40;2-7
31-May-16 12:00:00 AM;63;49;1607;37;2-7
31-May-16 12:00:00 AM;70;49;1759;34;2-7
31-May-16 12:00:00 AM;14;49;1648;46;2-7
31-May-16 12:00:00 AM;57;49;1832;31;2-7
31-May-16 12:00:00 AM;55;49;1783;36;2-7
31-May-16 12:00:00 AM;65;49;1580;44;2-7
31-May-16 12:00:00 AM;62;49;1683;35;2-7
31-May-16 12:00:00 AM;49;22;1662;37;2-7
31-May-16 12:00:00 AM;13;49;1331;26;2-7
31-May-16 12:00:00 AM;49;27;1962;37;2-7
31-May-16 12:00:00 AM;60;49;1424;35;2-1
31-May-16 12:00:00 AM;59;49;1669;50;2-1
31-May-16 12:00:00 AM;51;49;1461;44;2-1
31-May-16 12:00:00 AM;68;49;1524;44;2-1
31-May-16 12:00:00 AM;56;49;1519;43;2-1
31-May-16 12:00:00 AM;61;49;2046;37;2-1
31-May-16 12:00:00 AM;49;41;1337;14;2-1
31-May-16 12:00:00 AM;49;23;1384;44;2-1
31-May-16 12:00:00 AM;41;49;1740;11;2-4
31-May-16 12:00:00 AM;67;49;1848;31;2-6
31-May-16 12:00:00 AM;69;49;1605;34;2-6
31-May-16 12:00:00 AM;49;6;1603;40;2-6
31-May-16 12:00:00 AM;49;33;1875;38;2-6
31-May-16 12:00:00 AM;49;44;1633;50;2-6
31-May-16 12:00:00 AM;49;8;1567;46;2-6
31-May-16 12:00:00 AM;3;49;1840;15;2-4
31-May-16 12:00:00 AM;71;49;2178;13;1-2
31-May-16 12:00:00 AM;77;49;1048;15;1-4
31-May-16 12:00:00 AM;84;49;1818;19;1-4
31-May-16 12:00:00 AM;87;49;1635;23;1-4
31-May-16 12:00:00 AM;4;49;1380;11;1-2
31-May-16 12:00:00 AM;49;4;1315;14;1-4
31-May-16 12:00:00 AM;49;5;1890;24;1-4
31-May-16 12:00:00 AM;49;35;1014;11;1-2
31-May-16 12:00:00 AM;66;49;1853;46;2-1
31-May-16 12:00:00 AM;95;49;2074;21;1-4
31-May-16 12:00:00 AM;78;49;1208;22;1-1
31-May-16 12:00:00 AM;76;49;987;26;1-1
31-May-16 12:00:00 AM;83;49;811;21;1-1
31-May-16 12:00:00 AM;79;49;845;21;2-1
31-May-16 12:00:00 AM;49;3;1650;20;1-4
31-May-16 12:00:00 AM;90;49;1095;12;1-4
31-May-16 12:00:00 AM;49;96;1502;27;2-1
31-May-16 12:00:00 AM;49;97;1557;27;2-1
31-May-16 12:00:00 AM;49;98;1790;30;2-1
31-May-16 12:00:00 AM;49;100;1800;27;2-1
31-May-16 12:00:00 AM;49;101;1128;27;2-1
31-May-16 12:00:00 AM;49;102;1875;27;2-1
31-May-16 12:00:00 AM;49;103;1745;11;2-1
31-May-16 12:00:00 AM;49;104;1435;14;2-1
31-May-16 12:00:00 AM;49;105;1925;11;2-1
31-May-16 12:00:00 AM;49;106;1750;11;2-1
31-May-16 12:00:00 AM;49;107;1778;11;2-1
31-May-16 12:00:00 AM;49;108;1727;14;2-1
31-May-16 12:00:00 AM;96;49;1748;30;2-4
31-May-16 12:00:00 AM;97;49;2038;30;2-4
31-May-16 12:00:00 AM;99;49;1368;30;1-1
31-May-16 12:00:00 AM;98;49;1704;30;2-4
31-May-16 12:00:00 AM;100;49;1982;27;2-4
31-May-16 12:00:00 AM;101;49;1677;27;2-4
31-May-16 12:00:00 AM;102;49;1780;31;2-4
31-May-16 12:00:00 AM;103;49;1718;30;2-4
31-May-16 12:00:00 AM;104;49;1788;21;2-4
31-May-16 12:00:00 AM;105;49;2010;22;2-4
31-May-16 12:00:00 AM;5;49;1760;12;1-1
31-May-16 12:00:00 AM;106;49;2119;22;2-4
31-May-16 12:00:00 AM;107;49;1757;31;2-4
31-May-16 12:00:00 AM;109;49;1306;27;1-1
31-May-16 12:00:00 AM;108;49;1867;23;2-4
31-May-16 12:00:00 AM;49;36;2412;15;1-4
31-May-16 12:00:00 AM;49;37;1431;20;1-4
31-May-16 12:00:00 AM;49;99;1135;62;2-4
31-May-16 12:00:00 AM;49;109;1253;47;2-4
31-May-16 12:00:00 AM;49;38;1568;15;1-4
31-May-16 12:00:00 AM;49;43;1846;18;1-4
31-May-16 12:00:00 AM;49;39;2048;15;1-4
31-May-16 12:00:00 AM;89;49;1747;8;1-4
31-May-16 12:00:00 AM;92;49;1475;12;1-4
31-May-16 12:00:00 AM;88;49;1635;8;1-4
31-May-16 12:00:00 AM;93;49;1845;12;1-4
31-May-16 12:00:00 AM;81;49;1128;10;1-4
31-May-16 12:00:00 AM;80;49;1452;14;1-4
31-May-16 12:00:00 AM;73;49;1594;7;1-1
31-May-16 12:00:00 AM;91;49;1200;6;1-1
31-May-16 12:00:00 AM;86;49;1189;11;1-1
01-Jun-16 12:00:00 AM;53;49;1380;18;1-1
01-Jun-16 12:00:00 AM;34;49;2417;17;1-1
01-Jun-16 12:00:00 AM;64;49;1961;19;1-1
01-Jun-16 12:00:00 AM;49;40;1343;23;2-4
01-Jun-16 12:00:00 AM;49;42;1189;23;2-4
01-Jun-16 12:00:00 AM;49;2;1512;5;1-1
01-Jun-16 12:00:00 AM;49;45;420;1;1-1
02-Jun-16 12:00:00 AM;49;25;360;1;1-1
