date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;1;4;2057;7;1-1
31-May-16 12:00:00 AM;2;4;1080;3;1-1
31-May-16 12:00:00 AM;4;5;1204;14;3-4
31-May-16 12:00:00 AM;4;34;2030;12;3-4
31-May-16 12:00:00 AM;4;36;1480;9;3-4
31-May-16 12:00:00 AM;4;39;2568;5;3-4
31-May-16 12:00:00 AM;4;40;2580;3;3-4
31-May-16 12:00:00 AM;4;41;840;7;3-4
31-May-16 12:00:00 AM;4;42;1680;7;3-4
31-May-16 12:00:00 AM;4;43;1830;6;3-4
31-May-16 12:00:00 AM;4;37;2570;6;3-4
31-May-16 12:00:00 AM;4;38;1650;6;3-4
31-May-16 12:00:00 AM;4;64;1812;15;3-4
31-May-16 12:00:00 AM;4;71;2270;12;3-4
31-May-16 12:00:00 AM;4;73;3192;5;3-4
31-May-16 12:00:00 AM;4;84;2767;8;3-4
31-May-16 12:00:00 AM;4;48;1180;24;3-4
31-May-16 12:00:00 AM;4;86;2026;13;3-4
31-May-16 12:00:00 AM;4;87;2390;13;3-4
31-May-16 12:00:00 AM;4;88;2040;5;3-4
31-May-16 12:00:00 AM;4;89;2365;7;3-4
31-May-16 12:00:00 AM;4;91;2357;7;3-4
31-May-16 12:00:00 AM;4;92;2380;3;3-4
31-May-16 12:00:00 AM;4;93;1848;5;3-4
31-May-16 12:00:00 AM;4;90;617;7;3-4
31-May-16 12:00:00 AM;4;95;2001;11;3-4
31-May-16 12:00:00 AM;4;47;2760;1;3-4
31-May-16 12:00:00 AM;4;30;1028;7;3-4
31-May-16 12:00:00 AM;4;3;1192;8;3-1
31-May-16 12:00:00 AM;5;4;1260;12;3-1
31-May-16 12:00:00 AM;35;4;720;1;1-1
31-May-16 12:00:00 AM;37;4;2046;9;2-4
31-May-16 12:00:00 AM;73;4;2520;1;3-2
31-May-16 12:00:00 AM;71;4;1770;2;3-3
31-May-16 12:00:00 AM;84;4;2767;8;3-1
31-May-16 12:00:00 AM;86;4;2026;13;3-1
31-May-16 12:00:00 AM;88;4;2040;5;3-1
31-May-16 12:00:00 AM;91;4;2357;7;3-1
31-May-16 12:00:00 AM;92;4;1320;3;3-1
31-May-16 12:00:00 AM;90;4;617;7;3-1
31-May-16 12:00:00 AM;95;4;3420;1;3-2
31-May-16 12:00:00 AM;87;4;1290;8;3-3
