date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;1;50;1327;8;1-1
31-May-16 12:00:00 AM;2;50;780;3;1-1
31-May-16 12:00:00 AM;6;50;1722;10;2-4
31-May-16 12:00:00 AM;7;50;1875;8;2-4
31-May-16 12:00:00 AM;8;50;1416;10;2-4
31-May-16 12:00:00 AM;9;50;1704;5;2-4
31-May-16 12:00:00 AM;10;50;2029;11;2-4
31-May-16 12:00:00 AM;11;50;1746;9;2-4
31-May-16 12:00:00 AM;12;50;1980;10;2-4
31-May-16 12:00:00 AM;14;50;1033;13;2-7
31-May-16 12:00:00 AM;15;50;1830;10;2-7
31-May-16 12:00:00 AM;16;50;1783;11;2-4
31-May-16 12:00:00 AM;17;50;1320;7;2-4
31-May-16 12:00:00 AM;18;50;1195;12;2-4
31-May-16 12:00:00 AM;19;50;1426;9;2-4
31-May-16 12:00:00 AM;20;50;967;8;2-4
31-May-16 12:00:00 AM;21;50;1192;8;2-4
31-May-16 12:00:00 AM;25;50;480;3;1-1
31-May-16 12:00:00 AM;22;50;1074;10;2-4
31-May-16 12:00:00 AM;23;50;785;11;2-4
31-May-16 12:00:00 AM;24;50;1316;17;2-4
31-May-16 12:00:00 AM;26;50;1269;13;2-4
31-May-16 12:00:00 AM;27;50;2125;7;2-4
31-May-16 12:00:00 AM;28;50;993;9;2-4
31-May-16 12:00:00 AM;29;50;1380;12;2-4
31-May-16 12:00:00 AM;30;50;1130;6;2-4
31-May-16 12:00:00 AM;31;50;1190;6;2-4
31-May-16 12:00:00 AM;32;50;1430;6;2-4
31-May-16 12:00:00 AM;35;50;120;2;1-1
31-May-16 12:00:00 AM;45;50;1940;3;1-1
31-May-16 12:00:00 AM;33;50;1760;9;2-4
31-May-16 12:00:00 AM;47;50;120;1;1-1
31-May-16 12:00:00 AM;48;50;1440;4;1-1
31-May-16 12:00:00 AM;36;50;1380;1;2-4
31-May-16 12:00:00 AM;39;50;1380;1;2-4
31-May-16 12:00:00 AM;40;50;1380;1;2-4
31-May-16 12:00:00 AM;42;50;1380;1;2-4
31-May-16 12:00:00 AM;43;50;1380;1;2-4
31-May-16 12:00:00 AM;44;50;818;14;2-4
31-May-16 12:00:00 AM;37;50;1640;3;2-4
31-May-16 12:00:00 AM;38;50;1320;1;2-4
31-May-16 12:00:00 AM;50;49;1500;6;2-4
31-May-16 12:00:00 AM;50;51;1220;9;2-4
31-May-16 12:00:00 AM;50;52;1110;8;2-4
31-May-16 12:00:00 AM;50;1;1755;4;2-4
31-May-16 12:00:00 AM;50;54;1510;6;2-4
31-May-16 12:00:00 AM;50;55;1236;5;2-4
31-May-16 12:00:00 AM;50;47;955;13;2-4
31-May-16 12:00:00 AM;50;56;650;6;2-4
31-May-16 12:00:00 AM;50;57;1560;9;2-4
31-May-16 12:00:00 AM;50;58;1728;10;2-4
31-May-16 12:00:00 AM;50;59;1833;9;2-4
31-May-16 12:00:00 AM;50;60;1095;8;2-4
31-May-16 12:00:00 AM;50;61;1416;5;2-4
31-May-16 12:00:00 AM;50;62;1190;6;2-4
31-May-16 12:00:00 AM;50;63;1552;15;2-4
31-May-16 12:00:00 AM;50;64;540;3;2-4
31-May-16 12:00:00 AM;50;65;770;6;2-4
31-May-16 12:00:00 AM;50;66;1191;7;2-4
31-May-16 12:00:00 AM;50;67;912;20;2-4
31-May-16 12:00:00 AM;50;68;1102;8;2-4
31-May-16 12:00:00 AM;50;69;1530;8;2-4
31-May-16 12:00:00 AM;50;70;1340;6;2-4
31-May-16 12:00:00 AM;50;71;1580;3;2-4
31-May-16 12:00:00 AM;50;72;1405;7;2-4
31-May-16 12:00:00 AM;50;73;840;1;2-4
31-May-16 12:00:00 AM;50;74;1500;7;2-4
31-May-16 12:00:00 AM;50;75;1193;9;2-4
31-May-16 12:00:00 AM;50;53;1070;6;2-4
31-May-16 12:00:00 AM;50;82;2720;3;2-4
31-May-16 12:00:00 AM;50;83;1590;6;2-4
31-May-16 12:00:00 AM;50;80;1660;6;2-4
31-May-16 12:00:00 AM;50;78;1630;6;2-4
31-May-16 12:00:00 AM;50;76;1896;5;2-4
31-May-16 12:00:00 AM;50;79;1884;5;2-4
31-May-16 12:00:00 AM;50;77;1275;8;2-4
31-May-16 12:00:00 AM;50;84;1740;2;2-4
31-May-16 12:00:00 AM;50;85;2805;4;2-4
31-May-16 12:00:00 AM;50;81;1932;5;2-4
31-May-16 12:00:00 AM;50;48;1480;3;2-4
31-May-16 12:00:00 AM;50;86;900;2;2-4
31-May-16 12:00:00 AM;50;87;1280;3;2-4
31-May-16 12:00:00 AM;50;88;1680;1;2-4
31-May-16 12:00:00 AM;50;89;1680;1;2-4
31-May-16 12:00:00 AM;50;91;1680;1;2-4
31-May-16 12:00:00 AM;50;92;1680;1;2-4
31-May-16 12:00:00 AM;50;93;1680;1;2-4
31-May-16 12:00:00 AM;50;90;1740;1;2-4
31-May-16 12:00:00 AM;50;94;1273;9;2-4
31-May-16 12:00:00 AM;50;95;2520;4;2-4
31-May-16 12:00:00 AM;50;46;1284;5;2-1
31-May-16 12:00:00 AM;50;33;1225;12;2-1
31-May-16 12:00:00 AM;50;12;1645;14;2-1
31-May-16 12:00:00 AM;50;32;1430;6;2-1
31-May-16 12:00:00 AM;50;26;1332;5;2-1
31-May-16 12:00:00 AM;50;7;1644;10;2-1
31-May-16 12:00:00 AM;50;29;1804;15;2-1
31-May-16 12:00:00 AM;50;20;967;8;2-1
31-May-16 12:00:00 AM;50;24;1323;16;2-1
31-May-16 12:00:00 AM;50;10;1960;12;2-1
31-May-16 12:00:00 AM;50;30;1130;6;2-1
31-May-16 12:00:00 AM;50;13;1687;8;2-1
31-May-16 12:00:00 AM;50;21;1770;6;2-1
31-May-16 12:00:00 AM;50;28;1296;10;2-1
31-May-16 12:00:00 AM;49;50;1597;8;2-1
31-May-16 12:00:00 AM;55;50;1551;7;2-1
31-May-16 12:00:00 AM;57;50;1147;8;2-1
31-May-16 12:00:00 AM;60;50;1002;10;2-1
31-May-16 12:00:00 AM;61;50;977;7;2-1
31-May-16 12:00:00 AM;62;50;1190;6;2-1
31-May-16 12:00:00 AM;63;50;1641;14;2-1
31-May-16 12:00:00 AM;65;50;693;9;2-1
31-May-16 12:00:00 AM;66;50;1073;9;2-1
31-May-16 12:00:00 AM;70;50;1249;11;2-1
31-May-16 12:00:00 AM;72;50;1452;10;2-1
31-May-16 12:00:00 AM;82;50;2496;5;2-1
31-May-16 12:00:00 AM;85;50;2453;9;2-1
31-May-16 12:00:00 AM;94;50;1273;9;2-7
31-May-16 12:00:00 AM;59;50;1833;9;2-1
31-May-16 12:00:00 AM;56;50;1220;6;2-1
31-May-16 12:00:00 AM;68;50;1020;10;2-1
31-May-16 12:00:00 AM;54;50;1530;8;2-1
31-May-16 12:00:00 AM;69;50;1530;8;2-1
31-May-16 12:00:00 AM;74;50;1500;7;2-7
31-May-16 12:00:00 AM;58;50;1170;12;2-1
31-May-16 12:00:00 AM;50;31;1971;7;2-1
31-May-16 12:00:00 AM;50;16;1783;11;2-1
31-May-16 12:00:00 AM;50;17;1470;10;2-1
31-May-16 12:00:00 AM;50;9;1560;4;2-1
31-May-16 12:00:00 AM;50;44;1195;13;2-1
31-May-16 12:00:00 AM;50;11;1527;11;2-7
31-May-16 12:00:00 AM;50;18;1195;12;2-7
31-May-16 12:00:00 AM;50;6;900;2;2-7
31-May-16 12:00:00 AM;50;8;1386;10;2-7
31-May-16 12:00:00 AM;50;22;2070;2;2-7
31-May-16 12:00:00 AM;50;27;1950;8;2-7
31-May-16 12:00:00 AM;50;19;1476;10;2-7
31-May-16 12:00:00 AM;50;23;1380;1;2-7
31-May-16 12:00:00 AM;50;41;2088;5;2-7
31-May-16 12:00:00 AM;41;50;2088;5;2-4
