date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;1;51;1676;36;1-1
31-May-16 12:00:00 AM;2;51;1784;15;1-1
31-May-16 12:00:00 AM;7;51;1783;70;2-2
31-May-16 12:00:00 AM;6;51;1579;56;2-4
31-May-16 12:00:00 AM;10;51;1520;69;2-4
31-May-16 12:00:00 AM;8;51;1858;50;2-4
31-May-16 12:00:00 AM;11;51;1680;33;2-4
31-May-16 12:00:00 AM;9;51;1623;34;2-4
31-May-16 12:00:00 AM;12;51;1314;33;2-4
31-May-16 12:00:00 AM;16;51;1728;65;2-4
31-May-16 12:00:00 AM;17;51;1628;35;2-4
31-May-16 12:00:00 AM;18;51;1376;37;2-4
31-May-16 12:00:00 AM;19;51;1429;61;2-4
31-May-16 12:00:00 AM;20;51;1608;67;2-4
31-May-16 12:00:00 AM;21;51;1323;37;2-4
31-May-16 12:00:00 AM;25;51;1572;14;1-1
31-May-16 12:00:00 AM;22;51;1648;52;2-4
31-May-16 12:00:00 AM;23;51;1484;47;2-4
31-May-16 12:00:00 AM;24;51;1524;42;2-4
31-May-16 12:00:00 AM;26;51;1428;27;2-4
31-May-16 12:00:00 AM;27;51;1450;33;2-1
31-May-16 12:00:00 AM;28;51;1547;62;2-4
31-May-16 12:00:00 AM;29;51;1173;38;2-4
31-May-16 12:00:00 AM;30;51;1584;42;2-4
31-May-16 12:00:00 AM;31;51;1633;72;2-4
31-May-16 12:00:00 AM;32;51;1495;64;2-4
31-May-16 12:00:00 AM;35;51;1209;13;1-1
31-May-16 12:00:00 AM;45;51;1212;14;1-1
31-May-16 12:00:00 AM;33;51;949;39;2-1
31-May-16 12:00:00 AM;47;51;1254;11;1-1
31-May-16 12:00:00 AM;48;51;1332;19;1-1
31-May-16 12:00:00 AM;36;51;1296;15;2-4
31-May-16 12:00:00 AM;39;51;1647;13;2-4
31-May-16 12:00:00 AM;40;51;2148;16;2-4
31-May-16 12:00:00 AM;42;51;1936;15;2-4
31-May-16 12:00:00 AM;44;51;1550;31;2-1
31-May-16 12:00:00 AM;43;51;1374;10;2-4
31-May-16 12:00:00 AM;49;51;1702;55;1-1
31-May-16 12:00:00 AM;50;51;1464;29;1-1
31-May-16 12:00:00 AM;37;51;1503;16;2-4
31-May-16 12:00:00 AM;38;51;1560;5;2-4
31-May-16 12:00:00 AM;51;51;1082;139;1-1
31-May-16 12:00:00 AM;51;52;1417;38;1-1
31-May-16 12:00:00 AM;51;53;1155;20;1-1
31-May-16 12:00:00 AM;51;54;1464;25;1-1
31-May-16 12:00:00 AM;51;55;1643;36;1-1
31-May-16 12:00:00 AM;46;51;1481;39;2-4
31-May-16 12:00:00 AM;51;1;1430;26;1-4
31-May-16 12:00:00 AM;52;51;1609;34;1-4
31-May-16 12:00:00 AM;51;47;1135;14;2-4
31-May-16 12:00:00 AM;51;56;1402;63;2-4
31-May-16 12:00:00 AM;51;57;1332;30;2-4
31-May-16 12:00:00 AM;51;58;947;29;2-4
31-May-16 12:00:00 AM;51;59;1571;57;2-4
31-May-16 12:00:00 AM;51;60;1490;76;2-4
31-May-16 12:00:00 AM;51;61;1593;38;2-4
31-May-16 12:00:00 AM;51;62;1604;53;2-4
31-May-16 12:00:00 AM;51;63;1743;32;2-4
31-May-16 12:00:00 AM;51;64;741;25;2-4
31-May-16 12:00:00 AM;51;65;1880;30;2-4
31-May-16 12:00:00 AM;51;66;1851;35;2-4
31-May-16 12:00:00 AM;51;67;1388;84;2-4
31-May-16 12:00:00 AM;51;68;1693;69;2-4
31-May-16 12:00:00 AM;51;69;1210;40;2-4
31-May-16 12:00:00 AM;51;70;1378;30;2-4
31-May-16 12:00:00 AM;51;71;946;13;2-4
31-May-16 12:00:00 AM;51;72;1583;36;2-4
31-May-16 12:00:00 AM;51;73;1275;4;2-4
31-May-16 12:00:00 AM;51;74;1107;28;2-4
31-May-16 12:00:00 AM;51;75;1539;26;2-4
31-May-16 12:00:00 AM;51;82;1845;17;2-4
31-May-16 12:00:00 AM;51;83;1552;15;2-4
31-May-16 12:00:00 AM;51;80;1817;17;2-4
31-May-16 12:00:00 AM;51;78;2000;15;2-4
31-May-16 12:00:00 AM;51;76;1896;10;2-4
31-May-16 12:00:00 AM;51;79;1383;18;2-4
31-May-16 12:00:00 AM;51;77;1475;17;2-4
31-May-16 12:00:00 AM;51;84;1470;10;2-4
31-May-16 12:00:00 AM;51;85;1662;14;2-4
31-May-16 12:00:00 AM;51;81;1965;25;2-4
31-May-16 12:00:00 AM;51;48;1380;18;2-4
31-May-16 12:00:00 AM;51;86;1758;13;2-4
31-May-16 12:00:00 AM;51;87;1788;15;2-4
31-May-16 12:00:00 AM;51;88;900;5;2-4
31-May-16 12:00:00 AM;51;89;1248;5;2-4
31-May-16 12:00:00 AM;51;91;1095;4;2-4
31-May-16 12:00:00 AM;51;92;1342;8;2-4
31-May-16 12:00:00 AM;51;93;1186;13;2-4
31-May-16 12:00:00 AM;51;90;2364;5;2-4
31-May-16 12:00:00 AM;51;94;1809;19;2-4
31-May-16 12:00:00 AM;51;95;2000;21;2-4
31-May-16 12:00:00 AM;51;46;1890;39;2-1
31-May-16 12:00:00 AM;51;12;810;37;2-1
31-May-16 12:00:00 AM;51;32;1531;68;2-1
31-May-16 12:00:00 AM;55;51;1643;46;2-1
31-May-16 12:00:00 AM;57;51;1546;31;2-1
31-May-16 12:00:00 AM;58;51;1711;38;2-1
31-May-16 12:00:00 AM;56;51;1584;69;2-1
31-May-16 12:00:00 AM;59;51;1308;71;2-1
31-May-16 12:00:00 AM;62;51;1576;61;2-2
31-May-16 12:00:00 AM;60;51;1607;63;2-2
31-May-16 12:00:00 AM;61;51;1806;49;2-1
31-May-16 12:00:00 AM;66;51;1620;52;2-1
31-May-16 12:00:00 AM;63;51;1501;44;2-1
31-May-16 12:00:00 AM;65;51;1937;49;2-1
31-May-16 12:00:00 AM;70;51;1472;35;2-1
31-May-16 12:00:00 AM;68;51;1574;77;2-1
31-May-16 12:00:00 AM;69;51;1711;42;2-1
31-May-16 12:00:00 AM;72;51;1475;53;2-1
31-May-16 12:00:00 AM;75;51;1583;36;2-1
31-May-16 12:00:00 AM;82;51;1791;56;2-2
31-May-16 12:00:00 AM;85;51;1570;30;2-1
31-May-16 12:00:00 AM;74;51;1221;36;2-1
31-May-16 12:00:00 AM;94;51;1652;22;2-7
31-May-16 12:00:00 AM;51;26;1446;28;2-1
31-May-16 12:00:00 AM;51;7;1344;62;2-1
31-May-16 12:00:00 AM;51;29;1644;25;2-1
31-May-16 12:00:00 AM;51;20;1899;62;2-1
31-May-16 12:00:00 AM;51;24;1738;42;2-1
31-May-16 12:00:00 AM;51;10;1265;70;2-1
31-May-16 12:00:00 AM;51;30;1442;42;2-1
31-May-16 12:00:00 AM;51;13;1641;41;2-1
31-May-16 12:00:00 AM;51;21;1374;22;2-1
31-May-16 12:00:00 AM;51;28;1623;61;2-1
31-May-16 12:00:00 AM;51;15;1251;29;2-1
31-May-16 12:00:00 AM;51;50;1457;31;2-1
31-May-16 12:00:00 AM;51;16;1538;68;2-2
31-May-16 12:00:00 AM;51;31;1752;65;2-2
31-May-16 12:00:00 AM;51;19;1893;59;2-2
31-May-16 12:00:00 AM;54;51;1414;37;2-7
31-May-16 12:00:00 AM;15;51;1316;33;2-7
31-May-16 12:00:00 AM;14;51;1387;48;2-6
31-May-16 12:00:00 AM;13;51;1393;36;2-7
31-May-16 12:00:00 AM;51;8;1725;40;2-1
31-May-16 12:00:00 AM;51;6;1498;37;2-1
31-May-16 12:00:00 AM;51;27;1396;30;2-7
31-May-16 12:00:00 AM;51;49;1461;44;2-1
31-May-16 12:00:00 AM;51;41;1563;16;2-1
31-May-16 12:00:00 AM;51;9;1634;21;2-7
31-May-16 12:00:00 AM;51;23;1433;37;2-7
31-May-16 12:00:00 AM;51;22;1725;38;2-1
31-May-16 12:00:00 AM;41;51;1291;19;2-4
31-May-16 12:00:00 AM;67;51;1390;62;2-6
31-May-16 12:00:00 AM;51;14;1165;40;2-1
31-May-16 12:00:00 AM;51;18;1415;29;2-6
31-May-16 12:00:00 AM;51;11;1826;25;2-1
31-May-16 12:00:00 AM;51;33;1470;28;2-6
31-May-16 12:00:00 AM;51;44;1296;31;2-6
31-May-16 12:00:00 AM;51;17;1239;29;2-6
31-May-16 12:00:00 AM;3;51;2186;9;2-4
31-May-16 12:00:00 AM;84;51;1483;22;1-4
31-May-16 12:00:00 AM;87;51;1737;23;1-4
31-May-16 12:00:00 AM;76;51;1262;25;1-4
31-May-16 12:00:00 AM;78;51;1646;23;1-4
31-May-16 12:00:00 AM;79;51;1324;25;1-4
31-May-16 12:00:00 AM;83;51;1410;20;1-4
31-May-16 12:00:00 AM;80;51;1635;20;1-4
31-May-16 12:00:00 AM;81;51;1188;26;1-4
31-May-16 12:00:00 AM;4;51;1287;11;2-4
31-May-16 12:00:00 AM;71;51;1856;17;1-1
31-May-16 12:00:00 AM;51;5;1398;19;1-4
31-May-16 12:00:00 AM;51;3;1785;12;1-4
31-May-16 12:00:00 AM;95;51;1867;17;1-4
31-May-16 12:00:00 AM;86;51;1560;16;1-4
