date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;1;52;1242;7;1-1
31-May-16 12:00:00 AM;2;52;860;3;1-1
31-May-16 12:00:00 AM;6;52;1980;11;2-4
31-May-16 12:00:00 AM;7;52;2062;8;2-4
31-May-16 12:00:00 AM;8;52;1700;9;2-4
31-May-16 12:00:00 AM;9;52;2280;5;2-4
31-May-16 12:00:00 AM;10;52;1963;11;2-4
31-May-16 12:00:00 AM;11;52;2046;9;2-4
31-May-16 12:00:00 AM;12;52;1312;8;2-4
31-May-16 12:00:00 AM;14;52;1208;14;2-7
31-May-16 12:00:00 AM;15;52;2269;11;2-7
31-May-16 12:00:00 AM;16;52;1635;8;2-4
31-May-16 12:00:00 AM;17;52;1774;7;2-4
31-May-16 12:00:00 AM;18;52;1482;10;2-4
31-May-16 12:00:00 AM;19;52;1546;9;2-4
31-May-16 12:00:00 AM;20;52;1215;8;2-4
31-May-16 12:00:00 AM;21;52;1132;8;2-4
31-May-16 12:00:00 AM;25;52;560;3;1-1
31-May-16 12:00:00 AM;22;52;1260;10;2-4
31-May-16 12:00:00 AM;23;52;1445;12;2-4
31-May-16 12:00:00 AM;24;52;1182;14;2-4
31-May-16 12:00:00 AM;26;52;1145;12;2-4
31-May-16 12:00:00 AM;27;52;1882;8;2-4
31-May-16 12:00:00 AM;28;52;1284;10;2-4
31-May-16 12:00:00 AM;29;52;1560;11;2-4
31-May-16 12:00:00 AM;30;52;1045;7;2-4
31-May-16 12:00:00 AM;31;52;1900;9;2-4
31-May-16 12:00:00 AM;32;52;1385;11;2-4
31-May-16 12:00:00 AM;35;52;1110;2;1-1
31-May-16 12:00:00 AM;45;52;2020;3;1-1
31-May-16 12:00:00 AM;33;52;1637;7;2-4
31-May-16 12:00:00 AM;47;52;1120;3;1-1
31-May-16 12:00:00 AM;48;52;1656;5;1-1
31-May-16 12:00:00 AM;36;52;1380;1;2-4
31-May-16 12:00:00 AM;39;52;1380;1;2-4
31-May-16 12:00:00 AM;40;52;1380;1;2-4
31-May-16 12:00:00 AM;42;52;1380;1;2-4
31-May-16 12:00:00 AM;43;52;1380;1;2-4
31-May-16 12:00:00 AM;44;52;1341;14;2-4
31-May-16 12:00:00 AM;37;52;1580;3;2-4
31-May-16 12:00:00 AM;38;52;1320;1;2-4
31-May-16 12:00:00 AM;46;52;908;7;2-4
31-May-16 12:00:00 AM;50;52;1110;8;2-4
31-May-16 12:00:00 AM;49;52;1336;15;2-4
31-May-16 12:00:00 AM;52;54;1655;12;2-4
31-May-16 12:00:00 AM;52;55;1594;7;2-4
31-May-16 12:00:00 AM;52;47;1120;3;2-4
31-May-16 12:00:00 AM;52;56;1903;11;2-4
31-May-16 12:00:00 AM;52;57;2005;12;2-4
31-May-16 12:00:00 AM;52;58;1468;15;2-4
31-May-16 12:00:00 AM;52;59;1362;10;2-4
31-May-16 12:00:00 AM;52;60;793;13;2-4
31-May-16 12:00:00 AM;52;61;1665;8;2-4
31-May-16 12:00:00 AM;52;62;1328;7;2-4
31-May-16 12:00:00 AM;52;63;1320;14;2-4
31-May-16 12:00:00 AM;52;64;672;5;2-4
31-May-16 12:00:00 AM;52;65;810;8;2-4
31-May-16 12:00:00 AM;52;66;1672;8;2-4
31-May-16 12:00:00 AM;52;67;766;26;2-4
31-May-16 12:00:00 AM;52;68;910;12;2-4
31-May-16 12:00:00 AM;52;69;1675;13;2-4
31-May-16 12:00:00 AM;52;1;1580;3;2-4
31-May-16 12:00:00 AM;52;70;1295;12;2-4
31-May-16 12:00:00 AM;52;71;1380;4;2-4
31-May-16 12:00:00 AM;52;72;1420;12;2-4
31-May-16 12:00:00 AM;52;73;720;1;2-4
31-May-16 12:00:00 AM;52;74;1816;11;2-4
31-May-16 12:00:00 AM;52;75;1052;13;2-4
31-May-16 12:00:00 AM;52;53;950;6;2-4
31-May-16 12:00:00 AM;52;82;2376;5;2-4
31-May-16 12:00:00 AM;52;83;1290;10;2-4
31-May-16 12:00:00 AM;52;80;1644;10;2-4
31-May-16 12:00:00 AM;52;78;1278;10;2-4
31-May-16 12:00:00 AM;52;76;1545;8;2-4
31-May-16 12:00:00 AM;52;79;2206;9;2-4
31-May-16 12:00:00 AM;52;77;1166;9;2-4
31-May-16 12:00:00 AM;52;84;1785;4;2-4
31-May-16 12:00:00 AM;52;85;2470;6;2-4
31-May-16 12:00:00 AM;52;81;2220;9;2-4
31-May-16 12:00:00 AM;52;48;1650;4;2-4
31-May-16 12:00:00 AM;52;86;870;2;2-4
31-May-16 12:00:00 AM;52;87;1410;6;2-4
31-May-16 12:00:00 AM;52;88;1560;1;2-4
31-May-16 12:00:00 AM;52;89;1560;1;2-4
31-May-16 12:00:00 AM;52;91;1560;1;2-4
31-May-16 12:00:00 AM;52;92;1560;1;2-4
31-May-16 12:00:00 AM;52;93;1560;1;2-4
31-May-16 12:00:00 AM;52;90;1620;1;2-4
31-May-16 12:00:00 AM;52;94;1665;8;2-4
31-May-16 12:00:00 AM;52;95;2610;6;2-4
31-May-16 12:00:00 AM;52;46;908;7;2-1
31-May-16 12:00:00 AM;52;33;1287;11;2-1
31-May-16 12:00:00 AM;52;12;1746;10;2-1
31-May-16 12:00:00 AM;52;32;1345;12;2-1
31-May-16 12:00:00 AM;52;51;1518;10;2-1
31-May-16 12:00:00 AM;52;26;2407;8;2-1
31-May-16 12:00:00 AM;52;7;2062;8;2-1
31-May-16 12:00:00 AM;52;29;1804;13;2-1
31-May-16 12:00:00 AM;52;20;1128;10;2-1
31-May-16 12:00:00 AM;52;24;1292;15;2-1
31-May-16 12:00:00 AM;52;10;1963;11;2-1
31-May-16 12:00:00 AM;52;30;1045;7;2-1
31-May-16 12:00:00 AM;52;13;714;10;2-1
31-May-16 12:00:00 AM;52;21;2151;7;2-1
31-May-16 12:00:00 AM;52;28;1284;10;2-1
