date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;1;53;935;12;1-1
31-May-16 12:00:00 AM;2;53;1807;8;1-1
31-May-16 12:00:00 AM;6;53;2100;4;2-4
31-May-16 12:00:00 AM;7;53;2172;5;2-4
31-May-16 12:00:00 AM;8;53;1980;4;2-4
31-May-16 12:00:00 AM;9;53;1980;4;2-4
31-May-16 12:00:00 AM;10;53;2136;5;2-4
31-May-16 12:00:00 AM;11;53;2030;6;2-4
31-May-16 12:00:00 AM;12;53;2030;6;2-4
31-May-16 12:00:00 AM;14;53;1950;2;2-7
31-May-16 12:00:00 AM;15;53;2060;3;2-7
31-May-16 12:00:00 AM;16;53;1740;4;2-4
31-May-16 12:00:00 AM;17;53;1790;6;2-4
31-May-16 12:00:00 AM;18;53;1730;6;2-4
31-May-16 12:00:00 AM;19;53;1800;5;2-4
31-May-16 12:00:00 AM;20;53;1680;4;2-4
31-May-16 12:00:00 AM;21;53;1680;4;2-4
31-May-16 12:00:00 AM;25;53;1610;6;1-1
31-May-16 12:00:00 AM;22;53;1560;4;2-4
31-May-16 12:00:00 AM;23;53;1560;4;2-4
31-May-16 12:00:00 AM;24;53;1610;6;2-4
31-May-16 12:00:00 AM;26;53;1550;6;2-4
31-May-16 12:00:00 AM;27;53;1704;5;2-4
31-May-16 12:00:00 AM;28;53;1380;4;2-4
31-May-16 12:00:00 AM;29;53;1577;7;2-4
31-May-16 12:00:00 AM;30;53;1380;4;2-4
31-May-16 12:00:00 AM;31;53;1320;4;2-4
31-May-16 12:00:00 AM;32;53;1320;4;2-4
31-May-16 12:00:00 AM;35;53;1545;4;1-1
31-May-16 12:00:00 AM;45;53;1425;8;1-1
31-May-16 12:00:00 AM;33;53;1397;7;2-4
31-May-16 12:00:00 AM;47;53;1131;7;1-1
31-May-16 12:00:00 AM;48;53;1160;6;1-1
31-May-16 12:00:00 AM;36;53;1140;2;2-4
31-May-16 12:00:00 AM;39;53;1140;2;2-4
31-May-16 12:00:00 AM;40;53;1140;2;2-4
31-May-16 12:00:00 AM;42;53;1140;2;2-4
31-May-16 12:00:00 AM;43;53;1140;2;2-4
31-May-16 12:00:00 AM;44;53;1190;6;2-4
31-May-16 12:00:00 AM;37;53;1080;2;2-4
31-May-16 12:00:00 AM;38;53;1080;2;2-4
31-May-16 12:00:00 AM;53;54;180;1;1-1
31-May-16 12:00:00 AM;53;55;860;3;1-1
31-May-16 12:00:00 AM;53;56;240;1;1-1
31-May-16 12:00:00 AM;53;57;240;1;1-1
31-May-16 12:00:00 AM;46;53;1020;4;2-4
31-May-16 12:00:00 AM;50;53;1070;6;2-4
31-May-16 12:00:00 AM;49;53;960;4;2-4
31-May-16 12:00:00 AM;51;53;1224;5;2-4
31-May-16 12:00:00 AM;52;53;950;6;2-4
31-May-16 12:00:00 AM;55;53;860;3;1-4
31-May-16 12:00:00 AM;54;53;930;2;2-7
31-May-16 12:00:00 AM;53;47;840;1;1-2
31-May-16 12:00:00 AM;56;53;720;4;2-4
31-May-16 12:00:00 AM;57;53;770;6;2-4
31-May-16 12:00:00 AM;58;53;942;7;2-4
31-May-16 12:00:00 AM;59;53;600;4;2-4
31-May-16 12:00:00 AM;60;53;540;4;2-4
31-May-16 12:00:00 AM;61;53;540;4;2-4
31-May-16 12:00:00 AM;62;53;540;4;2-4
31-May-16 12:00:00 AM;63;53;590;6;2-4
31-May-16 12:00:00 AM;65;53;380;6;2-4
31-May-16 12:00:00 AM;66;53;480;4;2-4
31-May-16 12:00:00 AM;76;53;180;1;1-1
31-May-16 12:00:00 AM;77;53;1100;3;1-1
31-May-16 12:00:00 AM;68;53;360;4;2-4
31-May-16 12:00:00 AM;69;53;360;4;2-4
31-May-16 12:00:00 AM;70;53;350;6;2-4
31-May-16 12:00:00 AM;72;53;420;2;2-4
31-May-16 12:00:00 AM;74;53;405;4;2-4
31-May-16 12:00:00 AM;75;53;405;4;2-4
31-May-16 12:00:00 AM;81;53;480;1;1-1
31-May-16 12:00:00 AM;82;53;120;2;2-4
31-May-16 12:00:00 AM;53;84;150;2;1-4
31-May-16 12:00:00 AM;53;85;150;2;1-4
31-May-16 12:00:00 AM;53;81;180;1;1-4
31-May-16 12:00:00 AM;53;77;1100;3;1-8
31-May-16 12:00:00 AM;3;53;990;2;1-1
31-May-16 12:00:00 AM;67;53;1350;4;1-1
31-May-16 12:00:00 AM;95;53;1410;2;1-1
31-May-16 12:00:00 AM;86;53;3240;2;1-1
31-May-16 12:00:00 AM;53;68;885;4;1-1
31-May-16 12:00:00 AM;53;7;300;1;1-1
31-May-16 12:00:00 AM;53;64;300;1;1-1
31-May-16 12:00:00 AM;53;29;360;1;1-1
31-May-16 12:00:00 AM;53;19;420;1;1-1
31-May-16 12:00:00 AM;53;10;480;1;1-1
31-May-16 12:00:00 AM;53;27;660;1;1-1
31-May-16 12:00:00 AM;53;51;840;1;1-1
31-May-16 12:00:00 AM;53;15;960;1;1-1
31-May-16 12:00:00 AM;53;58;1020;1;1-1
31-May-16 12:00:00 AM;53;33;1140;1;1-1
31-May-16 12:00:00 AM;53;69;960;1;1-1
31-May-16 12:00:00 AM;53;22;1000;3;1-1
31-May-16 12:00:00 AM;53;96;2280;1;1-1
31-May-16 12:00:00 AM;53;97;2340;1;1-1
31-May-16 12:00:00 AM;53;98;2460;1;1-1
31-May-16 12:00:00 AM;53;99;240;1;1-1
31-May-16 12:00:00 AM;53;100;2520;1;1-1
31-May-16 12:00:00 AM;53;101;2580;1;1-1
31-May-16 12:00:00 AM;53;102;2640;1;1-1
31-May-16 12:00:00 AM;53;103;2760;1;1-1
31-May-16 12:00:00 AM;53;104;3060;1;1-1
31-May-16 12:00:00 AM;53;105;3120;1;1-1
31-May-16 12:00:00 AM;53;106;3420;1;1-1
31-May-16 12:00:00 AM;53;107;3480;1;1-1
31-May-16 12:00:00 AM;53;108;120;1;1-1
31-May-16 12:00:00 AM;53;109;540;1;1-1
