date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;2;54;2060;3;1-1
31-May-16 12:00:00 AM;6;54;1668;10;2-4
31-May-16 12:00:00 AM;7;54;2048;7;2-4
31-May-16 12:00:00 AM;8;54;1046;9;2-4
31-May-16 12:00:00 AM;9;54;1597;8;2-4
31-May-16 12:00:00 AM;10;54;1575;12;2-4
31-May-16 12:00:00 AM;11;54;1573;9;2-4
31-May-16 12:00:00 AM;12;54;1932;10;2-4
31-May-16 12:00:00 AM;14;54;1555;12;2-7
31-May-16 12:00:00 AM;15;54;2022;10;2-7
31-May-16 12:00:00 AM;16;54;1946;9;2-4
31-May-16 12:00:00 AM;17;54;1822;8;2-4
31-May-16 12:00:00 AM;18;54;1870;11;2-4
31-May-16 12:00:00 AM;19;54;1354;7;2-4
31-May-16 12:00:00 AM;20;54;754;7;2-4
31-May-16 12:00:00 AM;21;54;1110;8;2-4
31-May-16 12:00:00 AM;25;54;560;3;1-1
31-May-16 12:00:00 AM;22;54;1580;12;2-4
31-May-16 12:00:00 AM;23;54;1230;10;2-4
31-May-16 12:00:00 AM;24;54;1015;13;2-4
31-May-16 12:00:00 AM;26;54;980;12;2-4
31-May-16 12:00:00 AM;27;54;1512;10;2-4
31-May-16 12:00:00 AM;28;54;1113;9;2-4
31-May-16 12:00:00 AM;29;54;1453;9;2-4
31-May-16 12:00:00 AM;30;54;713;9;2-4
31-May-16 12:00:00 AM;31;54;1272;5;2-4
31-May-16 12:00:00 AM;32;54;1180;6;2-4
31-May-16 12:00:00 AM;35;54;1800;2;1-1
31-May-16 12:00:00 AM;45;54;2020;3;1-1
31-May-16 12:00:00 AM;33;54;1474;7;2-4
31-May-16 12:00:00 AM;47;54;280;3;1-1
31-May-16 12:00:00 AM;48;54;1110;4;1-1
31-May-16 12:00:00 AM;36;54;360;1;2-4
31-May-16 12:00:00 AM;39;54;360;1;2-4
31-May-16 12:00:00 AM;40;54;360;1;2-4
31-May-16 12:00:00 AM;42;54;360;1;2-4
31-May-16 12:00:00 AM;43;54;360;1;2-4
31-May-16 12:00:00 AM;44;54;766;13;2-4
31-May-16 12:00:00 AM;37;54;1240;3;2-4
31-May-16 12:00:00 AM;38;54;300;1;2-4
31-May-16 12:00:00 AM;53;54;180;1;1-1
31-May-16 12:00:00 AM;46;54;506;9;2-4
31-May-16 12:00:00 AM;50;54;1510;6;2-4
31-May-16 12:00:00 AM;49;54;1030;11;2-4
31-May-16 12:00:00 AM;51;54;1597;8;2-4
31-May-16 12:00:00 AM;52;54;1655;12;2-4
31-May-16 12:00:00 AM;1;54;746;9;2-4
31-May-16 12:00:00 AM;55;54;1057;8;2-1
31-May-16 12:00:00 AM;54;57;1637;7;2-7
31-May-16 12:00:00 AM;54;58;1926;9;2-7
31-May-16 12:00:00 AM;54;47;940;3;2-7
31-May-16 12:00:00 AM;54;63;1745;11;2-7
31-May-16 12:00:00 AM;54;67;1728;10;2-7
31-May-16 12:00:00 AM;54;70;980;9;2-7
31-May-16 12:00:00 AM;54;74;1465;7;2-7
31-May-16 12:00:00 AM;54;75;1293;9;2-7
31-May-16 12:00:00 AM;54;53;930;2;2-7
31-May-16 12:00:00 AM;54;83;1860;5;2-7
31-May-16 12:00:00 AM;54;80;1884;5;2-7
31-May-16 12:00:00 AM;54;78;1836;5;2-7
31-May-16 12:00:00 AM;54;76;1872;5;2-7
31-May-16 12:00:00 AM;54;79;1884;5;2-7
31-May-16 12:00:00 AM;54;77;1635;4;2-7
31-May-16 12:00:00 AM;54;85;1670;6;2-7
31-May-16 12:00:00 AM;54;81;1968;5;2-7
31-May-16 12:00:00 AM;54;94;1980;6;2-7
31-May-16 12:00:00 AM;54;48;1200;2;2-7
31-May-16 12:00:00 AM;57;54;1637;7;2-1
31-May-16 12:00:00 AM;58;54;1740;9;2-1
31-May-16 12:00:00 AM;60;54;1176;5;2-1
31-May-16 12:00:00 AM;61;54;946;9;2-1
31-May-16 12:00:00 AM;62;54;1545;4;2-1
31-May-16 12:00:00 AM;63;54;1836;10;2-1
31-May-16 12:00:00 AM;65;54;1088;7;2-1
31-May-16 12:00:00 AM;66;54;1227;11;2-1
31-May-16 12:00:00 AM;70;54;1087;8;2-1
31-May-16 12:00:00 AM;72;54;1900;9;2-1
31-May-16 12:00:00 AM;75;54;1057;8;2-1
31-May-16 12:00:00 AM;82;54;1697;7;2-1
31-May-16 12:00:00 AM;85;54;1670;6;2-1
31-May-16 12:00:00 AM;74;54;1670;6;2-1
31-May-16 12:00:00 AM;59;54;1866;9;2-1
31-May-16 12:00:00 AM;56;54;874;7;2-1
31-May-16 12:00:00 AM;68;54;1460;6;2-1
31-May-16 12:00:00 AM;54;13;1350;4;2-1
31-May-16 12:00:00 AM;54;21;1900;3;2-1
31-May-16 12:00:00 AM;54;28;1226;9;2-1
31-May-16 12:00:00 AM;54;27;1200;3;2-1
31-May-16 12:00:00 AM;54;52;1731;7;2-1
31-May-16 12:00:00 AM;54;15;2022;10;2-1
31-May-16 12:00:00 AM;54;50;1530;8;2-1
31-May-16 12:00:00 AM;54;31;1880;3;2-1
31-May-16 12:00:00 AM;54;16;1824;10;2-1
31-May-16 12:00:00 AM;54;17;1714;7;2-1
31-May-16 12:00:00 AM;54;44;741;14;2-7
31-May-16 12:00:00 AM;54;11;1488;10;2-7
31-May-16 12:00:00 AM;54;18;2010;14;2-7
31-May-16 12:00:00 AM;54;20;1520;3;2-7
31-May-16 12:00:00 AM;54;55;2205;4;2-7
31-May-16 12:00:00 AM;54;46;690;2;2-7
31-May-16 12:00:00 AM;54;6;840;2;2-7
31-May-16 12:00:00 AM;54;32;1320;5;2-7
31-May-16 12:00:00 AM;54;8;1046;9;2-7
31-May-16 12:00:00 AM;54;65;1560;2;2-7
31-May-16 12:00:00 AM;54;10;1630;6;2-7
31-May-16 12:00:00 AM;54;62;1050;2;2-7
31-May-16 12:00:00 AM;54;49;1074;11;2-7
31-May-16 12:00:00 AM;54;61;1440;2;2-7
31-May-16 12:00:00 AM;54;66;1815;4;2-7
31-May-16 12:00:00 AM;54;22;840;1;2-7
31-May-16 12:00:00 AM;54;60;1176;5;2-7
31-May-16 12:00:00 AM;54;59;1320;2;2-7
31-May-16 12:00:00 AM;54;51;720;2;2-7
31-May-16 12:00:00 AM;54;7;220;3;2-7
31-May-16 12:00:00 AM;54;68;1460;6;2-7
31-May-16 12:00:00 AM;54;56;874;7;2-7
31-May-16 12:00:00 AM;54;72;1465;7;2-7
31-May-16 12:00:00 AM;54;19;1035;4;2-7
31-May-16 12:00:00 AM;54;9;1440;1;2-7
31-May-16 12:00:00 AM;54;23;1580;3;2-7
31-May-16 12:00:00 AM;54;41;2556;5;2-7
31-May-16 12:00:00 AM;54;69;1410;2;2-7
31-May-16 12:00:00 AM;41;54;2556;5;2-4
31-May-16 12:00:00 AM;67;54;3000;8;2-6
31-May-16 12:00:00 AM;69;54;1340;3;2-6
31-May-16 12:00:00 AM;54;24;1020;13;2-6
31-May-16 12:00:00 AM;54;26;965;12;2-6
31-May-16 12:00:00 AM;54;29;1660;9;2-6
31-May-16 12:00:00 AM;3;54;1830;6;2-4
31-May-16 12:00:00 AM;71;54;2920;3;1-2
31-May-16 12:00:00 AM;54;87;960;3;2-7
31-May-16 12:00:00 AM;54;33;1425;8;2-7
31-May-16 12:00:00 AM;54;12;2050;11;2-7
31-May-16 12:00:00 AM;84;54;2520;3;2-4
31-May-16 12:00:00 AM;87;54;1660;3;1-4
31-May-16 12:00:00 AM;94;54;1980;6;2-4
31-May-16 12:00:00 AM;76;54;1872;5;2-4
31-May-16 12:00:00 AM;78;54;1836;5;1-4
31-May-16 12:00:00 AM;79;54;1884;5;1-4
31-May-16 12:00:00 AM;83;54;1860;5;1-4
31-May-16 12:00:00 AM;80;54;1884;5;1-4
31-May-16 12:00:00 AM;81;54;1968;5;1-4
31-May-16 12:00:00 AM;4;54;2970;2;2-4
31-May-16 12:00:00 AM;54;64;0;1;1-2
31-May-16 12:00:00 AM;54;95;2160;1;1-2
31-May-16 12:00:00 AM;13;54;2520;2;1-4
31-May-16 12:00:00 AM;95;54;420;3;2-4
31-May-16 12:00:00 AM;54;30;2760;1;2-6
31-May-16 12:00:00 AM;54;14;1555;12;2-6
31-May-16 12:00:00 AM;54;97;1800;1;2-7
31-May-16 12:00:00 AM;54;98;1560;1;2-7
31-May-16 12:00:00 AM;54;100;1620;1;2-7
31-May-16 12:00:00 AM;54;105;1320;1;2-7
31-May-16 12:00:00 AM;54;107;1620;1;2-7
31-May-16 12:00:00 AM;96;54;3510;2;2-4
31-May-16 12:00:00 AM;97;54;3450;2;2-4
31-May-16 12:00:00 AM;98;54;3330;2;2-4
31-May-16 12:00:00 AM;100;54;3270;2;2-4
31-May-16 12:00:00 AM;101;54;3210;2;2-4
31-May-16 12:00:00 AM;102;54;3150;2;2-4
31-May-16 12:00:00 AM;103;54;3030;2;2-4
31-May-16 12:00:00 AM;104;54;2730;2;2-4
31-May-16 12:00:00 AM;105;54;2670;2;2-4
31-May-16 12:00:00 AM;106;54;2430;2;2-4
31-May-16 12:00:00 AM;107;54;2310;2;2-4
31-May-16 12:00:00 AM;108;54;2070;2;2-4
