date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;1;55;1460;36;1-1
31-May-16 12:00:00 AM;2;55;1800;15;1-1
31-May-16 12:00:00 AM;6;55;1870;34;2-4
31-May-16 12:00:00 AM;7;55;1687;33;2-4
31-May-16 12:00:00 AM;8;55;1514;38;2-4
31-May-16 12:00:00 AM;10;55;1656;39;2-4
31-May-16 12:00:00 AM;9;55;1775;29;2-4
31-May-16 12:00:00 AM;11;55;1743;32;2-4
31-May-16 12:00:00 AM;12;55;1970;31;2-4
31-May-16 12:00:00 AM;16;55;1696;39;2-4
31-May-16 12:00:00 AM;17;55;1557;29;2-4
31-May-16 12:00:00 AM;18;55;1992;28;2-4
31-May-16 12:00:00 AM;19;55;1588;40;2-4
31-May-16 12:00:00 AM;20;55;1798;36;2-4
31-May-16 12:00:00 AM;21;55;1665;25;2-4
31-May-16 12:00:00 AM;25;55;1555;14;1-1
31-May-16 12:00:00 AM;22;55;1649;35;2-4
31-May-16 12:00:00 AM;23;55;1597;37;2-4
31-May-16 12:00:00 AM;24;55;1523;36;2-4
31-May-16 12:00:00 AM;26;55;1774;31;2-4
31-May-16 12:00:00 AM;27;55;1904;27;2-1
31-May-16 12:00:00 AM;28;55;1660;37;2-4
31-May-16 12:00:00 AM;29;55;2101;31;2-4
31-May-16 12:00:00 AM;30;55;1253;26;2-4
31-May-16 12:00:00 AM;31;55;1513;32;2-4
31-May-16 12:00:00 AM;32;55;1699;34;2-4
31-May-16 12:00:00 AM;35;55;1310;12;1-1
31-May-16 12:00:00 AM;45;55;1260;15;1-1
31-May-16 12:00:00 AM;33;55;1371;34;2-1
31-May-16 12:00:00 AM;47;55;1059;20;1-1
31-May-16 12:00:00 AM;48;55;1480;18;1-1
31-May-16 12:00:00 AM;36;55;1521;11;2-4
31-May-16 12:00:00 AM;39;55;1860;8;2-4
31-May-16 12:00:00 AM;40;55;1654;14;2-4
31-May-16 12:00:00 AM;42;55;1284;10;2-4
31-May-16 12:00:00 AM;44;55;1664;35;2-1
31-May-16 12:00:00 AM;43;55;1260;9;2-4
31-May-16 12:00:00 AM;37;55;2104;13;2-4
31-May-16 12:00:00 AM;38;55;1290;2;2-4
31-May-16 12:00:00 AM;51;55;1643;36;1-1
31-May-16 12:00:00 AM;52;55;1485;29;1-1
31-May-16 12:00:00 AM;53;55;1237;8;1-1
31-May-16 12:00:00 AM;46;55;1733;29;2-4
31-May-16 12:00:00 AM;50;55;1774;26;2-4
31-May-16 12:00:00 AM;54;55;1801;33;1-1
31-May-16 12:00:00 AM;55;55;1531;86;1-1
31-May-16 12:00:00 AM;55;56;1427;63;1-1
31-May-16 12:00:00 AM;55;57;1336;48;1-1
31-May-16 12:00:00 AM;49;55;1725;38;2-4
31-May-16 12:00:00 AM;55;54;1668;37;1-4
31-May-16 12:00:00 AM;55;47;880;25;1-4
31-May-16 12:00:00 AM;55;58;1734;43;1-4
31-May-16 12:00:00 AM;55;59;1534;57;1-4
31-May-16 12:00:00 AM;55;60;1457;55;1-4
31-May-16 12:00:00 AM;55;61;1500;49;1-4
31-May-16 12:00:00 AM;55;62;1623;49;1-4
31-May-16 12:00:00 AM;55;63;1773;41;1-4
31-May-16 12:00:00 AM;55;64;1380;21;1-4
31-May-16 12:00:00 AM;55;65;1398;36;1-4
31-May-16 12:00:00 AM;55;66;1507;41;1-4
31-May-16 12:00:00 AM;55;67;1618;90;1-4
31-May-16 12:00:00 AM;55;68;1603;52;1-4
31-May-16 12:00:00 AM;55;69;1394;45;1-4
31-May-16 12:00:00 AM;55;70;1772;45;1-4
31-May-16 12:00:00 AM;55;71;1095;16;1-4
31-May-16 12:00:00 AM;55;72;1620;34;1-4
31-May-16 12:00:00 AM;55;73;1721;13;1-4
31-May-16 12:00:00 AM;55;74;1479;41;1-4
31-May-16 12:00:00 AM;55;75;1519;40;1-4
31-May-16 12:00:00 AM;55;1;1580;26;1-4
31-May-16 12:00:00 AM;55;53;1430;26;1-4
31-May-16 12:00:00 AM;55;82;1513;22;1-4
31-May-16 12:00:00 AM;55;83;1276;32;1-4
31-May-16 12:00:00 AM;55;80;1412;30;1-4
31-May-16 12:00:00 AM;55;77;1570;30;1-4
