date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;2;56;2248;15;1-1
31-May-16 12:00:00 AM;7;56;1551;66;2-2
31-May-16 12:00:00 AM;6;56;1521;56;2-4
31-May-16 12:00:00 AM;10;56;1423;72;2-4
31-May-16 12:00:00 AM;8;56;1655;51;2-4
31-May-16 12:00:00 AM;9;56;1102;38;2-4
31-May-16 12:00:00 AM;11;56;1609;35;2-4
31-May-16 12:00:00 AM;12;56;1313;37;2-4
31-May-16 12:00:00 AM;16;56;1444;80;2-4
31-May-16 12:00:00 AM;17;56;1592;39;2-4
31-May-16 12:00:00 AM;18;56;1353;39;2-4
31-May-16 12:00:00 AM;19;56;1566;69;2-4
31-May-16 12:00:00 AM;20;56;1226;77;2-4
31-May-16 12:00:00 AM;21;56;1109;39;2-4
31-May-16 12:00:00 AM;25;56;1907;14;1-1
31-May-16 12:00:00 AM;22;56;1704;52;2-4
31-May-16 12:00:00 AM;23;56;1312;50;2-4
31-May-16 12:00:00 AM;24;56;1322;50;2-4
31-May-16 12:00:00 AM;26;56;1597;35;2-4
31-May-16 12:00:00 AM;27;56;1123;32;2-1
31-May-16 12:00:00 AM;28;56;1477;71;2-4
31-May-16 12:00:00 AM;29;56;1358;41;2-4
31-May-16 12:00:00 AM;30;56;1300;33;2-4
31-May-16 12:00:00 AM;31;56;1500;63;2-4
31-May-16 12:00:00 AM;32;56;1445;64;2-4
31-May-16 12:00:00 AM;35;56;883;11;1-1
31-May-16 12:00:00 AM;45;56;2262;14;1-1
31-May-16 12:00:00 AM;33;56;1392;39;2-1
31-May-16 12:00:00 AM;47;56;1056;13;1-1
31-May-16 12:00:00 AM;48;56;1572;20;1-1
31-May-16 12:00:00 AM;36;56;1149;13;2-4
31-May-16 12:00:00 AM;39;56;1389;13;2-4
31-May-16 12:00:00 AM;40;56;2146;18;2-4
31-May-16 12:00:00 AM;42;56;1938;16;2-4
31-May-16 12:00:00 AM;44;56;1207;32;2-1
31-May-16 12:00:00 AM;43;56;1549;11;2-4
31-May-16 12:00:00 AM;37;56;1113;16;2-4
31-May-16 12:00:00 AM;38;56;982;8;2-4
31-May-16 12:00:00 AM;53;56;848;7;1-1
31-May-16 12:00:00 AM;46;56;1293;38;2-4
31-May-16 12:00:00 AM;50;56;1392;33;2-4
31-May-16 12:00:00 AM;54;56;1148;37;1-1
31-May-16 12:00:00 AM;55;56;1427;63;1-1
31-May-16 12:00:00 AM;49;56;1688;57;2-4
31-May-16 12:00:00 AM;51;56;1402;63;2-4
31-May-16 12:00:00 AM;52;56;1717;35;2-4
31-May-16 12:00:00 AM;1;56;1480;33;2-4
31-May-16 12:00:00 AM;56;56;1297;158;1-1
31-May-16 12:00:00 AM;56;57;909;40;1-1
31-May-16 12:00:00 AM;56;58;1664;38;1-1
31-May-16 12:00:00 AM;57;56;1186;31;1-4
31-May-16 12:00:00 AM;56;59;1368;60;2-4
31-May-16 12:00:00 AM;56;47;1217;14;2-4
31-May-16 12:00:00 AM;56;60;1294;65;2-4
31-May-16 12:00:00 AM;56;61;1765;37;2-4
31-May-16 12:00:00 AM;56;62;1711;49;2-4
31-May-16 12:00:00 AM;56;63;1654;38;2-4
31-May-16 12:00:00 AM;56;64;740;18;2-4
31-May-16 12:00:00 AM;56;65;1448;28;2-4
31-May-16 12:00:00 AM;56;68;1663;69;2-2
31-May-16 12:00:00 AM;56;66;1665;46;2-4
31-May-16 12:00:00 AM;56;82;2032;23;2-2
31-May-16 12:00:00 AM;56;67;1178;79;2-4
31-May-16 12:00:00 AM;56;69;1519;37;2-4
31-May-16 12:00:00 AM;56;70;1583;38;2-4
31-May-16 12:00:00 AM;56;71;1108;15;2-4
31-May-16 12:00:00 AM;56;72;1603;40;2-4
31-May-16 12:00:00 AM;56;73;1525;7;2-4
31-May-16 12:00:00 AM;56;74;1393;41;2-4
31-May-16 12:00:00 AM;56;75;1405;35;2-4
31-May-16 12:00:00 AM;56;53;1604;15;2-4
31-May-16 12:00:00 AM;56;83;1396;29;2-4
31-May-16 12:00:00 AM;56;80;1727;24;2-4
31-May-16 12:00:00 AM;56;78;1650;24;2-4
31-May-16 12:00:00 AM;56;76;1397;14;2-4
31-May-16 12:00:00 AM;56;79;1321;36;2-4
31-May-16 12:00:00 AM;56;77;1515;23;2-4
31-May-16 12:00:00 AM;56;84;1989;13;2-4
31-May-16 12:00:00 AM;56;85;1537;16;2-4
31-May-16 12:00:00 AM;56;81;1391;36;2-4
31-May-16 12:00:00 AM;56;48;1776;18;2-4
31-May-16 12:00:00 AM;56;86;1740;12;2-4
31-May-16 12:00:00 AM;56;87;1437;21;2-4
31-May-16 12:00:00 AM;56;88;924;10;2-4
31-May-16 12:00:00 AM;56;89;2313;9;2-4
31-May-16 12:00:00 AM;56;91;1785;8;2-4
31-May-16 12:00:00 AM;56;92;1358;11;2-4
31-May-16 12:00:00 AM;56;93;1260;14;2-4
31-May-16 12:00:00 AM;56;90;1113;9;2-4
31-May-16 12:00:00 AM;56;94;1615;27;2-4
31-May-16 12:00:00 AM;56;95;2298;23;2-4
31-May-16 12:00:00 AM;56;46;1383;35;2-1
31-May-16 12:00:00 AM;56;12;1320;36;2-1
31-May-16 12:00:00 AM;58;56;1474;40;2-1
31-May-16 12:00:00 AM;56;32;1593;72;2-1
31-May-16 12:00:00 AM;56;51;1584;69;2-1
31-May-16 12:00:00 AM;59;56;1404;73;2-1
31-May-16 12:00:00 AM;62;56;1564;61;2-2
31-May-16 12:00:00 AM;60;56;1481;60;2-2
31-May-16 12:00:00 AM;61;56;1678;50;2-1
31-May-16 12:00:00 AM;66;56;1512;52;2-1
31-May-16 12:00:00 AM;63;56;1681;35;2-1
31-May-16 12:00:00 AM;65;56;1353;49;2-1
31-May-16 12:00:00 AM;70;56;1400;39;2-1
31-May-16 12:00:00 AM;68;56;1384;74;2-1
31-May-16 12:00:00 AM;69;56;1570;45;2-1
31-May-16 12:00:00 AM;72;56;1300;54;2-1
31-May-16 12:00:00 AM;75;56;1483;36;2-1
31-May-16 12:00:00 AM;82;56;1824;52;2-1
31-May-16 12:00:00 AM;85;56;1535;37;2-1
31-May-16 12:00:00 AM;74;56;1167;44;2-1
31-May-16 12:00:00 AM;94;56;1280;29;2-7
31-May-16 12:00:00 AM;56;26;1364;38;2-1
31-May-16 12:00:00 AM;56;7;1627;66;2-1
31-May-16 12:00:00 AM;56;29;1357;38;2-1
31-May-16 12:00:00 AM;56;20;1474;72;2-1
31-May-16 12:00:00 AM;56;24;1422;47;2-1
31-May-16 12:00:00 AM;56;10;1606;65;2-1
31-May-16 12:00:00 AM;56;30;1335;39;2-1
31-May-16 12:00:00 AM;56;54;1519;28;2-1
31-May-16 12:00:00 AM;56;13;1683;40;2-1
31-May-16 12:00:00 AM;56;21;1292;30;2-1
31-May-16 12:00:00 AM;56;28;1502;71;2-1
31-May-16 12:00:00 AM;56;52;1571;37;2-1
31-May-16 12:00:00 AM;56;15;1493;36;2-1
31-May-16 12:00:00 AM;56;50;1480;37;2-1
31-May-16 12:00:00 AM;56;16;1620;82;2-2
31-May-16 12:00:00 AM;56;31;1567;66;2-2
31-May-16 12:00:00 AM;56;19;1630;62;2-2
31-May-16 12:00:00 AM;15;56;1761;33;2-7
