date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;2;57;2840;3;1-1
31-May-16 12:00:00 AM;6;57;1662;14;2-4
31-May-16 12:00:00 AM;7;57;1893;9;2-4
31-May-16 12:00:00 AM;5;57;336;5;3-4
31-May-16 12:00:00 AM;8;57;1632;10;2-4
31-May-16 12:00:00 AM;9;57;2120;3;2-4
31-May-16 12:00:00 AM;10;57;1630;12;2-4
31-May-16 12:00:00 AM;11;57;1900;9;2-4
31-May-16 12:00:00 AM;12;57;1581;11;2-4
31-May-16 12:00:00 AM;14;57;960;9;2-7
31-May-16 12:00:00 AM;15;57;2040;10;2-7
31-May-16 12:00:00 AM;16;57;1500;11;2-4
31-May-16 12:00:00 AM;17;57;1582;8;2-4
31-May-16 12:00:00 AM;18;57;1897;8;2-4
31-May-16 12:00:00 AM;19;57;1100;12;2-4
31-May-16 12:00:00 AM;20;57;1550;6;2-4
31-May-16 12:00:00 AM;21;57;2460;2;2-4
31-May-16 12:00:00 AM;25;57;2540;3;1-1
31-May-16 12:00:00 AM;22;57;1722;10;2-4
31-May-16 12:00:00 AM;23;57;2173;13;2-4
31-May-16 12:00:00 AM;24;57;1416;10;2-4
31-May-16 12:00:00 AM;26;57;1344;10;2-4
31-May-16 12:00:00 AM;27;57;2030;6;2-4
31-May-16 12:00:00 AM;28;57;1086;9;2-4
31-May-16 12:00:00 AM;29;57;1800;9;2-4
31-May-16 12:00:00 AM;30;57;1416;5;2-4
31-May-16 12:00:00 AM;31;57;972;10;2-4
31-May-16 12:00:00 AM;32;57;996;10;2-4
31-May-16 12:00:00 AM;35;57;840;2;1-1
31-May-16 12:00:00 AM;45;57;1600;3;1-1
31-May-16 12:00:00 AM;33;57;1705;12;2-4
31-May-16 12:00:00 AM;48;57;1753;13;1-1
31-May-16 12:00:00 AM;36;57;888;5;2-4
31-May-16 12:00:00 AM;39;57;1944;5;2-4
31-May-16 12:00:00 AM;40;57;1305;4;2-4
31-May-16 12:00:00 AM;42;57;1755;4;2-4
31-May-16 12:00:00 AM;43;57;2856;5;2-4
31-May-16 12:00:00 AM;44;57;1836;10;2-4
31-May-16 12:00:00 AM;37;57;1800;15;2-4
31-May-16 12:00:00 AM;38;57;1836;5;2-4
31-May-16 12:00:00 AM;53;57;240;1;1-1
31-May-16 12:00:00 AM;46;57;1650;8;2-4
31-May-16 12:00:00 AM;50;57;1560;9;2-4
31-May-16 12:00:00 AM;49;57;1624;13;2-4
31-May-16 12:00:00 AM;51;57;1600;9;2-4
31-May-16 12:00:00 AM;52;57;2005;12;2-4
31-May-16 12:00:00 AM;1;57;822;14;2-4
31-May-16 12:00:00 AM;55;57;1189;17;1-4
31-May-16 12:00:00 AM;54;57;1637;7;2-7
31-May-16 12:00:00 AM;47;57;1050;4;2-7
31-May-16 12:00:00 AM;57;58;1620;13;2-4
31-May-16 12:00:00 AM;57;59;894;10;2-4
31-May-16 12:00:00 AM;57;47;840;5;2-4
31-May-16 12:00:00 AM;57;60;1200;11;2-4
