date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;2;58;1964;15;1-1
31-May-16 12:00:00 AM;6;58;1781;42;2-4
31-May-16 12:00:00 AM;7;58;1735;37;2-4
31-May-16 12:00:00 AM;10;58;1266;38;2-4
31-May-16 12:00:00 AM;8;58;1971;41;2-4
31-May-16 12:00:00 AM;11;58;1970;39;2-4
31-May-16 12:00:00 AM;9;58;1440;37;2-4
31-May-16 12:00:00 AM;12;58;1620;44;2-4
31-May-16 12:00:00 AM;14;58;1870;50;2-7
31-May-16 12:00:00 AM;15;58;1449;40;2-7
31-May-16 12:00:00 AM;16;58;1490;37;2-4
31-May-16 12:00:00 AM;17;58;1675;42;2-4
31-May-16 12:00:00 AM;18;58;1777;40;2-4
31-May-16 12:00:00 AM;19;58;1480;37;2-4
31-May-16 12:00:00 AM;20;58;1408;30;2-4
31-May-16 12:00:00 AM;21;58;1537;35;2-4
31-May-16 12:00:00 AM;25;58;1431;14;1-1
31-May-16 12:00:00 AM;22;58;1785;47;2-4
31-May-16 12:00:00 AM;23;58;1578;43;2-4
31-May-16 12:00:00 AM;24;58;1777;47;2-4
31-May-16 12:00:00 AM;26;58;1890;39;2-4
31-May-16 12:00:00 AM;27;58;1422;30;2-1
31-May-16 12:00:00 AM;28;58;1640;36;2-4
31-May-16 12:00:00 AM;29;58;1668;47;2-4
31-May-16 12:00:00 AM;30;58;1634;30;2-4
31-May-16 12:00:00 AM;31;58;1384;29;2-4
31-May-16 12:00:00 AM;32;58;1328;29;2-4
31-May-16 12:00:00 AM;35;58;1401;14;1-1
31-May-16 12:00:00 AM;45;58;1071;14;1-1
31-May-16 12:00:00 AM;33;58;1650;42;2-1
31-May-16 12:00:00 AM;48;58;2001;14;1-1
31-May-16 12:00:00 AM;36;58;1845;4;2-4
31-May-16 12:00:00 AM;39;58;2100;5;2-4
31-May-16 12:00:00 AM;40;58;1097;14;2-4
31-May-16 12:00:00 AM;42;58;840;10;2-4
31-May-16 12:00:00 AM;44;58;2021;39;2-1
31-May-16 12:00:00 AM;43;58;1500;11;2-4
31-May-16 12:00:00 AM;37;58;2083;11;2-4
31-May-16 12:00:00 AM;38;58;1440;2;2-4
31-May-16 12:00:00 AM;53;58;1353;9;1-1
31-May-16 12:00:00 AM;46;58;1471;29;2-4
31-May-16 12:00:00 AM;50;58;1808;36;2-4
31-May-16 12:00:00 AM;49;58;1294;44;2-4
31-May-16 12:00:00 AM;51;58;947;29;2-4
31-May-16 12:00:00 AM;52;58;1353;41;2-4
31-May-16 12:00:00 AM;1;58;1723;32;2-4
31-May-16 12:00:00 AM;56;58;1664;38;1-1
31-May-16 12:00:00 AM;57;58;1449;43;1-1
31-May-16 12:00:00 AM;55;58;1734;43;1-4
31-May-16 12:00:00 AM;58;58;1279;105;1-1
31-May-16 12:00:00 AM;58;59;1568;34;1-1
31-May-16 12:00:00 AM;54;58;1713;43;2-7
31-May-16 12:00:00 AM;47;58;1005;17;2-7
31-May-16 12:00:00 AM;58;47;1886;18;2-4
31-May-16 12:00:00 AM;58;60;1605;36;2-4
31-May-16 12:00:00 AM;58;61;1732;32;2-4
31-May-16 12:00:00 AM;58;62;1686;27;2-4
31-May-16 12:00:00 AM;58;63;1860;48;2-4
31-May-16 12:00:00 AM;58;64;1647;20;2-4
31-May-16 12:00:00 AM;58;65;1628;21;2-4
31-May-16 12:00:00 AM;58;66;1565;32;2-4
31-May-16 12:00:00 AM;58;67;1678;70;2-4
31-May-16 12:00:00 AM;58;68;1584;32;2-4
31-May-16 12:00:00 AM;58;69;1671;35;2-4
31-May-16 12:00:00 AM;58;70;1548;43;2-4
31-May-16 12:00:00 AM;58;71;1364;19;2-4
31-May-16 12:00:00 AM;58;72;1663;32;2-4
31-May-16 12:00:00 AM;58;73;696;10;2-4
31-May-16 12:00:00 AM;58;74;1680;54;2-4
31-May-16 12:00:00 AM;58;75;1662;42;2-4
31-May-16 12:00:00 AM;58;53;1480;21;2-4
31-May-16 12:00:00 AM;58;82;1124;15;2-4
31-May-16 12:00:00 AM;58;83;1547;33;2-4
31-May-16 12:00:00 AM;58;80;1564;28;2-4
31-May-16 12:00:00 AM;58;78;1795;28;2-4
31-May-16 12:00:00 AM;58;76;1479;23;2-4
31-May-16 12:00:00 AM;58;79;1577;31;2-4
31-May-16 12:00:00 AM;58;77;1454;25;2-4
31-May-16 12:00:00 AM;58;84;1760;15;2-4
31-May-16 12:00:00 AM;58;85;1793;19;2-4
31-May-16 12:00:00 AM;58;81;1454;37;2-4
31-May-16 12:00:00 AM;58;48;2042;21;2-4
31-May-16 12:00:00 AM;58;86;1176;13;2-4
31-May-16 12:00:00 AM;58;87;1467;20;2-4
31-May-16 12:00:00 AM;58;88;1140;10;2-4
31-May-16 12:00:00 AM;58;89;846;9;2-4
31-May-16 12:00:00 AM;58;91;1152;10;2-4
31-May-16 12:00:00 AM;58;92;1026;9;2-4
31-May-16 12:00:00 AM;58;93;1270;11;2-4
31-May-16 12:00:00 AM;58;90;1296;5;2-4
31-May-16 12:00:00 AM;58;94;1346;29;2-4
31-May-16 12:00:00 AM;58;95;2437;19;2-4
31-May-16 12:00:00 AM;58;46;2014;30;2-1
31-May-16 12:00:00 AM;58;12;1544;47;2-1
31-May-16 12:00:00 AM;58;32;1560;39;2-1
31-May-16 12:00:00 AM;58;51;1711;38;2-1
31-May-16 12:00:00 AM;58;56;1474;40;2-1
31-May-16 12:00:00 AM;58;33;1746;38;2-7
31-May-16 12:00:00 AM;58;26;1561;35;2-1
31-May-16 12:00:00 AM;58;7;1480;34;2-1
31-May-16 12:00:00 AM;58;29;1688;43;2-1
31-May-16 12:00:00 AM;58;20;2153;27;2-1
31-May-16 12:00:00 AM;58;24;1823;48;2-1
31-May-16 12:00:00 AM;58;10;1722;38;2-1
31-May-16 12:00:00 AM;58;30;1681;34;2-1
31-May-16 12:00:00 AM;58;54;1922;44;2-1
31-May-16 12:00:00 AM;58;13;1540;34;2-1
31-May-16 12:00:00 AM;58;21;1813;26;2-1
31-May-16 12:00:00 AM;58;28;1555;39;2-1
31-May-16 12:00:00 AM;61;58;1791;40;2-1
31-May-16 12:00:00 AM;66;58;1557;43;2-1
31-May-16 12:00:00 AM;60;58;1267;23;2-1
31-May-16 12:00:00 AM;63;58;1527;39;2-1
31-May-16 12:00:00 AM;62;58;1478;22;2-1
31-May-16 12:00:00 AM;65;58;1918;44;2-1
31-May-16 12:00:00 AM;70;58;1474;37;2-1
31-May-16 12:00:00 AM;72;58;1903;39;2-1
31-May-16 12:00:00 AM;75;58;1944;44;2-1
31-May-16 12:00:00 AM;82;58;1905;29;2-1
31-May-16 12:00:00 AM;85;58;1858;37;2-1
31-May-16 12:00:00 AM;94;58;1782;28;2-7
31-May-16 12:00:00 AM;59;58;1280;38;2-1
