date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;2;59;1080;3;1-1
31-May-16 12:00:00 AM;6;59;1392;14;2-4
31-May-16 12:00:00 AM;7;59;2150;18;2-4
31-May-16 12:00:00 AM;8;59;1463;13;2-4
31-May-16 12:00:00 AM;9;59;2050;6;2-4
31-May-16 12:00:00 AM;10;59;1789;23;2-4
31-May-16 12:00:00 AM;11;59;1851;7;2-4
31-May-16 12:00:00 AM;12;59;2066;9;2-4
31-May-16 12:00:00 AM;16;59;1883;18;2-4
31-May-16 12:00:00 AM;17;59;1704;5;2-4
31-May-16 12:00:00 AM;18;59;1240;6;2-4
31-May-16 12:00:00 AM;19;59;1436;16;2-4
31-May-16 12:00:00 AM;20;59;1362;20;2-4
31-May-16 12:00:00 AM;21;59;1194;10;2-4
31-May-16 12:00:00 AM;25;59;780;3;1-1
31-May-16 12:00:00 AM;22;59;2121;11;2-4
31-May-16 12:00:00 AM;23;59;1877;17;2-4
31-May-16 12:00:00 AM;24;59;1227;13;2-4
31-May-16 12:00:00 AM;26;59;1286;9;2-4
31-May-16 12:00:00 AM;27;59;1822;8;2-4
31-May-16 12:00:00 AM;28;59;1456;18;2-4
31-May-16 12:00:00 AM;29;59;1686;10;2-4
31-May-16 12:00:00 AM;30;59;1587;11;2-4
31-May-16 12:00:00 AM;31;59;1828;17;2-4
31-May-16 12:00:00 AM;32;59;1590;22;2-4
31-May-16 12:00:00 AM;35;59;1350;2;1-1
31-May-16 12:00:00 AM;45;59;2240;3;1-1
31-May-16 12:00:00 AM;33;59;1740;7;2-4
31-May-16 12:00:00 AM;48;59;1524;5;1-1
31-May-16 12:00:00 AM;36;59;1020;1;2-4
31-May-16 12:00:00 AM;39;59;1020;1;2-4
31-May-16 12:00:00 AM;40;59;1020;1;2-4
31-May-16 12:00:00 AM;42;59;1020;1;2-4
31-May-16 12:00:00 AM;43;59;1020;1;2-4
31-May-16 12:00:00 AM;44;59;1096;11;2-4
31-May-16 12:00:00 AM;37;59;1280;3;2-4
