date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;2;60;1020;3;1-1
31-May-16 12:00:00 AM;6;60;1610;13;2-4
31-May-16 12:00:00 AM;7;60;1976;16;2-4
31-May-16 12:00:00 AM;8;60;1903;11;2-4
31-May-16 12:00:00 AM;9;60;1020;7;2-4
31-May-16 12:00:00 AM;10;60;1754;21;2-4
31-May-16 12:00:00 AM;11;60;2268;5;2-4
31-May-16 12:00:00 AM;12;60;1448;7;2-4
31-May-16 12:00:00 AM;16;60;1521;20;2-4
31-May-16 12:00:00 AM;17;60;1128;5;2-4
31-May-16 12:00:00 AM;18;60;1940;6;2-4
31-May-16 12:00:00 AM;19;60;2049;13;2-4
31-May-16 12:00:00 AM;20;60;1430;19;2-4
31-May-16 12:00:00 AM;21;60;1308;10;2-4
31-May-16 12:00:00 AM;25;60;720;3;1-1
31-May-16 12:00:00 AM;22;60;1390;12;2-4
31-May-16 12:00:00 AM;23;60;1628;15;2-4
31-May-16 12:00:00 AM;24;60;1254;11;2-4
31-May-16 12:00:00 AM;26;60;1220;6;2-4
31-May-16 12:00:00 AM;27;60;1987;8;2-4
31-May-16 12:00:00 AM;28;60;1329;20;2-4
31-May-16 12:00:00 AM;29;60;2220;5;2-4
31-May-16 12:00:00 AM;30;60;1393;9;2-4
31-May-16 12:00:00 AM;31;60;1746;20;2-4
31-May-16 12:00:00 AM;32;60;1473;20;2-4
31-May-16 12:00:00 AM;35;60;450;2;1-1
31-May-16 12:00:00 AM;45;60;2180;3;1-1
31-May-16 12:00:00 AM;33;60;1610;6;2-4
31-May-16 12:00:00 AM;48;60;1695;4;1-1
31-May-16 12:00:00 AM;36;60;1740;1;2-4
31-May-16 12:00:00 AM;39;60;1740;1;2-4
31-May-16 12:00:00 AM;40;60;1740;1;2-4
31-May-16 12:00:00 AM;42;60;1740;1;2-4
31-May-16 12:00:00 AM;43;60;1740;1;2-4
31-May-16 12:00:00 AM;44;60;780;10;2-4
31-May-16 12:00:00 AM;37;60;1800;3;2-4
31-May-16 12:00:00 AM;38;60;1680;1;2-4
31-May-16 12:00:00 AM;46;60;1358;11;2-4
31-May-16 12:00:00 AM;50;60;1095;8;2-4
31-May-16 12:00:00 AM;49;60;1236;15;2-4
31-May-16 12:00:00 AM;51;60;1715;17;2-4
31-May-16 12:00:00 AM;52;60;793;13;2-4
31-May-16 12:00:00 AM;1;60;1173;9;2-4
31-May-16 12:00:00 AM;55;60;1478;17;1-4
31-May-16 12:00:00 AM;56;60;1130;13;2-4
31-May-16 12:00:00 AM;57;60;1200;11;2-4
31-May-16 12:00:00 AM;58;60;1594;7;2-4
31-May-16 12:00:00 AM;59;60;903;18;2-4
31-May-16 12:00:00 AM;60;65;1426;9;2-4
31-May-16 12:00:00 AM;60;66;1240;9;2-4
31-May-16 12:00:00 AM;60;67;637;16;2-4
31-May-16 12:00:00 AM;60;68;1020;17;2-4
31-May-16 12:00:00 AM;60;69;1226;9;2-4
31-May-16 12:00:00 AM;60;70;980;6;2-4
31-May-16 12:00:00 AM;60;71;1830;2;2-4
31-May-16 12:00:00 AM;60;72;1638;10;2-4
31-May-16 12:00:00 AM;60;73;360;1;2-4
31-May-16 12:00:00 AM;60;74;490;6;2-4
31-May-16 12:00:00 AM;60;75;950;6;2-4
31-May-16 12:00:00 AM;60;53;540;4;2-4
31-May-16 12:00:00 AM;60;82;2628;5;2-4
31-May-16 12:00:00 AM;60;83;720;2;2-4
31-May-16 12:00:00 AM;60;80;840;2;2-4
31-May-16 12:00:00 AM;60;78;840;2;2-4
31-May-16 12:00:00 AM;60;76;840;2;2-4
31-May-16 12:00:00 AM;60;79;840;2;2-4
31-May-16 12:00:00 AM;60;77;1260;3;2-4
31-May-16 12:00:00 AM;60;84;1530;2;2-4
31-May-16 12:00:00 AM;60;85;2640;4;2-4
31-May-16 12:00:00 AM;60;81;960;2;2-4
31-May-16 12:00:00 AM;60;48;1320;2;2-4
31-May-16 12:00:00 AM;60;86;720;2;2-4
31-May-16 12:00:00 AM;60;87;1068;5;2-4
31-May-16 12:00:00 AM;60;88;1200;1;2-4
31-May-16 12:00:00 AM;60;89;1200;1;2-4
31-May-16 12:00:00 AM;60;91;1200;1;2-4
31-May-16 12:00:00 AM;60;92;1200;1;2-4
31-May-16 12:00:00 AM;60;93;1200;1;2-4
31-May-16 12:00:00 AM;60;90;1260;1;2-4
31-May-16 12:00:00 AM;60;94;1560;2;2-4
31-May-16 12:00:00 AM;60;47;924;5;2-4
31-May-16 12:00:00 AM;60;95;2260;3;2-4
31-May-16 12:00:00 AM;60;46;1358;11;2-1
31-May-16 12:00:00 AM;60;33;1447;8;2-1
31-May-16 12:00:00 AM;60;12;1266;9;2-1
31-May-16 12:00:00 AM;60;32;1359;23;2-1
31-May-16 12:00:00 AM;60;51;1777;16;2-1
31-May-16 12:00:00 AM;60;59;888;20;2-1
31-May-16 12:00:00 AM;60;56;1156;15;2-1
31-May-16 12:00:00 AM;60;26;1272;5;2-1
31-May-16 12:00:00 AM;60;7;1860;18;2-1
31-May-16 12:00:00 AM;60;29;1720;6;2-1
31-May-16 12:00:00 AM;60;20;1430;19;2-1
31-May-16 12:00:00 AM;60;24;1254;11;2-1
31-May-16 12:00:00 AM;60;10;1834;21;2-1
31-May-16 12:00:00 AM;60;30;1393;9;2-1
31-May-16 12:00:00 AM;60;54;1176;5;2-1
31-May-16 12:00:00 AM;60;13;1308;10;2-1
31-May-16 12:00:00 AM;60;58;1594;7;2-1
31-May-16 12:00:00 AM;60;21;1572;5;2-1
31-May-16 12:00:00 AM;60;28;1394;21;2-1
31-May-16 12:00:00 AM;60;27;1272;5;2-1
31-May-16 12:00:00 AM;60;52;793;13;2-1
31-May-16 12:00:00 AM;60;15;1062;7;2-1
31-May-16 12:00:00 AM;60;50;1002;10;2-1
31-May-16 12:00:00 AM;60;31;1811;21;2-1
31-May-16 12:00:00 AM;60;16;1566;19;2-1
31-May-16 12:00:00 AM;60;17;1308;5;2-1
31-May-16 12:00:00 AM;60;9;1020;7;2-1
31-May-16 12:00:00 AM;60;44;714;11;2-1
31-May-16 12:00:00 AM;61;60;1337;17;2-1
31-May-16 12:00:00 AM;62;60;1543;26;2-1
31-May-16 12:00:00 AM;65;60;1287;11;2-1
31-May-16 12:00:00 AM;66;60;1284;10;2-1
31-May-16 12:00:00 AM;72;60;1458;13;2-1
31-May-16 12:00:00 AM;82;60;2215;14;2-1
31-May-16 12:00:00 AM;85;60;2193;9;2-1
31-May-16 12:00:00 AM;94;60;240;1;2-7
31-May-16 12:00:00 AM;74;60;588;5;2-7
31-May-16 12:00:00 AM;75;60;874;7;2-1
31-May-16 12:00:00 AM;70;60;1358;11;2-1
31-May-16 12:00:00 AM;68;60;978;19;2-2
31-May-16 12:00:00 AM;69;60;1020;13;2-6
31-May-16 12:00:00 AM;54;60;1176;5;2-7
31-May-16 12:00:00 AM;60;19;1943;13;2-1
31-May-16 12:00:00 AM;60;14;835;13;2-1
31-May-16 12:00:00 AM;60;57;1200;11;2-1
31-May-16 12:00:00 AM;60;18;1940;6;2-1
31-May-16 12:00:00 AM;60;11;1980;6;2-1
31-May-16 12:00:00 AM;15;60;1224;5;2-7
31-May-16 12:00:00 AM;60;62;1568;27;2-2
31-May-16 12:00:00 AM;63;60;1044;5;2-7
31-May-16 12:00:00 AM;14;60;820;12;2-6
31-May-16 12:00:00 AM;67;60;1584;20;2-6
31-May-16 12:00:00 AM;13;60;1346;9;2-7
31-May-16 12:00:00 AM;60;55;1478;17;2-1
31-May-16 12:00:00 AM;60;8;1903;11;2-1
31-May-16 12:00:00 AM;60;6;1610;13;2-1
31-May-16 12:00:00 AM;60;49;1236;15;2-1
31-May-16 12:00:00 AM;60;41;1855;12;2-1
31-May-16 12:00:00 AM;60;23;1380;6;2-7
31-May-16 12:00:00 AM;41;60;1855;12;2-4
31-May-16 12:00:00 AM;60;22;1236;10;2-6
31-May-16 12:00:00 AM;60;61;1388;15;2-6
31-May-16 12:00:00 AM;60;63;1044;5;2-1
31-May-16 12:00:00 AM;3;60;1970;6;2-4
31-May-16 12:00:00 AM;71;60;1830;2;1-2
31-May-16 12:00:00 AM;84;60;2100;2;1-4
31-May-16 12:00:00 AM;87;60;1600;3;1-4
31-May-16 12:00:00 AM;4;60;2400;2;1-2
31-May-16 12:00:00 AM;77;60;420;1;1-1
31-May-16 12:00:00 AM;60;64;420;1;1-2
31-May-16 12:00:00 AM;95;60;1110;2;1-4
31-May-16 12:00:00 AM;86;60;210;2;1-4
31-May-16 12:00:00 AM;60;96;570;2;2-1
31-May-16 12:00:00 AM;60;97;1380;2;2-1
31-May-16 12:00:00 AM;98;60;480;1;2-1
31-May-16 12:00:00 AM;100;60;420;1;2-1
31-May-16 12:00:00 AM;101;60;360;1;2-1
31-May-16 12:00:00 AM;102;60;300;1;2-1
31-May-16 12:00:00 AM;103;60;180;1;2-1
31-May-16 12:00:00 AM;104;60;3480;1;2-1
31-May-16 12:00:00 AM;105;60;3420;1;2-1
31-May-16 12:00:00 AM;106;60;3180;1;2-1
31-May-16 12:00:00 AM;107;60;3060;1;2-1
31-May-16 12:00:00 AM;108;60;2820;1;2-1
