date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;2;61;1804;15;1-1
31-May-16 12:00:00 AM;6;61;1656;31;2-4
31-May-16 12:00:00 AM;7;61;1764;35;2-4
31-May-16 12:00:00 AM;10;61;1815;36;2-4
31-May-16 12:00:00 AM;8;61;1695;34;2-4
31-May-16 12:00:00 AM;11;61;2047;32;2-4
31-May-16 12:00:00 AM;9;61;1983;32;2-4
31-May-16 12:00:00 AM;12;61;1885;26;2-4
31-May-16 12:00:00 AM;16;61;1882;32;2-4
31-May-16 12:00:00 AM;17;61;2082;34;2-4
31-May-16 12:00:00 AM;18;61;2063;28;2-4
31-May-16 12:00:00 AM;19;61;1834;35;2-4
31-May-16 12:00:00 AM;20;61;1776;38;2-4
31-May-16 12:00:00 AM;21;61;1706;32;2-4
31-May-16 12:00:00 AM;25;61;2016;13;1-1
31-May-16 12:00:00 AM;22;61;1878;38;2-4
31-May-16 12:00:00 AM;23;61;1546;31;2-4
31-May-16 12:00:00 AM;24;61;1657;42;2-4
31-May-16 12:00:00 AM;26;61;1507;32;2-4
31-May-16 12:00:00 AM;27;61;1617;28;2-1
31-May-16 12:00:00 AM;28;61;1812;34;2-4
31-May-16 12:00:00 AM;29;61;1667;33;2-4
31-May-16 12:00:00 AM;30;61;1518;30;2-4
31-May-16 12:00:00 AM;31;61;1980;30;2-4
31-May-16 12:00:00 AM;32;61;1483;33;2-4
31-May-16 12:00:00 AM;35;61;1122;10;1-1
31-May-16 12:00:00 AM;45;61;1637;14;1-1
31-May-16 12:00:00 AM;33;61;1385;31;2-1
31-May-16 12:00:00 AM;48;61;1320;18;1-1
31-May-16 12:00:00 AM;36;61;1655;17;2-4
31-May-16 12:00:00 AM;39;61;2310;12;2-4
31-May-16 12:00:00 AM;40;61;2093;18;2-4
31-May-16 12:00:00 AM;42;61;1830;18;2-4
31-May-16 12:00:00 AM;44;61;2102;29;2-1
31-May-16 12:00:00 AM;43;61;1732;15;2-4
31-May-16 12:00:00 AM;37;61;1752;15;2-4
31-May-16 12:00:00 AM;38;61;1740;9;2-4
31-May-16 12:00:00 AM;46;61;1826;34;2-4
31-May-16 12:00:00 AM;50;61;1930;29;2-4
31-May-16 12:00:00 AM;49;61;2047;39;2-4
31-May-16 12:00:00 AM;51;61;1593;38;2-4
31-May-16 12:00:00 AM;52;61;1888;25;2-4
31-May-16 12:00:00 AM;1;61;2101;32;2-4
31-May-16 12:00:00 AM;55;61;1500;49;1-4
31-May-16 12:00:00 AM;59;61;1664;38;1-1
31-May-16 12:00:00 AM;57;61;1705;33;2-4
31-May-16 12:00:00 AM;56;61;1765;37;2-4
31-May-16 12:00:00 AM;61;60;1247;65;1-1
31-May-16 12:00:00 AM;61;61;1442;81;1-1
31-May-16 12:00:00 AM;61;62;1560;50;1-1
31-May-16 12:00:00 AM;61;63;1246;48;1-1
31-May-16 12:00:00 AM;61;64;1147;31;1-1
31-May-16 12:00:00 AM;61;65;1433;39;1-1
31-May-16 12:00:00 AM;58;61;1732;32;2-4
31-May-16 12:00:00 AM;47;61;1393;13;2-1
31-May-16 12:00:00 AM;60;61;1385;46;1-4
31-May-16 12:00:00 AM;61;47;992;22;1-4
31-May-16 12:00:00 AM;62;61;1599;38;1-4
31-May-16 12:00:00 AM;63;61;1578;46;1-4
31-May-16 12:00:00 AM;61;66;1708;45;1-4
31-May-16 12:00:00 AM;64;61;1353;18;1-4
31-May-16 12:00:00 AM;61;67;1193;109;2-4
31-May-16 12:00:00 AM;61;68;1663;59;2-4
31-May-16 12:00:00 AM;61;69;1353;43;2-4
31-May-16 12:00:00 AM;61;70;1672;51;2-4
31-May-16 12:00:00 AM;61;71;1496;16;2-4
31-May-16 12:00:00 AM;61;72;1601;36;2-4
31-May-16 12:00:00 AM;61;73;2209;11;2-4
31-May-16 12:00:00 AM;61;74;1614;44;2-4
31-May-16 12:00:00 AM;61;75;1675;41;2-4
31-May-16 12:00:00 AM;61;53;1531;25;2-4
31-May-16 12:00:00 AM;61;82;1591;21;2-4
31-May-16 12:00:00 AM;61;83;1128;26;2-4
31-May-16 12:00:00 AM;61;80;1137;26;2-4
31-May-16 12:00:00 AM;61;78;1146;26;2-4
31-May-16 12:00:00 AM;61;76;1050;16;2-4
31-May-16 12:00:00 AM;61;79;1220;27;2-4
31-May-16 12:00:00 AM;61;77;1390;24;2-4
31-May-16 12:00:00 AM;61;84;1675;12;2-4
31-May-16 12:00:00 AM;61;85;2005;21;2-4
31-May-16 12:00:00 AM;61;81;1209;37;2-4
31-May-16 12:00:00 AM;61;48;1572;25;2-4
31-May-16 12:00:00 AM;61;86;1256;15;2-4
31-May-16 12:00:00 AM;61;87;1866;18;2-4
31-May-16 12:00:00 AM;61;88;1114;14;2-4
31-May-16 12:00:00 AM;61;89;1400;9;2-4
31-May-16 12:00:00 AM;61;91;2040;11;2-4
31-May-16 12:00:00 AM;61;92;1277;14;2-4
31-May-16 12:00:00 AM;61;93;1123;18;2-4
31-May-16 12:00:00 AM;61;90;1433;9;2-4
31-May-16 12:00:00 AM;61;94;1487;28;2-4
31-May-16 12:00:00 AM;61;95;1082;23;2-4
31-May-16 12:00:00 AM;61;34;1764;10;2-4
31-May-16 12:00:00 AM;61;46;1603;39;2-1
31-May-16 12:00:00 AM;61;12;1751;37;2-1
31-May-16 12:00:00 AM;61;32;1448;55;2-1
31-May-16 12:00:00 AM;61;51;1806;49;2-1
31-May-16 12:00:00 AM;61;59;1746;52;2-1
31-May-16 12:00:00 AM;61;56;1678;50;2-1
31-May-16 12:00:00 AM;61;26;1643;43;2-1
31-May-16 12:00:00 AM;61;7;1615;49;2-1
31-May-16 12:00:00 AM;61;29;1482;37;2-1
31-May-16 12:00:00 AM;61;20;1740;41;2-1
31-May-16 12:00:00 AM;61;24;1747;47;2-1
31-May-16 12:00:00 AM;61;10;1826;56;2-1
31-May-16 12:00:00 AM;61;30;1578;42;2-1
31-May-16 12:00:00 AM;61;54;1486;39;2-1
31-May-16 12:00:00 AM;61;13;1051;48;2-1
31-May-16 12:00:00 AM;61;58;1791;40;2-1
31-May-16 12:00:00 AM;61;21;1636;37;2-1
31-May-16 12:00:00 AM;61;28;1673;55;2-1
31-May-16 12:00:00 AM;61;52;1573;43;2-1
31-May-16 12:00:00 AM;61;15;1465;44;2-1
31-May-16 12:00:00 AM;61;50;1364;35;2-1
31-May-16 12:00:00 AM;61;31;1704;42;2-1
31-May-16 12:00:00 AM;61;16;1716;52;2-1
31-May-16 12:00:00 AM;61;17;1970;37;2-1
31-May-16 12:00:00 AM;61;9;1702;34;2-1
31-May-16 12:00:00 AM;61;19;1714;49;2-1
31-May-16 12:00:00 AM;61;14;1515;47;2-1
31-May-16 12:00:00 AM;61;57;1596;43;2-1
31-May-16 12:00:00 AM;61;18;1714;44;2-1
31-May-16 12:00:00 AM;61;11;2019;29;2-1
31-May-16 12:00:00 AM;72;61;1667;44;2-1
31-May-16 12:00:00 AM;82;61;1825;28;2-1
31-May-16 12:00:00 AM;85;61;1812;34;2-7
31-May-16 12:00:00 AM;94;61;1485;28;2-7
31-May-16 12:00:00 AM;74;61;1206;28;2-7
31-May-16 12:00:00 AM;54;61;1700;23;2-7
31-May-16 12:00:00 AM;15;61;1758;30;2-7
31-May-16 12:00:00 AM;75;61;1965;36;2-7
31-May-16 12:00:00 AM;70;61;1537;43;2-7
31-May-16 12:00:00 AM;14;61;1527;41;2-7
31-May-16 12:00:00 AM;65;61;1738;39;2-7
31-May-16 12:00:00 AM;13;61;1637;21;2-7
31-May-16 12:00:00 AM;61;22;1731;37;2-7
31-May-16 12:00:00 AM;61;27;1656;39;2-7
31-May-16 12:00:00 AM;68;61;1598;50;2-1
31-May-16 12:00:00 AM;61;49;2046;37;2-1
31-May-16 12:00:00 AM;61;41;1928;15;2-1
31-May-16 12:00:00 AM;61;23;1792;39;2-1
31-May-16 12:00:00 AM;41;61;1756;11;2-4
31-May-16 12:00:00 AM;67;61;1605;55;2-6
31-May-16 12:00:00 AM;69;61;1901;33;2-6
31-May-16 12:00:00 AM;61;33;1715;36;2-6
31-May-16 12:00:00 AM;61;55;1305;41;2-6
31-May-16 12:00:00 AM;61;44;1797;43;2-6
31-May-16 12:00:00 AM;61;8;1484;39;2-6
31-May-16 12:00:00 AM;3;61;1534;14;2-4
